Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,27.064,27.554,26.96,27.449,105369,0
2010-01-05,27.459,27.601,27.224,27.318,86561,0
2010-01-06,27.233,27.403,27.167,27.308,64464,0
2010-01-07,27.346,27.571,27.261,27.289,80861,0
2010-01-08,27.308,27.318,27.026,27.148,111269,0
2010-01-11,27.298,27.403,26.979,27.271,122443,0
2010-01-12,27.186,27.318,26.839,26.951,75679,0
2010-01-13,26.997,27.421,26.829,27.308,99883,0
2010-01-14,27.214,27.581,27.148,27.43,92379,0
2010-01-15,27.356,27.544,27.044,27.421,185431,0
2010-01-19,26.593,27.196,26.377,26.979,229807,0
2010-01-20,26.688,27.374,26.688,27.298,248065,0
2010-01-21,27.374,27.911,27.337,27.76,316666,0
2010-01-22,27.798,28.052,27.356,27.469,142096,0
2010-01-25,27.676,27.959,27.449,27.779,98948,0
2010-01-26,27.779,28.428,27.779,28.061,163006,0
2010-01-27,28.005,28.1,27.496,27.601,149120,0
2010-01-28,27.017,27.571,26.565,26.565,149145,0
2010-01-29,26.518,26.518,24.099,24.201,581680,0
2010-02-01,24.475,24.805,24.306,24.588,385942,0
2010-02-02,24.551,24.673,24.334,24.512,385051,0
2010-02-03,24.343,24.635,24.24,24.38,270378,0
2010-02-04,24.277,24.475,23.872,24.042,397177,0
2010-02-05,24.042,24.089,23.619,23.975,199123,0
2010-02-08,24.079,24.249,23.788,23.939,196705,0
2010-02-09,24.126,24.306,23.675,23.816,174993,0
2010-02-10,23.816,24.07,23.506,24.061,214131,0
2010-02-11,23.966,24.175,23.816,24.052,144213,0
2010-02-12,23.872,24.052,23.694,24.014,146084,0
2010-02-16,24.165,24.268,23.901,24.268,71961,0
2010-02-17,24.258,24.541,24.194,24.494,118604,0
2010-02-18,24.551,24.682,24.38,24.616,86516,0
2010-02-19,24.598,24.832,24.551,24.71,125119,0
2010-02-22,24.851,24.973,24.691,24.785,142105,0
2010-02-23,24.701,24.926,24.531,24.842,131766,0
2010-02-24,24.832,25.049,24.758,25.041,56554,0
2010-02-25,24.946,25.314,24.871,25.256,173807,0
2010-02-26,25.35,25.35,24.964,25.143,101285,0
2010-03-01,25.276,25.398,25.182,25.284,81754,0
2010-03-02,25.416,25.595,25.2,25.539,98726,0
2010-03-03,25.519,25.699,25.398,25.642,107843,0
2010-03-04,25.709,25.963,25.51,25.558,96746,0
2010-03-05,25.603,26.309,25.603,25.839,81329,0
