Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,73.96,74,71.5,72.81,1592,0
2010-01-05,75,75,72.5,72.5,2906,0
2010-01-06,71.5,71.65,69.65,69.65,957,0
2010-01-07,69.26,71,68.16,69.49,3159,0
2010-01-08,70.97,71.4,68.26,68.74,2017,0
2010-01-11,70.74,70.74,70.74,70.74,235,0
2010-01-13,68.62,71.03,68.62,69.63,689,0
2010-01-14,69.8,70,69.8,70,200,0
2010-01-15,71.07,71.07,68.15,68.15,1029,0
2010-01-19,70.21,70.46,68.51,70.46,860,0
2010-01-20,69,69,69,69,133,0
2010-01-21,68.25,68.75,68.25,68.75,242,0
2010-01-25,68.03,68.03,68.03,68.03,230,0
2010-01-26,68,68,63.9,63.9,1945,0
2010-01-27,63.51,63.51,63.51,63.51,215,0
2010-01-28,62.94,64.6,62.94,63.23,472,0
2010-01-29,63.7,65.58,63.7,65.58,590,0
2010-02-01,67.99,67.99,65.47,67.69,500,0
2010-02-02,63.45,63.45,63.45,63.45,314,0
2010-02-03,62,62,61,61,211,0
2010-02-04,53.51,53.51,53.51,53.51,412,0
2010-02-05,59,59,59,59,506,0
2010-02-08,58.8,58.8,55.23,55.23,361,0
2010-02-09,53.56,56.5,53.53,56.5,754,0
2010-02-10,52.6,53.49,52,53.49,859,0
2010-02-11,53,53,52.2,52.55,846,0
2010-02-12,52.55,52.55,49,49,1395,0
2010-02-16,51.48,51.48,49.15,49.15,1951,0
2010-02-17,49,49.91,49,49.91,294,0
2010-02-18,49.91,49.91,49.47,49.47,228,0
2010-02-19,52,57.89,49,57.89,5596,0
2010-02-22,56.41,58,56.41,57.95,900,0
2010-02-23,53.46,63.94,53.4,63.94,1229,0
2010-02-24,64.85,64.85,64.85,64.85,300,0
2010-02-26,62.75,62.75,56.04,56.04,1079,0
2010-03-01,55.79,56.1,55.79,56.1,479,0
2010-03-02,61.25,61.25,61.25,61.25,212,0
2010-03-03,61.1,63.1,59.99,63.03,2048,0
