Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.36,19.55,19.2,19.55,269200,0
2010-01-05,19.48,19.51,18.99,19.24,274539,0
2010-01-06,19.17,19.8,19,19.57,537136,0
2010-01-07,19.6,19.72,19.29,19.48,132416,0
2010-01-08,19.49,20.18,19.49,19.97,150592,0
2010-01-11,19.99,20.35,19.89,20.35,162145,0
2010-01-12,20.18,20.78,20.18,20.5,392176,0
2010-01-13,20.62,20.9,20.39,20.74,142056,0
2010-01-14,20.79,21.22,20.79,21.06,199804,0
2010-01-15,21.15,21.15,20.56,20.88,203240,0
2010-01-19,20.81,21.33,20.78,21.2,149174,0
2010-01-20,21,21.31,20.75,21.08,215412,0
2010-01-21,21.04,21.16,20.67,20.96,234194,0
2010-01-22,20.85,21.05,20.57,20.65,185711,0
2010-01-25,20.72,20.89,20.31,20.61,169721,0
2010-01-26,20.64,20.75,20.16,20.29,231042,0
2010-01-27,20.17,20.36,20,20.31,165722,0
2010-01-28,20.28,20.33,19.83,19.88,156666,0
2010-01-29,19.94,20.1,19.65,19.65,260483,0
2010-02-01,19.73,19.96,19.63,19.91,136546,0
2010-02-02,19.92,20,19.7,19.92,151001,0
2010-02-03,19.79,20.01,19.59,19.98,287812,0
2010-02-04,19.82,20.01,19.67,19.76,128011,0
2010-02-05,19.83,20.05,19.52,19.93,200179,0
2010-02-08,19.94,20.04,19.59,19.62,65890,0
2010-02-09,19.84,19.84,19.52,19.75,59318,0
2010-02-10,19.64,19.82,19.29,19.74,87257,0
2010-02-11,19.64,19.85,19.36,19.72,72281,0
2010-02-12,19.53,19.92,19.51,19.8,102327,0
2010-02-16,19.93,19.93,19.57,19.8,85053,0
2010-02-17,19.87,20.08,19.74,20.05,73511,0
2010-02-18,20,20.18,19.97,20.13,100391,0
2010-02-19,20.1,20.14,19.99,20.08,134025,0
2010-02-22,20.1,20.26,19.8,19.97,111130,0
2010-02-23,19.96,20,19.64,19.67,108462,0
2010-02-24,19.44,20.11,19.32,19.45,544106,0
2010-02-25,19.22,19.8,19.12,19.69,243791,0
2010-02-26,19.7,19.9,19.47,19.52,167263,0
2010-03-01,19.54,19.79,19.3,19.42,170718,0
2010-03-02,19.42,19.59,19.11,19.49,164382,0
2010-03-03,19.58,20.38,19.58,20.29,380121,0
2010-03-04,20.38,21.14,20.38,21.12,291943,0
2010-03-05,21.11,21.4,20.92,21.14,159344,0
2010-03-08,21.1,21.12,20.83,20.9,79120,0
2010-03-09,20.86,21.01,20.7,20.83,109658,0
2010-03-10,20.83,21.1,20.72,20.84,53174,0
2010-03-11,20.71,20.83,20.55,20.62,76013,0
2010-03-12,20.74,20.76,20.18,20.48,106474,0
2010-03-15,20.39,20.51,20.23,20.32,99199,0
2010-03-16,20.31,20.31,20.09,20.23,64311,0
2010-03-17,20.2,20.48,20.19,20.39,114808,0
2010-03-18,20.39,20.62,20.39,20.53,89478,0
2010-03-19,20.66,20.69,20.47,20.62,123642,0
2010-03-22,20.5,21.08,20.5,20.9,58602,0
2010-03-23,20.97,21.16,20.63,21.11,100376,0
2010-03-24,21.13,21.28,20.9,20.94,56419,0
2010-03-25,21.08,21.16,20.54,20.54,97929,0
2010-03-26,20.53,20.73,20.51,20.66,64342,0
2010-03-29,20.76,20.76,20.48,20.6,32032,0
2010-03-30,20.67,21.14,20.6,20.96,136416,0
2010-03-31,20.98,21.69,20.81,21.19,273939,0
2010-04-01,21.23,21.25,20.73,20.9,110414,0
2010-04-05,20.89,21.61,20.89,21.3,99611,0
2010-04-06,21.26,21.68,21.07,21.57,168681,0
2010-04-07,21.62,21.68,21.34,21.54,94953,0
2010-04-08,21.55,21.59,21.34,21.5,52634,0
2010-04-09,21.45,21.67,21.28,21.37,49616,0
2010-04-12,21.46,21.92,21.32,21.88,114198,0
2010-04-13,21.79,21.93,21.51,21.74,110551,0
2010-04-14,21.76,22.05,21.59,21.99,81421,0
2010-04-15,21.94,22.27,21.9,22.18,136653,0
2010-04-16,22.18,22.2,21.91,22.16,111985,0
2010-04-19,22.04,22.3,21.8,22.27,143370,0
2010-04-20,22.28,22.49,22.18,22.46,51779,0
2010-04-21,22.5,22.66,22.19,22.66,107130,0
2010-04-22,22.44,22.9,22.41,22.87,100043,0
2010-04-23,22.92,23.05,22.73,23.02,75864,0
2010-04-26,23.09,23.38,22.98,23.26,160470,0
2010-04-27,23.03,24.43,23.03,24,791078,0
2010-04-28,24.15,24.42,23.32,23.47,324114,0
2010-04-29,23.66,24,23.06,23.17,315775,0
2010-04-30,22.4,23.11,22.34,22.34,366372,0
2010-05-03,22.4,22.41,21.89,22.19,271520,0
2010-05-04,21.93,22.03,21.8,21.95,125568,0
2010-05-05,21.91,22.09,21.81,21.95,260107,0
2010-05-06,21.85,22.03,20.72,21.35,163758,0
