Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,37.688,38.044,37.52,38.034,1747336,0
2010-01-05,38.034,38.578,37.816,38.538,1526786,0
2010-01-06,38.429,39.864,38.38,39.815,2607832,0
2010-01-07,40.023,41.487,40.003,41.388,3505489,0
2010-01-08,41.179,41.624,40.972,41.288,1938634,0
2010-01-11,41.516,41.764,40.813,40.863,1526939,0
2010-01-12,40.467,40.942,39.894,40.745,1575360,0
2010-01-13,40.705,40.972,39.587,40.487,1609778,0
2010-01-14,40.477,40.912,40.23,40.646,1068191,0
2010-01-15,40.457,40.863,39.607,39.834,1574573,0
2010-01-19,39.884,40.151,39.607,40.151,1504360,0
2010-01-20,39.765,39.815,39.171,39.706,2088401,0
2010-01-21,39.646,39.864,38.944,39.469,3198773,0
2010-01-22,39.28,40.003,38.757,39.231,3549700,0
2010-01-25,39.449,39.844,39.123,39.518,2622875,0
2010-01-26,40.646,40.646,38.469,38.518,2385573,0
2010-01-27,39.113,39.469,38.341,38.994,2477847,0
2010-01-28,39.261,39.31,37.47,37.668,2312363,0
2010-01-29,37.776,38.766,37.272,37.381,1812674,0
2010-02-01,37.638,37.965,37.51,37.896,1872339,0
2010-02-02,36.818,37.49,36.402,36.946,3257653,0
2010-02-03,37.45,38.034,36.956,37.164,1892037,0
2010-02-04,36.768,36.976,35.779,35.789,1769207,0
2010-02-05,35.829,35.907,34.641,35.541,2365448,0
2010-02-08,35.621,36.452,35.007,35.838,1995589,0
2010-02-09,36.343,36.708,35.789,36.303,1803255,0
2010-02-10,36.323,36.442,35.68,35.897,1340545,0
2010-02-11,35.857,36.461,35.67,36.402,1522419,0
2010-02-12,35.947,36.175,35.482,36.105,1328835,0
2010-02-16,36.6,37.946,36.452,37.856,2320465,0
2010-02-17,38.172,38.39,37.776,38.321,1357776,0
2010-02-18,38.162,39.014,38.162,38.934,991468,0
2010-02-19,38.687,39.073,38.439,38.894,1398841,0
2010-02-22,39.083,39.251,38.687,38.894,899299,0
2010-02-23,38.707,38.835,38.132,38.449,1783922,0
2010-02-24,38.39,39.28,38.39,39.043,1727460,0
2010-02-25,38.439,39.023,38.024,38.974,1331770,0
2010-02-26,38.815,39.053,38.292,38.38,1881689,0
2010-03-01,38.489,39.28,38.489,39.004,1201435,0
2010-03-02,39.211,39.528,39.103,39.439,1490505,0
2010-03-03,39.518,40.359,39.449,39.874,1670410,0
2010-03-04,39.914,40.121,39.597,39.755,962103,0
2010-03-05,39.943,40.992,39.943,40.992,1855563,0
2010-03-08,41.477,42.506,41.398,41.555,1991275,0
2010-03-09,42.406,43.029,41.93,42.386,2294142,0
2010-03-10,42.406,42.792,42.267,42.436,1380596,0
2010-03-11,42.257,42.901,41.921,42.782,1183180,0
2010-03-12,42.98,43.218,42.663,43.078,898548,0
2010-03-15,43.078,43.168,42.267,42.96,1007924,0
2010-03-16,43.019,43.524,42.792,43.494,1116512,0
2010-03-17,43.672,44.553,43.672,43.95,1905779,0
2010-03-18,43.83,43.95,42.941,43.376,1197616,0
2010-03-19,43.405,43.732,42.516,42.633,1705163,0
2010-03-22,42.476,43.128,42.267,42.931,863618,0
2010-03-23,43.039,43.89,42.882,43.762,1124264,0
2010-03-24,44.414,45.632,44.414,45.472,3465970,0
2010-03-25,45.612,45.798,44.81,44.92,1612288,0
2010-03-26,44.998,45.106,44.148,44.384,1270557,0
2010-03-29,44.563,45.246,44.454,45.156,1153347,0
2010-03-30,45.116,45.373,44.652,44.92,1244714,0
2010-03-31,44.71,45.018,44.514,44.7,1041880,0
2010-04-01,45.027,45.572,44.939,45.276,1063621,0
2010-04-05,45.472,45.898,45.286,45.672,1181488,0
2010-04-06,45.383,45.758,44.78,44.92,2643348,0
2010-04-07,44.671,45.196,43.395,43.89,2817177,0
2010-04-08,43.613,43.95,43.356,43.801,1865847,0
2010-04-09,43.88,47.758,43.702,47.096,9872543,0
2010-04-12,46.848,46.848,45.938,46.234,2189770,0
2010-04-13,46.204,46.966,46.114,46.838,2031189,0
2010-04-14,47.066,47.422,46.61,47.342,1229079,0
2010-04-15,47.184,47.718,46.986,47.392,966673,0
2010-04-16,47.252,47.282,45.748,46.394,1802951,0
2010-04-19,46.194,46.68,45.612,46.264,1398553,0
2010-04-20,46.71,47.332,46.254,47.056,1076631,0
2010-04-21,47.144,47.818,46.886,47.61,1134816,0
2010-04-22,47.194,48.372,46.414,48.322,1216069,0
2010-04-23,48.372,48.904,47.966,48.678,1290066,0
2010-04-26,49.064,49.163,47.678,48.144,1857581,0
2010-04-27,46.284,50.132,45.582,46.946,3883531,0
2010-04-28,47.342,48.628,47.342,47.856,1764262,0
2010-04-29,48.608,49.48,48.322,49.43,1574641,0
2010-04-30,49.577,49.656,47.6,47.698,1827983,0
2010-05-03,48.134,48.757,47.638,48.598,1618200,0
2010-05-04,47.837,48.222,45.711,45.978,2936385,0
2010-05-05,45.502,45.888,44.534,45.216,2189957,0
2010-05-06,44.88,45.828,40.705,43.791,2302771,0
2010-05-07,43.415,43.772,40.952,41.892,3295192,0
2010-05-10,43.91,45.316,43.762,44.671,2347657,0
2010-05-11,43.998,45.364,43.474,44.256,2505113,0
2010-05-12,44.524,46.364,44.514,46.294,1913449,0
2010-05-13,46.204,46.906,45.72,46.184,2040542,0
2010-05-14,45.828,45.838,44.69,45.612,2618548,0
2010-05-17,45.682,46.224,44.158,45.392,2019873,0
2010-05-18,45.938,46.69,44.394,44.563,1450178,0
2010-05-19,44.206,44.434,41.834,42.604,3378778,0
2010-05-20,41.545,41.634,40.062,40.349,2736144,0
2010-05-21,39.716,41.843,39.567,41.604,2337287,0
2010-05-24,41.477,41.506,40.28,40.359,1466102,0
2010-05-25,39.567,40.22,38.904,40.2,2683471,0
2010-05-26,40.686,41.328,39.933,40.032,1462904,0
2010-05-27,41.111,42,40.932,41.97,1561521,0
2010-05-28,42.02,42.02,40.922,41.308,1137891,0
2010-06-01,40.962,41.448,39.686,39.795,1323324,0
2010-06-02,40.28,42.12,39.637,42.12,3539801,0
2010-06-03,42.772,43.444,42.356,43.228,3848457,0
2010-06-04,41.654,41.843,39.617,39.706,2718804,0
2010-06-07,39.29,39.567,38.004,38.123,2214612,0
2010-06-08,38.311,39.073,37.946,38.954,2067252,0
2010-06-09,39.33,40.536,38.944,39.191,1569451,0
2010-06-10,40.21,40.755,39.933,40.705,1293418,0
2010-06-11,40.081,40.546,39.587,40.379,1667473,0
2010-06-14,41.218,41.536,40.21,40.339,1220509,0
2010-06-15,40.765,41.418,40.319,41.338,1468950,0
2010-06-16,41.012,41.804,40.922,41.348,1225285,0
2010-06-17,41.477,41.526,40.437,41.081,1116849,0
2010-06-18,41.14,41.248,40.803,41.169,1178853,0
2010-06-21,41.774,42.376,40.982,41.209,1144862,0
2010-06-22,41.218,41.744,40.072,40.19,766378,0
2010-06-23,40.329,40.359,39.033,39.973,1273921,0
2010-06-24,39.795,39.973,38.815,38.934,1108391,0
2010-06-25,39.142,39.439,38.538,39.073,1910660,0
2010-06-28,38.677,38.855,38.152,38.449,1056755,0
2010-06-29,37.886,38.044,36.145,36.511,1993369,0
2010-06-30,36.214,37.064,35.977,36.046,1457950,0
2010-07-01,35.591,35.699,34.532,35.463,2273393,0
2010-07-02,35.453,35.68,34.631,35.047,1483337,0
2010-07-06,35.749,36.422,35.215,35.68,1274750,0
2010-07-07,35.66,36.966,35.531,36.906,1286268,0
2010-07-08,37.104,37.371,36.422,36.966,1664826,0
2010-07-09,37.084,37.648,36.669,37.56,829974,0
2010-07-12,37.292,37.48,36.758,36.956,834383,0
2010-07-13,37.42,38.449,37.42,38.242,856138,0
2010-07-14,37.995,38.252,37.628,38.064,940883,0
2010-07-15,38.054,38.103,36.659,37.322,1411155,0
2010-07-16,36.906,36.946,35.749,35.799,1316031,0
2010-07-19,36.313,36.343,35.561,36.115,723509,0
2010-07-20,35.591,37.272,35.591,37.204,939738,0
2010-07-21,37.4,37.43,36.343,36.55,1128948,0
2010-07-22,37.262,38.4,37.262,38.172,888688,0
2010-07-23,38.172,38.934,37.886,38.875,761362,0
2010-07-26,39.36,39.567,38.658,39.538,1217742,0
2010-07-27,38.727,38.727,36.471,36.689,4036388,0
2010-07-28,36.728,36.788,35.225,35.739,3207929,0
2010-07-29,35.947,35.987,35.531,35.591,2249556,0
2010-07-30,35.235,36.343,34.928,36.175,2415989,0
2010-08-02,36.847,37.302,36.452,37.262,1669379,0
2010-08-03,37.044,37.312,36.56,36.828,1531796,0
2010-08-04,36.867,37.164,36.452,36.629,1332407,0
2010-08-05,36.392,36.778,35.957,36.135,1794055,0
2010-08-06,35.719,36.343,35.313,36.313,1408087,0
2010-08-09,36.521,36.58,35.947,36.432,1345033,0
2010-08-10,35.857,36.263,35.541,36.056,1367314,0
2010-08-11,35.353,35.353,34.711,34.77,1787975,0
2010-08-12,34.611,35.017,34.275,34.72,1250868,0
2010-08-13,34.621,35.116,34.582,34.779,813768,0
2010-08-16,34.592,35.116,34.374,34.691,968703,0
2010-08-17,35.096,35.996,34.909,35.275,1307106,0
2010-08-18,35.185,35.967,35.027,35.66,1160377,0
2010-08-19,35.453,35.611,35.087,35.393,1384287,0
2010-08-20,35.087,35.373,34.839,35.017,1497772,0
2010-08-23,35.323,35.65,34.711,34.72,634895,0
2010-08-24,34.414,34.889,34.018,34.711,1831755,0
2010-08-25,34.285,34.839,34.127,34.681,1248723,0
2010-08-26,34.889,35.225,34.325,34.483,1195768,0
2010-08-27,34.711,35.185,34.354,35.155,1094317,0
2010-08-30,35.037,35.403,34.424,34.443,1011068,0
2010-08-31,34.146,34.611,34.028,34.305,1254287,0
2010-09-01,34.859,35.67,34.859,35.611,1334465,0
2010-09-02,35.769,36.56,35.65,36.412,1025838,0
2010-09-03,36.738,37.084,36.233,36.718,752687,0
2010-09-07,36.422,37.184,36.422,36.916,1562173,0
2010-09-08,36.956,37.044,36.511,36.649,1019130,0
2010-09-09,37.084,37.134,36.273,36.56,607128,0
2010-09-10,36.669,37.054,36.402,36.442,791893,0
2010-09-13,36.778,36.995,36.323,36.649,1516929,0
2010-09-14,36.59,36.59,36.026,36.036,1163802,0
2010-09-15,35.957,36.263,35.65,35.877,1568241,0
2010-09-16,35.789,35.977,35.185,35.641,1122185,0
2010-09-17,35.907,35.987,35.343,35.719,1017498,0
2010-09-20,35.996,36.56,35.759,36.501,998622,0
2010-09-21,36.521,36.936,36.352,36.61,1072708,0
2010-09-22,36.6,37.094,36.352,36.659,1020653,0
2010-09-23,36.313,36.649,36.036,36.194,1118018,0
2010-09-24,36.679,37.184,36.679,37.005,853518,0
2010-09-27,37.005,37.786,36.689,37.312,1178360,0
2010-09-28,37.45,37.47,36.768,37.342,1074636,0
2010-09-29,37.262,38.449,37.114,38.222,1525685,0
2010-09-30,38.598,38.855,37.995,38.282,1406638,0
2010-10-01,38.618,39.201,38.548,38.588,1380168,0
2010-10-04,38.508,38.697,37.737,37.936,932699,0
2010-10-05,38.331,39.686,38.331,39.498,1553505,0
2010-10-06,39.429,39.963,39.32,39.894,1358480,0
2010-10-07,40.101,40.101,39.043,39.241,2165715,0
2010-10-08,39.379,39.963,39.201,39.795,675898,0
2010-10-11,39.844,39.963,39.29,39.419,691970,0
2010-10-12,39.3,39.518,38.628,39.439,654403,0
2010-10-13,39.676,40.379,39.538,40.081,1005480,0
2010-10-14,40.141,40.25,39.123,39.488,1042661,0
2010-10-15,39.725,39.725,38.766,38.954,1101691,0
2010-10-18,39.033,39.419,38.648,39.251,1132788,0
2010-10-19,38.658,38.944,38.004,38.212,1252983,0
2010-10-20,38.361,39.043,38.361,38.805,825941,0
2010-10-21,39.043,39.35,38.638,38.924,784104,0
2010-10-22,38.954,39.152,38.608,38.785,527903,0
2010-10-25,39.083,39.3,38.578,38.638,931367,0
2010-10-26,38.371,38.815,38.083,38.766,776075,0
2010-10-27,38.439,38.439,37.342,37.658,1326680,0
2010-10-28,37.866,38.508,37.776,38.321,1108240,0
2010-10-29,38.172,38.479,38.024,38.192,947535,0
2010-11-01,38.41,38.984,38.252,38.489,684252,0
2010-11-02,38.944,39.35,38.815,39.201,804401,0
2010-11-03,39.241,39.27,38.39,39.123,749849,0
2010-11-04,39.538,40.686,39.508,40.666,1238980,0
2010-11-05,40.586,42.1,40.467,42.02,1895261,0
2010-11-08,41.744,42.356,41.694,42.297,1249690,0
2010-11-09,42.366,42.752,41.804,42.15,1117670,0
2010-11-10,42.229,42.306,41.674,42.277,803251,0
2010-11-11,41.774,42.297,41.694,42.07,976193,0
2010-11-12,41.784,42.09,41.111,41.268,931397,0
2010-11-15,41.398,41.94,41.398,41.614,1075687,0
2010-11-16,40.803,41.189,39.27,39.518,2214423,0
2010-11-17,39.597,40.566,39.518,39.815,1479509,0
2010-11-18,40.359,41.684,40.25,40.428,1864582,0
2010-11-19,40.447,40.705,39.646,39.894,1446034,0
2010-11-22,39.735,39.735,38.558,39.191,2912812,0
2010-11-23,38.815,38.885,38.083,38.588,2732226,0
2010-11-24,39.161,39.439,38.924,39.201,996564,0
2010-11-26,38.707,38.904,38.479,38.489,515247,0
2010-11-29,37.926,38.677,36.986,38.459,1838807,0
2010-11-30,37.995,38.4,37.747,38.083,1171474,0
2010-12-01,38.776,39.073,38.707,38.914,1016870,0
2010-12-02,38.875,40.399,38.737,40.2,1583290,0
2010-12-03,39.983,40.882,39.745,40.833,1126998,0
2010-12-06,40.932,41.438,40.843,41.218,1236463,0
2010-12-07,41.664,41.734,40.922,41.228,1031189,0
2010-12-08,41.328,41.644,41.248,41.418,1029872,0
2010-12-09,41.674,41.852,41.418,41.774,927979,0
2010-12-10,41.93,42.595,41.694,42.396,741009,0
2010-12-13,42.585,42.872,42.436,42.476,1015512,0
2010-12-14,42.604,43.039,42.248,42.366,855291,0
2010-12-15,42.09,42.712,41.526,41.604,993639,0
2010-12-16,41.584,42.02,41.348,42.02,789904,0
2010-12-17,41.921,43.118,41.784,43.049,1237412,0
2010-12-20,43.158,43.544,43.039,43.277,1421251,0
2010-12-21,43.514,43.722,43.405,43.672,888167,0
2010-12-22,43.88,47.452,43.801,45.818,4156257,0
2010-12-23,45.788,45.878,44.632,45.325,1449492,0
2010-12-27,45.066,45.325,44.81,45.286,484119,0
2010-12-28,45.335,45.672,44.958,45.373,591305,0
2010-12-29,45.512,45.858,45.472,45.612,459870,0
2010-12-30,45.452,45.702,45.373,45.482,322081,0
2010-12-31,45.383,45.612,45.206,45.354,469536,0
2011-01-03,45.422,46.867,45.422,46.472,1121265,0
2011-01-04,46.49,46.53,45.472,45.542,1300697,0
2011-01-05,45.402,45.552,44.81,44.998,1290182,0
2011-01-06,44.998,45.492,44.91,45.176,1211635,0
2011-01-07,45.236,45.602,44.434,44.78,755978,0
2011-01-10,45.146,45.452,44.83,45.383,1787804,0
2011-01-11,45.672,46.65,45.383,46.59,1935484,0
2011-01-12,46.886,48.262,46.886,48.154,2293466,0
2011-01-13,48.024,48.47,47.668,48.222,1382755,0
2011-01-14,48.262,50.724,48.252,50.468,2354014,0
2011-01-18,50.162,50.647,49.746,50.607,1216329,0
2011-01-19,50.508,50.854,48.994,49.549,1514852,0
2011-01-20,49.626,49.656,48.342,48.787,1515827,0
2011-01-21,49.35,49.806,48.708,49.182,1012863,0
2011-01-24,49.221,50.428,49.114,49.776,1224449,0
2011-01-25,47.876,48.994,47.56,48.954,2711727,0
2011-01-26,50.518,52.545,50.518,52.436,4346126,0
2011-01-27,52.288,52.288,50.695,51.536,1155672,0
2011-01-28,51.566,51.932,49.37,49.41,1353898,0
2011-01-31,49.529,51.12,49.202,50.814,1366305,0
2011-02-01,51.566,52.1,51.417,51.962,1188298,0
2011-02-02,51.556,52.021,51.22,51.566,918925,0
2011-02-03,51.319,51.516,50.388,51.29,793033,0
2011-02-04,51.536,51.636,50.953,51.536,1184147,0
2011-02-07,51.576,52.605,51.576,52.367,791090,0
2011-02-08,52.308,52.427,51.606,52.229,1206599,0
2011-02-09,51.902,51.982,50.418,50.924,1296617,0
2011-02-10,50.518,51.398,50.468,51.29,871177,0
2011-02-11,50.894,51.636,50.824,51.576,635317,0
2011-02-14,51.606,51.833,51.26,51.299,1084034,0
2011-02-15,51.003,51.12,50.182,50.192,1062534,0
2011-02-16,50.468,51.26,50.428,51.15,939215,0
2011-02-18,51.388,51.437,50.538,50.993,594408,0
2011-02-22,50.232,50.438,48.43,48.558,1519791,0
2011-02-23,48.292,48.885,46.66,47.946,2312851,0
2011-02-24,47.827,48.964,47.432,48.302,1287858,0
2011-02-25,48.598,49.26,48.49,49.133,889274,0
2011-02-28,49.38,49.587,48.806,49.519,915944,0
2011-03-01,49.656,49.716,48.678,48.994,2012044,0
2011-03-02,48.994,50.092,48.787,49.31,1862795,0
2011-03-03,49.992,50.3,49.706,50.261,1716788,0
2011-03-04,50.182,50.29,48.748,49.064,2048826,0
2011-03-07,49.153,49.28,47.392,47.619,2376115,0
2011-03-08,48.064,48.588,47.462,48.114,761538,0
2011-03-09,47.896,48.46,47.481,48.034,864493,0
2011-03-10,47.252,47.442,46.54,46.6,1322583,0
2011-03-11,46.59,48.618,46.58,48.549,1470801,0
2011-03-14,47.926,48.856,47.472,48.272,1794093,0
2011-03-15,46.779,48.45,46.54,48.054,1362184,0
2011-03-16,47.818,48.173,46.374,46.976,1275588,0
2011-03-17,48.094,48.391,47.252,47.51,1265571,0
2011-03-18,48.816,48.816,47.966,48.134,1016123,0
2011-03-21,48.904,49.084,48.48,48.865,1254921,0
2011-03-22,48.816,48.836,47.332,47.6,1541578,0
2011-03-23,47.362,47.818,46.808,47.53,752473,0
2011-03-24,47.846,48.232,47.322,48.034,655103,0
2011-03-25,48.124,48.608,47.896,48.202,659677,0
