Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.585,25.966,25.492,25.831,3506248,0
2010-01-05,25.813,25.949,25.083,25.426,10054117,0
2010-01-06,25.348,25.367,24.473,24.739,12446893,0
2010-01-07,24.788,24.885,24.425,24.865,5603892,0
2010-01-08,24.865,24.947,24.541,24.947,4374819,0
2010-01-11,24.987,25.083,24.482,24.901,5099317,0
2010-01-12,24.73,24.778,24.482,24.581,6983651,0
2010-01-13,24.672,25.28,24.482,25.168,7230117,0
2010-01-14,25.215,25.348,24.818,25.035,4679711,0
2010-01-15,25.054,25.435,24.71,25.263,7612563,0
2010-01-19,25.186,25.565,25.112,25.537,4107556,0
2010-01-20,25.28,25.338,24.492,24.758,8435927,0
2010-01-21,25.177,25.501,24.663,24.827,9618998,0
2010-01-22,24.69,24.778,23.677,23.714,6528358,0
2010-01-25,23.941,24.304,23.778,24.113,5485861,0
2010-01-26,24.008,24.143,23.551,23.628,6851094,0
2010-01-27,23.58,23.98,23.466,23.778,6206835,0
2010-01-28,23.808,23.924,23.144,23.276,10904874,0
2010-01-29,24.672,24.901,23.314,23.6,18239938,0
2010-02-01,23.172,23.866,22.865,23.818,8624558,0
2010-02-02,23.876,23.96,23.61,23.924,8897113,0
2010-02-03,23.788,24.236,23.532,24.074,5887807,0
2010-02-04,23.818,24.008,23.457,23.657,9802958,0
2010-02-05,23.647,23.846,23.295,23.76,9635699,0
2010-02-08,23.724,24.037,23.58,23.677,4197634,0
2010-02-09,23.704,24.123,23.62,23.876,4471935,0
2010-02-10,23.876,24.074,23.6,23.778,3240640,0
2010-02-11,23.769,24.094,23.647,24.008,3973435,0
2010-02-12,23.769,23.808,23.401,23.532,8457343,0
2010-02-16,23.75,24.264,23.57,24.187,8533558,0
2010-02-17,24.245,24.455,24.133,24.351,6218059,0
2010-02-18,24.341,24.69,24.207,24.654,3420300,0
2010-02-19,24.521,26.117,24.473,26.08,15552090,0
2010-02-22,26.032,26.348,25.683,25.861,7922125,0
2010-02-23,25.841,25.958,25.338,25.565,6394411,0
2010-02-24,25.804,26.631,25.663,26.566,11179770,0
2010-02-25,26.224,26.622,25.92,26.612,10743986,0
2010-02-26,26.536,26.659,26.174,26.595,8184943,0
2010-03-01,26.631,27.23,26.526,27.116,5614937,0
2010-03-02,27.116,27.314,27.012,27.155,4279218,0
2010-03-03,27.202,27.562,27.096,27.333,5315135,0
2010-03-04,27.343,27.343,26.649,27.25,6132852,0
2010-03-05,27.221,27.677,27.184,27.657,5721100,0
2010-03-08,27.507,28.259,27.507,28.132,5974306,0
2010-03-09,28.029,28.427,27.6,28.408,9812003,0
2010-03-10,28.398,28.97,28.229,28.883,8262093,0
2010-03-11,28.771,29.368,28.588,28.951,8084459,0
2010-03-12,29.035,29.139,28.37,28.457,5299534,0
2010-03-15,28.388,28.961,28.112,28.579,7066630,0
2010-03-16,28.543,28.892,28.379,28.892,4712240,0
2010-03-17,28.883,29.264,28.763,29.168,5251860,0
2010-03-18,29.208,29.341,28.56,28.753,5098807,0
2010-03-19,28.961,28.961,28.295,28.408,6095390,0
2010-03-22,27.943,28.826,27.819,28.645,4609228,0
2010-03-23,28.714,29.396,28.588,29.35,4908923,0
2010-03-24,29.139,29.512,28.817,28.951,7531280,0
2010-03-25,29.237,29.691,29.084,29.208,7823985,0
2010-03-26,29.255,29.597,28.854,28.98,4861788,0
2010-03-29,29.12,29.341,28.883,29.13,3388670,0
2010-03-30,29.386,29.767,29.158,29.341,4495332,0
2010-03-31,29.168,29.406,29.018,29.158,3872458,0
2010-04-01,29.282,29.54,28.714,28.941,4031908,0
2010-04-05,29.255,29.396,28.922,29.331,8077456,0
2010-04-06,29.094,30.197,28.922,30.072,8578376,0
2010-04-07,29.956,30.289,29.767,29.93,6658179,0
2010-04-08,29.844,29.93,29.149,29.719,7261147,0
2010-04-09,29.749,30.168,29.7,30.082,3766340,0
2010-04-12,30.072,30.26,29.795,30.032,6075777,0
2010-04-13,29.893,29.985,29.425,29.7,4478778,0
2010-04-14,29.7,30.329,29.691,30.232,4917227,0
2010-04-15,30.27,30.566,30.102,30.397,4193679,0
2010-04-16,30.289,30.319,29.474,29.664,6115493,0
