Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,43.533,43.744,42.928,43.138,3366463,0
2010-01-05,43.113,43.261,42.913,43.238,1802652,0
2010-01-06,43.13,43.394,42.953,43.246,1829909,0
2010-01-07,43.1,43.703,43.034,43.671,2183493,0
2010-01-08,43.525,43.587,43.278,43.587,1644197,0
2010-01-11,43.694,43.867,43.301,43.614,1155563,0
2010-01-12,43.401,43.808,43.394,43.595,1792516,0
2010-01-13,43.656,44.085,43.656,43.867,1720870,0
2010-01-14,44.045,44.185,43.77,43.972,2006335,0
2010-01-15,44.503,44.878,44.178,44.373,4628531,0
2010-01-19,44.322,44.583,44.322,44.503,1760044,0
2010-01-20,44.16,44.444,43.686,43.989,2289564,0
2010-01-21,44.07,44.471,43.41,43.64,2940403,0
2010-01-22,43.508,44.592,43.474,44.373,5917387,0
2010-01-25,44.453,44.559,44.192,44.233,2865377,0
2010-01-26,44.145,44.797,43.947,44.789,3558791,0
2010-01-27,44.715,45.14,44.666,44.952,4267299,0
2010-01-28,44.935,45.279,44.209,44.757,2982906,0
2010-01-29,44.887,44.896,44.314,44.437,4083250,0
2010-02-01,44.741,44.811,44.373,44.682,4149477,0
2010-02-02,44.567,45.231,44.453,45.204,4005705,0
2010-02-03,45.157,45.246,44.863,45.064,3474307,0
2010-02-04,43.947,44.444,42.799,42.799,7962804,0
2010-02-05,42.617,43.293,42.511,43.049,5465502,0
2010-02-08,43.13,43.13,42.452,42.47,2574742,0
2010-02-09,42.7,43.18,42.574,42.86,2685073,0
2010-02-10,42.913,42.968,42.642,42.729,2451520,0
2010-02-11,42.799,42.999,42.406,42.968,2349900,0
2010-02-12,42.782,43.107,42.625,42.738,3893047,0
2010-02-16,42.738,43.016,42.388,42.953,3124070,0
2010-02-17,42.999,43.261,42.83,43.261,2822252,0
2010-02-18,43.31,43.377,43.1,43.287,1785236,0
2010-02-19,43.223,43.604,43.121,43.44,2431076,0
2010-02-22,43.401,43.539,43.067,43.165,3155922,0
2010-02-23,43.189,43.327,42.764,43.058,2871351,0
2010-02-24,43.113,43.539,42.582,42.79,2852426,0
2010-02-25,42.494,42.773,42.217,42.714,2504319,0
2010-02-26,42.729,42.782,42.313,42.582,2584772,0
2010-03-01,42.714,42.837,42.502,42.591,3032265,0
2010-03-02,42.722,43.092,42.722,42.961,2818598,0
2010-03-03,42.953,43.107,42.851,42.928,2509919,0
2010-03-04,42.894,43.278,42.634,42.99,3382226,0
2010-03-05,43.083,43.229,42.799,43.223,2019909,0
2010-03-08,43.113,43.113,42.876,42.968,1858945,0
2010-03-09,42.821,43.042,42.722,42.813,1724592,0
2010-03-10,42.844,43.076,42.714,42.876,2570848,0
2010-03-11,43.107,43.254,42.729,43.025,2858111,0
2010-03-12,42.961,43.318,42.821,42.86,2661452,0
2010-03-15,42.821,43.113,42.782,42.876,1696754,0
2010-03-16,43.058,43.206,42.876,43.138,2342159,0
2010-03-17,43.254,43.377,42.968,43.246,2408807,0
2010-03-18,43.261,43.344,43.034,43.148,2417938,0
2010-03-19,43.394,43.656,43.025,43.631,4020474,0
2010-03-22,43.677,44.356,43.491,44.224,4447389,0
2010-03-23,44.382,44.75,44.192,44.715,3434438,0
2010-03-24,44.544,44.707,44.373,44.592,2604214,0
2010-03-25,44.707,44.75,44.053,44.291,3050238,0
2010-03-26,44.349,44.382,43.711,43.901,2376410,0
2010-03-29,43.508,44.062,43.36,43.98,2916116,0
2010-03-30,44.007,44.26,43.875,43.892,2372936,0
2010-03-31,43.744,43.867,43.555,43.631,2379765,0
2010-04-01,43.711,44.007,43.631,43.779,2367619,0
2010-04-05,43.892,43.939,43.301,43.394,2400728,0
2010-04-06,43.278,43.401,43.156,43.31,2233748,0
2010-04-07,43.327,43.327,42.904,42.99,2847363,0
2010-04-08,42.86,42.937,42.659,42.714,2827284,0
2010-04-09,42.722,43.254,42.486,43.121,3712555,0
2010-04-12,43.327,43.416,43.197,43.344,1938374,0
2010-04-13,43.254,43.5,43.223,43.377,2664544,0
2010-04-14,43.377,43.703,43.229,43.703,3332764,0
2010-04-15,43.516,43.85,43.206,43.719,2400938,0
