Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,35.09,35.51,34.45,34.94,400503,0
2010-01-05,34.71,36.02,34.71,35.91,641080,0
2010-01-06,35.69,35.72,34.96,35,800919,0
2010-01-07,34.9,35.12,34.39,34.7,403749,0
2010-01-08,34.51,35.25,34.31,35.15,501581,0
2010-01-11,35.27,35.45,35.04,35.31,322405,0
2010-01-12,35.24,35.34,34.44,34.81,441075,0
2010-01-13,34.87,35.44,34.87,35.35,274423,0
2010-01-14,35.13,35.5,35.09,35.44,178635,0
2010-01-15,35.27,35.38,34.76,34.96,234519,0
2010-01-19,35.05,35.2,34.62,34.95,286043,0
2010-01-20,34.61,34.86,34.28,34.76,242219,0
2010-01-21,34.95,35.15,34.07,34.4,227214,0
2010-01-22,34.42,35,33.83,34,381104,0
2010-01-25,34.34,34.99,34.18,34.84,613434,0
2010-01-26,34.94,35.29,34.5,35.02,395279,0
2010-01-27,34.85,36.04,34.84,35.98,900210,0
2010-01-28,32.18,34.73,32.18,33.55,3977031,0
2010-01-29,33.45,33.6,32.42,32.44,1721564,0
2010-02-01,32.47,32.88,32.4,32.56,953527,0
2010-02-02,32.71,32.82,32.51,32.74,543676,0
2010-02-03,32.64,32.81,32.5,32.54,408911,0
2010-02-04,32.37,32.73,31.75,31.81,840276,0
2010-02-05,31.84,32.09,30.83,31.55,532522,0
2010-02-08,31.54,31.8,31,31.35,360970,0
2010-02-09,31.75,32.24,31.53,32.13,533044,0
2010-02-10,31.97,32.12,31.3,31.69,303143,0
2010-02-11,31.69,32.61,31.69,32.2,330722,0
2010-02-12,31.9,32.26,31.76,32.26,350003,0
2010-02-16,32.7,32.89,32.26,32.88,279835,0
2010-02-17,33,33.24,32.94,33.05,251167,0
2010-02-18,33.08,33.08,32.19,32.4,512395,0
2010-02-19,32.33,32.63,32.09,32.6,393278,0
2010-02-22,32.62,32.92,32.54,32.76,222809,0
2010-02-23,32.73,32.86,32.17,32.27,279884,0
2010-02-24,32.3,32.46,31.99,32.34,432136,0
2010-02-25,31.8,32.45,31.8,32.36,370367,0
2010-02-26,32.3,33.09,32.08,33.01,401267,0
2010-03-01,33.02,33.53,32.99,33.5,399108,0
2010-03-02,33.76,34.04,33.56,34.01,311502,0
2010-03-03,34.01,34.54,33.98,34.41,284502,0
2010-03-04,34.38,34.77,34.1,34.54,415460,0
2010-03-05,34.75,35.09,34.65,35.09,221805,0
2010-03-08,34.98,35.58,34.93,35.48,227096,0
2010-03-09,35.39,35.7,35.24,35.64,276496,0
2010-03-10,35.78,36.37,35.53,36.04,263661,0
2010-03-11,36.5,37.05,35.78,35.97,208175,0
2010-03-12,36.01,36.18,35.62,36.18,266723,0
2010-03-15,36.19,36.82,36.13,36.35,358756,0
2010-03-16,36.37,36.45,35.88,36.17,260989,0
2010-03-17,36.19,36.71,36.19,36.49,216969,0
2010-03-18,36.6,36.77,36.1,36.51,257269,0
2010-03-19,36.68,36.73,35.97,36.33,351483,0
2010-03-22,36.08,36.78,35.9,36.75,312347,0
2010-03-23,36.88,37.47,36.72,37.44,386488,0
2010-03-24,37.43,38.3,37.38,37.7,553353,0
2010-03-25,38.01,38.56,37.73,37.94,632760,0
2010-03-26,37.99,38.25,37.62,37.97,324742,0
