Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7,7.36,6.8,6.8,25277,0
2010-01-05,6.92,6.92,6.16,6.36,68982,0
2010-01-06,6.2,6.64,5.92,6.44,55737,0
2010-01-07,6.48,6.48,6.08,6.16,27033,0
2010-01-08,6.24,6.28,6,6.28,17311,0
2010-01-11,6.24,6.32,6,6.12,43087,0
2010-01-12,6,6,5.76,5.92,26985,0
2010-01-13,6.04,6.04,5.56,5.68,34835,0
2010-01-14,5.72,5.76,5.52,5.64,15402,0
2010-01-15,5.56,5.56,5.2,5.48,43362,0
2010-01-19,5.36,5.4,5.32,5.36,21552,0
2010-01-20,5.4,5.4,5.24,5.28,38231,0
2010-01-21,5.44,6.4,5.36,6.4,213342,0
2010-01-22,6.4,6.48,5.76,5.88,80442,0
2010-01-25,6.56,7.84,6.52,6.92,392566,0
2010-01-26,7.04,7.04,6.4,6.44,108867,0
2010-01-27,6.4,6.56,6.16,6.52,42974,0
2010-01-28,6.8,6.8,6.28,6.36,25882,0
2010-01-29,6.36,6.56,6.2,6.4,29246,0
2010-02-01,6.44,6.44,6.16,6.32,12694,0
2010-02-02,6.2,6.44,6.04,6.44,32837,0
2010-02-03,6.32,6.6,6.32,6.36,12431,0
2010-02-04,6.36,6.56,6.16,6.32,14112,0
2010-02-05,6.24,6.56,6.16,6.56,23895,0
2010-02-08,6.6,6.8,6.36,6.36,14172,0
2010-02-09,6.56,6.56,6.24,6.36,8599,0
2010-02-10,6.36,6.4,6.28,6.36,2473,0
2010-02-11,6.2,6.52,6.2,6.52,1889,0
2010-02-12,6.32,6.4,6.24,6.32,5339,0
2010-02-16,6.2,6.48,6.2,6.4,5850,0
2010-02-17,6.48,6.6,6.28,6.6,10864,0
2010-02-18,6.48,6.72,6.48,6.68,35019,0
2010-02-19,6.8,6.8,6.64,6.68,13738,0
2010-02-22,6.64,6.68,6.44,6.6,10965,0
2010-02-23,6.6,6.6,6.44,6.48,19500,0
2010-02-24,6.4,6.6,6.4,6.56,9025,0
2010-02-25,6.36,6.52,6.36,6.48,12786,0
2010-02-26,6.48,6.64,6.44,6.52,6899,0
2010-03-01,6.4,6.68,6.4,6.6,7859,0
2010-03-02,6.6,6.76,6.52,6.6,14727,0
2010-03-03,6.56,6.76,6.56,6.64,3624,0
2010-03-04,6.8,6.8,6.56,6.56,8334,0
2010-03-05,6.68,7.6,6.64,7.16,124867,0
2010-03-08,7.16,7.4,6.92,7.16,41272,0
2010-03-09,7,7.16,6.8,6.84,16041,0
2010-03-10,6.64,7.08,6.64,7.08,27507,0
2010-03-11,7.28,7.28,6.76,7.04,14350,0
2010-03-12,6.92,7,6.8,6.84,12386,0
2010-03-15,6.88,6.88,6.64,6.8,13091,0
2010-03-16,6.72,7.28,6.72,6.92,24246,0
2010-03-17,7,7,6.8,6.8,13950,0
2010-03-18,6.88,6.88,6.72,6.76,8036,0
2010-03-19,6.84,6.84,6.36,6.4,23357,0
2010-03-22,6.2,6.44,6.08,6.44,29232,0
2010-03-23,6.56,6.84,6.44,6.84,14401,0
2010-03-24,6.8,6.96,6.56,6.6,20078,0
2010-03-25,6.76,6.92,6.68,6.92,13144,0
2010-03-26,6.96,6.96,6.8,6.92,7443,0
2010-03-29,7,7.12,6.44,6.6,25664,0
2010-03-30,6.64,6.64,6.24,6.36,28202,0
2010-03-31,6.52,6.56,6.28,6.4,17919,0
2010-04-01,6.2,9.56,6.12,8.2,428642,0
2010-04-05,8.4,9.2,8.2,9.2,315587,0
2010-04-06,9.44,10.88,9.12,10.2,423120,0
2010-04-07,10.12,10.2,9.32,9.84,145495,0
2010-04-08,9.44,9.72,9.4,9.6,37529,0
2010-04-09,9.76,9.96,9.32,9.8,117547,0
2010-04-12,9.8,9.84,9.56,9.6,44249,0
2010-04-13,9.6,9.76,9.28,9.6,62145,0
2010-04-14,9.76,9.76,9.44,9.48,11035,0
2010-04-15,9.6,9.68,9.32,9.68,111223,0
2010-04-16,9.68,10.84,9.6,10.36,151152,0
2010-04-19,10.64,10.64,9.96,10.04,62874,0
2010-04-20,10.12,10.48,9.72,10,35895,0
2010-04-21,10.08,10.12,9.8,9.8,24831,0
2010-04-22,9.84,9.84,9.4,9.68,27499,0
2010-04-23,9.72,9.72,9.4,9.48,26966,0
2010-04-26,9.64,9.64,9.36,9.56,10655,0
2010-04-27,9.4,9.48,9.04,9.08,30566,0
2010-04-28,9.2,9.24,8.56,9.12,37473,0
2010-04-29,9.04,9.04,8.84,8.92,6586,0
2010-04-30,8.96,9.08,8.72,8.84,10899,0
2010-05-03,8.6,8.64,8.4,8.56,30835,0
2010-05-04,8.52,8.52,8.04,8.08,20819,0
2010-05-05,7.88,8.16,7.76,8,23006,0
2010-05-06,8.12,8.12,6.6,7.4,15600,0
2010-05-07,7.44,7.72,7.4,7.64,20033,0
2010-05-10,7.56,8.4,7.56,8.16,7586,0
2010-05-11,7.84,8.44,7.84,8.32,13320,0
2010-05-12,8.56,8.56,8.16,8.24,5367,0
2010-05-13,8.04,8.36,8,8.04,5500,0
2010-05-14,8.12,8.84,8.04,8.12,44561,0
2010-05-17,8.12,8.2,7.52,7.68,17883,0
2010-05-18,7.8,8.08,7.8,7.84,8317,0
2010-05-19,7.6,7.84,7.52,7.56,7851,0
