Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.9596,5.1598,4.9263,5.043,48669,0
2010-01-05,5.0348,5.0348,4.8093,4.8093,53458,0
2010-01-06,4.8179,4.8596,4.6842,4.7008,80582,0
2010-01-07,4.7008,4.8929,4.6926,4.8008,76357,0
2010-01-08,4.7843,4.9263,4.7592,4.8511,42162,0
2010-01-11,4.8845,4.9094,4.7008,4.8845,55161,0
2010-01-12,4.8511,4.9013,4.7592,4.8511,40495,0
2010-01-13,4.8845,4.8845,4.7343,4.8344,48068,0
2010-01-14,4.8511,5.043,4.8428,4.9764,40558,0
2010-01-15,4.9931,5.0682,4.9013,4.9764,71174,0
2010-01-19,4.968,5.2018,4.968,5.1519,54702,0
2010-01-20,5.1187,5.2101,4.9263,5.0599,101188,0
2010-01-21,5.3272,5.4858,5.1268,5.2768,121661,0
2010-01-22,5.2768,5.5272,5.2603,5.5192,129722,0
2010-01-25,5.569,5.6693,5.4524,5.569,118532,0
2010-01-26,5.569,5.9867,5.569,5.7111,161663,0
2010-01-27,5.6943,5.945,5.6693,5.8866,123941,0
2010-01-28,5.9199,5.9199,5.494,5.6863,119334,0
2010-01-29,5.7197,5.7197,5.4437,5.4688,109695,0
2010-02-01,5.5192,5.5359,5.4275,5.4608,71918,0
2010-02-02,5.4524,5.561,5.3771,5.3771,109660,0
2010-02-03,5.3688,5.561,5.1768,5.1852,50108,0
2010-02-04,5.1519,5.3856,5.1519,5.2938,117131,0
2010-02-05,5.3272,5.5859,5.1349,5.4356,242480,0
2010-02-08,5.4189,5.5192,5.2768,5.3856,91880,0
2010-02-09,5.4775,5.5192,5.2436,5.4608,62529,0
2010-02-10,5.4437,5.4437,5.2436,5.3352,33915,0
2010-02-11,5.3021,5.561,5.2853,5.5524,73851,0
2010-02-12,5.4858,5.569,5.4356,5.5443,61493,0
2010-02-16,5.6109,5.6693,5.4356,5.6613,42111,0
2010-02-17,5.7111,5.9613,5.6778,5.945,118748,0
2010-02-18,5.8866,6.0032,5.8115,6.0032,80855,0
2010-02-19,5.9867,6.1535,5.945,5.9702,69497,0
2010-02-22,6.0116,6.0704,5.8115,6.0366,52680,0
2010-02-23,6.0366,6.1453,5.9365,6.0535,56842,0
2010-02-24,6.0615,6.2457,5.9613,6.137,52254,0
2010-02-25,6.0285,6.1285,6.02,6.0784,25013,0
2010-02-26,6.1034,6.1204,6.0454,6.0615,43037,0
2010-03-01,6.1034,6.1622,6.0032,6.1119,71244,0
2010-03-02,6.1034,6.3541,6.1034,6.3373,74627,0
2010-03-03,6.329,6.3791,6.2704,6.3541,64266,0
2010-03-04,6.3541,6.3958,6.2874,6.3958,21757,0
2010-03-05,6.3624,6.7047,6.2622,6.6796,80816,0
2010-03-08,6.6546,6.763,6.4124,6.7466,42582,0
2010-03-09,6.688,6.9885,6.6046,6.9301,93812,0
2010-03-10,6.9301,6.9972,6.688,6.8301,36860,0
2010-03-11,6.763,6.9972,6.6046,6.9885,53099,0
2010-03-12,6.9972,7.0387,6.7968,6.9385,24006,0
2010-03-15,6.9301,7.0803,6.9301,7.0553,20235,0
2010-03-16,7.0724,7.0724,6.8301,7.0053,42954,0
2010-03-17,7.0387,7.2474,6.9802,7.022,41348,0
2010-03-18,7.022,7.1476,6.763,7.0972,15621,0
2010-03-19,7.1305,7.2559,6.738,7.2559,171764,0
2010-03-22,7.1476,7.4396,7.0304,7.3725,53171,0
2010-03-23,7.3142,7.4645,7.0553,7.4061,47080,0
2010-03-24,7.3142,7.3561,7.1056,7.1389,144246,0
2010-03-25,7.1807,7.4563,6.78,7.0972,41881,0
2010-03-26,7.1056,7.2474,6.9301,7.0638,74172,0
2010-03-29,7.0724,7.1225,6.78,7.022,37839,0
2010-03-30,7.0137,7.0638,6.9051,7.022,35581,0
2010-03-31,6.9632,7.2559,6.9632,7.0387,53866,0
2010-04-01,7.1056,7.2309,6.9136,7.022,30312,0
2010-04-05,7.0137,7.2059,7.0137,7.1553,47765,0
2010-04-06,7.0972,7.2976,7.022,7.281,32484,0
2010-04-07,7.2559,7.4061,7.1553,7.398,54418,0
2010-04-08,7.3397,7.4814,7.3142,7.4145,29602,0
2010-04-09,7.3725,7.3811,7.1725,7.2225,52743,0
2010-04-12,7.0803,7.3061,7.0803,7.1973,79692,0
2010-04-13,7.264,7.2724,6.9972,7.2059,33461,0
2010-04-14,7.264,7.4312,7.0803,7.4312,70355,0
2010-04-15,7.398,7.4645,7.3397,7.4645,35746,0
2010-04-16,7.4728,7.4814,7.2559,7.3725,85709,0
2010-04-19,7.3225,7.7566,7.3225,7.6566,83742,0
2010-04-20,7.6734,7.8571,7.4894,7.8571,63265,0
2010-04-21,7.8571,8.3079,7.8487,8.2662,130733,0
2010-04-22,8.1408,8.3414,8.1073,8.3414,56758,0
2010-04-23,8.322,8.322,8.0952,8.2718,44559,0
2010-04-26,8.2745,8.4248,8.1408,8.3663,50695,0
2010-04-27,8.2996,8.4498,8.1408,8.2996,68841,0
2010-04-28,8.2996,8.6001,8.1326,8.4832,70319,0
2010-04-29,8.5414,8.8848,8.3495,8.8673,120159,0
2010-04-30,8.8755,8.909,8.3161,8.3495,78853,0
2010-05-03,8.4414,8.5584,8.1827,8.5168,74580,0
2010-05-04,8.4082,8.4164,8.0406,8.1659,110649,0
2010-05-05,8.1242,8.3999,8.0491,8.0909,62719,0
2010-05-06,8.0823,8.3161,7.4728,7.9322,142557,0
2010-05-07,7.832,7.9322,7.4396,7.498,90694,0
2010-05-10,7.9571,8.333,7.7903,8.3246,138899,0
2010-05-11,8.1909,8.6665,8.1909,8.6001,66000,0
2010-05-12,8.5835,8.975,8.5835,8.9512,105350,0
2010-05-13,8.9342,9.0262,8.6921,8.8588,72644,0
2010-05-14,8.8007,8.8007,8.4331,8.6921,50223,0
2010-05-17,8.7748,8.8421,8.5414,8.7421,59740,0
2010-05-18,8.9173,8.9173,8.6253,8.6746,105752,0
2010-05-19,8.6333,8.7833,8.4666,8.5083,52294,0
2010-05-20,8.2662,8.5664,7.7401,7.7818,109999,0
2010-05-21,7.6232,7.7653,7.4145,7.6483,172216,0
2010-05-24,7.6232,7.6232,7.2225,7.3397,136013,0
2010-05-25,7.1476,7.4476,7.0638,7.3225,80394,0
2010-05-26,7.3725,7.5397,7.3225,7.4312,142737,0
2010-05-27,7.6067,7.9154,7.4814,7.8987,124178,0
2010-05-28,7.9154,8.0491,7.7566,7.907,118496,0
2010-06-01,7.907,8.1408,7.7986,7.8737,110730,0
2010-06-02,7.8903,8.0991,7.832,8.0741,96855,0
2010-06-03,8.0406,8.3079,8.0406,8.1827,123744,0
2010-06-04,7.9571,7.9738,7.6149,7.6397,101267,0
2010-06-07,7.7148,7.7148,7.4645,7.5228,64116,0
2010-06-08,7.5479,7.5814,7.264,7.4228,66543,0
2010-06-09,7.5228,7.5981,7.1807,7.214,96704,0
2010-06-10,7.3397,7.5981,7.264,7.5897,88755,0
2010-06-11,7.4396,7.6566,7.281,7.4645,81027,0
2010-06-14,7.5397,7.6566,7.4061,7.4645,73947,0
2010-06-15,7.4894,7.5981,7.3725,7.5897,55410,0
2010-06-16,7.498,7.5897,7.4145,7.4645,53371,0
2010-06-17,7.4728,7.5981,7.4145,7.5814,25118,0
2010-06-18,7.6317,7.7653,7.4312,7.4476,118660,0
2010-06-21,7.5647,7.6317,7.1553,7.2059,129905,0
2010-06-22,7.214,7.3307,7.1056,7.1225,57749,0
2010-06-23,7.0972,7.2976,6.9885,7.2059,69859,0
2010-06-24,7.1305,7.2474,6.9972,7.089,66668,0
2010-06-25,7.1139,7.3142,6.9218,7.0053,293420,0
2010-06-28,7.0553,7.2724,6.9802,7.1807,49636,0
