Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,75.47,76.5,74.83,76.37,883382,0
2010-01-05,76.06,76.37,75.35,75.44,864545,0
2010-01-06,75.34,75.8,73.81,74.19,1980919,0
2010-01-07,73.81,74.25,73.38,74.17,1554823,0
2010-01-08,74.15,74.42,73.82,74.06,761048,0
2010-01-11,74.6,75.23,74.37,74.89,843018,0
2010-01-12,74.76,75.22,73.72,73.81,1118744,0
2010-01-13,74.08,75.57,74.08,75.36,1033294,0
2010-01-14,75.47,77,75.15,76.92,1339143,0
2010-01-15,76.91,76.97,75.43,75.75,779428,0
2010-01-19,75.92,77,75.92,76.57,882946,0
2010-01-20,76.38,77.09,75.5,75.78,1671994,0
2010-01-21,76.06,76.09,74.1,74.6,841267,0
2010-01-22,74.62,74.63,72.06,72.27,2211439,0
2010-01-25,72.34,73.13,70.2,73.05,2448269,0
2010-01-26,72.49,73.74,72.49,73.18,1190115,0
2010-01-27,72.93,73.37,71.85,72.19,1478803,0
2010-01-28,72.47,72.74,70.9,71.04,1146373,0
2010-01-29,71.16,71.87,70.32,71.1,1584527,0
2010-02-01,71.72,71.83,70.87,71.6,1040590,0
2010-02-02,71.66,72.69,71.4,72.6,1273406,0
2010-02-03,72.34,72.37,71.58,71.8,539483,0
2010-02-04,71.21,71.8,70.46,70.54,1381075,0
2010-02-05,70.44,70.71,69.61,70.64,1014957,0
2010-02-08,70.59,70.83,69.98,70.14,631904,0
2010-02-09,70.52,70.97,70,70.15,1415884,0
2010-02-10,69.92,71.17,69.63,70.97,1730011,0
2010-02-11,69.8,71.64,69.49,71.56,1582274,0
2010-02-12,71.34,71.84,70.58,71.76,1080370,0
2010-02-16,72.37,72.44,71.53,72.43,848272,0
2010-02-17,72.49,73.5,72.49,73.15,1021684,0
2010-02-18,73.18,73.32,72.78,73.12,1149332,0
2010-02-19,73,74.1,72.79,73.98,938287,0
2010-02-22,74.17,74.47,73.67,73.97,589091,0
2010-02-23,73.69,74.16,73.17,73.4,1122841,0
2010-02-24,73.7,73.81,73.24,73.5,699249,0
2010-02-25,73.24,73.25,72.47,73.13,1135820,0
2010-02-26,73.14,73.86,73.08,73.31,711827,0
2010-03-01,73.37,74.23,73.25,74.19,834446,0
2010-03-02,74.37,75.08,74.33,74.65,656661,0
2010-03-03,74.46,74.51,72.87,73.28,2038880,0
2010-03-04,73.42,73.69,72.19,72.59,962768,0
2010-03-05,72.79,72.93,72.07,72.45,1461019,0
2010-03-08,72.24,72.35,71.86,72.04,1066626,0
2010-03-09,71.93,72.13,71.65,71.89,582437,0
2010-03-10,71.87,72.63,71.62,72.32,749751,0
2010-03-11,72.26,73.8,72.09,73.78,1119665,0
2010-03-12,73.69,74.27,73.5,73.7,676622,0
2010-03-15,73.7,74.67,73.54,74.67,1130943,0
2010-03-16,74.63,75.1,74.19,75,702021,0
2010-03-17,75.11,76,75,75.71,1024048,0
2010-03-18,76.01,76.25,75.47,76.17,675146,0
2010-03-19,75.64,76.15,75.17,75.51,1177942,0
2010-03-22,75.43,76.43,75.32,76.26,1115695,0
2010-03-23,75.06,75.4,74.05,74.33,1458540,0
2010-03-24,74.26,74.67,73.77,73.98,1160760,0
2010-03-25,73.99,75.06,73.82,74.9,1070781,0
2010-03-26,75.99,75.99,74.78,75.58,1062376,0
2010-03-29,75.78,75.88,75.47,75.81,588096,0
2010-03-30,75.75,75.96,75.65,75.95,542586,0
2010-03-31,75.69,76.03,75.19,75.71,860761,0
2010-04-01,76.04,77.22,76.04,77.17,955439,0
2010-04-05,77.46,77.5,76.82,76.89,716745,0
2010-04-06,77.12,77.47,76.92,77.15,1293161,0
2010-04-07,77.25,77.48,76.13,76.46,1052499,0
2010-04-08,76.49,76.56,75.92,76.13,914094,0
2010-04-09,76.03,76.25,75.72,76.16,767782,0
2010-04-12,76.09,76.67,75.95,76.67,578949,0
2010-04-13,76.45,76.58,75.84,76.44,710124,0
2010-04-14,76.47,76.47,75.69,76.26,616710,0
2010-04-15,75.86,77.94,75.86,77.75,1448265,0
2010-04-16,77.16,77.96,76.77,76.98,1027251,0
2010-04-19,75.14,80.82,75.14,79.33,4002576,0
2010-04-20,79.71,80.24,78.84,80.24,1186789,0
2010-04-21,79.42,83,78.93,81,3221589,0
2010-04-22,80.32,81.04,79.44,80.69,1173790,0
2010-04-23,80.44,80.6,79.3,79.99,1214744,0
2010-04-26,80.11,80.11,78.83,78.91,1110692,0
2010-04-27,78.23,78.96,77.28,77.42,1487252,0
2010-04-28,77.47,78.27,76.9,78.13,1810327,0
2010-04-29,78.69,78.99,78.32,78.83,938526,0
2010-04-30,78.96,79.17,78.53,78.57,1589690,0
2010-05-03,78.58,79.06,78.23,78.56,1147631,0
2010-05-04,77.9,78.23,77.39,77.83,1612190,0
2010-05-05,77.71,78.56,77.56,77.67,1012626,0
2010-05-06,77.56,78.25,73.12,76.26,1771499,0
2010-05-07,76.06,76.66,74.98,75.23,1558944,0
2010-05-10,77.73,77.73,76.2,76.86,1283258,0
2010-05-11,76.38,77.33,75.89,76.94,1250730,0
2010-05-12,77.15,77.39,76.68,77.19,1366198,0
2010-05-13,77.03,77.87,76.69,77.8,1774613,0
2010-05-14,77.25,77.63,76.62,77.47,1499570,0
2010-05-17,77.34,77.92,76.75,77.52,990397,0
2010-05-18,77.77,78.42,76.64,76.93,1361477,0
2010-05-19,76.81,77.84,76.58,77.71,1848930,0
2010-05-20,76.51,76.82,75.74,75.98,2736878,0
2010-05-21,75.14,76.17,75.01,76,2173999,0
2010-05-24,75.75,76.11,75.19,75.4,1299886,0
2010-05-25,74.35,75.54,73.9,75.46,1279972,0
2010-05-26,75.53,76.04,74.93,74.99,942765,0
2010-05-27,75.94,76.46,75.77,76.41,1173767,0
2010-05-28,76.19,76.29,75.48,75.61,854852,0
2010-06-01,75.06,75.95,74.8,75,660980,0
2010-06-02,75.35,76.64,74.96,76.58,930972,0
2010-06-03,76.83,77.64,76.58,76.87,1057557,0
2010-06-04,75.9,76.51,74.8,75.05,844383,0
2010-06-07,75.34,76.12,74.93,75,891229,0
2010-06-08,75.1,75.55,74.72,75.46,988691,0
2010-06-09,75.65,76.41,75.43,75.57,1069318,0
2010-06-10,76.45,77.58,76.45,77.47,815183,0
2010-06-11,77.24,78.36,76.94,78.24,1160112,0
2010-06-14,78.32,79.31,78.32,78.81,999052,0
2010-06-15,79.24,79.79,78.89,79.6,1071323,0
2010-06-16,79.01,80.53,79.01,80.39,1040306,0
2010-06-17,80.5,80.59,79.98,80.4,711752,0
2010-06-18,80.52,80.52,79.84,80.25,1373815,0
2010-06-21,80.5,80.94,80,80.22,1014138,0
2010-06-22,80.43,80.85,78.86,78.95,740446,0
2010-06-23,78.72,79.32,78.05,78.41,944628,0
2010-06-24,78.03,78.51,76.97,77.05,722041,0
2010-06-25,76.28,77.87,76.28,77.19,1181490,0
2010-06-28,77.55,78.35,77.25,78,614568,0
2010-06-29,77.07,77.4,76.17,76.52,1628720,0
2010-06-30,76.04,76.76,75.28,75.35,1156285,0
2010-07-01,75.31,75.62,73.6,75.42,1309126,0
2010-07-02,75.78,75.78,74.13,74.5,1213681,0
2010-07-06,75.42,75.42,73.67,74.2,1101747,0
2010-07-07,74.45,75.03,73.82,74.99,821780,0
2010-07-08,75.4,75.84,75.24,75.62,712788,0
2010-07-09,75.39,75.48,74.01,74.33,1057339,0
2010-07-12,74.1,74.94,74.01,74.87,734442,0
2010-07-13,75.41,75.94,74.89,75.84,818517,0
2010-07-14,75.44,76.56,75.3,76.29,680353,0
2010-07-15,76.28,76.89,75.91,76.58,545329,0
2010-07-16,76.06,76.58,74.99,75.03,755707,0
2010-07-19,75.41,75.59,74.83,75.27,587639,0
2010-07-20,74.69,77.03,74.5,76.8,1178734,0
2010-07-21,75.46,76.74,74.31,75.95,3417830,0
2010-07-22,78.21,78.65,71.58,72.24,4158319,0
2010-07-23,72.58,74.41,72.2,72.96,1501766,0
2010-07-26,73.37,74.48,73.08,74.4,1052749,0
2010-07-27,74.69,75.09,72.77,74.51,2319885,0
2010-07-28,74.56,74.88,73.46,73.63,672411,0
2010-07-29,74.34,74.66,72.58,73.24,1134683,0
