Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,14.941,15.03,14.614,14.693,218693,0
2010-01-05,14.673,14.971,14.515,14.792,326880,0
2010-01-06,14.821,15.109,14.821,15.02,220612,0
2010-01-07,14.901,15.148,14.782,15.02,150547,0
2010-01-08,14.951,15.208,14.841,15.079,151499,0
2010-01-11,15.089,15.595,15,15.565,181820,0
2010-01-12,15.555,15.762,15.288,15.347,271932,0
2010-01-13,15.347,16.219,15.298,16.179,270928,0
2010-01-14,16.099,16.259,15.862,15.962,268454,0
2010-01-15,16.039,16.089,15.298,15.328,395010,0
2010-01-19,15.377,15.406,15.268,15.357,336633,0
2010-01-20,15.347,15.425,14.624,15.01,202655,0
2010-01-21,15.079,15.079,14.455,14.663,243388,0
2010-01-22,14.713,14.911,14.594,14.594,177017,0
2010-01-25,14.673,14.752,13.921,14.029,353626,0
2010-01-26,13.93,14.316,13.821,14.168,174381,0
2010-01-27,14.079,14.079,13.821,13.94,342737,0
2010-01-28,13.999,13.999,13.425,13.494,646736,0
2010-01-29,13.564,13.702,13.247,13.405,325955,0
2010-02-01,13.405,13.454,13.127,13.365,176431,0
2010-02-02,13.345,13.692,13.276,13.652,317202,0
2010-02-03,13.632,14.029,13.613,13.969,255584,0
2010-02-04,13.94,13.989,13.594,13.652,269287,0
2010-02-05,14.861,15.06,13.524,14.108,769694,0
2010-02-08,14.069,14.396,13.901,14.297,405559,0
2010-02-09,14.445,14.713,14.059,14.663,320846,0
2010-02-10,14.584,14.653,14.208,14.445,131122,0
2010-02-11,14.376,14.733,14.267,14.644,153131,0
2010-02-12,14.515,14.921,14.495,14.891,174003,0
2010-02-16,14.931,15.01,14.634,14.961,122823,0
2010-02-17,15.04,15.218,14.851,14.901,109046,0
2010-02-18,14.851,15.05,14.812,14.961,87540,0
2010-02-19,14.981,14.981,14.524,14.752,203877,0
2010-02-22,14.733,14.871,14.524,14.544,118640,0
2010-02-23,14.485,14.653,14.297,14.534,191300,0
2010-02-24,14.524,14.733,14.406,14.425,139030,0
2010-02-25,14.316,14.564,14.316,14.475,59903,0
2010-02-26,14.435,14.534,14.316,14.515,147680,0
2010-03-01,14.594,15,14.505,14.951,153778,0
2010-03-02,14.931,15.485,14.851,15.485,205346,0
2010-03-03,15.505,15.752,15.318,15.615,215266,0
2010-03-04,15.675,15.782,15.347,15.475,80076,0
2010-03-05,15.575,16.119,15.387,16.079,215611,0
2010-03-08,16.069,16.259,16.002,16.099,100762,0
2010-03-09,16.099,16.299,16.012,16.199,158470,0
2010-03-10,16.199,16.309,16.099,16.309,157622,0
2010-03-11,16.179,16.416,16.179,16.396,61975,0
2010-03-12,16.526,17.378,16.396,17.338,455760,0
2010-03-15,17.358,17.546,17.309,17.348,297161,0
2010-03-16,17.348,17.457,17.2,17.457,174252,0
2010-03-17,17.497,17.536,17.319,17.407,123371,0
2010-03-18,17.348,17.764,17.219,17.626,259156,0
2010-03-19,17.497,17.636,17.309,17.616,465648,0
2010-03-22,17.457,17.804,17.407,17.745,353994,0
2010-03-23,17.754,17.804,17.388,17.576,266387,0
2010-03-24,17.497,17.626,17.289,17.299,223597,0
2010-03-25,17.348,17.754,17.229,17.249,264264,0
2010-03-26,17.586,18.072,17.19,17.487,399504,0
2010-03-29,17.566,17.606,16.793,16.863,515707,0
2010-03-30,16.903,17.011,16.773,17.002,222408,0
2010-03-31,16.913,16.952,16.655,16.655,292979,0
2010-04-01,16.685,16.843,16.675,16.793,117614,0
2010-04-05,16.873,17.338,16.843,17.329,290231,0
2010-04-06,17.239,17.477,17.239,17.398,192409,0
2010-04-07,17.388,17.487,17.279,17.338,351616,0
2010-04-08,17.259,17.289,17.07,17.259,192141,0
2010-04-09,17.2,17.338,16.922,17.18,188735,0
2010-04-12,17.13,17.18,16.823,17.031,144947,0
2010-04-13,16.992,17.011,16.843,16.962,150004,0
2010-04-14,16.982,17.09,16.893,17.08,249524,0
2010-04-15,17.12,17.457,17.09,17.417,164700,0
2010-04-16,17.447,17.477,17.11,17.378,211253,0
2010-04-19,17.21,17.487,16.833,16.873,104710,0
2010-04-20,16.853,16.883,16.685,16.803,139446,0
2010-04-21,16.863,16.932,16.536,16.576,301189,0
2010-04-22,16.446,16.546,16.169,16.526,104047,0
2010-04-23,16.486,16.596,16.396,16.546,304801,0
2010-04-26,16.486,16.713,16.376,16.436,170708,0
2010-04-27,16.318,16.596,16.059,16.109,119398,0
2010-04-28,16.209,16.279,16.099,16.149,126814,0
2010-04-29,16.348,16.566,16.249,16.536,380212,0
2010-04-30,16.596,16.645,16.109,16.139,155197,0
2010-05-03,16.199,16.279,16.079,16.249,110930,0
2010-05-04,16.119,16.328,15.742,15.792,157030,0
2010-05-05,15.675,15.942,15.367,15.852,190502,0
2010-05-06,15.852,15.962,14.961,15.585,294845,0
2010-05-07,15.387,16.496,15.079,16.179,587783,0
2010-05-10,16.753,16.753,16.109,16.219,397009,0
2010-05-11,16.109,17.329,15.982,17.299,1060493,0
2010-05-12,17.378,17.566,17.239,17.516,528071,0
2010-05-13,17.437,17.784,17.358,17.437,123879,0
2010-05-14,17.338,17.338,16.655,16.913,456440,0
2010-05-17,17.011,17.239,16.773,16.992,135384,0
2010-05-18,17.15,17.338,16.942,16.982,119059,0
2010-05-19,16.992,17.229,16.833,16.952,216145,0
2010-05-20,16.694,16.873,16.239,16.556,272678,0
2010-05-21,16.367,16.813,16.139,16.299,261318,0
2010-05-24,16.376,17.19,16.159,16.982,242779,0
2010-05-25,16.763,16.992,16.396,16.922,186215,0
2010-05-26,16.972,17.09,16.338,16.376,276439,0
2010-05-27,16.596,17.12,16.526,17.11,108029,0
2010-05-28,17.031,17.388,16.823,16.972,118689,0
2010-06-01,17.14,17.526,16.843,16.922,215372,0
2010-06-02,16.883,17.695,16.853,17.656,226532,0
2010-06-03,17.566,17.833,17.487,17.823,190597,0
2010-06-04,17.457,17.665,16.992,17.051,150524,0
2010-06-07,17.14,17.358,16.733,16.753,190631,0
2010-06-08,16.743,16.793,16.259,16.743,167096,0
2010-06-09,16.873,17.18,16.625,16.704,160568,0
2010-06-10,16.753,17.249,16.685,17.239,189611,0
2010-06-11,17.041,17.507,16.982,17.338,184939,0
2010-06-14,17.259,17.437,17.06,17.15,183513,0
2010-06-15,17.16,17.536,17.06,17.457,134088,0
2010-06-16,17.329,17.477,17.289,17.388,93584,0
2010-06-17,17.368,17.457,17.08,17.19,99838,0
2010-06-18,17.279,17.289,17.041,17.09,270060,0
2010-06-21,17.259,17.516,16.873,16.982,137862,0
2010-06-22,17.06,17.329,16.713,16.743,146674,0
2010-06-23,16.743,16.773,16.328,16.446,157668,0
2010-06-24,16.456,16.685,16.348,16.406,160723,0
2010-06-25,16.496,16.823,16.269,16.733,721963,0
2010-06-28,16.733,17.16,16.713,16.803,226640,0
2010-06-29,16.645,16.713,16.059,16.179,149033,0
2010-06-30,16.149,16.446,16.03,16.069,147753,0
2010-07-01,16.129,16.259,15.565,16.139,353400,0
2010-07-02,16.259,16.416,16.089,16.229,96112,0
2010-07-06,16.396,16.645,15.872,15.952,156965,0
2010-07-07,16.03,16.03,15.684,15.762,150912,0
2010-07-08,15.862,16.129,15.704,15.742,223009,0
2010-07-09,15.714,15.902,15.605,15.852,143976,0
2010-07-12,15.792,15.962,15.625,15.742,73243,0
2010-07-13,15.912,16.348,15.902,16.209,190677,0
2010-07-14,16.139,16.259,15.872,15.952,102912,0
2010-07-15,16.002,16.129,15.714,15.872,102218,0
2010-07-16,15.762,15.822,15.079,15.099,155414,0
2010-07-19,15.168,15.416,14.901,15.079,86375,0
2010-07-20,15,15.109,14.861,15.05,120155,0
2010-07-21,15.109,15.148,14.752,14.752,148869,0
2010-07-22,14.911,15.148,14.673,15.06,232773,0
2010-07-23,15.06,15.268,14.772,15.158,174368,0
2010-07-26,15.228,15.684,15.208,15.595,133288,0
2010-07-27,15.704,15.822,15.565,15.595,108020,0
2010-07-28,15.625,15.762,15.208,15.258,132528,0
2010-07-29,15.396,15.655,15.208,15.515,165960,0
2010-07-30,15.347,16.358,15.308,16.129,310182,0
2010-08-02,16.318,16.733,16.209,16.526,298440,0
2010-08-03,16.436,16.863,16.338,16.486,281898,0
2010-08-04,16.546,16.723,16.416,16.586,106504,0
2010-08-05,16.466,16.506,16.099,16.119,136100,0
2010-08-06,15.942,16.289,15.079,16.129,249526,0
2010-08-09,16.129,16.189,15.684,16.119,297772,0
2010-08-10,15.952,16.209,15.752,15.872,190885,0
2010-08-11,15.645,15.645,15.268,15.278,235177,0
2010-08-12,15.089,15.268,15.01,15.148,104016,0
2010-08-13,15.069,15.188,14.911,14.911,129302,0
2010-08-16,14.871,15.178,14.841,15.128,113193,0
2010-08-17,15.268,15.535,15.188,15.377,95170,0
2010-08-18,15.387,15.425,15.168,15.268,57630,0
2010-08-19,15.188,15.318,14.99,15.138,235174,0
2010-08-20,15.06,15.198,14.841,15.099,138829,0
2010-08-23,15.158,15.308,14.802,14.821,61558,0
2010-08-24,14.693,14.802,14.445,14.564,128211,0
2010-08-25,14.485,14.624,14.168,14.316,147703,0
2010-08-26,14.376,14.445,14.218,14.218,85447,0
2010-08-27,14.356,15.03,14.158,15,125927,0
2010-08-30,14.931,15,14.376,14.386,94217,0
2010-08-31,14.386,14.624,14.118,14.208,87825,0
2010-09-01,14.366,14.703,14.247,14.594,148734,0
2010-09-02,14.554,14.802,14.465,14.762,65733,0
2010-09-03,14.911,15.089,14.733,15.03,61980,0
2010-09-07,15.03,15.099,14.752,14.831,121233,0
2010-09-08,14.891,15.01,14.703,14.851,76751,0
2010-09-09,15.01,15.089,14.841,15.02,94017,0
2010-09-10,14.981,15.138,14.901,15,67264,0
2010-09-13,15.128,15.575,15.01,15.525,127429,0
2010-09-14,15.525,15.742,15.396,15.565,121376,0
2010-09-15,15.485,15.972,15.406,15.932,76875,0
2010-09-16,15.872,15.872,15.505,15.655,89607,0
2010-09-17,15.812,15.812,15.435,15.475,207362,0
2010-09-20,15.495,16.089,15.258,16.079,104808,0
2010-09-21,16.099,16.099,15.772,15.912,72760,0
2010-09-22,15.832,16.012,15.635,15.792,56237,0
2010-09-23,15.655,15.862,15.396,15.435,64589,0
2010-09-24,15.595,16.049,15.515,16.049,60850,0
2010-09-27,16.099,16.099,15.812,15.852,46143,0
2010-09-28,15.832,16.089,15.525,16.079,85895,0
2010-09-29,15.992,16.03,15.772,15.872,95503,0
2010-09-30,16.021,16.069,15.665,15.852,85031,0
2010-10-01,15.992,16.002,15.645,15.922,58960,0
2010-10-04,15.932,15.962,15.505,15.575,76207,0
2010-10-05,15.752,16.269,15.704,16.179,115723,0
2010-10-06,16.169,16.189,15.762,15.882,77861,0
2010-10-07,16.012,16.012,15.714,15.782,53788,0
2010-10-08,15.714,16.209,15.684,16.119,56326,0
2010-10-11,16.139,16.219,15.942,16.139,40580,0
2010-10-12,16.059,16.059,15.742,15.902,101421,0
2010-10-13,15.952,16.03,15.722,15.882,144076,0
2010-10-14,15.822,15.992,15.684,15.732,72577,0
2010-10-15,15.932,15.932,15.655,15.782,107637,0
