Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.1121,7.1121,7.0432,7.0615,22046,0
2010-01-05,7.1178,7.155,7.0745,7.1051,32872,0
2010-01-06,7.0871,7.1806,7.0871,7.1681,39010,0
2010-01-07,7.1806,7.2113,7.1178,7.1736,30037,0
2010-01-08,7.1051,7.1806,7.0928,7.1428,54249,0
2010-01-11,7.2054,7.23,7.1428,7.2054,41347,0
2010-01-12,7.1868,7.1989,7.1051,7.1121,28856,0
2010-01-13,7.1806,7.2054,7.1121,7.1989,35074,0
2010-01-14,7.1806,7.2113,7.1681,7.1806,41003,0
2010-01-15,7.1368,7.155,7.0871,7.1243,47284,0
2010-01-19,7.155,7.2113,7.0998,7.1428,46308,0
2010-01-20,7.0682,7.1051,6.9873,7.0682,49620,0
2010-01-21,7.0745,7.0745,6.9123,6.9123,52045,0
2010-01-22,6.9123,6.9251,6.756,6.7628,68055,0
2010-01-25,6.7875,6.9123,6.7875,6.8809,74717,0
2010-01-26,6.85,6.8747,6.8249,6.8372,57207,0
2010-01-27,6.8315,6.8437,6.7129,6.7751,35875,0
2010-01-28,6.7939,6.8001,6.7064,6.7189,23795,0
2010-01-29,6.756,6.7628,6.638,6.638,56652,0
2010-02-01,6.638,6.7814,6.638,6.7814,39110,0
2010-02-02,6.7686,6.8686,6.7628,6.85,24463,0
2010-02-03,6.8249,6.8747,6.8064,6.8372,41940,0
2010-02-04,6.756,6.7628,6.6627,6.6881,24868,0
2010-02-05,6.6881,6.6881,6.3452,6.4511,107721,0
2010-02-08,6.4884,6.4884,6.3702,6.4259,26624,0
2010-02-09,6.4012,6.5136,6.4012,6.507,35780,0
2010-02-10,6.4632,6.4822,6.4075,6.4511,23591,0
2010-02-11,6.4259,6.582,6.4259,6.5444,53113,0
2010-02-12,6.4759,6.5943,6.4696,6.5882,24838,0
2010-02-16,6.6319,6.7004,6.5693,6.6564,18917,0
2010-02-17,6.6752,6.8127,6.6752,6.756,33250,0
2010-02-18,6.7437,6.7751,6.7129,6.7751,20757,0
2010-02-19,6.7875,6.8249,6.7313,6.8188,29771,0
2010-02-22,6.9123,6.9123,6.7313,6.7437,19432,0
2010-02-23,6.7313,6.8372,6.7064,6.7437,28044,0
2010-02-24,6.8064,6.8127,6.6505,6.7004,43271,0
2010-02-25,6.6505,6.7254,6.6006,6.7004,22210,0
2010-02-26,6.7004,6.7751,6.6564,6.7751,37092,0
2010-03-01,6.7814,6.8999,6.7814,6.8875,17749,0
2010-03-02,6.9936,7.0185,6.9494,6.9748,39814,0
2010-03-03,7.0309,7.0871,6.9806,7.012,39878,0
2010-03-04,6.9936,7.1121,6.9622,7.0871,37163,0
2010-03-05,7.1368,7.2487,7.0871,7.2487,52585,0
2010-03-08,7.2177,7.2927,7.2177,7.2362,37744,0
2010-03-09,7.2428,7.2553,7.1681,7.2177,29002,0
2010-03-10,7.1051,7.2362,7.1051,7.1868,22901,0
2010-03-11,7.1305,7.2611,7.1305,7.23,47223,0
2010-03-12,7.2675,7.3862,7.2675,7.3485,41766,0
2010-03-15,7.2987,7.3238,7.2611,7.2675,27625,0
2010-03-16,7.2611,7.3608,7.2611,7.3485,90242,0
2010-03-17,7.3299,7.4357,7.3299,7.4169,63010,0
