Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,20.804,20.873,20.475,20.494,10866687,0
2010-01-05,20.457,20.466,20.122,20.283,16303597,0
2010-01-06,20.209,20.504,20.132,20.337,14067328,0
2010-01-07,20.568,21.069,20.413,20.919,18728717,0
2010-01-08,20.804,20.919,20.577,20.873,9796382,0
2010-01-11,20.883,20.892,20.531,20.697,9012609,0
2010-01-12,20.55,20.77,20.362,20.642,11580976,0
2010-01-13,20.761,20.795,20.447,20.55,11881554,0
2010-01-14,20.697,20.725,20.504,20.522,12027835,0
2010-01-15,20.405,20.642,20.353,20.466,14535412,0
2010-01-19,20.413,20.577,20.344,20.447,10871141,0
2010-01-20,20.3,20.635,20.096,20.178,17200969,0
2010-01-21,20.159,20.389,19.955,20.255,15413965,0
2010-01-22,20.149,20.697,19.696,19.742,13828355,0
2010-01-25,19.872,19.909,19.449,19.577,14991821,0
2010-01-26,19.476,19.814,19.412,19.43,15550487,0
2010-01-27,19.468,19.909,19.403,19.577,15974837,0
2010-01-28,19.661,19.696,19.274,19.449,17246126,0
2010-01-29,19.634,19.689,19.123,19.155,24787995,0
2010-02-01,19.22,19.458,19.174,19.458,14012833,0
2010-02-02,19.458,20.035,19.089,19.982,18356715,0
2010-02-03,19.77,19.891,19.165,19.567,43863662,0
2010-02-04,19.373,19.549,19.089,19.113,20832089,0
2010-02-05,19.113,19.311,18.84,19.106,17117233,0
2010-02-08,19.22,19.696,19.22,19.256,13957661,0
2010-02-09,19.486,19.531,19.165,19.329,18716994,0
2010-02-10,19.329,19.373,18.998,19.292,10892294,0
2010-02-11,19.354,19.67,19.132,19.617,14361196,0
2010-02-12,19.504,19.634,19.274,19.61,12721046,0
2010-02-16,19.723,20.132,19.661,20.122,10162401,0
2010-02-17,20.319,20.513,20.237,20.398,13304856,0
2010-02-18,20.337,20.531,20.185,20.485,9676742,0
2010-02-19,20.421,20.55,20.159,20.466,21345514,0
2010-02-22,20.734,20.77,20.246,20.413,29167281,0
