Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,31.65,32.5,31.4,32.5,8662,0
2010-01-05,33.2,35.75,33.2,35.5,11324,0
2010-01-06,35.75,39.3,35.5,39,15438,0
2010-01-07,39.75,40,36.55,36.95,10584,0
2010-01-08,37.25,39.6,37,37.55,10344,0
2010-01-11,39.9,39.9,37.5,37.5,5629,0
2010-01-12,39.4,39.4,37.9,38.45,5590,0
2010-01-13,39,39.05,38.45,38.9,8555,0
2010-01-14,38.9,38.9,37.55,37.8,3580,0
2010-01-15,37.75,37.95,37.25,37.6,5025,0
2010-01-19,37.5,38.25,36.25,36.95,9298,0
2010-01-20,37.25,37.25,35.05,35.3,5995,0
2010-01-21,36,36.05,34.55,34.55,7064,0
2010-01-22,35,35.25,31,32.2,10468,0
2010-01-25,33,33.8,32.25,32.25,4942,0
2010-01-26,32.15,32.15,30.1,30.95,6569,0
2010-01-27,31,31.5,30,30.6,3556,0
2010-01-28,33.25,35.95,32.2,35.6,13388,0
2010-01-29,36,40.25,35.65,39.9,29918,0
2010-02-01,41,41.5,37.4,37.8,16305,0
2010-02-02,37,41.3,37,38.95,9840,0
2010-02-03,38.75,40.4,38.75,39.5,4286,0
2010-02-04,39.4,39.4,36,36.8,13899,0
2010-02-05,37.75,37.75,35.6,35.6,5740,0
2010-02-08,36.25,38.85,35.15,35.15,7134,0
2010-02-09,35.15,35.35,32.5,33,9973,0
2010-02-10,33.5,33.6,32.55,33.15,3226,0
2010-02-11,33.85,34.45,32.6,33.8,2309,0
2010-02-12,32.55,38.85,32.55,38.85,10722,0
2010-02-16,39.25,39.6,35,38.6,10137,0
2010-02-17,38.9,39.45,36.95,38.25,10364,0
2010-02-18,39,39.15,37.15,37.15,7567,0
2010-02-19,36.4,37.5,35.25,35.45,11496,0
2010-02-22,36,36.8,35.9,36.65,7078,0
2010-02-23,37.35,40,36.65,40,19256,0
2010-02-24,40,40,38.75,39.4,9489,0
2010-02-25,39.75,40,38.55,38.75,5454,0
2010-02-26,38.5,39.2,37.5,39,4263,0
2010-03-01,39,39.4,38,38.25,7435,0
2010-03-02,37.75,38.2,37.5,37.6,3626,0
2010-03-03,38.25,39.5,37.75,38.45,7492,0
2010-03-04,39.75,44,38.55,42.6,24207,0
2010-03-05,43,44.75,42.6,44.4,11673,0
