Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.21,3.24,3.1,3.24,8033,0
2010-01-05,3.15,3.37,3.15,3.3,6230,0
2010-01-06,3.3,3.5,3.18,3.18,22019,0
2010-01-07,3.2,3.49,3.2,3.3,7449,0
2010-01-08,3.19,3.36,3.19,3.36,1733,0
2010-01-11,3.35,3.48,3.35,3.4,7616,0
2010-01-12,3.41,3.41,3.25,3.25,3642,0
2010-01-13,3.27,3.35,3.2,3.3,9682,0
2010-01-14,3.19,3.32,3.19,3.29,14776,0
2010-01-15,3.23,3.23,3.22,3.23,4478,0
2010-01-19,3.21,3.29,3.15,3.18,9932,0
2010-01-20,3.2,3.39,3.2,3.39,6794,0
2010-01-21,3.3,3.51,3.3,3.5,11459,0
2010-01-22,2.81,3.69,2.81,3.69,8537,0
2010-01-25,3.69,3.7,3.51,3.51,800,0
2010-01-26,3.5,3.69,3.5,3.64,8400,0
2010-01-27,3.69,3.71,3.65,3.66,13832,0
2010-01-28,3.38,3.65,3.37,3.65,2302,0
2010-01-29,3.64,3.64,3.37,3.37,3103,0
2010-02-01,3.35,3.62,3.35,3.5,833,0
2010-02-02,3.28,3.55,3.28,3.55,4043,0
2010-02-03,3.46,3.57,3.42,3.46,11979,0
2010-02-04,3.25,3.6,3.25,3.6,6725,0
2010-02-05,3.5,3.5,3.07,3.16,12066,0
2010-02-08,3.19,3.21,2.91,3.21,42643,0
2010-02-09,3.16,3.2,2.98,3.17,7210,0
2010-02-10,3.01,3.15,2.94,3.14,4576,0
2010-02-11,3.1,3.2,3.1,3.14,5071,0
2010-02-12,3.25,3.36,3.25,3.3,8324,0
2010-02-16,3.38,3.47,3.38,3.47,2184,0
2010-02-17,3.31,3.51,3.31,3.43,9185,0
2010-02-18,3.4,3.44,3.39,3.4,6404,0
2010-02-19,3.37,3.6,3.32,3.6,14954,0
2010-02-22,3.5,3.6,3.4,3.6,13906,0
2010-02-23,3.46,3.69,3.37,3.62,289391,0
2010-02-24,3.57,3.69,3.57,3.65,16038,0
2010-02-25,3.65,3.65,3.62,3.65,2722,0
2010-02-26,3.7,3.7,3.37,3.63,27175,0
2010-03-01,3.68,3.7,3.65,3.65,3063,0
2010-03-02,3.58,3.7,3.58,3.66,2871,0
2010-03-03,3.62,3.7,3.62,3.7,16555,0
2010-03-04,3.68,3.7,3.68,3.7,1700,0
2010-03-05,3.7,3.71,3.62,3.7,11451,0
2010-03-08,3.64,3.64,3.62,3.63,12045,0
2010-03-09,3.65,3.7,3.65,3.69,1999,0
2010-03-10,3.63,3.68,3.53,3.68,6100,0
2010-03-11,3.66,3.8,3.66,3.75,39496,0
2010-03-12,3.79,3.8,3.73,3.8,3900,0
2010-03-15,3.59,3.99,3.59,3.95,7187,0
2010-03-16,3.9,4,3.9,3.93,1040,0
2010-03-17,3.9,3.98,3.9,3.95,2780,0
2010-03-18,3.91,3.96,3.75,3.96,1166,0
2010-03-19,3.91,3.95,3.84,3.9,2647,0
2010-03-22,3.9,3.9,3.75,3.89,4516,0
2010-03-23,3.83,3.9,3.63,3.75,9224,0
2010-03-24,3.65,3.81,3.62,3.72,4566,0
2010-03-25,3.78,3.85,3.78,3.85,300,0
2010-03-26,3.88,3.9,3.72,3.85,3063,0
2010-03-30,3.52,3.88,3.52,3.88,432,0
2010-04-01,3.51,3.9,3.51,3.86,7263,0
2010-04-05,3.79,3.9,3.68,3.76,5068,0
2010-04-06,3.58,3.58,3.58,3.58,833,0
2010-04-07,3.71,3.82,3.69,3.81,2087,0
2010-04-09,3.88,3.95,3.88,3.95,2300,0
2010-04-12,3.95,3.95,3.5,3.77,2587,0
2010-04-13,3.84,3.95,3.65,3.65,10467,0
2010-04-14,3.91,3.95,3.82,3.95,5647,0
2010-04-15,3.8,3.9,3.6,3.75,7769,0
2010-04-16,3.88,3.98,3.88,3.95,12583,0
2010-04-19,3.84,3.9,3.7,3.7,3766,0
2010-04-20,3.9,3.95,3.9,3.95,825,0
2010-04-22,3.85,3.95,3.85,3.95,5575,0
2010-04-26,3.95,4.14,3.8,4.05,38710,0
2010-04-27,4.2,4.2,3.8,4.05,50358,0
2010-04-29,4.04,4.08,4,4.05,3260,0
2010-04-30,4.2,4.24,4.01,4.16,173053,0
2010-05-03,4.16,4.25,4.1,4.16,48722,0
2010-05-04,4.08,4.24,4.05,4.24,114500,0
2010-05-05,4.06,4.14,3.9,4.05,121941,0
2010-05-06,4,4.11,3.9,4,15983,0
2010-05-07,4,4.14,3.75,4.14,3409,0
2010-05-10,4.1,4.44,4.09,4.3,270815,0
2010-05-11,4.15,4.35,4.07,4.35,124133,0
2010-05-12,4.35,4.4,4.3,4.35,16585,0
2010-05-13,4.26,4.49,4.26,4.49,5686,0
2010-05-14,4.42,4.7,4.42,4.61,42171,0
2010-05-17,4.69,4.8,4.68,4.8,15361,0
2010-05-18,4.8,4.8,4.45,4.56,33757,0
2010-05-19,4.59,4.6,4.5,4.5,49050,0
2010-05-20,4.5,4.64,4.45,4.5,82285,0
2010-05-21,4.5,4.63,4.4,4.45,57217,0
2010-05-24,4.62,4.62,4.38,4.5,6795,0
2010-05-25,4.45,4.56,4.45,4.54,30717,0
2010-05-26,4.55,4.6,4.55,4.6,986,0
2010-05-27,4.53,4.6,4.47,4.55,19282,0
2010-05-28,4.58,4.64,4.52,4.54,1950,0
2010-06-01,4.57,4.6,4.55,4.55,2934,0
2010-06-02,4.51,4.6,4.5,4.55,7800,0
2010-06-03,4.6,4.6,4.5,4.58,7488,0
2010-06-04,4.47,4.5,4.45,4.5,14975,0
2010-06-07,4.55,4.7,4.52,4.55,3600,0
2010-06-08,4.52,4.57,4.51,4.53,24335,0
2010-06-09,4.52,4.6,4.52,4.6,2958,0
2010-06-10,4.5,4.59,4.5,4.56,9906,0
2010-06-11,4.54,4.59,4.53,4.54,4683,0
2010-06-14,4.5,4.53,4.49,4.53,11000,0
2010-06-15,4.53,4.6,4.52,4.59,731,0
2010-06-16,4.6,4.62,4.54,4.59,4593,0
2010-06-17,4.61,4.62,4.61,4.62,503,0
2010-06-18,4.53,4.56,4.52,4.52,603,0
2010-06-21,4.59,4.6,4.51,4.51,2800,0
2010-06-22,4.53,4.59,4.52,4.56,2179,0
2010-06-24,4.38,4.54,4.38,4.42,2582,0
2010-06-25,4.48,4.48,4.11,4.27,13612,0
2010-06-28,4.27,4.32,4.09,4.15,6539,0
2010-06-29,4.09,4.09,4.08,4.09,700,0
2010-06-30,4.05,4.05,3.91,4.05,4835,0
2010-07-01,3.91,3.91,3.91,3.91,630,0
2010-07-02,3.91,3.95,3.87,3.95,7933,0
2010-07-08,3.67,3.95,3.67,3.95,1300,0
2010-07-13,3.86,3.94,3.8,3.84,2597,0
2010-07-15,3.74,3.9,3.73,3.9,2432,0
2010-07-16,3.66,3.75,3.64,3.64,2292,0
2010-07-19,3.63,3.64,3.63,3.64,1000,0
2010-07-20,3.64,3.86,3.51,3.86,2185,0
2010-07-21,3.53,3.88,3.51,3.88,2600,0
2010-07-22,3.85,3.9,3.75,3.84,7216,0
2010-07-23,3.84,4,3.84,3.99,2100,0
2010-07-26,3.99,4.26,3.99,4.25,2844,0
2010-07-27,4.25,4.27,4.22,4.27,1553,0
2010-07-28,4.25,4.25,4.25,4.25,300,0
2010-08-02,4.2,4.25,4.2,4.25,675,0
2010-08-03,4.11,4.11,4.07,4.07,2516,0
2010-08-05,4.1,4.24,4.04,4.24,2572,0
2010-08-06,4.16,4.16,4.02,4.02,4553,0
2010-08-09,3.98,4,3.9,4,8489,0
2010-08-11,3.87,3.87,3.78,3.78,727,0
2010-08-12,4,4,3.95,3.95,1747,0
2010-08-16,3.87,3.9,3.78,3.78,337,0
2010-08-17,3.79,3.9,3.58,3.79,3616,0
2010-08-18,3.94,3.94,3.89,3.9,2164,0
2010-08-19,3.76,4,3.75,3.75,1206,0
