Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.22,2.35,2.15,2.2,104317,0
2010-01-05,2.2,2.39,2.2,2.36,118662,0
2010-01-06,2.4,2.7,2.4,2.65,154092,0
2010-01-07,2.7,2.7,2.5,2.62,54109,0
2010-01-08,2.9,4.52,2.74,4.5,1535231,0
2010-01-11,4.37,4.59,3.41,3.66,1882509,0
2010-01-12,3.7,5,3.52,4.43,1984712,0
2010-01-13,4.31,4.4,3.83,3.95,541688,0
2010-01-14,4.07,4.12,3.7,3.84,330613,0
2010-01-15,3.71,3.79,3.5,3.7,279929,0
2010-01-19,3.7,3.7,3.49,3.52,89736,0
2010-01-20,3.56,3.56,3.3,3.45,117917,0
2010-01-21,3.45,3.45,3.11,3.28,144748,0
2010-01-22,3.35,3.59,3.19,3.37,190588,0
2010-01-25,3.39,3.55,3.17,3.22,85214,0
2010-01-26,3.27,3.35,3.06,3.11,56235,0
2010-01-27,3.18,3.18,2.84,2.91,88812,0
2010-01-28,2.91,2.95,2.77,2.77,79139,0
2010-01-29,2.78,2.89,2.77,2.83,71470,0
2010-02-01,2.88,3.27,2.88,3.1,119137,0
2010-02-02,3.1,3.2,2.91,2.95,69039,0
2010-02-03,2.95,3.2,2.95,3.09,76464,0
2010-02-04,3.14,3.14,2.91,3.07,71197,0
2010-02-05,3.05,3.07,2.78,2.98,85816,0
2010-02-08,3.01,3.01,2.95,2.99,23026,0
2010-02-09,3.02,3.02,2.86,2.87,30323,0
2010-02-10,2.84,2.93,2.84,2.86,23080,0
2010-02-11,2.85,2.98,2.84,2.93,25745,0
2010-02-12,2.85,2.95,2.8,2.8,21445,0
2010-02-16,2.78,2.82,2.75,2.76,15781,0
2010-02-17,2.9,3.3,2.78,3.3,174823,0
2010-02-18,3.27,3.28,2.94,2.95,76282,0
2010-02-19,2.94,3.5,2.94,3.29,203066,0
2010-02-22,3.34,3.42,3.12,3.39,76686,0
2010-02-23,3.36,3.39,3.05,3.14,28380,0
2010-02-24,3.14,3.24,3.05,3.1,29180,0
2010-02-25,3.12,3.26,2.99,3.1,41088,0
2010-02-26,3.03,3.29,3.03,3.22,27909,0
2010-03-01,3.22,3.22,2.93,3.11,60122,0
2010-03-02,3.11,3.22,3.05,3.19,16429,0
2010-03-03,3.17,3.3,3.14,3.28,57066,0
2010-03-04,3.31,3.39,3.21,3.31,44257,0
2010-03-05,3.36,3.36,3.06,3.15,102852,0
2010-03-08,3.2,3.2,2.99,3.06,72048,0
2010-03-09,3.05,3.05,2.9,2.96,64243,0
2010-03-10,2.99,3.15,2.93,2.98,86838,0
2010-03-11,2.94,3.01,2.88,3,45607,0
2010-03-12,3.05,3.5,3.02,3.03,350943,0
2010-03-15,3,3.03,2.88,3,78055,0
2010-03-16,2.98,3.03,2.9,2.95,55812,0
2010-03-17,2.9,3.04,2.6,2.72,194559,0
2010-03-18,2.73,2.79,2.52,2.59,104899,0
2010-03-19,2.64,2.65,2.48,2.6,71803,0
2010-03-22,2.64,2.64,2.44,2.59,55876,0
2010-03-23,2.52,2.83,2.51,2.51,105823,0
2010-03-24,2.54,2.62,2.39,2.42,70147,0
2010-03-25,2.42,2.61,2.42,2.6,68931,0
2010-03-26,2.57,2.58,2.45,2.52,31981,0
2010-03-29,2.48,2.56,2.45,2.5,60336,0
2010-03-30,2.47,2.57,2.41,2.44,59407,0
2010-03-31,2.48,2.48,2.29,2.29,32782,0
2010-04-01,2.27,2.27,2.14,2.18,115538,0
2010-04-05,2.25,2.37,2.2,2.22,49292,0
2010-04-06,2.26,2.27,2.22,2.23,21509,0
2010-04-07,2.23,2.26,2.17,2.26,50648,0
2010-04-08,2.27,2.41,2.26,2.28,29271,0
2010-04-09,2.26,2.38,2.26,2.32,28775,0
2010-04-12,2.35,2.46,2.3,2.37,45231,0
2010-04-13,2.38,2.39,2.29,2.36,22868,0
2010-04-14,2.36,2.45,2.28,2.41,33035,0
2010-04-15,2.36,2.45,2.3,2.36,22459,0
2010-04-16,2.39,2.39,2.29,2.31,31214,0
