Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,11.802,11.901,11.703,11.881,16520,0
2010-01-05,11.871,11.881,11.703,11.851,14851,0
2010-01-06,11.861,12.049,11.703,12,31820,0
2010-01-07,11.98,12.098,11.861,12.059,16915,0
2010-01-08,12.069,12.504,12.009,12.286,40573,0
2010-01-11,12.355,12.553,12.355,12.464,16477,0
2010-01-12,12.454,12.543,11.575,11.644,46506,0
2010-01-13,11.723,12.128,11.634,11.93,16394,0
2010-01-14,11.871,12.089,11.832,11.871,12461,0
2010-01-15,11.93,12.059,11.673,11.713,17631,0
2010-01-19,11.673,12,11.664,11.93,8822,0
2010-01-20,11.841,12.207,11.723,12.108,21378,0
2010-01-21,12.158,12.296,11.901,11.95,26863,0
2010-01-22,11.901,12.553,11.901,11.96,49154,0
2010-01-25,11.99,12.207,11.703,11.743,16591,0
2010-01-26,11.693,11.97,11.594,11.594,22615,0
2010-01-27,11.545,11.762,11.545,11.644,9921,0
2010-01-28,11.426,11.901,11.426,11.782,19564,0
2010-01-29,11.772,12.089,11.743,11.812,10526,0
2010-02-01,11.95,11.95,11.446,11.476,11578,0
2010-02-02,11.407,11.782,11.407,11.624,20667,0
2010-02-03,11.565,11.861,11.347,11.713,13574,0
2010-02-04,11.713,11.832,11.416,11.733,25501,0
2010-02-05,11.782,11.782,11.219,11.347,36914,0
2010-02-08,11.397,11.614,11.268,11.268,5994,0
2010-02-09,11.397,11.812,11.209,11.664,12438,0
2010-02-10,11.594,11.802,11.367,11.614,9758,0
2010-02-11,11.456,11.713,11.456,11.713,7731,0
2010-02-12,11.693,11.782,11.673,11.723,5111,0
2010-02-16,11.782,11.911,11.752,11.911,5762,0
2010-02-17,11.822,12.009,11.822,12.009,11947,0
2010-02-18,12.039,12.108,11.861,11.96,11412,0
2010-02-19,11.96,11.96,11.683,11.93,22861,0
2010-02-22,11.95,11.95,11.851,11.881,2029,0
2010-02-23,11.851,12.029,11.822,11.822,12945,0
2010-02-24,11.881,11.96,11.851,11.95,5638,0
2010-02-25,11.851,11.911,11.693,11.861,8194,0
2010-02-26,11.812,11.812,11.584,11.584,12010,0
2010-03-01,11.654,11.733,11.367,11.693,14329,0
2010-03-02,11.555,11.851,11.515,11.832,11206,0
2010-03-03,11.812,11.911,11.634,11.861,9303,0
2010-03-04,11.812,11.871,11.802,11.871,5200,0
2010-03-05,11.881,11.96,11.683,11.861,20078,0
2010-03-08,11.851,11.911,11.822,11.861,8226,0
2010-03-09,11.911,11.911,11.624,11.693,6716,0
2010-03-10,11.752,11.832,11.624,11.683,11328,0
2010-03-11,11.614,11.861,11.614,11.861,2757,0
2010-03-12,11.861,11.861,11.693,11.822,12964,0
2010-03-15,11.871,11.95,11.851,11.861,14288,0
2010-03-16,11.851,11.99,11.743,11.911,6118,0
2010-03-17,11.832,11.94,11.604,11.683,11064,0
2010-03-18,11.673,11.851,11.644,11.644,6102,0
2010-03-19,11.723,11.871,11.604,11.713,18442,0
2010-03-22,11.673,11.841,11.673,11.812,5367,0
2010-03-23,11.802,11.851,11.644,11.782,4655,0
2010-03-24,11.723,11.861,11.723,11.782,8938,0
2010-03-25,11.782,11.96,11.762,11.762,10286,0
2010-03-26,11.812,11.901,11.624,11.683,5811,0
2010-03-29,11.762,11.762,11.575,11.683,6592,0
2010-03-30,11.772,11.901,11.762,11.822,12125,0
2010-03-31,11.911,11.96,11.476,11.733,33491,0
2010-04-01,11.664,11.93,11.367,11.466,41110,0
2010-04-05,11.466,11.466,11.327,11.377,26465,0
2010-04-06,11.318,11.337,10.912,11.11,26564,0
2010-04-07,11.001,11.219,10.942,11.001,22983,0
2010-04-08,11.021,11.07,10.942,10.972,14884,0
2010-04-09,10.912,10.912,10.774,10.843,28377,0
2010-04-12,10.784,10.823,10.675,10.734,30660,0
2010-04-13,10.744,11.001,10.744,10.962,8919,0
2010-04-14,10.952,10.962,10.853,10.932,11933,0
2010-04-15,10.972,11.357,10.952,11.159,8356,0
2010-04-16,11.1,11.337,10.873,10.912,14419,0
2010-04-19,10.902,11.229,10.833,11.209,31902,0
2010-04-20,11.258,11.367,10.893,10.962,51334,0
2010-04-21,10.932,11.011,10.883,10.942,17864,0
2010-04-22,10.853,11.11,10.853,11.031,18380,0
2010-04-23,11.08,11.08,10.863,10.972,17751,0
2010-04-26,11.12,11.159,10.902,10.952,24310,0
2010-04-27,10.833,11.051,10.833,10.843,16479,0
2010-04-28,10.873,10.952,10.843,10.912,5245,0
2010-04-29,10.932,11.07,10.883,10.972,6775,0
2010-04-30,10.972,10.972,10.883,10.893,17197,0
2010-05-03,10.893,10.991,10.893,10.982,5180,0
2010-05-04,10.893,10.893,10.675,10.774,20359,0
2010-05-05,10.675,10.705,10.191,10.339,37379,0
2010-05-06,10.329,10.507,7.9767,9.568,67130,0
2010-05-07,9.627,9.934,9.4593,9.706,43797,0
2010-05-10,9.894,10.379,9.795,10.369,31621,0
2010-05-11,10.22,10.556,10.22,10.398,11523,0
2010-05-12,9.973,10.952,9.973,10.952,23318,0
2010-05-13,10.902,10.972,10.764,10.863,14455,0
2010-05-14,10.863,10.972,10.576,10.794,18496,0
2010-05-17,10.823,10.853,10.695,10.734,8228,0
2010-05-18,10.873,10.873,10.033,10.685,15470,0
2010-05-19,10.626,10.675,10.398,10.556,22332,0
2010-05-20,10.398,10.497,10.29,10.29,18731,0
2010-05-21,10.161,10.201,9.795,10.062,35242,0
2010-05-24,10.112,10.299,10.033,10.033,9475,0
2010-05-25,9.894,9.904,9.617,9.667,13523,0
2010-05-26,9.736,10.122,9.617,9.805,10325,0
2010-05-27,9.963,10.477,9.815,10.29,15137,0
2010-05-28,10.22,10.379,10.003,10.349,6099,0
2010-06-01,10.26,10.754,10.062,10.171,15396,0
2010-06-02,10.131,10.428,10.131,10.428,6830,0
2010-06-03,10.24,10.418,10.23,10.379,17787,0
2010-06-04,10.25,10.428,10.131,10.201,21639,0
2010-06-07,10.201,10.22,9.894,9.924,19093,0
2010-06-08,9.983,9.983,9.519,9.736,31402,0
2010-06-09,9.706,9.924,9.548,9.617,23532,0
2010-06-10,9.627,9.884,9.617,9.845,15640,0
2010-06-11,9.825,9.874,9.677,9.835,3459,0
2010-06-14,9.874,9.874,9.519,9.548,35835,0
2010-06-15,9.509,9.954,9.4989,9.924,32138,0
2010-06-16,9.835,10.013,9.726,9.776,12049,0
2010-06-17,10.023,10.042,9.716,9.914,9134,0
2010-06-18,9.973,10.062,9.785,9.963,18302,0
2010-06-21,10.072,10.28,10.042,10.23,13867,0
2010-06-22,10.28,10.339,10.22,10.28,10316,0
2010-06-23,10.28,10.379,10.013,10.359,10462,0
2010-06-24,10.339,10.339,9.795,9.934,9494,0
2010-06-25,9.944,10.003,9.598,9.746,65811,0
2010-06-28,9.795,9.795,9.598,9.687,4772,0
2010-06-29,9.697,9.835,9.4889,9.538,23348,0
2010-06-30,9.568,9.795,9.568,9.627,8872,0
2010-07-01,9.538,9.914,9.4889,9.835,12166,0
2010-07-02,9.855,10.151,9.736,9.874,8883,0
2010-07-06,9.973,9.973,9.647,9.746,8492,0
2010-07-07,9.795,10.131,9.795,10.112,13936,0
2010-07-08,10.131,10.131,9.874,10.003,8800,0
2010-07-09,9.776,9.954,9.736,9.904,7170,0
2010-07-12,9.746,9.894,9.627,9.627,11034,0
2010-07-13,9.756,9.963,9.687,9.924,10775,0
2010-07-14,9.845,9.973,9.756,9.954,5094,0
2010-07-15,9.934,10.131,9.766,9.944,8672,0
2010-07-16,9.874,9.973,9.588,9.608,19873,0
2010-07-19,9.677,10.042,9.558,9.944,14765,0
2010-07-20,9.924,10.052,9.894,10.023,5524,0
2010-07-21,10.122,10.131,9.776,9.776,11245,0
2010-07-22,9.884,10.23,9.874,10.23,15041,0
2010-07-23,10.171,10.28,10.131,10.28,5066,0
2010-07-26,10.319,10.477,10.042,10.418,12395,0
2010-07-27,10.418,10.477,10.161,10.458,12768,0
2010-07-28,10.428,10.477,10.349,10.349,5832,0
2010-07-29,10.408,10.468,10.191,10.29,6648,0
2010-07-30,10.112,10.438,9.954,10.359,10527,0
2010-08-02,10.477,10.527,10.309,10.527,5624,0
2010-08-03,10.319,10.576,9.894,10.082,18723,0
2010-08-04,10.062,10.626,10.033,10.062,15722,0
2010-08-05,10.033,10.23,10.003,10.122,7856,0
2010-08-06,10.131,10.586,10.131,10.556,12564,0
2010-08-09,10.556,10.774,10.468,10.774,12062,0
2010-08-10,10.734,10.843,10.388,10.794,20198,0
2010-08-11,10.408,10.695,10.408,10.655,19957,0
2010-08-12,10.428,11.001,10.428,10.932,26121,0
2010-08-13,10.873,11.14,10.873,10.873,21496,0
2010-08-16,10.922,11.021,10.626,11.011,13638,0
2010-08-17,10.576,10.972,10.161,10.932,39518,0
2010-08-18,10.586,10.784,10.339,10.547,12105,0
2010-08-19,10.468,10.566,10.023,10.023,16988,0
2010-08-20,9.983,10.191,9.983,10.112,13235,0
2010-08-23,10.151,10.616,9.884,9.884,5257,0
2010-08-24,9.835,10.033,9.825,9.825,9693,0
2010-08-25,9.785,10.072,9.756,9.904,7626,0
2010-08-26,9.894,9.924,9.687,9.687,6578,0
2010-08-27,10.112,10.606,9.894,10.102,15289,0
2010-08-30,10.072,10.181,9.677,9.677,17307,0
2010-08-31,9.677,10.033,9.677,9.914,8652,0
2010-09-01,9.993,10.141,9.637,9.973,33723,0
2010-09-02,10.052,10.131,9.716,9.795,36332,0
2010-09-03,9.865,10.003,9.795,10.003,8412,0
2010-09-07,9.954,9.954,9.697,9.697,4854,0
