Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.0422,3.096,3.0243,3.0512,4864558,0
2010-01-05,3.1407,3.1855,3.1138,3.1675,9709341,0
2010-01-06,3.1587,3.248,3.087,3.1943,6954315,0
2010-01-07,3.2838,3.3554,3.2749,3.3464,9462109,0
2010-01-08,3.3285,3.3375,3.2927,3.3285,4932841,0
2010-01-11,3.3375,3.3554,3.248,3.2838,6691472,0
2010-01-12,3.23,3.2749,3.1855,3.239,5911243,0
2010-01-13,3.2838,3.3734,3.239,3.3644,5242538,0
2010-01-14,3.3822,3.4002,3.3554,3.4002,3341660,0
2010-01-15,3.409,3.427,3.3107,3.3554,3599094,0
2010-01-19,3.3912,3.4897,3.3734,3.4628,5038490,0
2010-01-20,3.3464,3.3912,3.3018,3.3285,9983452,0
2010-01-21,3.2659,3.2659,3.069,3.069,10064895,0
2010-01-22,3.0512,3.1587,2.9975,3.0422,6071219,0
2010-01-25,3.1587,3.1765,3.087,3.1316,4743090,0
2010-01-26,3.0153,3.069,2.9886,3.0333,8453863,0
2010-01-27,3.0065,3.0333,2.9617,3.0065,5350881,0
2010-01-28,3.0422,3.0602,2.9527,2.9617,4652759,0
2010-01-29,2.9795,3.0065,2.9169,2.9169,4121629,0
2010-02-01,2.9975,3.0422,2.9886,3.0243,3994810,0
2010-02-02,3.0779,3.1587,3.069,3.1587,3626593,0
2010-02-03,3.1765,3.2123,3.1316,3.1765,3369732,0
2010-02-04,2.9886,2.9975,2.8991,2.9081,9180045,0
2010-02-05,2.8275,2.8544,2.6843,2.8185,13565032,0
2010-02-08,2.6843,2.6933,2.6128,2.6128,10486917,0
2010-02-09,2.7648,2.8005,2.6933,2.7739,5676163,0
2010-02-10,2.8185,2.8544,2.7648,2.7917,3250349,0
2010-02-11,2.7022,2.7917,2.6665,2.7739,5157846,0
2010-02-12,2.6217,2.7112,2.5771,2.6933,9923685,0
2010-02-16,2.7469,2.8364,2.7291,2.8364,4470287,0
2010-02-17,2.9081,2.9169,2.8185,2.8723,5328728,0
2010-02-18,2.8185,2.8633,2.8185,2.8633,3173097,0
2010-02-19,2.7648,2.8364,2.7559,2.8275,4890990,0
2010-02-22,2.8991,2.9169,2.8813,2.9081,2990363,0
2010-02-23,2.9348,2.9438,2.8454,2.8633,4260295,0
2010-02-24,2.9169,3.0153,2.8991,2.9886,5476283,0
2010-02-25,2.9617,3.0602,2.9438,3.0602,6484045,0
2010-02-26,2.8544,2.9081,2.8454,2.9081,5779460,0
2010-03-01,2.7022,2.8095,2.6933,2.7559,15283962,0
2010-03-02,2.7739,2.8364,2.7291,2.8005,12850397,0
2010-03-03,2.8723,2.8991,2.8454,2.8633,5027373,0
2010-03-04,2.9348,2.9707,2.8991,2.9617,6504665,0
2010-03-05,2.9259,2.9886,2.9169,2.9886,7954052,0
2010-03-08,2.9438,2.9617,2.8813,2.8813,8516601,0
2010-03-09,2.8633,2.9438,2.8544,2.8902,4915437,0
2010-03-10,2.9348,2.9975,2.9259,2.9707,5296383,0
2010-03-11,3.0243,3.096,3.0153,3.087,7870398,0
2010-03-12,3.1943,3.2212,3.1497,3.1675,6497892,0
2010-03-15,3.1316,3.1497,3.087,3.1407,3691703,0
2010-03-16,3.1316,3.1943,3.1228,3.1943,5638595,0
2010-03-17,3.2034,3.2123,3.1587,3.1587,4944099,0
2010-03-18,3.1228,3.1228,3.0512,3.0512,4555442,0
2010-03-19,3.3464,3.3554,3.257,3.3285,14381974,0
2010-03-22,3.2034,3.3464,3.1943,3.3464,10647379,0
2010-03-23,3.3464,3.4449,3.3285,3.4449,8860395,0
2010-03-24,3.4449,3.4807,3.427,3.4718,8030125,0
2010-03-25,3.4985,3.5074,3.409,3.4449,9053356,0
2010-03-26,3.4539,3.4897,3.4002,3.4181,6391982,0
2010-03-29,3.4181,3.427,3.3822,3.3912,4677527,0
2010-03-30,3.3822,3.3912,3.3196,3.3644,4808209,0
2010-03-31,3.3734,3.4449,3.3734,3.4449,4788155,0
2010-04-01,3.5165,3.5254,3.4985,3.5074,3894362,0
2010-04-05,3.5433,3.6238,3.5344,3.6149,3948657,0
