Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.67,9.14,8.59,9.12,452338,0
2010-01-05,9.19,9.58,9.08,9.35,548939,0
2010-01-06,9.31,10.29,9.31,9.95,2151348,0
2010-01-07,9.97,9.97,9.61,9.7,745444,0
2010-01-08,9.69,9.72,9.57,9.64,372827,0
2010-01-11,9.74,9.79,9.29,9.35,621379,0
2010-01-12,9.28,9.33,9.14,9.19,326009,0
2010-01-13,9.2,9.37,9.07,9.26,313147,0
2010-01-14,9.24,9.56,9.24,9.39,347668,0
2010-01-15,9.41,9.44,9,9.32,1185084,0
2010-01-19,9.34,9.7,9.19,9.38,452478,0
2010-01-20,9.3,9.34,8.9,9.25,732995,0
2010-01-21,9.3,9.46,9.06,9.2,688899,0
2010-01-22,9.16,9.45,9.05,9.16,541702,0
2010-01-25,9.3,10.85,9.19,10.51,7229971,0
2010-01-26,12.3,12.36,11.71,12.15,6360239,0
2010-01-27,11.98,12.17,11.75,11.89,2899112,0
2010-01-28,11.91,11.95,11.44,11.49,2171523,0
2010-01-29,11.53,11.75,11.41,11.47,2899273,0
2010-02-01,11.52,11.71,11.49,11.53,1353617,0
2010-02-02,11.52,11.65,11.41,11.49,1467374,0
2010-02-03,11.41,11.9,11.41,11.89,2316439,0
2010-02-04,11.73,11.82,11.51,11.66,1947124,0
2010-02-05,11.71,11.98,11.69,11.91,2002727,0
2010-02-08,11.93,11.93,11.6,11.63,1554937,0
2010-02-09,11.79,11.9,11.65,11.87,1411305,0
2010-02-10,11.78,11.85,11.05,11.5,4880077,0
2010-02-11,11.43,11.61,11.38,11.58,3629934,0
2010-02-12,11.5,11.95,11.5,11.92,3516332,0
2010-02-16,11.94,11.99,11.8,11.9,1398275,0
2010-02-17,11.9,11.98,11.68,11.91,1198497,0
2010-02-18,11.86,12.15,11.8,12.15,6070424,0
2010-02-19,12.1,12.39,12.05,12.29,4475839,0
2010-02-22,12.31,12.61,12.24,12.61,2422208,0
2010-02-23,12.55,12.61,12.33,12.54,2037373,0
2010-02-24,12.4,12.6,12.35,12.51,1474053,0
2010-02-25,12.27,12.98,12.15,12.58,3274025,0
2010-02-26,12.5,12.99,12,12.99,5294432,0
2010-03-01,12.97,13.08,12.38,12.69,2744331,0
2010-03-02,12.88,13.38,12.83,13.03,2550422,0
2010-03-03,13.02,13.56,12.91,13.44,2239062,0
2010-03-04,13.48,13.89,13.2,13.2,2397266,0
2010-03-05,13.19,13.87,13.19,13.84,2502810,0
2010-03-08,13.88,14.48,13.88,14.25,4190853,0
2010-03-09,14.17,14.34,14.04,14.14,1998636,0
2010-03-10,14.12,14.24,13.97,14.09,1812849,0
2010-03-11,14.02,14.15,13.74,14.1,1763043,0
2010-03-12,14.16,14.18,13.92,13.99,1707772,0
2010-03-15,13.91,14,13.42,13.6,2824360,0
2010-03-16,13.67,13.77,13.52,13.72,1619119,0
2010-03-17,13.71,13.95,13.7,13.76,1922559,0
2010-03-18,13.79,13.82,13.55,13.67,941373,0
2010-03-19,13.7,13.7,13.02,13.07,2504191,0
2010-03-22,12.96,13.68,12.9,13.6,1204240,0
2010-03-23,13.63,13.67,13.37,13.63,1387131,0
2010-03-24,13.53,13.56,13.3,13.54,1842816,0
2010-03-25,13.58,14.12,13.58,13.67,2537555,0
2010-03-26,13.7,13.8,13.41,13.73,1580142,0
2010-03-29,13.77,14.45,13.77,14.37,2639247,0
2010-03-30,14.43,14.53,14.05,14.51,2824884,0
2010-03-31,14.4,14.82,14.34,14.5,3065101,0
2010-04-01,14.64,14.71,14.2,14.42,2680096,0
2010-04-05,14.54,15.45,14.52,15.2,2070441,0
2010-04-06,15.12,15.5,15.04,15.46,1760074,0
