Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,14.043,14.416,13.961,14.177,10617658,0
2010-01-05,14.145,14.302,13.952,14.013,11951737,0
2010-01-06,14.085,14.369,14.02,14.21,15933713,0
2010-01-07,14.575,14.677,14.093,14.535,23995106,0
2010-01-08,14.244,14.294,14.004,14.059,15906518,0
2010-01-11,14.218,14.218,13.612,13.812,15769780,0
2010-01-12,13.638,13.821,13.462,13.603,11170767,0
2010-01-13,13.671,13.926,13.62,13.663,13574528,0
2010-01-14,13.576,13.76,13.439,13.719,8742242,0
2010-01-15,13.719,13.943,13.576,13.75,9460327,0
2010-01-19,13.728,13.919,13.728,13.866,7461156,0
2010-01-20,13.778,13.838,13.553,13.663,10036685,0
2010-01-21,13.693,13.911,13.053,13.08,18530145,0
2010-01-22,13.132,13.386,12.83,12.938,17599508,0
2010-01-25,13.105,13.188,12.863,12.906,10727172,0
2010-01-26,12.914,13.353,12.79,13.147,15134940,0
2010-01-27,13.08,13.254,12.847,13.022,11001535,0
2010-01-28,13.132,13.263,12.906,13.115,13964350,0
2010-01-29,13.394,13.561,13.229,13.237,16309031,0
2010-02-01,12.972,13.229,12.747,13.229,25325276,0
2010-02-02,13.205,13.561,13.105,13.471,13827276,0
2010-02-03,13.306,13.537,13.205,13.497,10833539,0
2010-02-04,13.986,14.177,13.638,13.852,31077634,0
2010-02-05,13.852,13.895,13.132,13.645,18186942,0
2010-02-08,13.686,13.866,13.497,13.52,13364827,0
2010-02-09,13.686,14.026,13.561,13.885,11629237,0
2010-02-10,13.895,14.043,13.719,13.919,12072225,0
2010-02-11,13.859,14.244,13.735,14.234,10090785,0
2010-02-12,14.05,14.451,13.926,14.392,9816038,0
2010-02-16,14.369,14.891,14.369,14.867,12037561,0
2010-02-17,14.825,15.041,14.759,14.898,10213465,0
2010-02-18,14.834,15.198,14.685,15.09,11615466,0
2010-02-19,15.025,15.472,15.025,15.406,10001704,0
2010-02-22,15.465,15.665,15.232,15.35,19994186,0
2010-02-23,15.281,15.674,15.189,15.515,17141869,0
2010-02-24,15.432,16.246,15.432,16.221,18347811,0
2010-02-25,15.906,16.103,15.814,16.022,20048192,0
2010-02-26,16.022,16.079,15.814,15.913,13684238,0
2010-03-01,15.963,16.585,15.938,16.436,16247508,0
2010-03-02,16.585,16.662,16.255,16.619,18501194,0
2010-03-03,16.58,16.693,16.462,16.644,15484159,0
2010-03-04,16.72,17.062,16.471,16.518,25182392,0
2010-03-05,16.644,17.118,16.571,16.993,14276010,0
2010-03-08,17.317,17.592,17.135,17.485,15735295,0
2010-03-09,17.435,17.5,17.001,17.185,11185716,0
2010-03-10,17.169,17.717,17.1,17.435,12785473,0
2010-03-11,17.351,17.682,17.294,17.5,9291339,0
2010-03-12,17.717,18.114,17.626,18.075,16118074,0
2010-03-15,17.942,18.066,17.726,17.914,13648273,0
2010-03-16,17.95,18.016,17.792,17.982,6673252,0
2010-03-17,18.107,18.133,17.732,17.933,8478352,0
2010-03-18,17.882,17.974,17.61,17.776,8273586,0
2010-03-19,17.833,17.866,17.294,17.36,13100771,0
2010-03-22,17.185,18.323,17.159,18.281,19081782,0
2010-03-23,18.374,18.415,17.801,18.173,15125242,0
2010-03-24,18.066,18.166,17.757,17.866,7914906,0
2010-03-25,18.048,18.365,17.857,17.866,7801552,0
2010-03-26,17.95,18.281,17.892,18.048,6561458,0
2010-03-29,18.173,18.272,17.95,17.982,7121890,0
2010-03-30,17.967,18.507,17.809,18.381,12309604,0
2010-03-31,18.222,18.39,17.991,18.09,10725132,0
2010-04-01,18.272,18.613,18.222,18.563,9373465,0
2010-04-05,18.613,18.997,18.482,18.981,11925880,0
2010-04-06,18.904,18.955,18.639,18.789,7627782,0
2010-04-07,18.814,19.072,18.473,18.666,13294920,0
2010-04-08,18.446,18.898,18.348,18.822,13693800,0
2010-04-09,18.789,19.552,18.706,19.537,11943489,0
2010-04-12,19.528,19.603,19.046,19.064,9820916,0
2010-04-13,19.079,19.436,19.037,19.311,8607194,0
2010-04-14,19.436,19.919,19.247,19.91,11652953,0
2010-04-15,19.836,20.05,19.694,19.745,10770288,0
2010-04-16,19.595,19.727,19.013,19.097,12158866,0
2010-04-19,19.028,19.271,18.482,19.028,11088870,0
2010-04-20,19.129,19.405,18.971,19.122,8388685,0
2010-04-21,19.18,19.495,18.822,19.479,11722439,0
2010-04-22,19.328,20.409,19.23,20.342,14585944,0
2010-04-23,20.436,20.651,20.228,20.636,9976080,0
2010-04-26,20.717,20.983,20.56,20.649,13028612,0
2010-04-27,20.419,20.551,19.811,19.868,18797662,0
2010-04-28,20.003,20.342,19.561,19.967,12627484,0
2010-04-29,20.059,20.592,20.012,20.509,9884488,0
2010-04-30,20.551,20.583,19.222,19.279,16530941,0
2010-05-03,19.428,19.876,19.32,19.727,11530627,0
2010-05-04,19.462,19.561,18.831,18.921,13955694,0
2010-05-05,18.613,19.603,18.339,19.296,16866496,0
2010-05-06,19.072,19.528,17.452,18.629,20096430,0
2010-05-07,18.629,19.113,17.635,18.23,23142711,0
2010-05-10,19.056,19.967,19.056,19.919,16313376,0
2010-05-11,19.512,20.435,19.512,19.86,14022778,0
2010-05-12,20.301,20.641,19.719,20.525,19923797,0
2010-05-13,20.419,20.419,19.413,19.512,13151411,0
2010-05-14,19.213,19.335,18.423,18.729,17529930,0
2010-05-17,18.863,18.989,17.959,18.541,16613431,0
2010-05-18,18.781,18.839,17.682,17.757,21476840,0
2010-05-19,18.007,18.23,17.392,17.74,18675993,0
2010-05-20,17.269,17.485,16.845,16.91,26681829,0
2010-05-21,16.677,17.65,16.536,17.493,20317129,0
2010-05-24,17.476,17.942,17.392,17.573,15404822,0
2010-05-25,16.903,17.892,16.72,17.873,16066858,0
2010-05-26,18.133,18.183,17.369,17.466,14619329,0
2010-05-27,17.967,18.348,17.659,18.323,12549933,0
2010-05-28,18.308,18.796,18.222,18.455,12177301,0
2010-06-01,18.555,19.056,18.166,18.183,15868532,0
2010-06-02,18.339,18.639,18.107,18.613,11113099,0
2010-06-03,18.814,19.162,18.514,18.689,14054619,0
2010-06-04,18.2,18.308,17.333,17.476,14804803,0
2010-06-07,17.533,17.776,17.1,17.1,12094957,0
2010-06-08,17.178,17.351,16.644,17.1,12465719,0
2010-06-09,17.233,17.635,16.91,17.053,14116201,0
2010-06-10,17.452,17.785,17.351,17.726,9874755,0
2010-06-11,17.443,17.933,17.242,17.65,8212060,0
2010-06-14,17.866,18.374,17.792,18.056,9212643,0
2010-06-15,18.272,18.541,17.9,18.455,14004221,0
2010-06-16,18.222,18.381,17.907,18.114,8475352,0
