Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,48.916,50.378,48.774,50.225,1244446,0
2010-01-05,50.04,51.108,49.754,50.869,1048292,0
2010-01-06,52.034,52.995,51.572,51.82,1408793,0
2010-01-07,51.766,53.691,51.766,53.352,1546543,0
2010-01-08,53.012,53.644,52.445,53.11,762621,0
2010-01-11,53.423,53.423,52.16,52.631,470663,0
2010-01-12,52.168,53.263,51.233,51.518,665834,0
2010-01-13,51.597,51.864,51.081,51.704,480838,0
2010-01-14,51.741,52.478,51.161,52.478,538384,0
2010-01-15,52.22,52.764,50.743,50.805,1069328,0
2010-01-19,51.009,51.625,50.626,51.518,714710,0
2010-01-20,50.831,51.178,49.692,50.369,779172,0
2010-01-21,50.556,51.233,48.285,48.49,1056821,0
2010-01-22,48.358,48.358,46.638,46.781,1391011,0
2010-01-25,47.359,47.431,45.507,46.441,1233873,0
2010-01-26,46.246,46.646,45.428,46.326,1307565,0
2010-01-27,46.132,46.744,45.614,46.726,736388,0
2010-01-28,46.754,46.843,44.956,45.08,1095677,0
2010-01-29,48.49,48.49,45.962,46.113,1892478,0
2010-02-01,46.409,47.332,46.05,47.332,1094585,0
2010-02-02,47.866,49.718,47.538,49.122,2344356,0
2010-02-03,48.916,49.452,48.108,48.873,902051,0
2010-02-04,48.375,48.375,46.095,46.487,1390686,0
2010-02-05,46.21,46.754,44.99,45.846,1766538,0
2010-02-08,45.765,45.962,44.627,45.249,1090640,0
2010-02-09,45.899,46.246,45.045,45.81,1219351,0
2010-02-10,45.81,46.202,45.303,45.507,972179,0
2010-02-11,45.517,46.409,45.071,46.256,552682,0
2010-02-12,45.55,46.309,45.293,46.273,794317,0
2010-02-16,46.603,46.949,46.068,46.833,570559,0
2010-02-17,47.111,47.698,46.985,47.413,685303,0
2010-02-18,47.28,47.556,47.023,47.199,936647,0
2010-02-19,46.976,48.276,46.932,48.036,1063815,0
2010-02-22,48.09,48.124,47.217,47.306,1104038,0
2010-02-23,47.074,47.242,45.55,45.686,1532654,0
2010-02-24,45.738,46.432,45.293,46.326,1548945,0
2010-02-25,45.115,46.256,45.115,46.148,1346061,0
2010-02-26,46.148,46.156,45.24,45.872,1312476,0
2010-03-01,46.156,47.297,45.695,47.209,1323025,0
