Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.273,4.3398,4.273,4.3036,45322,0
2010-01-05,4.3242,4.3398,4.2574,4.2934,89498,0
2010-01-06,4.3294,4.3398,4.273,4.3242,107296,0
2010-01-07,4.3294,4.3398,4.314,4.3398,78678,0
2010-01-08,4.3036,4.4423,4.3036,4.4423,100663,0
2010-01-11,4.4217,4.4681,4.4012,4.4681,23085,0
2010-01-12,4.4374,4.4628,4.3756,4.4423,40269,0
2010-01-13,4.4217,4.4628,4.3651,4.4423,51069,0
2010-01-14,4.4217,4.4217,4.3706,4.3961,20604,0
2010-01-15,4.3294,4.473,4.3294,4.473,44962,0
2010-01-19,4.4476,4.5706,4.4012,4.509,113535,0
2010-01-20,4.5244,4.5244,4.3961,4.3961,96863,0
2010-01-21,4.4217,4.4374,4.3344,4.3909,88142,0
2010-01-22,4.3909,4.4167,4.2882,4.2934,319160,0
2010-01-25,4.3651,4.509,4.3651,4.4423,97417,0
2010-01-26,4.4167,4.4524,4.3961,4.4167,239798,0
2010-01-27,4.4167,4.4476,4.3447,4.4012,89644,0
2010-01-28,4.4217,4.4886,4.3909,4.4476,159460,0
2010-01-29,4.4476,4.4681,4.2574,4.2574,137410,0
2010-02-01,4.2934,4.4167,4.2934,4.3603,96350,0
2010-02-02,4.3398,4.4374,4.3344,4.4374,51242,0
2010-02-03,4.4167,4.4681,4.3909,4.4681,255606,0
2010-02-04,4.4269,4.4936,4.3344,4.3859,49497,0
2010-02-05,4.3603,4.4321,4.3603,4.4321,65177,0
2010-02-08,4.4115,4.4269,4.3909,4.3909,24343,0
2010-02-09,4.4167,4.5193,4.3651,4.509,64973,0
2010-02-10,4.5657,4.5657,4.4476,4.5041,15499,0
2010-02-11,4.4886,4.5193,4.4063,4.4063,13195,0
2010-02-12,4.3909,4.617,4.3909,4.4936,55249,0
2010-02-16,4.473,4.5348,4.3909,4.5193,177037,0
2010-02-17,4.4936,4.5398,4.4423,4.4834,58549,0
2010-02-18,4.5041,4.617,4.4628,4.545,339607,0
2010-02-19,4.4524,4.622,4.4524,4.617,372742,0
2010-02-22,4.5657,4.622,4.5657,4.622,258768,0
2010-02-23,4.5965,4.7196,4.5965,4.6478,165416,0
2010-02-24,4.6478,4.7043,4.6425,4.6837,74021,0
2010-02-25,4.653,4.7505,4.653,4.7505,311894,0
2010-02-26,4.7762,4.8019,4.6941,4.8019,545230,0
2010-03-01,4.8274,4.8788,4.7607,4.8686,684048,0
2010-03-02,4.9044,5.0585,4.8994,5.0585,459628,0
2010-03-03,5.0945,5.1356,4.9713,5.1203,323157,0
2010-03-04,5.1356,5.2126,5.0175,5.1972,743394,0
2010-03-05,5.2228,5.2539,5.1972,5.2126,353301,0
2010-03-08,5.2126,5.3464,5.1819,5.3464,493726,0
2010-03-09,5.3153,5.5569,5.3103,5.5569,643729,0
2010-03-10,5.5311,5.6134,5.5311,5.5978,267348,0
2010-03-11,5.5978,5.7005,5.5464,5.6903,720147,0
2010-03-12,5.7005,5.7521,5.6389,5.6747,269607,0
2010-03-15,5.6492,5.6955,5.6184,5.6389,1017724,0
2010-03-16,5.644,5.6955,5.5569,5.644,710345,0
2010-03-17,5.6285,5.6698,5.5001,5.6184,444895,0
2010-03-18,5.6236,5.6339,5.4643,5.4747,109105,0
2010-03-19,5.4541,5.4954,5.3411,5.4954,140216,0
2010-03-22,5.4643,5.644,5.4233,5.6184,189352,0
2010-03-23,5.6031,5.6339,5.5618,5.6134,136993,0
2010-03-24,5.5721,5.6492,5.5672,5.6031,714511,0
2010-03-25,5.6236,5.644,5.5772,5.5928,95388,0
2010-03-26,5.5978,5.5978,5.5056,5.521,215603,0
2010-03-29,5.5569,5.5569,5.3411,5.4285,89029,0
2010-03-30,5.4233,5.4233,5.2487,5.2692,144395,0
2010-03-31,5.1869,5.3204,5.1869,5.3153,259571,0
2010-04-01,5.2897,5.521,5.2897,5.4954,222381,0
2010-04-05,5.5362,5.5362,5.3256,5.4849,87369,0
2010-04-06,5.4438,5.5569,5.4438,5.4747,104782,0
2010-04-07,5.5056,5.5875,5.4592,5.4747,122379,0
2010-04-08,5.4643,5.4643,5.3668,5.4027,94696,0
2010-04-09,5.4079,5.5978,5.3873,5.5978,127803,0
2010-04-12,5.5978,5.7931,5.5311,5.7211,385511,0
2010-04-13,5.7005,5.7521,5.6747,5.7005,105555,0
2010-04-14,5.7315,5.834,5.7315,5.8032,284357,0
2010-04-15,5.7982,5.9009,5.7982,5.8598,370426,0
2010-04-16,5.8032,5.9009,5.8032,5.8648,373386,0
2010-04-19,5.8648,5.9009,5.7159,5.8804,86764,0
2010-04-20,5.8134,6.0906,5.8134,6.0906,329903,0
2010-04-21,6.0906,6.2654,6.0497,6.1986,457848,0
2010-04-22,6.1423,6.3938,6.1167,6.3065,350615,0
2010-04-23,6.3371,6.5495,6.2284,6.4459,466667,0
2010-04-26,6.4144,6.625,6.3992,6.5531,363144,0
2010-04-27,6.5223,6.6147,6.4298,6.5326,273058,0
2010-04-28,6.548,6.7381,6.4351,6.5787,663930,0
2010-04-29,6.5994,6.6506,6.5531,6.6147,176861,0
2010-04-30,6.6044,6.6765,6.6044,6.6405,246558,0
2010-05-03,6.6354,6.6765,6.6147,6.6711,270315,0
2010-05-04,6.5891,6.6506,6.5223,6.5531,238821,0
2010-05-05,6.5121,6.6609,6.4196,6.5942,223322,0
2010-05-06,6.5068,6.6765,5.4695,6.625,402071,0
2010-05-07,6.4709,6.548,6.0088,6.0394,325307,0
2010-05-10,6.3323,6.3734,6.1217,6.1781,212291,0
2010-05-11,6.1678,6.1884,6.0394,6.1629,384786,0
2010-05-12,6.1834,6.3271,6.1834,6.3168,285197,0
2010-05-13,6.3168,6.353,6.1321,6.1731,335570,0
2010-05-14,6.1629,6.1937,5.9266,6.1167,234805,0
2010-05-17,6.137,6.2347,5.9624,6.1115,204228,0
2010-05-18,6.1115,6.1781,5.9162,5.9676,290331,0
2010-05-19,5.9676,6.0241,5.7418,5.9061,115001,0
2010-05-20,5.8134,5.8701,5.5772,5.5825,81336,0
2010-05-21,5.5259,5.7056,5.5001,5.7005,84149,0
2010-05-24,5.7364,5.8598,5.5721,5.5928,125812,0
2010-05-25,5.4897,5.6031,5.4027,5.5978,105245,0
2010-05-26,5.6595,5.9779,5.6492,5.8854,283846,0
2010-05-27,6.0754,6.2603,6.0139,6.1731,140512,0
2010-05-28,6.1731,6.3065,6.1217,6.2552,113610,0
2010-06-01,6.2295,6.3015,6.2142,6.2808,100358,0
2010-06-02,6.3015,6.3578,6.25,6.286,95075,0
2010-06-03,6.2552,6.3373,6.1884,6.2142,101513,0
2010-06-04,5.9472,6.3117,5.9472,6.0447,99446,0
2010-06-07,6.2347,6.2347,5.8958,5.9061,141358,0
2010-06-08,5.8752,6.0962,5.8032,6.0906,128211,0
2010-06-09,6.0754,6.1834,6.0549,6.0805,57223,0
2010-06-10,6.1678,6.3938,6.0906,6.3938,114214,0
2010-06-11,6.3836,6.5737,6.3426,6.5635,85202,0
2010-06-14,6.5635,6.7226,6.5635,6.6711,189147,0
2010-06-15,6.6506,6.7637,6.4966,6.6609,86089,0
2010-06-16,6.6354,6.7741,6.625,6.656,112060,0
2010-06-17,6.5787,6.6815,6.5737,6.6711,93298,0
2010-06-18,6.6765,6.7381,6.5223,6.584,187303,0
2010-06-21,6.7277,6.7277,6.5017,6.5275,34951,0
2010-06-22,6.584,6.584,6.2654,6.2808,160565,0
2010-06-23,6.3168,6.5428,6.2654,6.5068,69083,0
2010-06-24,6.3373,6.3888,6.2552,6.2808,75003,0
2010-06-25,6.1986,6.2808,6.137,6.1834,181501,0
2010-06-28,6.2347,6.2347,5.9521,5.9521,199716,0
2010-06-29,5.8134,5.8598,5.5772,5.7056,274581,0
2010-06-30,5.6603,5.6603,5.462,5.4828,296992,0
2010-07-01,5.5106,5.5825,5.4233,5.4796,323916,0
2010-07-02,5.4334,5.4695,5.2228,5.3256,71294,0
2010-07-06,5.3464,5.5311,5.2692,5.2742,95668,0
2010-07-07,5.2487,5.2641,5.1819,5.2588,318890,0
2010-07-08,5.3153,5.3153,5.1716,5.2385,159746,0
2010-07-09,5.2385,5.3411,5.2331,5.3361,55331,0
2010-07-12,5.3103,5.4954,5.2897,5.4954,99011,0
2010-07-13,5.6747,5.6747,5.4233,5.5464,245588,0
2010-07-14,5.5721,5.6747,5.5721,5.6492,866702,0
2010-07-15,5.6595,5.7109,5.6134,5.6339,98701,0
2010-07-16,5.5875,5.6236,5.3204,5.3464,119637,0
2010-07-19,5.3204,5.3565,5.2024,5.3464,61543,0
2010-07-20,5.2539,5.5721,5.2539,5.5414,212636,0
2010-07-21,5.6134,5.7418,5.521,5.5362,62577,0
2010-07-22,5.5618,5.7467,5.5618,5.6184,39406,0
2010-07-23,5.6903,5.8701,5.6698,5.7828,66112,0
2010-07-26,5.834,5.834,5.7571,5.7571,12014,0
2010-07-27,5.7828,5.8393,5.7263,5.7879,82857,0
2010-07-28,5.7879,5.8032,5.6492,5.7982,103307,0
2010-07-29,5.8393,5.9729,5.8186,5.8752,94597,0
2010-07-30,5.8186,6.4041,5.7674,6.3323,117302,0
2010-08-02,6.4196,6.4196,6.1268,6.2912,185936,0
2010-08-03,6.2295,6.4452,6.0344,6.3271,277264,0
2010-08-04,6.3888,6.4196,6.2963,6.3323,90666,0
2010-08-05,6.3373,6.4966,6.3323,6.4761,161687,0
2010-08-06,6.4506,6.5428,6.3888,6.4916,135011,0
2010-08-09,6.4864,6.5379,6.4196,6.5172,28781,0
2010-08-10,6.4761,6.548,6.3373,6.3785,86596,0
2010-08-11,6.25,6.2707,6.1321,6.1678,116541,0
2010-08-12,6.137,6.2089,6.0654,6.1524,112988,0
2010-08-13,6.1731,6.2191,6.0754,6.1678,99904,0
2010-08-16,6.1474,6.1474,6.0394,6.0962,52339,0
2010-08-17,6.1167,6.3426,6.0241,6.2142,57985,0
2010-08-18,6.25,6.286,6.137,6.2039,73768,0
2010-08-19,6.1321,6.2244,6.1167,6.2039,48134,0
2010-08-20,6.1678,6.2758,6.1423,6.1937,121498,0
2010-08-23,6.1834,6.3065,6.0292,6.06,72302,0
2010-08-24,6.0447,6.101,5.7724,5.9009,107922,0
2010-08-25,5.8648,5.9729,5.8443,5.9214,48222,0
2010-08-26,5.9061,5.9729,5.8854,5.9162,41480,0
2010-08-27,5.9266,5.9624,5.9009,5.9472,26723,0
2010-08-30,5.9624,6.0805,5.9624,6.0088,58694,0
2010-08-31,6.0364,6.0364,5.9371,5.9892,76122,0
2010-09-01,6.1115,6.2142,6.1115,6.2089,41993,0
2010-09-02,6.1781,6.2808,6.1524,6.2244,38682,0
2010-09-03,6.3065,6.5172,6.2552,6.5172,48303,0
2010-09-07,6.3477,6.4351,6.3373,6.4351,20236,0
2010-09-08,6.4041,6.656,6.3683,6.6405,82995,0
2010-09-09,6.584,6.6867,6.5428,6.5428,37025,0
2010-09-10,6.6147,6.6302,6.4506,6.6302,17537,0
2010-09-13,6.6867,6.7534,6.625,6.7174,88142,0
2010-09-14,6.7484,6.7534,6.6867,6.6919,27536,0
2010-09-15,6.7123,6.7534,6.6097,6.7534,54098,0
2010-09-16,6.7484,6.7534,6.656,6.7484,47444,0
2010-09-17,6.7534,6.7534,6.548,6.6609,89588,0
2010-09-20,6.656,6.7534,6.6302,6.7073,63440,0
2010-09-21,6.7484,6.7741,6.6711,6.7021,104197,0
2010-09-22,6.6405,6.7174,6.6405,6.6662,30297,0
2010-09-23,6.6765,6.7687,6.5686,6.656,51149,0
2010-09-24,6.5686,6.9793,6.5686,6.9383,341332,0
2010-09-27,6.9075,6.9128,6.6815,6.7687,38337,0
2010-09-28,6.6765,6.7791,6.656,6.7021,27444,0
2010-09-29,6.7123,6.8305,6.6919,6.7123,128933,0
2010-09-30,6.6995,6.9327,6.6789,6.8758,79075,0
2010-10-01,6.8562,6.9434,6.7997,6.8457,368958,0
2010-10-04,6.7894,6.8817,6.7791,6.7791,71359,0
2010-10-05,6.7843,6.8817,6.7741,6.8768,49543,0
2010-10-06,6.8562,6.923,6.8457,6.9075,25118,0
2010-10-07,6.928,6.9331,6.8254,6.8715,187591,0
2010-10-08,6.8612,6.9331,6.8612,6.8817,20736,0
2010-10-11,6.9178,6.9844,6.8817,6.9742,81098,0
2010-10-12,6.9844,7.005,6.9128,7.005,33346,0
2010-10-13,7.0102,7.1848,6.9331,7.1644,129596,0
2010-10-14,7.0924,7.0924,6.9537,7.036,72849,0
2010-10-15,7.0204,7.0821,7.0204,7.0667,27287,0
2010-10-18,7.0718,7.1027,6.9898,7.0872,66667,0
2010-10-19,7.077,7.1437,7.0204,7.0204,89576,0
2010-10-20,7.0872,7.1078,7.0514,7.0565,50342,0
2010-10-21,7.0872,7.1181,6.9691,7.077,67146,0
2010-10-22,7.0924,7.1693,7.0565,7.1437,18731,0
2010-10-25,7.159,7.19,7.1027,7.1027,81892,0
2010-10-26,6.9898,7.1488,6.9898,7.1078,30489,0
2010-10-27,7.0461,7.159,7.0154,7.1078,26873,0
2010-10-28,7.1128,7.2106,7.1078,7.1488,385435,0
2010-10-29,7.1783,7.1888,7.1255,7.1308,272242,0
2010-11-01,7.1385,7.1952,7.077,7.1385,118310,0
2010-11-02,7.2003,7.2003,7.1283,7.2003,574731,0
