Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.53,13.03,12.53,13.03,1634654,0
2010-01-05,12.71,13.01,12.71,12.93,1850913,0
2010-01-06,12.92,13.23,12.87,13.08,1980776,0
2010-01-07,13.09,13.3,12.95,13.3,2080693,0
2010-01-08,13.33,13.45,13.19,13.45,2499104,0
2010-01-11,13.55,13.72,13.5,13.71,2072736,0
2010-01-12,13.5,13.5,12.98,13.14,2566574,0
2010-01-13,13.14,13.37,12.84,13.13,1499284,0
2010-01-14,13.03,13.14,12.84,12.9,1917233,0
2010-01-15,12.91,12.98,12.64,12.69,1729244,0
2010-01-19,12.69,12.91,12.62,12.78,1812265,0
2010-01-20,12.6,12.62,12.35,12.41,2241240,0
2010-01-21,12.41,12.46,11.93,11.99,2389972,0
2010-01-22,12.04,12.19,11.7,11.89,2501520,0
2010-01-25,11.93,12.34,11.93,12.03,1799493,0
2010-01-26,12.09,12.22,11.86,11.9,1346736,0
2010-01-27,11.88,12,11.69,11.93,1956452,0
2010-01-28,12.04,12.04,11.6,11.81,1802086,0
2010-01-29,11.99,12.37,11.87,12.19,3977346,0
2010-02-01,12.38,12.66,12.34,12.39,2846194,0
2010-02-02,12.47,12.59,12.26,12.46,2077002,0
2010-02-03,12.42,12.68,12.33,12.41,1283493,0
2010-02-04,12.2,12.23,11.72,11.76,2025523,0
2010-02-05,11.71,11.76,11.01,11.51,3888886,0
2010-02-08,11.67,11.76,11.29,11.36,1652781,0
2010-02-09,11.62,11.69,11.36,11.46,1582288,0
2010-02-10,11.52,11.63,11.22,11.39,2462388,0
2010-02-11,11.42,11.58,11.3,11.55,1785431,0
2010-02-12,11.31,11.52,11.06,11.41,2318790,0
2010-02-16,11.55,11.89,11.55,11.79,2021656,0
2010-02-17,11.86,12.01,11.79,11.88,1431974,0
2010-02-18,12,12.51,11.96,12.48,5433937,0
2010-02-19,12.36,12.58,12.35,12.43,2570186,0
2010-02-22,12.48,12.64,12.38,12.44,1771011,0
2010-02-23,12.43,12.46,11.95,12.06,2523011,0
2010-02-24,12.1,12.1,11.74,11.83,2341031,0
2010-02-25,11.61,11.8,11.41,11.77,2866104,0
2010-02-26,11.74,11.84,11.58,11.79,3028199,0
