Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.0001,8.1609,7.8755,7.9378,173112,0
2010-01-05,7.9468,8.295,7.7858,8.0001,235027,0
2010-01-06,7.9646,8.1609,7.929,8.0001,205570,0
2010-01-07,7.9646,8.0808,7.8573,8.0808,109613,0
2010-01-08,8.545,10.124,8.5092,10.108,554569,0
2010-01-11,10.213,11.162,10.213,11.036,782233,0
2010-01-12,10.92,11.019,10.804,10.928,901379,0
2010-01-13,10.928,11.375,10.439,11.18,391991,0
2010-01-14,11.152,11.384,10.838,11.001,330225,0
2010-01-15,10.965,11.045,10.447,10.707,517569,0
2010-01-19,10.778,10.874,10.395,10.741,278672,0
2010-01-20,10.563,10.662,10.213,10.624,347977,0
2010-01-21,10.634,10.857,10.465,10.589,248157,0
2010-01-22,10.589,11.073,10.58,10.598,303721,0
2010-01-25,10.732,11.249,10.589,11.001,237518,0
2010-01-26,10.901,11.108,10.662,10.911,250102,0
2010-01-27,10.848,11.198,10.76,11.144,197529,0
2010-01-28,11.171,11.171,10.339,10.386,202077,0
2010-01-29,10.474,10.58,9.715,9.811,407108,0
2010-02-01,9.856,10.028,9.555,9.893,165134,0
2010-02-02,9.874,9.938,9.617,9.893,148025,0
2010-02-03,9.802,9.911,9.2869,9.565,165464,0
2010-02-04,9.4187,9.583,9.2687,9.3752,229385,0
2010-02-05,9.384,10.083,9.3043,9.993,279963,0
2010-02-08,10.002,10.065,9.4098,9.4187,220908,0
2010-02-09,9.583,9.777,9.1162,9.777,291899,0
2010-02-10,9.741,10.232,9.574,10.177,302715,0
2010-02-11,10.16,10.838,9.975,10.813,317487,0
2010-02-12,10.671,11.573,10.517,11.439,395795,0
2010-02-16,11.76,11.76,11.295,11.723,288827,0
2010-02-17,11.741,11.805,11.392,11.705,294487,0
2010-02-18,11.651,12.786,11.509,12.474,387371,0
2010-02-19,12.242,12.501,11.947,12.135,559172,0
2010-02-22,12.224,12.224,11.858,11.981,149672,0
2010-02-23,11.912,11.912,11.171,11.313,346903,0
2010-02-24,11.313,11.778,11.304,11.384,156656,0
2010-02-25,11.144,11.546,10.992,11.546,155118,0
2010-02-26,11.582,11.741,11.01,11.108,226468,0
2010-03-01,11.223,11.643,10.992,11.598,219396,0
2010-03-02,11.67,11.787,11.401,11.615,309943,0
2010-03-03,11.59,11.75,11.448,11.615,344664,0
2010-03-04,11.687,11.687,10.213,10.287,447906,0
2010-03-05,10.358,10.358,9.537,9.689,773248,0
2010-03-08,9.627,9.689,8.8129,8.9558,1431627,0
2010-03-09,9.1342,9.51,8.8932,8.9558,628700,0
2010-03-10,8.9737,9.1969,8.8844,9.0271,263670,0
2010-03-11,8.929,9.0629,8.8573,8.9737,331602,0
2010-03-12,8.9825,9.1077,8.929,9.0447,280245,0
2010-03-15,9.0183,9.0447,8.929,8.9558,773008,0
2010-03-16,8.9645,9.0361,8.688,8.8308,644135,0
2010-03-17,8.9021,9.1433,8.8844,9.0003,368026,0
2010-03-18,9.0003,9.0985,8.9109,8.9645,299425,0
2010-03-19,8.9645,9.054,8.92,8.929,485038,0
2010-03-22,8.804,9.0718,8.6612,9.0629,351246,0
2010-03-23,9.1077,9.3583,8.9914,9.2773,283716,0
2010-03-24,9.3224,9.3752,8.9645,9.0003,270544,0
2010-03-25,9.0718,9.2143,8.9914,9.0183,279541,0
2010-03-26,9.0447,9.1342,8.9558,9.0361,303836,0
2010-03-29,9.1077,9.1433,9.0447,9.0718,273974,0
2010-03-30,9.1162,9.2328,9.0361,9.0985,202801,0
2010-03-31,9.0183,9.0985,8.804,8.8396,347752,0
2010-04-01,8.8932,9.0092,8.7504,8.92,269448,0
2010-04-05,9.0003,9.1872,8.929,9.1872,298410,0
2010-04-06,9.1252,9.2687,9.0361,9.0808,193136,0
2010-04-07,9.0271,9.3312,9.0271,9.3043,362361,0
2010-04-08,9.2241,9.3752,9.1605,9.3224,160794,0
2010-04-09,9.2869,9.3752,9.1969,9.3494,251873,0
2010-04-12,9.3043,10.169,9.3043,10.083,586087,0
2010-04-13,10.074,10.16,9.785,9.828,583982,0
2010-04-14,9.884,10.091,9.697,10.037,289340,0
2010-04-15,10.011,10.011,9.697,9.837,133245,0
2010-04-16,9.821,10.16,9.793,10.108,429357,0
2010-04-19,10.011,10.196,9.715,9.92,299268,0
2010-04-20,9.948,10.055,9.768,9.948,164405,0
2010-04-21,10.037,10.117,9.768,10.037,211144,0
2010-04-22,9.902,10.196,9.811,10.169,254595,0
2010-04-23,10.15,10.556,10.009,10.483,198724,0
2010-04-26,10.49,10.598,10.223,10.429,230835,0
2010-04-27,10.331,10.58,10.02,10.108,387181,0
2010-04-28,10.213,10.413,10.091,10.16,161739,0
2010-04-29,10.25,10.589,10.074,10.536,249915,0
2010-04-30,10.563,10.69,9.874,9.911,319902,0
2010-05-03,10.02,10.358,9.957,10.241,278421,0
2010-05-04,10.083,10.132,9.759,9.847,368969,0
2010-05-05,9.75,9.984,9.679,9.821,236634,0
2010-05-06,9.759,10.037,9.652,9.865,475278,0
2010-05-07,9.92,10.1,9.3312,9.3752,448615,0
2010-05-10,9.652,10.055,9.537,9.893,261425,0
2010-05-11,9.725,10.259,9.706,10.1,165290,0
2010-05-12,10.16,10.517,9.984,10.439,143909,0
2010-05-13,10.413,10.49,10.15,10.465,238824,0
2010-05-14,10.358,10.395,9.865,10.108,156438,0
2010-05-17,10.213,10.386,9.6,9.874,279938,0
2010-05-18,10.037,10.213,9.689,9.715,202461,0
2010-05-19,9.689,9.828,9.1252,9.59,224343,0
2010-05-20,9.2957,9.2957,8.8396,8.9109,250996,0
2010-05-21,8.7237,9.2328,8.697,9.0895,190687,0
2010-05-24,9.0447,9.1252,8.7859,8.7952,175356,0
2010-05-25,8.5092,8.8488,8.313,8.8129,170205,0
2010-05-26,8.8752,9.1433,8.7504,8.7859,211545,0
2010-05-27,9.0629,9.4818,8.9464,9.4359,173199,0
2010-05-28,9.3752,9.617,8.8308,9.0629,217743,0
2010-06-01,8.9645,9.1342,8.7594,8.8932,204142,0
2010-06-02,8.938,9.1969,8.9109,9.1698,160126,0
2010-06-03,9.1698,9.609,9.1698,9.537,153568,0
2010-06-04,9.3134,9.4818,9.0092,9.0271,337351,0
2010-06-07,9.0718,9.0718,8.7682,8.804,225292,0
2010-06-08,8.8752,8.8932,8.545,8.7326,202598,0
2010-06-09,8.8844,9.0271,8.6522,8.8844,235684,0
2010-06-10,9.0361,9.1342,8.8129,9.0985,150610,0
2010-06-11,9.0629,9.3661,9.0183,9.1786,132812,0
2010-06-14,9.2957,9.4549,9.1433,9.1969,136920,0
2010-06-15,9.2411,9.3312,9.0271,9.2869,195413,0
2010-06-16,9.1605,9.3312,9.0361,9.1518,115075,0
2010-06-17,9.1605,9.2687,8.8932,9.1698,118763,0
2010-06-18,9.2328,9.4636,9.1786,9.2328,200222,0
2010-06-21,9.3998,9.4271,8.9825,9.0003,212090,0
2010-06-22,9.0718,9.3494,8.8752,8.8844,138359,0
2010-06-23,8.8752,9.3134,8.8752,9.0003,149366,0
2010-06-24,8.92,9.0092,8.7859,8.8396,155739,0
2010-06-25,8.92,9.0808,8.7594,8.9109,712001,0
2010-06-28,8.9737,9.0629,8.7145,8.9464,109269,0
2010-06-29,8.7504,8.804,8.5539,8.7326,275031,0
2010-06-30,8.7412,8.921,8.6334,8.6965,196309,0
2010-07-01,9.0895,9.689,8.697,8.8932,361899,0
2010-07-02,8.9645,9.4187,8.8308,9.2773,219485,0
2010-07-06,9.3918,9.528,8.7772,8.929,282467,0
2010-07-07,8.9464,9.1077,8.7145,9.0629,339263,0
2010-07-08,9.1698,9.3661,8.9021,9.3583,153844,0
2010-07-09,9.3583,9.565,9.1698,9.4636,176282,0
2010-07-12,9.4459,9.4908,8.8396,8.9825,196684,0
2010-07-13,9.1342,9.4359,8.9825,9.4187,235811,0
2010-07-14,9.3224,9.3583,9.1786,9.2411,139892,0
2010-07-15,9.2869,9.3399,9.0092,9.1162,92640,0
2010-07-16,9.0092,9.1605,8.92,8.929,235497,0
2010-07-19,8.9464,9.1162,8.7772,9.0718,97690,0
2010-07-20,8.92,9.1433,8.7504,9.0183,255633,0
2010-07-21,9.1342,9.2328,8.7055,8.8752,318336,0
2010-07-22,9.0447,9.4098,8.929,9.2241,285050,0
2010-07-23,9.1698,9.4459,9.1433,9.4098,488804,0
2010-07-26,9.4187,9.975,9.2687,9.938,312579,0
2010-07-27,10.108,10.108,9.609,9.706,247375,0
2010-07-28,9.652,9.938,9.627,9.741,207485,0
2010-07-29,9.811,9.884,9.3752,9.689,139544,0
2010-07-30,9.519,9.741,9.3494,9.537,97461,0
2010-08-02,9.734,9.802,9.519,9.715,167745,0
2010-08-03,9.679,9.828,9.546,9.6,158248,0
2010-08-04,9.643,9.725,9.4726,9.555,124629,0
2010-08-05,9.537,9.634,9.4271,9.4636,88614,0
2010-08-06,9.3918,9.546,9.0183,9.1518,197562,0
2010-08-09,9.2508,9.3752,9.1077,9.3043,180747,0
2010-08-10,9.1605,9.2057,8.688,8.8844,184168,0
2010-08-11,8.7145,8.8488,8.545,8.7055,291633,0
2010-08-12,8.5182,8.7504,8.4827,8.688,196874,0
2010-08-13,8.6253,8.697,8.42,8.4732,230210,0
2010-08-16,8.4378,8.7145,8.3932,8.5182,117504,0
2010-08-17,8.6253,8.938,8.572,8.804,169653,0
2010-08-18,8.8129,9.0629,8.6612,8.929,219991,0
2010-08-19,8.8752,8.8752,8.304,8.3487,185010,0
2010-08-20,8.3218,8.5627,8.2147,8.5362,214801,0
2010-08-23,8.6167,8.7682,8.2412,8.2412,189536,0
2010-08-24,8.1075,8.3393,7.9198,8.1698,209330,0
2010-08-25,8.1165,8.4467,8.0449,8.3932,137118,0
2010-08-26,8.42,8.572,8.0719,8.1165,143792,0
2010-08-27,8.1879,8.5003,8.0896,8.4732,125709,0
2010-08-30,8.402,8.4378,8.1791,8.2237,182584,0
2010-08-31,8.184,8.3372,7.8518,7.9777,383674,0
2010-09-01,8.1165,8.42,8.009,8.4109,277643,0
