Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,11.112,11.582,11.097,11.557,4066812,0
2010-01-05,11.585,12.541,11.474,12.431,6687998,0
2010-01-06,12.749,13.252,12.51,12.658,11740569,0
2010-01-07,12.566,13.005,12.51,12.774,7207529,0
2010-01-08,12.681,12.838,12.602,12.69,2867533,0
2010-01-11,12.774,13.066,12.681,12.96,5197300,0
2010-01-12,12.806,13.061,12.779,13.015,6546443,0
2010-01-13,12.984,13.015,12.485,12.55,5601677,0
2010-01-14,12.622,12.846,12.476,12.698,5426444,0
2010-01-15,12.788,12.81,12.532,12.58,2384113,0
2010-01-19,12.503,12.667,12.503,12.622,4098702,0
2010-01-20,12.532,12.681,12.401,12.431,2749049,0
2010-01-21,12.415,12.626,12.363,12.38,3873312,0
2010-01-22,12.315,12.467,12.295,12.32,4049529,0
2010-01-25,12.372,12.462,12.259,12.334,3090906,0
2010-01-26,12.315,12.315,12.107,12.208,2398861,0
2010-01-27,12.168,12.224,12.011,12.102,5031382,0
2010-01-28,12.199,12.245,11.861,11.92,3376183,0
2010-01-29,11.912,12.111,11.877,11.946,2422256,0
2010-02-01,12.025,12.146,11.95,12.128,1967846,0
2010-02-02,12.212,12.393,12.116,12.363,2551270,0
2010-02-03,12.334,12.53,12.255,12.449,2217975,0
2010-02-04,12.359,12.359,12.137,12.137,3138833,0
2010-02-05,12.146,12.325,11.976,12.259,5848559,0
2010-02-08,12.208,12.411,12.078,12.146,2347849,0
2010-02-09,12.298,12.431,12.208,12.355,1800538,0
2010-02-10,12.334,12.493,12.208,12.363,3108157,0
2010-02-11,12.375,12.375,12.137,12.329,2496120,0
2010-02-12,12.334,12.349,12.159,12.311,1954769,0
2010-02-16,12.489,12.562,12.285,12.51,2511758,0
2010-02-17,12.55,12.698,12.48,12.493,2146771,0
2010-02-18,12.425,12.632,12.363,12.507,2004997,0
2010-02-19,12.532,12.58,12.375,12.415,2234522,0
2010-02-22,12.485,12.663,12.485,12.626,4146463,0
2010-02-23,12.632,12.641,12.303,12.406,2682057,0
2010-02-24,12.48,12.562,12.372,12.428,3189698,0
2010-02-25,11.9,12.428,11.803,12.385,5705319,0
2010-02-26,12.334,12.428,12.237,12.363,3440788,0
2010-03-01,12.476,12.476,12.341,12.431,2233481,0
2010-03-02,12.472,12.589,12.425,12.462,3322570,0
2010-03-03,12.541,12.667,12.541,12.589,1809253,0
2010-03-04,12.618,12.774,12.559,12.744,1826842,0
2010-03-05,12.774,12.905,12.69,12.69,1803554,0
2010-03-08,12.686,12.744,12.609,12.663,906888,0
2010-03-09,12.614,12.698,12.562,12.592,1044656,0
2010-03-10,12.641,12.735,12.609,12.681,1397314,0
2010-03-11,12.632,12.632,12.385,12.52,1264696,0
2010-03-12,12.667,12.69,12.52,12.618,1163600,0
2010-03-15,12.645,12.735,12.532,12.727,1243215,0
2010-03-16,12.677,12.819,12.649,12.81,1266064,0
2010-03-17,12.838,12.877,12.765,12.788,1397379,0
2010-03-18,12.779,12.851,12.626,12.672,1846328,0
2010-03-19,12.698,12.868,12.641,12.788,2363973,0
2010-03-22,12.69,13.399,12.681,13.347,3589543,0
2010-03-23,13.385,13.551,13.221,13.421,2508715,0
2010-03-24,13.335,13.425,13.213,13.279,1238659,0
2010-03-25,13.319,13.564,13.319,13.36,1650384,0
2010-03-26,13.335,13.518,13.27,13.356,1867360,0
2010-03-29,13.43,13.547,13.39,13.484,1599875,0
2010-03-30,13.547,13.804,13.533,13.538,2177948,0
2010-03-31,13.533,13.533,13.381,13.416,2171597,0
2010-04-01,13.547,13.756,13.518,13.686,1932545,0
2010-04-05,13.72,13.726,13.612,13.644,1230718,0
2010-04-06,13.603,13.813,13.538,13.774,3015099,0
2010-04-07,13.782,13.787,13.617,13.674,2380416,0
2010-04-08,13.657,13.67,13.425,13.599,1841371,0
2010-04-09,13.603,13.746,13.603,13.713,1787227,0
2010-04-12,13.678,13.804,13.678,13.764,1290146,0
2010-04-13,13.76,13.76,13.589,13.648,1005752,0
2010-04-14,13.681,13.769,13.681,13.742,1244826,0
2010-04-15,13.726,13.995,13.689,13.903,1498940,0
2010-04-16,13.916,13.981,13.726,13.742,2478792,0
2010-04-19,13.657,13.795,13.525,13.742,1791696,0
2010-04-20,13.847,13.995,13.795,13.813,2910590,0
2010-04-21,13.774,13.938,13.742,13.903,1913223,0
2010-04-22,13.838,14.003,13.75,13.978,3322848,0
2010-04-23,13.938,14.09,13.894,13.968,4654226,0
2010-04-26,14.042,14.317,14.02,14.23,2875733,0
2010-04-27,14.184,14.493,14,14,3719940,0
2010-04-28,14.12,14.151,13.948,14.003,4705094,0
2010-04-29,14.103,14.51,14.046,14.488,2750598,0
2010-04-30,14.449,14.649,14.23,14.242,3307035,0
2010-05-03,14.42,14.744,14.386,14.583,3608816,0
2010-05-04,14.372,14.433,13.89,13.93,2998264,0
2010-05-05,13.686,13.864,13.377,13.564,3081704,0
