Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,41.18,41.78,40.86,41.7,445869,0
2010-01-05,41.72,42.13,41.31,41.59,499270,0
2010-01-06,41.49,41.72,41.25,41.6,486123,0
2010-01-07,41.45,41.75,41.11,41.2,440717,0
2010-01-08,41,41.37,40.78,41.18,492100,0
2010-01-11,41.45,41.75,40.95,41.05,254074,0
2010-01-12,40.73,41.05,40.33,40.99,309419,0
2010-01-13,41.22,41.76,41.08,41.64,172073,0
2010-01-14,41.64,42.1,41.43,41.83,209079,0
2010-01-15,42.03,42.03,40.97,41.65,294008,0
2010-01-19,41.07,42.15,40.61,41.92,623452,0
2010-01-20,41.7,41.92,40.63,40.77,442918,0
2010-01-21,40.69,41.4,40.09,40.3,206591,0
2010-01-22,40.23,41.16,39.61,39.98,252244,0
2010-01-25,40.17,40.69,39.51,40.47,157867,0
2010-01-26,40.5,40.56,39.69,40.01,164528,0
2010-01-27,39.99,40.12,39.38,40,136903,0
2010-01-28,40.02,40.8,39.15,39.48,256872,0
2010-01-29,39.5,39.93,39.05,39.52,255283,0
2010-02-01,39.59,39.6,38.65,39.31,202422,0
2010-02-02,39.42,39.73,38.92,39.72,205468,0
2010-02-03,39.49,39.6,38.57,39.59,273839,0
2010-02-04,39.29,39.81,39.19,39.27,359780,0
2010-02-05,39.21,39.21,37.75,38.45,293589,0
2010-02-08,38.32,38.67,37.82,37.97,273555,0
2010-02-09,38.25,38.33,37.46,38.22,240792,0
2010-02-10,38,38.42,37.42,38.25,207250,0
2010-02-11,38.05,38.87,37.83,38.87,160234,0
2010-02-12,38.68,38.91,38.14,38.9,225189,0
2010-02-16,39.02,39.02,38.16,38.94,130732,0
2010-02-17,38.97,39.49,38.87,39.4,144149,0
2010-02-18,39.48,39.7,39.28,39.45,141290,0
2010-02-19,39.45,39.78,39.34,39.53,127751,0
2010-02-22,39.54,40.05,39.23,39.35,239417,0
2010-02-23,39.28,39.42,38.93,39.04,123757,0
2010-02-24,39.24,39.47,38.73,39.41,253543,0
2010-02-25,38.94,39.54,38.81,39.51,232284,0
2010-02-26,42.07,43.2,40.84,41.92,1238780,0
2010-03-01,42.05,43.25,42.05,43,564739,0
2010-03-02,43.19,43.34,42.55,42.76,456534,0
2010-03-03,42.98,43.25,42.59,42.75,470688,0
2010-03-04,42.94,43.11,41.61,42.57,438145,0
2010-03-05,42.58,43.55,42.53,43.34,367782,0
2010-03-08,43.33,43.54,42.76,42.91,363813,0
2010-03-09,42.62,43.27,42.62,43.25,379427,0
2010-03-10,43.05,43.62,42.93,43.25,500370,0
2010-03-11,43.15,44.26,43.1,44.01,415003,0
2010-03-12,44.12,44.23,43.67,44.14,499094,0
2010-03-15,44.2,44.2,43.32,43.96,288778,0
2010-03-16,43.93,44.03,43.36,43.48,384215,0
2010-03-17,43.67,43.99,43.48,43.8,372909,0
2010-03-18,43.5,44.15,43.41,43.89,373094,0
2010-03-19,43.89,44.24,43.73,44.14,423324,0
2010-03-22,43.87,44.77,43.83,44.36,355984,0
2010-03-23,44.24,44.63,43.67,44.63,289312,0
2010-03-24,44.37,44.54,43.69,43.69,316206,0
2010-03-25,43.85,43.9,43.02,43.03,321490,0
2010-03-26,43.04,43.41,42.75,42.89,458346,0
2010-03-29,42.87,43.53,42.38,43.45,740957,0
2010-03-30,43.36,43.92,42.87,43.67,358446,0
2010-03-31,43.46,44.19,43.45,43.48,789946,0
2010-04-01,43.49,43.83,43,43.25,701673,0
2010-04-05,43.45,43.45,42.83,43.01,193311,0
2010-04-06,42.78,43,42.55,42.87,198893,0
2010-04-07,42.72,42.95,42.42,42.7,195875,0
2010-04-08,42.51,42.51,41.99,42.08,274991,0
2010-04-09,42.16,42.19,41.65,41.81,161347,0
2010-04-12,41.99,41.99,41.46,41.58,282726,0
2010-04-13,41.46,41.6,41.1,41.39,141400,0
2010-04-14,41.4,41.51,40.63,41.5,185177,0
2010-04-15,41.36,41.43,40,40.7,596945,0
2010-04-16,40.71,42.36,40.62,42.03,443457,0
2010-04-19,42.02,42.58,41.93,42.13,173952,0
2010-04-20,42.28,43.13,41.58,43.13,363140,0
2010-04-21,43.07,43.34,42.34,42.53,351909,0
2010-04-22,42.22,42.52,41.47,42.4,222226,0
2010-04-23,42.35,42.59,42.09,42.59,172203,0
2010-04-26,42.5,42.74,41.69,41.71,236767,0
2010-04-27,41.62,42.38,41.35,42.02,364257,0
2010-04-28,42.24,42.4,41.53,41.81,504595,0
2010-04-29,42.08,42.57,41.77,42.57,287803,0
2010-04-30,42.36,43.23,42.07,42.26,694165,0
2010-05-03,42.57,43.08,41.85,42.88,579894,0
2010-05-04,42.53,42.64,41.63,42.08,315162,0
2010-05-05,41.96,42.13,40.75,41.24,288243,0
2010-05-06,41.01,41.84,39.29,40.23,313337,0
2010-05-07,40.24,40.4,39.14,39.83,369506,0
2010-05-10,40.89,41.2,40.56,41.2,288664,0
2010-05-11,40.88,41.28,40.24,40.95,148842,0
2010-05-12,41.09,41.97,40.96,41.97,239084,0
2010-05-13,41.68,41.86,40.62,40.95,309720,0
2010-05-14,40.69,40.9,40.15,40.37,177805,0
2010-05-17,40.25,41.13,40.06,40.9,285355,0
2010-05-18,41.24,41.54,40.53,40.58,124056,0
2010-05-19,40.51,41.03,40.18,40.72,177247,0
