Date,Open,High,Low,Close,Volume,OpenInt
2010-01-05,3.67,3.69,3.65,3.65,1900,0
2010-01-06,3.7,3.7,3.65,3.65,1400,0
2010-01-07,3.67,3.67,3.67,3.67,700,0
2010-01-08,3.69,3.69,3.69,3.69,100,0
2010-01-11,3.65,3.65,3.65,3.65,800,0
2010-01-12,3.65,3.65,3.65,3.65,500,0
2010-01-14,3.86,3.86,3.86,3.86,500,0
2010-01-19,3.7,3.7,3.65,3.65,2100,0
2010-01-20,3.25,3.86,3.08,3.48,1360,0
2010-01-21,3.53,3.99,3.5,3.53,1800,0
2010-01-22,3.88,3.88,3.8,3.8,1367,0
2010-01-28,3.83,3.83,3.65,3.65,1100,0
2010-02-01,3.58,3.75,3.58,3.65,33340,0
2010-02-02,3.71,3.75,3.71,3.75,570,0
2010-02-03,3.51,3.51,3.5,3.5,1000,0
2010-02-08,3.75,3.75,3.71,3.74,576,0
2010-02-09,3.51,3.52,3.51,3.51,500,0
2010-02-11,3.5,3.51,3.5,3.51,1500,0
2010-02-12,3.41,3.5,3.4,3.5,3100,0
2010-02-16,3.42,3.42,3.42,3.42,100,0
2010-02-17,3.4,3.45,3.35,3.35,5380,0
2010-02-18,3.45,3.45,3.44,3.45,5200,0
2010-02-19,3.35,3.45,3.31,3.35,15738,0
2010-02-23,3.28,3.28,3.26,3.27,1000,0
2010-02-24,3.46,3.75,3.46,3.75,29052,0
2010-02-25,3.78,3.78,3.78,3.78,200,0
2010-02-26,3.78,4.3,3.78,4,3002,0
2010-03-01,4.49,4.49,3.95,4.3,1000,0
2010-03-02,4.33,4.49,4.3,4.3,1363,0
2010-03-03,4.4,4.4,4.4,4.4,100,0
2010-03-05,4.41,4.41,4.41,4.41,1200,0
2010-03-09,4.05,4.4,4.05,4.14,2853,0
2010-03-10,4.07,4.25,4.05,4.21,720,0
2010-03-11,4.24,4.49,4.24,4.49,2320,0
2010-03-16,4.41,4.41,4.41,4.41,100,0
2010-03-17,4.43,4.43,4.05,4.05,1100,0
2010-03-18,4.42,4.42,4.32,4.32,200,0
2010-03-26,4.03,4.4,4,4.4,480,0
2010-03-29,4.5,4.5,4.4,4.4,1655,0
2010-03-30,4,4,4,4,100,0
2010-03-31,4.01,4.01,4.01,4.01,400,0
2010-04-01,4.05,4.05,3.95,4,2098,0
2010-04-05,4,4,3.75,3.75,1002,0
2010-04-12,3.75,3.75,3.75,3.75,180,0
2010-04-13,4.2,4.2,3.75,3.75,2600,0
2010-04-15,4.2,4.2,3.81,3.81,1540,0
2010-04-20,3.8,3.8,3.8,3.8,141,0
2010-04-23,3.84,3.9,3.75,3.75,2607,0
2010-04-26,3.7,4.65,3.7,3.9,4423,0
2010-04-27,4.95,4.96,4.88,4.88,1060,0
2010-04-28,5.29,5.29,4.5,5,12284,0
2010-04-29,4.54,4.63,4.26,4.63,2600,0
2010-04-30,4.69,4.74,4.54,4.54,400,0
2010-05-03,4.25,4.5,4.25,4.48,400,0
2010-05-04,4.72,4.72,4.62,4.62,300,0
2010-05-07,4.25,4.25,4.25,4.25,1100,0
2010-05-10,4.04,4.04,3.75,3.95,4955,0
2010-05-12,4.04,4.04,3.75,3.75,3050,0
2010-05-13,3.75,3.76,3.75,3.76,1808,0
2010-05-14,3.94,4.53,3.94,4.48,700,0
2010-05-17,4.24,4.24,3.75,3.88,9500,0
2010-05-18,3.92,3.92,3.92,3.92,100,0
2010-05-19,3.98,4.39,3.85,4.01,3181,0
2010-05-21,3.8,3.8,3.8,3.8,200,0
2010-05-24,3.75,4.29,3.75,4.18,1600,0
2010-05-25,4.31,4.46,4.31,4.33,533,0
2010-05-27,4.3,4.3,3.95,3.95,320,0
2010-05-28,4.29,4.29,4.29,4.29,100,0
2010-06-01,3.95,4.29,3.65,4.29,4600,0
2010-06-02,3.76,4,3.56,3.89,7642,0
2010-06-03,3.89,3.9,3.89,3.9,300,0
2010-06-04,3.87,3.87,3.87,3.87,160,0
2010-06-08,3.86,3.86,3.86,3.86,100,0
2010-06-10,3.68,3.89,3.65,3.89,470,0
2010-06-11,3.65,3.65,3.55,3.55,445,0
2010-06-14,3.09,3.76,3.09,3.71,4534,0
2010-06-15,3.65,3.79,3.65,3.76,1605,0
2010-06-21,3.71,3.71,3.71,3.71,100,0
2010-06-22,3.75,3.75,3.71,3.75,365,0
2010-06-23,3.7,3.7,3.7,3.7,100,0
2010-06-29,3.52,3.54,3.5,3.54,798,0
2010-06-30,3.74,3.74,3.74,3.74,100,0
2010-07-06,3.71,3.75,3.71,3.75,920,0
2010-07-08,3.65,3.65,3.6,3.6,993,0
2010-07-13,3.4,3.4,3.4,3.4,100,0
2010-07-14,3.4,3.45,3.18,3.45,1643,0
2010-07-16,3.26,3.26,3.26,3.26,100,0
