Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.8115,8.8299,8.7801,8.7866,55112,0
2010-01-05,8.7996,8.8246,8.7652,8.7801,66151,0
2010-01-06,8.7939,8.8804,8.7866,8.8804,42139,0
2010-01-07,8.8915,8.92,8.8576,8.8849,39432,0
2010-01-08,8.87,8.9129,8.87,8.8993,65488,0
2010-01-11,8.92,8.9583,8.863,8.9526,62982,0
2010-01-12,8.9631,8.9772,8.8804,8.9772,76805,0
2010-01-13,8.9631,8.9708,8.9338,8.9708,18758,0
2010-01-14,8.9526,8.9583,8.8915,8.9396,57072,0
2010-01-15,8.9473,8.9473,8.874,8.8993,40280,0
2010-01-19,8.874,8.9772,8.874,8.9631,74095,0
2010-01-20,8.9473,8.9772,8.8804,8.9276,42707,0
2010-01-21,8.9338,8.9526,8.8993,8.9396,56517,0
2010-01-22,8.9338,8.9396,8.8426,8.8576,64557,0
2010-01-25,8.863,8.8993,8.836,8.8576,60381,0
2010-01-26,8.836,8.874,8.818,8.863,55028,0
2010-01-27,8.87,8.9054,8.7996,8.818,94776,0
2010-01-28,8.8576,8.8576,8.7939,8.8246,57917,0
2010-01-29,8.8299,8.874,8.806,8.8299,55988,0
2010-02-01,8.8299,8.9276,8.8115,8.874,43429,0
2010-02-02,8.8299,8.9396,8.8299,8.92,67847,0
2010-02-03,8.9276,8.9847,8.9129,8.9338,96159,0
2010-02-04,8.9473,8.9631,8.8804,8.8915,65008,0
2010-02-05,8.9276,8.9631,8.8849,8.9583,69042,0
2010-02-08,8.9708,8.9905,8.9631,8.9847,37955,0
2010-02-09,8.9847,9.0496,8.9583,9.021,57431,0
2010-02-10,9.0496,9.0496,8.8915,8.8993,78116,0
2010-02-11,8.8804,8.9338,8.8115,8.8115,70054,0
2010-02-12,8.8576,8.8576,8.7597,8.7801,57498,0
2010-02-16,8.863,8.863,8.806,8.863,67372,0
2010-02-17,8.8576,8.863,8.7597,8.7939,105498,0
2010-02-18,8.8246,8.863,8.7332,8.7597,131650,0
2010-02-19,8.7524,8.7801,8.5559,8.6205,148055,0
2010-02-22,8.6205,8.6205,8.4995,8.5694,165931,0
2010-02-23,8.607,8.6775,8.5998,8.6668,88241,0
2010-02-24,8.6668,8.7801,8.6668,8.7652,47364,0
2010-02-25,8.7866,8.806,8.726,8.7801,63774,0
2010-02-26,8.8246,8.8849,8.7939,8.8299,72641,0
2010-03-01,8.8849,8.9772,8.863,8.9583,81331,0
2010-03-02,8.9526,8.9526,8.863,8.8915,77036,0
2010-03-03,8.9276,8.9708,8.8299,8.8299,105892,0
2010-03-04,8.8993,8.8993,8.8115,8.8426,51560,0
2010-03-05,8.9054,8.9847,8.8246,8.9473,86471,0
2010-03-08,9.0104,9.0104,8.9338,8.9526,50834,0
2010-03-09,8.9772,9.021,8.92,8.9338,69782,0
2010-03-10,8.9708,9.0356,8.8849,8.9129,105584,0
2010-03-11,8.8849,8.8849,8.7406,8.7801,89337,0
2010-03-12,8.7467,8.8115,8.7467,8.7524,36437,0
2010-03-15,8.7524,8.7939,8.7332,8.7939,101769,0
2010-03-16,8.8502,8.863,8.7597,8.7996,81269,0
2010-03-17,8.818,8.8804,8.806,8.874,46693,0
2010-03-18,8.9129,8.9129,8.874,8.8993,77731,0
2010-03-19,8.9276,9.021,8.9054,9.0104,74140,0
2010-03-22,9.0172,9.0422,8.9708,9.0356,34260,0
2010-03-23,9.021,9.0631,8.9708,8.9847,196926,0
2010-03-24,9.0172,9.1095,9.0172,9.1095,188201,0
2010-03-25,9.154,9.1987,9.0769,9.183,150008,0
2010-03-26,9.2322,9.2516,9.1163,9.1415,137541,0
2010-03-29,9.2093,9.2219,9.0707,9.13,137521,0
2010-03-30,9.1753,9.2044,9.0846,9.13,69725,0
2010-03-31,9.1464,9.154,9.1163,9.1377,74742,0
2010-04-01,9.1377,9.1987,9.0981,9.1618,63870,0
2010-04-05,9.2219,9.3081,9.1618,9.2322,163279,0
2010-04-06,9.2613,9.3767,9.2613,9.3141,174881,0
2010-04-07,9.3541,9.4363,9.3406,9.3767,130795,0
2010-04-08,9.4045,9.4363,9.3541,9.4125,116275,0
2010-04-09,9.4164,9.4363,9.3406,9.4253,111468,0
2010-04-12,9.4878,9.551,9.4253,9.551,174818,0
2010-04-13,9.4431,9.551,9.3621,9.369,184108,0
2010-04-14,9.4125,9.4125,9.2946,9.3081,90264,0
2010-04-15,9.2516,9.2867,9.154,9.1676,204048,0
2010-04-16,9.1676,9.2458,9.154,9.2093,80596,0
2010-04-19,9.1987,9.2946,9.154,9.154,129315,0
2010-04-20,9.154,9.1907,9.1163,9.183,83249,0
2010-04-21,9.1753,9.551,9.1415,9.2683,122839,0
2010-04-22,9.3081,9.3817,9.2867,9.3482,59469,0
2010-04-23,9.3817,9.4263,9.321,9.4263,41757,0
2010-04-26,9.506,9.506,9.3767,9.3888,59922,0
2010-04-27,9.3995,9.3995,9.3013,9.3013,95153,0
2010-04-28,9.3482,9.3482,9.275,9.3013,88682,0
2010-04-29,9.2809,9.2867,9.2093,9.2151,98751,0
2010-04-30,9.1415,9.2151,9.1415,9.1415,64637,0
2010-05-03,9.2151,9.2516,9.1618,9.1987,76107,0
2010-05-04,9.2044,9.2555,9.2044,9.2555,43147,0
2010-05-05,9.2516,9.3817,9.2516,9.3541,102229,0
2010-05-06,9.2946,9.3482,9.0631,9.2613,176037,0
2010-05-07,9.3937,9.3995,9.0631,9.2093,126881,0
2010-05-10,9.3258,9.4551,9.13,9.1618,123874,0
2010-05-11,9.1163,9.2044,9.1163,9.2044,110104,0
2010-05-12,9.1415,9.2044,9.1415,9.1987,29850,0
2010-05-13,9.2516,9.2516,9.154,9.154,40648,0
2010-05-14,9.1231,9.1464,9.021,9.0602,97978,0
2010-05-17,9.1231,9.1231,8.9905,9.0846,103165,0
2010-05-18,9.0631,9.1987,9.0172,9.183,82750,0
2010-05-19,9.0846,9.2946,9.0846,9.2516,132696,0
2010-05-20,9.1987,9.1987,9.021,9.0545,80400,0
2010-05-21,8.9338,9.1027,8.8502,9.0172,138521,0
2010-05-24,8.9708,9.0422,8.9276,8.9772,75842,0
2010-05-25,8.874,8.8915,8.8246,8.8849,108043,0
2010-05-26,8.8993,8.9526,8.8993,8.9396,51695,0
2010-05-27,8.9473,9.021,8.9396,8.9905,60202,0
2010-05-28,9.0104,9.0356,8.92,8.9338,87243,0
2010-06-01,8.9054,8.9708,8.9054,8.9338,50103,0
2010-06-02,8.9338,8.9772,8.9276,8.9772,52685,0
2010-06-03,8.9583,8.9708,8.9396,8.9583,36242,0
2010-06-04,8.9129,9.0035,8.9129,8.9905,47513,0
2010-06-07,8.9772,9.0356,8.9473,9.0172,37217,0
2010-06-08,9.0172,9.0602,9.0172,9.0545,41629,0
2010-06-09,9.021,9.0545,9.0104,9.0422,56811,0
2010-06-10,9.0707,9.1027,9.0422,9.0496,112776,0
2010-06-11,9.0545,9.0981,8.9772,8.9973,107754,0
2010-06-14,9.0282,9.0545,8.92,8.92,123269,0
2010-06-15,8.9276,8.9772,8.8849,8.8915,89573,0
2010-06-16,8.874,8.8915,8.806,8.8246,100678,0
2010-06-17,8.8246,8.8576,8.8115,8.8502,83417,0
2010-06-18,8.8576,8.8993,8.8502,8.8915,80596,0
2010-06-21,8.8804,8.92,8.87,8.92,80532,0
2010-06-22,8.8804,8.8849,8.836,8.863,82559,0
2010-06-23,8.8502,8.8849,8.8299,8.8804,58905,0
2010-06-24,8.8849,8.8915,8.836,8.863,60784,0
2010-06-25,8.8502,8.9276,8.8426,8.9276,45291,0
2010-06-28,8.9276,8.9772,8.9276,8.9631,49178,0
2010-06-29,8.92,8.9526,8.8915,8.9129,49316,0
2010-06-30,8.9386,8.9573,8.8831,8.9453,84409,0
2010-07-01,8.9708,8.9847,8.8993,8.9338,98801,0
2010-07-02,8.9526,8.9526,8.8993,8.9473,76542,0
2010-07-06,8.9583,8.9847,8.9526,8.9847,43911,0
2010-07-07,8.9631,8.9973,8.9583,8.9973,86308,0
2010-07-08,8.9847,9.0104,8.9631,8.9772,59142,0
2010-07-09,9.0104,9.1027,8.9847,9.0769,119555,0
2010-07-12,9.0631,9.1231,9.0602,9.1231,58523,0
2010-07-13,9.0905,9.1377,9.0846,9.1027,69053,0
2010-07-14,9.1095,9.1163,9.0707,9.1163,40652,0
2010-07-15,9.0846,9.1377,9.0846,9.1377,62165,0
2010-07-16,9.1377,9.1676,9.1231,9.1676,31198,0
2010-07-19,9.1618,9.2044,9.1618,9.1676,66834,0
2010-07-20,9.1415,9.183,9.1377,9.1676,63341,0
2010-07-21,9.1415,9.2322,9.1377,9.2268,97027,0
2010-07-22,9.2322,9.2322,9.1753,9.2219,68990,0
2010-07-23,9.1907,9.2151,9.1753,9.1907,65816,0
2010-07-26,9.1676,9.2268,9.1618,9.2093,65066,0
2010-07-27,9.1987,9.2268,9.1753,9.1753,82529,0
2010-07-28,9.1987,9.2268,9.1618,9.2268,44457,0
2010-07-29,9.2268,9.239,9.2044,9.2219,41049,0
2010-07-30,9.2322,9.3258,9.2322,9.3081,69349,0
2010-08-02,9.3326,9.3621,9.2867,9.3541,90072,0
2010-08-03,9.3621,9.3767,9.3326,9.3406,56975,0
2010-08-04,9.3482,9.4293,9.3258,9.4293,103971,0
2010-08-05,9.4125,9.539,9.4125,9.4878,140883,0
2010-08-06,9.3888,9.532,9.3888,9.521,65783,0
2010-08-09,9.532,9.621,9.526,9.594,72822,0
2010-08-10,9.615,9.708,9.59,9.695,121460,0
2010-08-11,9.688,9.722,9.66,9.666,101056,0
2010-08-12,9.615,9.688,9.608,9.66,119585,0
2010-08-13,9.666,9.708,9.666,9.688,47540,0
2010-08-16,9.66,9.702,9.66,9.673,92335,0
2010-08-17,9.68,9.715,9.666,9.708,110122,0
2010-08-18,9.666,9.719,9.666,9.702,92274,0
2010-08-19,9.702,9.719,9.673,9.719,63098,0
2010-08-20,9.708,9.785,9.68,9.764,78800,0
2010-08-23,9.778,9.841,9.771,9.805,102282,0
2010-08-24,9.797,9.805,9.752,9.76,87580,0
2010-08-25,9.74,9.76,9.68,9.688,76485,0
2010-08-26,9.702,9.733,9.568,9.582,112962,0
2010-08-27,9.576,9.615,9.4551,9.539,133914,0
2010-08-30,9.532,9.621,9.532,9.562,93145,0
2010-08-31,9.586,9.659,9.566,9.654,78038,0
2010-09-01,9.66,9.719,9.656,9.695,48624,0
2010-09-02,9.666,9.719,9.656,9.695,66216,0
2010-09-03,9.715,9.719,9.594,9.602,84817,0
2010-09-07,9.621,9.627,9.594,9.594,60373,0
2010-09-08,9.64,9.752,9.64,9.719,173283,0
2010-09-09,9.76,9.856,9.76,9.841,93963,0
2010-09-10,9.805,9.872,9.805,9.872,76567,0
2010-09-13,9.872,9.872,9.715,9.771,404298,0
2010-09-14,9.771,9.771,9.695,9.719,120085,0
2010-09-15,9.702,9.702,9.4668,9.506,136166,0
2010-09-16,9.4987,9.4987,9.239,9.3888,310987,0
2010-09-17,9.369,9.4808,9.369,9.4668,127955,0
2010-09-20,9.4808,9.526,9.4293,9.526,35825,0
2010-09-21,9.514,9.539,9.4878,9.514,98472,0
2010-09-22,9.4668,9.4987,9.4363,9.4808,80540,0
2010-09-23,9.4668,9.551,9.4363,9.4987,137076,0
2010-09-24,9.4748,9.539,9.4748,9.4937,53388,0
2010-09-27,9.532,9.562,9.4987,9.555,65396,0
2010-09-28,9.539,9.576,9.526,9.562,31166,0
2010-09-29,9.562,9.562,9.514,9.526,45491,0
2010-09-30,9.547,9.547,9.4768,9.535,55095,0
2010-10-01,9.526,9.551,9.521,9.545,58036,0
2010-10-04,9.539,9.576,9.526,9.576,64458,0
2010-10-05,9.568,9.602,9.562,9.594,70318,0
2010-10-06,9.59,9.615,9.562,9.615,42434,0
2010-10-07,9.602,9.722,9.602,9.695,106171,0
2010-10-08,9.719,9.791,9.688,9.791,77096,0
2010-10-11,9.797,9.82,9.733,9.805,85466,0
2010-10-12,9.812,9.82,9.728,9.778,81827,0
2010-10-13,9.771,9.771,9.666,9.673,105555,0
2010-10-14,9.68,9.708,9.66,9.673,50676,0
2010-10-15,9.68,9.695,9.64,9.68,82040,0
2010-10-18,9.702,9.702,9.656,9.656,114970,0
2010-10-19,9.627,9.688,9.582,9.627,117301,0
2010-10-20,9.633,9.666,9.594,9.666,117222,0
2010-10-21,9.68,9.74,9.666,9.666,121797,0
2010-10-22,9.695,9.695,9.582,9.695,87161,0
2010-10-25,9.68,9.688,9.608,9.64,86227,0
2010-10-26,9.66,9.708,9.627,9.708,80502,0
2010-10-27,9.666,9.688,9.627,9.688,66061,0
2010-10-28,9.688,9.702,9.568,9.59,125212,0
2010-10-29,9.633,9.657,9.593,9.657,60750,0
2010-11-01,9.695,9.715,9.633,9.673,87960,0
2010-11-02,9.708,9.747,9.656,9.695,102371,0
2010-11-03,9.666,9.733,9.666,9.728,68253,0
2010-11-04,9.719,9.752,9.708,9.752,119722,0
2010-11-05,9.747,9.764,9.702,9.76,67424,0
2010-11-08,9.76,9.76,9.702,9.708,62600,0
2010-11-09,9.708,9.719,9.64,9.648,54954,0
2010-11-10,9.648,9.66,9.3817,9.4987,171003,0
2010-11-11,9.4668,9.4668,9.0631,9.1753,383117,0
2010-11-12,8.9396,9.0496,8.7652,8.9338,359446,0
2010-11-15,8.9338,8.9772,8.6721,8.6721,375873,0
2010-11-16,8.481,8.6721,8.1675,8.5998,606196,0
2010-11-17,8.6205,8.9583,8.607,8.9054,266566,0
2010-11-18,8.9847,8.9847,8.6721,8.7734,149461,0
