Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.47,16.917,16,16.653,528513,0
2010-01-05,16.667,16.933,16.627,16.88,360030,0
2010-01-06,16.91,17.183,16.823,17.117,352554,0
2010-01-07,17.153,17.243,16.87,16.947,330768,0
2010-01-08,16.753,16.933,15.803,16.167,1661526,0
2010-01-11,15.933,15.96,15.667,15.847,1089558,0
2010-01-12,15.583,15.723,15.333,15.487,566082,0
2010-01-13,15.383,15.633,15.333,15.553,314523,0
2010-01-14,15.427,15.663,15.417,15.56,289908,0
2010-01-15,15.513,15.583,15.333,15.553,686091,0
2010-01-19,15.503,15.7,15.423,15.633,407328,0
2010-01-20,15.46,15.633,15.333,15.333,423225,0
2010-01-21,15.333,15.533,15.003,15.44,942015,0
2010-01-22,15.4,15.5,15.173,15.21,432354,0
2010-01-25,15.283,15.367,15.153,15.28,432753,0
2010-01-26,15.277,15.393,15.167,15.18,260193,0
2010-01-27,15.073,15.267,15.003,15.16,526245,0
2010-01-28,15.117,15.117,14.683,14.833,668976,0
2010-01-29,14.86,15.103,14.697,15.02,822933,0
2010-02-01,15.02,15.193,14.84,15.187,874548,0
2010-02-02,15.15,15.237,14.703,15.15,460272,0
2010-02-03,15.107,15.247,15.077,15.163,359088,0
2010-02-04,15.097,15.13,14.777,14.783,433242,0
2010-02-05,14.763,14.863,14.243,14.547,464808,0
2010-02-08,14.58,14.58,14.023,14.057,609444,0
2010-02-09,14.253,14.377,13.983,14.357,418368,0
2010-02-10,14.26,14.38,14.013,14.28,360177,0
2010-02-11,14.263,14.447,13.967,14.437,781698,0
2010-02-12,14.323,14.527,14.113,14.473,331812,0
2010-02-16,14.54,14.987,14.367,14.963,292800,0
2010-02-17,14.983,14.99,14.677,14.937,205593,0
2010-02-18,14.88,15.397,14.88,15.347,412068,0
2010-02-19,15.317,15.393,15.127,15.363,344742,0
2010-02-22,15.41,15.613,15.26,15.473,525363,0
2010-02-23,15.403,15.507,15.24,15.41,362256,0
2010-02-24,15.407,15.627,14.24,15.47,222669,0
2010-02-25,15.307,15.543,15.06,15.513,361962,0
2010-02-26,15.57,15.63,15.417,15.463,294288,0
2010-03-01,15.503,15.993,15.423,15.83,664893,0
2010-03-02,15.863,15.997,15.553,15.997,695943,0
2010-03-03,15.993,16.343,15.967,16.233,626367,0
