Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.7187,3.7187,3.6852,3.702,1071280,0
2010-01-05,3.6912,3.7301,3.6912,3.724,652362,0
2010-01-06,3.7129,3.7629,3.7129,3.7576,736547,0
2010-01-07,3.7461,3.7576,3.735,3.7409,843247,0
2010-01-08,3.7629,3.7629,3.7301,3.7461,618923,0
2010-01-11,3.7409,3.7683,3.7409,3.7629,770392,0
2010-01-12,3.7576,3.7576,3.7073,3.724,898759,0
2010-01-13,3.7301,3.7519,3.724,3.7461,592652,0
2010-01-14,3.735,3.7409,3.724,3.7409,717831,0
2010-01-15,3.7187,3.7519,3.7187,3.7461,622377,0
2010-01-19,3.7409,3.7576,3.7301,3.7461,728553,0
2010-01-20,3.7461,3.7519,3.735,3.7519,598041,0
2010-01-21,3.7519,3.7576,3.7461,3.7576,776432,0
2010-01-22,3.7409,3.7629,3.7409,3.7519,965284,0
2010-01-25,3.7461,3.7629,3.7461,3.7629,861100,0
2010-01-26,3.7576,3.7683,3.7576,3.7683,1035396,0
2010-01-27,3.7683,3.7683,3.7461,3.7519,1278099,0
2010-01-28,3.7576,3.7629,3.7519,3.7576,936899,0
2010-01-29,3.7629,3.7629,3.7461,3.7461,891298,0
2010-02-01,3.7409,3.7576,3.7409,3.7461,842299,0
2010-02-02,3.7576,3.7576,3.7461,3.7576,1184814,0
2010-02-03,3.7519,3.7629,3.7461,3.7576,986799,0
2010-02-04,3.7461,3.7519,3.724,3.7409,778215,0
2010-02-05,3.7409,3.7683,3.7409,3.7629,1082154,0
2010-02-08,3.7409,3.7629,3.7129,3.7576,1185818,0
2010-02-09,3.7461,3.7461,3.724,3.7409,1462780,0
2010-02-10,3.735,3.7796,3.735,3.7796,776966,0
2010-02-11,3.7853,3.7853,3.7519,3.7629,769178,0
2010-02-12,3.7576,3.7796,3.7409,3.7796,796660,0
2010-02-16,3.7796,3.7908,3.7576,3.7796,751813,0
2010-02-17,3.7853,3.8072,3.7796,3.8018,655880,0
2010-02-18,3.8018,3.8238,3.7461,3.7461,989682,0
2010-02-19,3.7519,3.7576,3.7129,3.735,961491,0
2010-02-22,3.7461,3.7461,3.7129,3.724,749659,0
2010-02-23,3.7301,3.735,3.7129,3.7301,981439,0
2010-02-24,3.735,3.7853,3.7301,3.7796,949273,0
2010-02-25,3.7683,3.7853,3.7629,3.7796,628183,0
2010-02-26,3.7962,3.7962,3.7741,3.7962,612752,0
