Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,15.616,15.808,15.576,15.8,97888,0
2010-01-05,15.736,15.88,15.272,15.296,452500,0
2010-01-06,15.328,15.424,14.76,14.88,436745,0
2010-01-07,14.88,14.904,14.488,14.824,200089,0
2010-01-08,14.744,14.888,14.632,14.856,127014,0
2010-01-11,14.992,15.44,14.968,15.392,229629,0
2010-01-12,15.256,15.592,15.208,15.552,192728,0
2010-01-13,15.56,15.64,15.512,15.576,132295,0
2010-01-14,15.488,15.584,15.456,15.512,87623,0
2010-01-15,15.592,15.64,14.936,15.096,189986,0
2010-01-19,15.16,15.472,15.16,15.392,174801,0
2010-01-20,15.256,15.44,14.864,15.208,173643,0
2010-01-21,15.272,15.296,14.8,14.8,148730,0
2010-01-22,14.752,15.016,14.48,14.496,138586,0
2010-01-25,14.52,14.744,14.064,14.224,148336,0
2010-01-26,14.136,14.2,13.704,14.12,209771,0
2010-01-27,14.024,14.416,13.968,14.384,196176,0
2010-01-28,14.36,14.36,13.688,14.208,156291,0
2010-01-29,14.216,14.368,13.608,14.264,197279,0
2010-02-01,14.272,14.272,13.896,14.104,137404,0
2010-02-02,14.072,14.168,13.944,14.144,177343,0
2010-02-03,14.056,14.2,13.92,13.936,162909,0
2010-02-04,13.824,13.976,13.552,13.664,276428,0
2010-02-05,13.696,13.88,13.488,13.72,199090,0
2010-02-08,13.736,13.736,13.432,13.464,108764,0
2010-02-09,13.624,13.68,13.424,13.568,48319,0
2010-02-10,13.488,13.552,13.264,13.552,86816,0
2010-02-11,13.48,13.664,13.328,13.648,70191,0
2010-02-12,13.576,13.84,13.368,13.416,306854,0
2010-02-16,13.464,13.656,13.272,13.376,304409,0
2010-02-17,13.424,13.424,13.256,13.408,85735,0
2010-02-18,13.416,14.016,13.264,13.952,671166,0
2010-02-19,11.816,11.88,11.344,11.528,3082155,0
2010-02-22,11.6,12.04,11.184,11.864,1487244,0
2010-02-23,11.92,11.936,11.6,11.88,394934,0
2010-02-24,11.944,12.328,11.776,12.096,508220,0
2010-02-25,12.032,12.2,11.816,11.96,293245,0
2010-02-26,11.928,11.976,11.76,11.776,393301,0
2010-03-01,11.8,11.952,11.728,11.832,320493,0
2010-03-02,11.8,11.864,11.608,11.616,575951,0
2010-03-03,11.608,11.792,11.6,11.704,445416,0
2010-03-04,11.768,11.872,11.656,11.768,444535,0
2010-03-05,11.904,12.224,11.84,12.144,326239,0
2010-03-08,12.152,12.224,12.088,12.208,195359,0
2010-03-09,12.128,12.344,12.104,12.184,214611,0
2010-03-10,12.144,12.16,11.928,12.056,150860,0
2010-03-11,11.976,11.976,11.6,11.68,547358,0
2010-03-12,11.76,11.808,11.024,11.232,1121284,0
2010-03-15,11.28,11.648,11.2,11.608,391710,0
2010-03-16,11.688,11.72,11.6,11.672,332949,0
2010-03-17,11.728,12.072,11.608,11.992,627510,0
2010-03-18,11.912,12.12,11.904,12.08,354815,0
2010-03-19,12.144,12.28,11.92,12.184,495876,0
2010-03-22,12.048,12.52,11.928,12.224,372843,0
2010-03-23,12.272,12.416,12.024,12.304,243705,0
2010-03-24,12.2,12.344,12.04,12.112,216678,0
2010-03-25,12.136,12.248,11.84,11.864,149144,0
2010-03-26,11.92,12.008,11.8,12,317319,0
2010-03-29,12.056,12.304,12.016,12.28,305466,0
2010-03-30,12.24,12.48,12.24,12.44,253686,0
2010-03-31,12.376,12.68,12.2,12.2,289155,0
2010-04-01,12.208,12.36,12.04,12.344,245635,0
2010-04-05,12.408,12.568,12.4,12.504,395849,0
2010-04-06,12.44,12.528,12.44,12.504,122100,0
2010-04-07,12.568,12.568,12.44,12.536,183683,0
2010-04-08,12.472,12.664,12.336,12.52,186208,0
2010-04-09,12.528,12.64,12.28,12.328,169914,0
2010-04-12,12.296,12.504,12.12,12.44,118468,0
2010-04-13,12.384,12.56,12.216,12.52,155968,0
2010-04-14,12.592,12.816,12.592,12.808,156585,0
2010-04-15,12.76,12.912,12.704,12.84,149006,0
2010-04-16,12.848,12.864,12.712,12.8,138576,0
2010-04-19,12.744,12.856,12.488,12.856,85508,0
2010-04-20,12.928,12.976,12.76,12.832,111949,0
2010-04-21,12.808,12.92,12.72,12.904,100165,0
2010-04-22,12.792,12.928,12.704,12.88,158981,0
2010-04-23,12.848,12.976,12.76,12.904,155585,0
2010-04-26,12.88,12.928,12.728,12.768,110479,0
2010-04-27,12.696,12.816,12.528,12.56,148370,0
2010-04-28,12.656,12.664,12.432,12.448,126254,0
2010-04-29,12.552,12.952,12.504,12.92,315693,0
2010-04-30,12.808,13.12,12.576,12.936,535778,0
2010-05-03,13,13,12.496,12.672,152478,0
2010-05-04,12.592,12.72,12.296,12.6,172058,0
2010-05-05,12.496,12.648,12.464,12.544,66841,0
2010-05-06,12.544,12.632,11.76,12.232,158585,0
2010-05-07,12.168,12.272,11.648,11.792,248833,0
2010-05-10,12.392,12.832,11.864,12.104,268530,0
2010-05-11,11.976,12.76,11.8,12.592,169994,0
2010-05-12,12.616,12.952,12.616,12.792,181786,0
2010-05-13,12.784,13.232,12.752,12.928,171664,0
2010-05-14,12.536,12.872,12.488,12.672,1393733,0
2010-05-17,12.696,12.848,12.456,12.624,1094805,0
2010-05-18,12.768,12.856,12.512,12.84,236003,0
2010-05-19,12.824,13.04,12.824,13.016,270518,0
2010-05-20,12.736,12.96,12.464,12.584,696021,0
2010-05-21,12.48,12.48,12.256,12.416,439028,0
2010-05-24,12.392,12.4,12.2,12.2,178245,0
2010-05-25,12.048,12.128,11.776,12.104,280243,0
2010-05-26,12.144,12.344,12.048,12.064,331143,0
2010-05-27,12.216,12.344,12.104,12.344,109008,0
2010-05-28,12.288,12.392,12.232,12.232,104143,0
2010-06-01,12.136,12.328,11.816,11.816,115624,0
2010-06-02,11.816,12.184,11.68,12.136,100463,0
2010-06-03,12.064,12.392,12.064,12.32,121038,0
2010-06-04,12.128,12.304,11.952,11.968,142738,0
2010-06-07,12.016,12.096,11.736,11.752,113486,0
2010-06-08,11.8,11.856,11.424,11.536,104771,0
2010-06-09,11.64,11.984,11.472,11.944,222475,0
2010-06-10,12.096,12.472,12.04,12.4,406664,0
2010-06-11,12.256,12.632,12.256,12.616,193519,0
2010-06-14,12.688,13.32,12.672,12.928,661775,0
2010-06-15,12.968,13.248,12.76,13.232,211375,0
2010-06-16,13.12,13.448,13.104,13.152,186023,0
2010-06-17,13.232,13.312,13.056,13.136,88546,0
2010-06-18,13.232,13.544,13.192,13.496,267813,0
2010-06-21,13.584,13.584,13.304,13.4,130574,0
2010-06-22,13.424,13.624,13.16,13.168,116633,0
2010-06-23,13.176,13.36,13.032,13.192,86248,0
2010-06-24,13.096,13.112,12.896,13.008,113745,0
2010-06-25,13.016,13.272,12.808,13.16,385784,0
2010-06-28,13.088,13.28,13.048,13.136,93309,0
2010-06-29,12.888,13.104,12.664,12.936,190355,0
2010-06-30,12.92,12.98,12.74,12.86,316613,0
2010-07-01,12.832,12.904,12.416,12.848,104670,0
2010-07-02,12.936,13.312,12.776,13.224,169871,0
2010-07-06,13.36,13.384,12.744,12.824,155854,0
2010-07-07,12.872,12.928,12.648,12.872,141829,0
2010-07-08,12.992,13.304,12.424,13.152,123399,0
2010-07-09,13.16,13.264,13.08,13.232,61036,0
2010-07-12,13.2,13.256,12.96,13.136,49489,0
2010-07-13,13.28,13.368,13.136,13.352,117541,0
2010-07-14,13.256,13.496,13.128,13.224,193189,0
2010-07-15,13.2,13.464,13.064,13.424,117125,0
2010-07-16,13.328,13.416,12.784,12.848,176614,0
2010-07-19,12.776,12.888,12.592,12.864,138255,0
2010-07-20,12.736,12.76,12.488,12.736,172935,0
2010-07-21,12.816,12.824,12.552,12.584,156551,0
2010-07-22,12.728,12.92,12.64,12.848,105144,0
2010-07-23,12.776,13.056,12.608,12.76,140771,0
2010-07-26,12.824,13.672,12.824,13.648,281480,0
2010-07-27,13.72,13.72,13.432,13.592,148976,0
2010-07-28,13.512,13.6,13.264,13.392,95781,0
2010-07-29,13.464,13.624,13.416,13.56,226765,0
2010-07-30,13.4,13.824,13.328,13.536,229678,0
2010-08-02,13.712,13.888,13.592,13.728,107105,0
2010-08-03,13.736,14.2,13.624,13.664,166730,0
2010-08-04,13.704,13.88,13.672,13.816,94928,0
2010-08-05,13.72,13.864,13.712,13.752,51730,0
2010-08-06,13.592,13.656,13.248,13.528,72355,0
2010-08-09,13.632,13.816,13.352,13.752,86791,0
2010-08-10,13.616,13.68,13.352,13.472,85069,0
2010-08-11,13.272,13.28,12.984,13.04,122160,0
2010-08-12,12.864,13.072,12.816,12.92,81079,0
2010-08-13,12.856,13,12.696,12.704,77466,0
2010-08-16,12.624,12.936,12.48,12.912,132040,0
2010-08-17,13.032,13.312,12.976,13.224,86698,0
2010-08-18,13.184,13.4,13.032,13.224,65631,0
2010-08-19,13.152,13.32,12.752,12.808,142329,0
2010-08-20,12.744,12.984,12.456,12.952,141743,0
2010-08-23,12.976,13.08,12.68,12.712,76139,0
2010-08-24,12.632,12.648,12.408,12.472,146918,0
2010-08-25,12.408,12.632,12.384,12.48,175448,0
2010-08-26,12.512,12.64,12.432,12.496,92124,0
2010-08-27,12.624,12.968,12.496,12.952,147759,0
2010-08-30,12.896,12.896,12.544,12.552,89806,0
2010-08-31,12.55,12.86,12.48,12.62,113789,0
2010-09-01,12.8,13.152,12.792,13.136,124421,0
2010-09-02,13.056,13.144,12.872,13.096,118504,0
2010-09-03,13.216,13.544,13.104,13.504,116288,0
2010-09-07,13.496,13.528,13.248,13.312,172535,0
2010-09-08,13.352,13.408,13.12,13.176,230505,0
2010-09-09,13.328,13.4,13.088,13.24,51174,0
2010-09-10,13.304,13.36,13.2,13.304,44213,0
2010-09-13,13.424,13.728,13.336,13.664,135753,0
2010-09-14,13.664,13.76,13.456,13.664,108663,0
2010-09-15,13.664,13.672,13.424,13.584,382776,0
2010-09-16,13.576,13.584,13.256,13.448,61144,0
2010-09-17,13.592,13.656,13.368,13.576,387121,0
2010-09-20,13.584,13.688,13.448,13.6,249780,0
2010-09-21,13.584,13.624,13.4,13.552,132305,0
2010-09-22,13.496,13.624,13.232,13.272,261270,0
2010-09-23,13.224,13.304,12.752,12.776,179376,0
2010-09-24,12.92,13.064,12.76,12.952,203018,0
2010-09-27,12.992,12.992,12.776,12.784,135719,0
2010-09-28,12.84,12.888,12.656,12.792,222870,0
