Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,0.49773,0.5083,0.49266,0.49773,95156,0
2010-01-05,0.5083,0.5135,0.49773,0.5032,89245,0
2010-01-06,0.49773,0.524,0.49773,0.5135,155479,0
2010-01-07,0.5135,0.545,0.5135,0.5397,442898,0
2010-01-08,0.5397,0.5817,0.5397,0.5659,429641,0
2010-01-11,0.5659,0.5764,0.5503,0.5554,206383,0
2010-01-12,0.5397,0.5923,0.5397,0.5554,375476,0
2010-01-13,0.5554,0.5868,0.5554,0.5764,188201,0
2010-01-14,0.5974,0.6079,0.5868,0.6026,98502,0
2010-01-15,0.6079,0.6289,0.5923,0.6079,400277,0
2010-01-19,0.6132,0.6394,0.6079,0.6236,239514,0
2010-01-20,0.6603,0.6603,0.6236,0.6289,166164,0
2010-01-21,0.6289,0.655,0.6289,0.6446,88404,0
2010-01-22,0.655,0.655,0.6079,0.6289,189723,0
2010-01-25,0.655,0.655,0.6026,0.6026,178763,0
2010-01-26,0.6289,0.6289,0.6079,0.6079,72797,0
2010-01-27,0.6236,0.6236,0.5817,0.5974,129915,0
2010-01-28,0.6183,0.6183,0.5764,0.6079,70809,0
2010-01-29,0.6079,0.6236,0.5868,0.5868,67237,0
2010-02-01,0.5868,0.5868,0.5712,0.5764,260588,0
2010-02-02,0.5764,0.5764,0.5503,0.5607,181313,0
2010-02-03,0.5554,0.5817,0.5554,0.5607,249584,0
2010-02-04,0.5817,0.5868,0.5712,0.5712,53476,0
2010-02-05,0.5764,0.5868,0.5659,0.5868,83876,0
2010-02-08,0.5868,0.6394,0.5817,0.6394,89173,0
2010-02-09,0.6446,0.6446,0.6026,0.6289,47122,0
2010-02-10,0.6236,0.6603,0.6236,0.6499,177673,0
2010-02-11,0.655,0.7075,0.6289,0.6865,194689,0
2010-02-12,0.7023,0.7023,0.6655,0.6812,86053,0
2010-02-16,0.6812,0.6812,0.6655,0.6655,60023,0
2010-02-17,0.6708,0.6812,0.6499,0.6708,72971,0
2010-02-18,0.6708,0.6918,0.6499,0.6708,54756,0
2010-02-19,0.6708,0.6918,0.6603,0.6918,40359,0
2010-02-22,0.697,0.7128,0.6708,0.6918,330842,0
2010-02-23,0.7075,0.7075,0.6708,0.6918,40661,0
2010-02-24,0.6812,0.6918,0.6603,0.6865,36630,0
2010-02-25,0.6708,0.6865,0.6655,0.6812,19292,0
2010-02-26,0.6708,0.6918,0.6655,0.6918,44777,0
2010-03-01,0.6918,0.697,0.6865,0.697,108260,0
2010-03-02,0.7023,0.7023,0.6812,0.6812,57863,0
2010-03-03,0.7023,0.8804,0.6865,0.8332,872219,0
2010-03-04,0.8856,0.9224,0.8384,0.849,612445,0
2010-03-05,0.8594,0.8594,0.7913,0.8436,242264,0
2010-03-08,0.8647,0.9066,0.849,0.8856,641918,0
2010-03-09,0.8909,0.8909,0.8384,0.8699,205373,0
2010-03-10,0.8647,0.9118,0.849,0.9118,218402,0
2010-03-11,0.9014,0.9118,0.8909,0.9066,221169,0
2010-03-12,0.9118,0.9118,0.8909,0.9014,117761,0
2010-03-15,0.8647,0.9905,0.8647,0.9066,838758,0
2010-03-16,0.9066,0.9171,0.8804,0.8909,260171,0
2010-03-17,0.9066,0.9485,0.8699,0.9433,664692,0
2010-03-18,0.9433,0.9433,0.9171,0.9328,150949,0
2010-03-19,0.9276,0.9433,0.9224,0.9433,183940,0
2010-03-22,0.98,0.98,0.9328,0.9695,721761,0
2010-03-23,0.8699,0.9066,0.849,0.8909,265075,0
2010-03-24,0.9014,0.9014,0.8699,0.8804,111804,0
2010-03-25,0.8909,0.9276,0.8909,0.9276,135239,0
