Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.78,13,12.5,12.61,575808,0
2010-01-05,12.63,12.69,12.4,12.45,259462,0
2010-01-06,12.4,12.78,12.32,12.71,378806,0
2010-01-07,12.72,12.9,12.59,12.62,628832,0
2010-01-08,12.62,12.71,12.34,12.58,386423,0
2010-01-11,12.58,12.76,12.47,12.68,356776,0
2010-01-12,12.66,12.68,12.1,12.29,605538,0
2010-01-13,12.3,12.52,12.29,12.36,313865,0
2010-01-14,12.21,12.42,12.21,12.36,458925,0
2010-01-15,12.4,12.67,12.28,12.65,711042,0
2010-01-19,12.73,13.5,12.65,13.48,1158169,0
2010-01-20,13.5,13.86,13.2,13.74,1448650,0
2010-01-21,13.8,13.9,13.32,13.42,721939,0
2010-01-22,13.47,16.45,13.47,15.12,2961833,0
2010-01-25,15.18,15.18,14.37,14.92,870963,0
2010-01-26,14.83,14.96,14.63,14.64,574935,0
2010-01-27,14.59,15.1,14.59,15.04,632194,0
2010-01-28,15.11,15.11,14.22,14.55,394906,0
2010-01-29,14.53,14.74,14.15,14.59,510680,0
2010-02-01,14.6,14.72,14.35,14.63,351128,0
2010-02-02,14.68,15.2,14.67,15.15,575745,0
2010-02-03,15.15,15.29,14.95,15.08,435909,0
2010-02-04,14.96,14.96,14.31,14.32,352514,0
2010-02-05,14.29,14.88,13.95,14.6,445117,0
2010-02-08,14.63,14.94,14.46,14.62,215099,0
2010-02-09,14.73,14.86,14.44,14.63,247106,0
2010-02-10,14.54,14.73,14.02,14.68,728048,0
2010-02-11,14.61,14.93,14.26,14.93,456804,0
2010-02-12,14.84,15.48,14.61,15.48,493436,0
2010-02-16,15.5,15.5,14.93,15.1,471911,0
2010-02-17,15.19,15.54,15,15.54,483329,0
2010-02-18,15.48,15.48,15.13,15.37,209942,0
2010-02-19,15.36,15.44,14.86,15.37,455328,0
2010-02-22,15.46,15.5,15.1,15.13,275385,0
2010-02-23,15.09,15.2,14.62,15.09,353017,0
2010-02-24,15.1,15.23,14.97,15.09,196832,0
2010-02-25,14.95,15.18,14.81,14.94,266980,0
2010-02-26,15.01,15.03,14.55,14.64,365537,0
2010-03-01,14.65,15.31,14.65,15.28,454068,0
2010-03-02,15.24,15.35,14.95,15.19,221826,0
2010-03-03,15.26,15.51,14.98,15.31,236876,0
2010-03-04,15.35,15.44,15.19,15.4,97230,0
2010-03-05,15.39,15.8,15.25,15.49,308563,0
2010-03-08,15.44,15.57,15.01,15.15,246683,0
2010-03-09,14.83,15.24,14.7,15.11,305657,0
2010-03-10,15.1,15.24,14.92,15.02,232178,0
2010-03-11,14.89,15.18,14.62,14.7,512574,0
2010-03-12,14.75,14.75,14.16,14.47,483699,0
2010-03-15,14.49,14.57,14.22,14.34,345638,0
2010-03-16,14.39,14.63,14.11,14.62,418901,0
2010-03-17,14.59,14.82,14.17,14.22,272155,0
2010-03-18,14.25,14.39,13.95,13.99,437152,0
2010-03-19,14.08,14.35,14.05,14.33,553949,0
2010-03-22,14.37,14.39,13.99,14.22,363829,0
2010-03-23,14.26,15.22,14.12,15.14,375160,0
2010-03-24,15.14,15.25,15,15.18,314718,0
2010-03-25,15.26,15.54,14.96,15,326747,0
2010-03-26,15.06,15.3,14.88,14.89,188209,0
2010-03-29,14.97,15.2,14.75,15.12,262516,0
2010-03-30,15.09,15.4,15.01,15.31,363726,0
2010-03-31,15.21,15.35,14.96,14.97,210084,0
2010-04-01,14.98,15.3,14.89,15.12,354630,0
2010-04-05,15.17,15.25,14.82,14.92,291391,0
2010-04-06,14.82,14.99,14.65,14.69,152726,0
2010-04-07,14.72,15.09,14.51,14.71,269467,0
2010-04-08,14.63,14.91,14.51,14.86,101059,0
2010-04-09,14.86,14.86,14.6,14.65,214304,0
2010-04-12,14.65,14.78,14.37,14.48,139605,0
2010-04-13,14.48,14.75,14.34,14.68,194541,0
2010-04-14,14.7,14.82,14.46,14.8,213720,0
2010-04-15,14.83,15.13,14.83,14.99,133740,0
2010-04-16,15,15.16,14.54,15.11,266485,0
2010-04-19,15,15.25,14.54,14.6,235840,0
2010-04-20,14.7,14.95,14.52,14.86,163250,0
2010-04-21,14.91,15.08,14.71,14.86,279646,0
2010-04-22,14.7,14.73,14.03,14.09,338100,0
2010-04-23,14.1,14.4,13.98,14.21,233423,0
2010-04-26,14.19,14.31,13.79,13.83,245614,0
2010-04-27,13.75,14.2,13.48,13.61,337824,0
2010-04-28,13.61,13.96,13.42,13.87,436982,0
2010-04-29,13.99,14.26,13.82,14.2,201204,0
2010-04-30,14.24,14.53,13.88,13.88,146162,0
2010-05-03,13.9,14.5,13.87,14.44,193128,0
2010-05-04,14.26,14.3,13.87,13.88,272075,0
2010-05-05,13.82,14.18,13.44,13.89,288776,0
2010-05-06,13.79,13.86,10.77,12.45,826696,0
2010-05-07,12.34,12.54,10.92,10.99,679610,0
2010-05-10,11.56,12.59,11.51,11.77,442025,0
2010-05-11,11.64,12.79,11.56,12.47,273165,0
2010-05-12,12.53,13.97,12.42,13.82,577937,0
2010-05-13,14.15,14.16,13.37,13.76,615550,0
2010-05-14,13.69,13.75,12.92,13.28,322607,0
2010-05-17,13.38,13.55,12.77,13.25,152112,0
2010-05-18,13.41,13.69,13.09,13.18,191954,0
2010-05-19,13.19,13.26,12.74,12.92,175497,0
2010-05-20,12.66,12.73,11.11,11.93,493390,0
2010-05-21,11.81,12.17,11.54,11.96,626635,0
2010-05-24,12,12.13,11.76,11.84,163355,0
2010-05-25,11.56,12.49,11.56,12.41,298140,0
2010-05-26,12.45,12.78,12.18,12.24,261711,0
2010-05-27,12.46,12.93,12.43,12.9,195137,0
2010-05-28,12.82,13.42,12.7,13.27,449267,0
2010-06-01,13.19,13.5,12.9,13.14,368796,0
2010-06-02,13.26,13.67,13.16,13.61,282605,0
2010-06-03,13.54,13.94,13.31,13.91,133770,0
2010-06-04,13.52,13.75,12.95,13.03,367584,0
2010-06-07,13.08,13.15,12.44,12.45,241565,0
2010-06-08,12.5,12.74,12.08,12.48,243745,0
2010-06-09,12.64,12.69,12.1,12.34,190003,0
2010-06-10,12.59,13.12,12.49,13.08,181520,0
2010-06-11,12.88,13.75,12.65,13.75,312875,0
2010-06-14,13.85,14.4,13.85,13.91,189115,0
2010-06-15,14,14.08,13.8,13.85,199963,0
2010-06-16,13.69,14.86,13.61,14.74,289902,0
2010-06-17,14.76,15.25,14.65,15,290122,0
2010-06-18,15,15,14.02,14.18,685619,0
2010-06-21,14.45,14.45,13.34,13.43,293268,0
2010-06-22,13.52,13.63,12.72,12.77,280064,0
2010-06-23,12.79,13.25,12.42,13.03,289452,0
2010-06-24,12.95,13.13,12.78,12.91,170780,0
2010-06-25,12.96,13.75,12.74,13.66,458295,0
2010-06-28,13.57,13.7,13.14,13.15,203517,0
2010-06-29,12.89,13.25,12.24,12.46,633800,0
2010-06-30,12.49,12.7,12.24,12.26,199041,0
2010-07-01,12.33,12.33,11.61,12.11,213500,0
2010-07-02,12.17,12.54,12.13,12.46,154542,0
2010-07-06,12.67,12.72,11.64,11.67,234750,0
2010-07-07,11.75,12.44,11.54,12.39,234937,0
2010-07-08,12.55,12.56,12.2,12.53,180210,0
2010-07-09,12.54,12.57,12.28,12.46,91756,0
2010-07-12,12.38,12.56,12.1,12.16,86305,0
2010-07-13,12.28,12.75,12.28,12.65,408699,0
2010-07-14,12.6,12.78,11.98,12.13,173120,0
2010-07-15,12.15,12.45,11.88,11.96,130949,0
2010-07-16,11.89,12.13,11.43,11.5,216817,0
2010-07-19,11.55,11.88,11.23,11.49,162597,0
2010-07-20,11.33,11.79,11.31,11.76,196545,0
2010-07-21,11.88,12.03,11.37,11.46,129823,0
2010-07-22,11.67,12.01,11.42,11.93,192780,0
2010-07-23,11.84,25.5,11.77,21.7,19191101,0
2010-07-26,22.42,26.2,21.81,26.11,8645029,0
2010-07-27,24.15,24.98,21.82,22.86,6499564,0
2010-07-28,22.69,23.39,22.05,22.95,1970007,0
2010-07-29,23.02,23.25,20.83,21.02,2800215,0
2010-07-30,21.4,22.37,20.74,21.34,1825612,0
2010-08-02,22.65,23.3,21.62,22.14,1313427,0
2010-08-03,22.16,22.3,21.11,21.12,1012569,0
2010-08-04,21.18,21.47,20.11,20.3,1127251,0
2010-08-05,19.25,19.47,16.92,17.15,5438296,0
2010-08-06,17.09,18.08,16.98,18,2818512,0
2010-08-09,18.12,18.49,17.64,17.73,1119373,0
2010-08-10,17.5,17.61,16.93,16.99,913154,0
2010-08-11,16.79,16.92,16.14,16.24,1175672,0
2010-08-12,16.02,16.64,15.88,16.32,878743,0
2010-08-13,16.21,16.51,16.01,16.15,750903,0
2010-08-16,16.11,16.94,15.98,16.45,1002448,0
2010-08-17,16.54,16.71,16.1,16.13,940970,0
2010-08-18,16.37,16.68,16.14,16.14,708357,0
2010-08-19,16.12,16.21,15.61,15.8,1259854,0
2010-08-20,15.76,16.16,15.65,16.02,910711,0
2010-08-23,16.12,16.28,15.36,15.42,656417,0
2010-08-24,15.22,15.46,14.67,15.3,960664,0
2010-08-25,15.25,15.76,14.88,15.68,924017,0
2010-08-26,16.57,16.85,15.78,15.85,4030218,0
2010-08-27,16.13,16.48,15.64,16.28,751207,0
2010-08-30,16.19,16.4,14.81,14.82,1270521,0
2010-08-31,14.78,15.28,14.1,14.45,1344385,0
2010-09-01,14.77,15.08,14.57,14.9,986183,0
