Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.67,19.9,19.37,19.84,523491,0
2010-01-05,19.76,19.99,19.3,19.97,569650,0
2010-01-06,19.83,19.97,19.61,19.73,524719,0
2010-01-07,20.13,21.34,20,21.28,1285358,0
2010-01-08,21.23,21.43,20.73,20.89,529537,0
2010-01-11,21.14,21.14,20.6,20.89,457869,0
2010-01-12,20.68,20.68,19.74,19.84,685093,0
2010-01-13,19.91,20.93,19.68,20.82,482993,0
2010-01-14,20.8,21.1,20.71,20.94,375588,0
2010-01-15,21.1,21.36,20.38,20.75,401466,0
2010-01-19,20.87,21.1,20.47,21.08,345434,0
2010-01-20,20.83,20.93,20.27,20.87,376323,0
2010-01-21,20.95,21.19,20.16,20.19,500493,0
2010-01-22,20.14,20.71,19.81,19.86,711005,0
2010-01-25,20.11,20.6,19.5,20.55,657098,0
2010-01-26,20.56,21.84,20.43,21.37,955820,0
2010-01-27,21,21.69,20.16,21.68,1146774,0
2010-01-28,21.78,22.37,21.42,22.14,898667,0
2010-01-29,22.31,22.68,21.97,22.39,784575,0
2010-02-01,22.46,22.49,21.87,22.1,638342,0
2010-02-02,22.44,23.12,22.19,23.03,977415,0
2010-02-03,22.67,23.14,22.34,22.65,566638,0
2010-02-04,22.38,22.44,21.49,21.61,570037,0
2010-02-05,20.68,21.25,20.55,21.12,815932,0
2010-02-08,21.12,22.1,20.82,21.59,550702,0
2010-02-09,21.77,21.87,20.89,21.38,464433,0
2010-02-10,21.3,21.78,21,21.47,288717,0
2010-02-11,21.42,22.42,21.18,22.39,339369,0
2010-02-12,22.24,22.79,22.02,22.45,452917,0
2010-02-16,22.71,22.79,22.19,22.58,301910,0
2010-02-17,22.69,22.75,22.14,22.42,336529,0
2010-02-18,22.25,22.45,21.79,22.18,297001,0
2010-02-19,22.19,22.68,22.12,22.57,461098,0
2010-02-22,22.68,22.97,22.18,22.68,346506,0
2010-02-23,22.62,22.7,21.41,21.7,471376,0
2010-02-24,21.91,21.91,21.32,21.54,456838,0
2010-02-25,21.18,21.56,20.76,21.53,662544,0
2010-02-26,21.49,21.65,21.01,21.39,500179,0
2010-03-01,21.53,21.89,21.52,21.87,282402,0
2010-03-02,21.87,21.91,21.33,21.41,393311,0
2010-03-03,21.55,22.25,21.47,22.1,633952,0
2010-03-04,22.12,22.28,21.9,22.03,275817,0
2010-03-05,22.28,22.62,21.94,22.5,372427,0
2010-03-08,22.56,22.8,22.52,22.8,177942,0
2010-03-09,22.6,23.73,22.5,23.54,479527,0
2010-03-10,23.47,23.5,22.75,22.81,326466,0
2010-03-11,22.53,22.57,21.76,22.12,611262,0
2010-03-12,22.19,22.19,21.51,21.71,294665,0
2010-03-15,21.7,22.05,21.54,21.84,251392,0
2010-03-16,21.9,22.21,21.58,22.11,320755,0
2010-03-17,22.15,22.74,22.15,22.26,245813,0
2010-03-18,22.18,22.47,21.8,21.84,265508,0
2010-03-19,21.95,21.96,21.32,21.36,399968,0
2010-03-22,21.25,21.53,21.05,21.37,245447,0
2010-03-23,21.27,21.93,21,21.75,395021,0
2010-03-24,21.69,22.1,21.48,21.48,195153,0
2010-03-25,21.73,22.3,21.56,21.59,284573,0
2010-03-26,21.66,22.05,21.56,21.76,316646,0
2010-03-29,21.83,21.93,21.08,21.3,269724,0
2010-03-30,21.28,21.89,21.19,21.6,369212,0
2010-03-31,21.44,21.71,21,21,355278,0
2010-04-01,21.3,21.57,20.68,21.03,454148,0
2010-04-05,21.08,21.42,20.82,21.29,409821,0
2010-04-06,21.07,21.2,20.61,20.62,505767,0
2010-04-07,20.87,20.87,20.35,20.47,455567,0
2010-04-08,20.43,20.43,19.93,19.99,888293,0
2010-04-09,20,20.1,19.82,20.05,1117811,0
2010-04-12,20.12,20.29,19.88,20.24,513208,0
2010-04-13,20.21,20.39,19.96,20.08,337709,0
2010-04-14,20.16,21.24,20.09,21.16,712168,0
2010-04-15,21.15,21.25,20.98,21.07,248586,0
2010-04-16,21.1,21.23,20.28,20.39,486255,0
2010-04-19,20.3,20.68,19.82,20.1,346349,0
2010-04-20,20.13,20.66,20.08,20.66,313075,0
2010-04-21,20.66,21.11,20.59,21.07,234486,0
2010-04-22,20.79,22.3,20.42,22.29,626820,0
2010-04-23,22.31,24.09,22.22,23.8,1471002,0
2010-04-26,23.93,24.21,23.04,23.17,385977,0
2010-04-27,22.9,23.37,22.32,22.42,428194,0
2010-04-28,22.5,23.07,22.2,22.7,377007,0
2010-04-29,24.05,24.98,24.05,24.82,1193586,0
2010-04-30,25.4,25.4,23.77,23.78,660621,0
2010-05-03,23.9,25.44,23.73,25.1,864560,0
2010-05-04,24.7,24.82,23.26,23.36,942506,0
2010-05-05,23.2,23.21,21.9,22.33,2687401,0
2010-05-06,22.63,23.51,20.8,21.99,1317527,0
2010-05-07,21.99,22.39,20.95,21.28,1098715,0
2010-05-10,22.17,23.9,22.17,23.76,1005173,0
2010-05-11,23.31,24.25,23,23.23,620467,0
2010-05-12,23.36,24.12,23.34,24.05,827624,0
2010-05-13,23.87,23.93,22.51,22.79,759474,0
2010-05-14,22.5,22.52,21.81,22.27,476840,0
2010-05-17,22.42,22.82,21.56,22.8,715673,0
2010-05-18,23.2,23.62,22.26,22.35,521251,0
2010-05-19,22.21,22.86,21.5,21.93,404309,0
2010-05-20,21.35,21.73,20.76,20.93,647659,0
2010-05-21,20.32,21.47,20.2,21.14,858198,0
2010-05-24,21.05,21.6,20.67,20.75,329864,0
