Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.167,20.334,19.167,20.195,2160210,0
2010-01-05,19.945,21.631,19.945,21.312,4146217,0
2010-01-06,21.352,21.701,21.312,21.591,1824302,0
2010-01-07,21.392,21.701,20.973,21.342,1221364,0
2010-01-08,20.933,22.001,20.933,21.801,2031219,0
2010-01-11,22.24,23.896,22.21,22.34,3620283,0
2010-01-12,21.861,21.861,21.152,21.651,1933579,0
2010-01-13,21.981,22.938,21.961,22.859,3280899,0
2010-01-14,23.198,24.814,23.198,24.605,4760642,0
2010-01-15,24.385,25.533,23.996,24.744,4130722,0
2010-01-19,24.675,26.57,24.505,26.371,3520007,0
2010-01-20,25.662,25.722,24.196,24.984,4548056,0
2010-01-21,24.744,24.824,22.33,22.609,6060875,0
2010-01-22,22.45,23.846,21.951,22.44,3741688,0
2010-01-25,23.288,23.617,21.631,21.971,3837278,0
2010-01-26,21.581,22.649,21.252,21.881,2665812,0
2010-01-27,22.09,22.23,20.654,21.292,3591904,0
2010-01-28,22.07,22.44,20.155,20.464,4746309,0
2010-01-29,20.953,21.621,19.646,19.746,5381569,0
2010-02-01,20.254,22.07,20.254,22.07,3537570,0
2010-02-02,22.45,22.918,21.851,22.709,3183873,0
2010-02-03,22.27,23.437,22.18,22.33,3158723,0
2010-02-04,21.791,21.931,19.955,19.965,5217289,0
2010-02-05,20.125,20.534,18.588,19.676,7900482,0
2010-02-08,20.065,20.903,19.327,20.334,4534955,0
2010-02-09,21.362,22.06,20.654,21.851,5421826,0
2010-02-10,21.472,22.18,21.013,21.831,3359412,0
2010-02-11,21.981,23.557,21.771,23.407,5927850,0
2010-02-12,22.809,23.497,22.37,23.447,3530750,0
2010-02-16,24.226,24.545,23.896,24.405,3053448,0
2010-02-17,24.625,24.794,23.457,23.946,2447070,0
2010-02-18,23.547,24.445,23.547,24.206,2230563,0
2010-02-19,24.016,24.744,23.986,24.565,1990629,0
2010-02-22,24.804,24.934,24.056,24.136,1547215,0
2010-02-23,23.657,23.896,22.649,22.968,2690317,0
2010-02-24,23.118,23.567,22.869,23.088,1744260,0
2010-02-25,22.639,22.639,21.552,22.569,4634598,0
2010-02-26,22.829,22.998,22.13,22.948,2275381,0
2010-03-01,23.208,23.816,23.078,23.647,1732097,0
2010-03-02,24.126,24.275,23.647,23.777,1651280,0
2010-03-03,23.916,24.894,23.916,24.236,2655891,0
2010-03-04,24.635,24.934,23.996,24.844,3304610,0
2010-03-05,25.064,26.191,25.064,25.922,4098214,0
2010-03-08,26.361,26.66,25.343,25.413,2774377,0
2010-03-09,25.054,25.942,24.954,25.553,1590564,0
2010-03-10,25.712,26.6,25.573,26.55,3388869,0
