Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.05,10.67,10.05,10.34,9870,0
2010-01-05,10.12,10.2,9.18,10.04,7849,0
2010-01-06,9.99,10,9.35,9.82,2411,0
2010-01-07,9.85,11,9.79,10.63,12669,0
2010-01-08,10.7,10.89,10.6,10.6,3260,0
2010-01-11,10.83,10.83,10.6,10.6,5800,0
2010-01-12,10.55,10.57,10.02,10.02,3300,0
2010-01-13,10.01,10.01,9.6,9.97,6764,0
2010-01-14,9.95,10,9.89,9.89,1550,0
2010-01-15,9.36,10.55,9.35,10.07,9895,0
2010-01-19,9.99,10.15,9.69,10.15,9800,0
2010-01-20,9.97,9.97,9.68,9.68,900,0
2010-01-21,9.71,9.71,9,9.08,5150,0
2010-01-22,9.05,9.17,9,9,2200,0
2010-01-25,9.07,9.07,8.88,8.88,2639,0
2010-01-26,8.9,9.24,8.9,9,1994,0
2010-01-27,8.9,9.09,8.9,9.02,2400,0
2010-01-28,9.06,9.06,8.81,8.87,853,0
2010-01-29,8.73,8.9,8.73,8.9,3900,0
2010-02-01,8.9,8.9,8.5,8.6,6110,0
2010-02-02,7.56,8.49,7.56,8.49,1130,0
2010-02-03,8.46,8.46,8.36,8.36,800,0
2010-02-04,8.3,8.3,8.16,8.16,2705,0
2010-02-05,8.19,8.19,7.81,7.88,2380,0
2010-02-08,7.81,7.81,7.55,7.55,3450,0
2010-02-09,7.6,8.38,7.6,8.29,2509,0
2010-02-10,8.3,9.47,8.3,9.19,16867,0
2010-02-11,9.38,9.98,9.09,9.2,13190,0
2010-02-12,9.1,9.1,8.3,8.57,8917,0
2010-02-16,8.53,8.77,8.53,8.76,6500,0
2010-02-17,8.99,9.05,8.7,8.75,4230,0
2010-02-18,8.75,8.85,8.57,8.85,1349,0
2010-02-19,8.66,8.66,8.4,8.4,600,0
2010-02-22,8.4,8.54,8.38,8.54,1458,0
2010-02-23,8.5,8.5,8.5,8.5,100,0
2010-02-24,8.48,8.49,8.08,8.33,2820,0
2010-02-25,8.33,8.4,8.08,8.4,5320,0
2010-02-26,8.22,8.36,8.15,8.3,1770,0
2010-03-01,8.18,8.21,8.02,8.21,850,0
2010-03-02,8.24,9.79,7.18,7.98,63375,0
2010-03-03,8.02,8.79,7.81,8.17,19904,0
2010-03-04,8.3,8.35,8,8.19,3580,0
2010-03-05,8.13,8.3,8.13,8.22,4464,0
2010-03-08,8.44,9.04,8.3,8.3,13483,0
2010-03-09,8.46,8.46,8.18,8.18,1050,0
2010-03-10,8.7,8.85,8.5,8.66,5750,0
2010-03-11,8.6,8.75,8.6,8.75,2460,0
2010-03-12,8.75,9,8.56,8.56,2300,0
