Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.791,17.042,16.758,17.036,757826,0
2010-01-05,17.074,17.129,16.939,17.074,649285,0
2010-01-06,17.169,17.941,17.126,17.821,1457460,0
2010-01-07,17.87,18.033,17.591,18.026,941829,0
2010-01-08,17.859,18.213,17.837,18.172,880848,0
2010-01-11,18.623,19.021,18.505,18.9,2203163,0
2010-01-12,18.66,18.9,18.571,18.683,833824,0
2010-01-13,18.643,18.861,18.638,18.744,632057,0
2010-01-14,18.744,18.912,18.643,18.656,420786,0
2010-01-15,18.594,18.727,18.248,18.498,1032816,0
2010-01-19,18.688,18.916,18.656,18.916,1137703,0
2010-01-20,18.849,18.849,18.583,18.771,680904,0
2010-01-21,18.771,18.916,18.123,18.166,919030,0
2010-01-22,16.939,17.052,16.813,16.864,7063003,0
2010-01-25,16.973,17.08,16.801,16.939,1830147,0
2010-01-26,16.909,17.179,16.868,16.981,862647,0
2010-01-27,16.939,17.163,16.868,17.101,877413,0
2010-01-28,17.141,17.141,16.706,16.825,845805,0
2010-01-29,16.92,17.095,16.507,16.507,2168515,0
2010-02-01,16.602,16.686,16.105,16.609,1291252,0
2010-02-02,16.651,16.718,16.347,16.541,1154995,0
2010-02-03,16.531,16.636,16.412,16.467,770113,0
2010-02-04,16.407,16.412,15.906,15.936,1172836,0
2010-02-05,15.956,15.956,15.334,15.778,1601123,0
2010-02-08,15.79,15.812,15.465,15.517,1090101,0
2010-02-09,15.645,15.839,15.506,15.64,883964,0
2010-02-10,15.713,15.795,15.472,15.784,825573,0
2010-02-11,15.79,16.07,15.672,16.029,892595,0
2010-02-12,15.64,16.07,15.577,16.07,1331973,0
2010-02-16,16.407,16.423,16.191,16.423,1308910,0
2010-02-17,16.467,16.495,16.284,16.39,639012,0
2010-02-18,16.347,16.447,16.308,16.436,892807,0
2010-02-19,16.277,16.513,16.258,16.396,681037,0
2010-02-22,16.513,16.55,16.258,16.301,636670,0
2010-02-23,16.23,16.24,15.856,15.939,793581,0
2010-02-24,16.023,16.185,15.939,16.036,576945,0
2010-02-25,15.936,16.145,15.834,16.136,501819,0
2010-02-26,16.191,16.218,15.969,16.168,503693,0
2010-03-01,16.164,16.308,16.052,16.096,710544,0
2010-03-02,16.136,16.136,15.996,16.001,864123,0
2010-03-03,16.083,16.145,16.012,16.071,685985,0
2010-03-04,16.029,16.23,15.939,16.044,683690,0
2010-03-05,16.071,16.109,15.949,15.985,1383013,0
2010-03-08,16.269,16.725,16.136,16.615,2629451,0
2010-03-09,16.769,17.063,16.651,16.874,1973785,0
2010-03-10,17.052,17.287,16.926,17.101,1396937,0
2010-03-11,17.092,17.136,16.801,16.864,1166048,0
2010-03-12,16.934,16.996,16.86,16.929,835667,0
2010-03-15,16.819,16.909,16.636,16.796,848846,0
2010-03-16,16.73,16.909,16.725,16.887,551790,0
2010-03-17,16.86,16.901,16.801,16.864,648324,0
2010-03-18,16.864,16.996,16.86,16.946,698042,0
2010-03-19,16.89,16.946,16.564,16.672,1451970,0
2010-03-22,16.629,16.686,16.412,16.647,910708,0
2010-03-23,16.629,16.854,16.629,16.83,640884,0
2010-03-24,16.813,17.192,16.692,16.796,661841,0
2010-03-25,16.839,16.914,16.569,16.58,556497,0
2010-03-26,16.585,16.791,16.524,16.647,986017,0
2010-03-29,16.679,16.774,16.647,16.672,635297,0
2010-03-30,16.735,16.991,16.663,16.926,1382111,0
2010-03-31,16.839,16.946,16.747,16.839,1002417,0
2010-04-01,16.909,17.236,16.909,17.101,1059667,0
2010-04-05,17.204,17.526,17.107,17.437,1262737,0
2010-04-06,17.442,17.529,17.304,17.497,981009,0
2010-04-07,17.424,17.501,17.136,17.268,788214,0
2010-04-08,17.153,17.268,17.002,17.253,509016,0
2010-04-09,17.453,17.702,17.304,17.582,1100664,0
2010-04-12,17.508,17.654,17.487,17.526,724758,0
2010-04-13,17.477,17.582,17.363,17.54,949715,0
2010-04-14,17.57,17.792,17.448,17.743,950576,0
2010-04-15,17.641,17.906,17.529,17.613,1251676,0
2010-04-16,17.591,17.72,17.209,17.47,1430004,0
2010-04-19,17.353,17.442,17.209,17.424,993560,0
2010-04-20,17.448,17.72,17.448,17.632,822427,0
2010-04-21,17.61,17.715,17.526,17.675,583786,0
2010-04-22,17.52,17.715,17.393,17.715,352083,0
2010-04-23,17.675,17.826,17.582,17.826,520389,0
2010-04-26,17.76,17.849,17.669,17.682,484805,0
2010-04-27,17.621,17.669,17.224,17.414,1627121,0
2010-04-28,17.477,17.54,17.262,17.337,645757,0
2010-04-29,17.465,17.559,17.219,17.287,814041,0
2010-04-30,17.275,17.514,17.176,17.381,869187,0
2010-05-03,17.437,18.019,17.437,17.821,1201852,0
2010-05-04,17.597,17.692,17.304,17.453,937013,0
2010-05-05,17.107,17.209,16.718,16.953,1156045,0
2010-05-06,16.854,16.934,15.239,16.174,1970416,0
2010-05-07,16.083,16.157,15.35,15.734,2007481,0
2010-05-10,16.663,16.692,16.218,16.513,1596143,0
2010-05-11,16.407,16.887,16.407,16.596,1169542,0
2010-05-12,16.901,16.968,16.718,16.953,916762,0
2010-05-13,16.959,17.136,16.791,17.059,1160398,0
2010-05-14,17.179,17.403,16.774,17.095,2366642,0
2010-05-17,16.929,16.929,16.151,16.524,1578551,0
2010-05-18,16.839,16.839,16.447,16.495,885003,0
2010-05-19,16.295,16.45,15.891,16.191,1090977,0
2010-05-20,15.761,15.906,15.44,15.444,1716960,0
2010-05-21,15.206,15.79,15.104,15.633,1600121,0
2010-05-24,15.85,15.85,15.428,15.428,665726,0
2010-05-25,15.127,15.472,14.978,15.451,1184385,0
2010-05-26,15.594,15.734,15.49,15.517,684865,0
2010-05-27,15.757,16.102,15.661,16.102,820139,0
2010-05-28,16.091,16.263,15.633,15.8,875145,0
2010-06-01,15.816,16.139,15.577,15.577,845202,0
2010-06-02,15.672,16.258,15.672,16.258,780299,0
2010-06-03,16.185,16.334,15.949,16.258,663674,0
2010-06-04,16.24,16.24,15.619,15.723,868036,0
2010-06-07,15.738,15.839,15.277,15.311,832970,0
2010-06-08,15.322,15.517,15.025,15.339,890928,0
2010-06-09,15.623,15.774,15.268,15.339,776507,0
2010-06-10,15.506,15.969,15.506,15.873,826549,0
2010-06-11,15.699,16.071,15.645,16.071,466678,0
2010-06-14,16.057,16.467,16.052,16.295,1799668,0
2010-06-15,16.591,16.742,16.456,16.698,995239,0
2010-06-16,16.58,16.742,16.43,16.564,761052,0
2010-06-17,16.692,16.692,16.342,16.467,592740,0
2010-06-18,16.545,16.596,16.363,16.545,667913,0
2010-06-21,16.764,16.774,16.379,16.475,529552,0
2010-06-22,16.491,16.55,16.102,16.213,568924,0
2010-06-23,16.145,16.234,15.949,16.13,554753,0
2010-06-24,16.083,16.185,15.891,15.949,605455,0
2010-06-25,16.052,16.43,16.052,16.423,956202,0
2010-06-28,16.324,16.629,16.313,16.334,521462,0
2010-06-29,16.071,16.273,15.784,15.895,1084169,0
2010-06-30,15.945,16.128,15.593,15.626,750320,0
2010-07-01,15.577,15.694,15.173,15.316,1407823,0
2010-07-02,15.371,15.551,15.11,15.188,788189,0
2010-07-06,15.339,15.6,14.978,15.094,1110403,0
2010-07-07,15.168,15.49,15.012,15.461,1544541,0
2010-07-08,15.565,15.706,15.316,15.544,707190,0
2010-07-09,15.506,15.757,15.506,15.719,628953,0
2010-07-12,15.822,15.856,15.506,15.54,750425,0
2010-07-13,15.713,15.906,15.59,15.844,902420,0
2010-07-14,15.862,16.13,15.734,15.931,811181,0
2010-07-15,15.917,16.005,15.345,15.496,1688529,0
2010-07-16,15.456,15.517,15.3,15.357,947920,0
2010-07-19,15.451,15.613,15.2,15.369,611204,0
2010-07-20,15.217,15.69,15.161,15.672,720629,0
2010-07-21,15.8,15.8,15.371,15.472,699496,0
2010-07-22,15.723,15.829,15.577,15.734,893894,0
2010-07-23,15.656,15.956,15.633,15.956,586911,0
2010-07-26,15.996,16.441,15.917,16.407,1150959,0
2010-07-27,16.524,16.642,16.318,16.467,1140965,0
2010-07-28,16.384,16.463,16.001,16.102,703257,0
2010-07-29,16.191,16.342,15.778,16.044,527369,0
2010-07-30,15.985,16.005,15.774,15.956,688363,0
2010-08-02,16.174,16.334,15.977,16.071,748230,0
2010-08-03,16.077,16.334,15.884,16.178,653034,0
2010-08-04,16.24,16.384,16.136,16.342,819640,0
2010-08-05,16.269,16.347,16.164,16.258,514508,0
2010-08-06,16.475,16.651,16.258,16.55,1415657,0
2010-08-09,16.609,16.609,16.384,16.495,958658,0
2010-08-10,16.456,16.486,16.139,16.308,1052773,0
2010-08-11,16.064,16.174,15.856,16.04,1180608,0
2010-08-12,15.834,16.071,15.774,16.029,968059,0
2010-08-13,16.017,16.164,15.884,15.901,862997,0
2010-08-16,15.856,16.329,15.856,16.218,987514,0
2010-08-17,16.373,16.524,16.301,16.495,1542254,0
2010-08-18,16.083,16.185,15.862,16.064,981902,0
2010-08-19,15.99,15.99,15.6,15.677,877903,0
2010-08-20,15.668,15.668,15.4,15.561,855668,0
2010-08-23,15.451,15.479,15.145,15.178,876150,0
2010-08-24,15.02,15.1,14.677,14.933,1682168,0
2010-08-25,14.795,14.889,14.648,14.855,988764,0
2010-08-26,14.949,15.11,14.761,14.789,706175,0
2010-08-27,14.815,15.173,14.648,15.104,946541,0
2010-08-30,15.067,15.094,14.716,14.726,825040,0
2010-08-31,14.721,14.871,14.561,14.579,956441,0
2010-09-01,14.732,14.933,14.677,14.864,777102,0
2010-09-02,15,15.084,14.899,15.039,702908,0
2010-09-03,15.127,15.378,15.084,15.261,721125,0
2010-09-07,15.133,15.145,14.704,14.745,968175,0
2010-09-08,14.739,15.012,14.739,14.809,834012,0
