Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,33.51,34.15,33.51,33.864,2408129,0
2010-01-05,33.959,34.865,33.691,34.744,3808596,0
2010-01-06,34.766,35.336,34.617,35.07,2194852,0
2010-01-07,34.889,34.984,34.14,34.599,2280978,0
2010-01-08,34.357,34.834,33.906,34.813,2489635,0
2010-01-11,35.191,35.534,34.53,34.97,3440962,0
2010-01-12,34.843,35.801,34.672,35.182,5508147,0
2010-01-13,35.252,35.654,34.567,35.496,2740603,0
2010-01-14,35.299,35.969,35.257,35.9,2712722,0
2010-01-15,35.964,36.296,35.358,35.936,4671694,0
2010-01-19,35.9,36.624,35.573,36.557,2471683,0
2010-01-20,36.189,36.189,35.471,35.895,4788846,0
2010-01-21,35.974,36.412,35.177,35.744,4473543,0
2010-01-22,35.596,36.325,35.187,35.299,6578941,0
2010-01-25,35.573,36.494,35.573,36.163,6030956,0
2010-01-26,35.754,36.221,35.211,35.388,6750122,0
2010-01-27,35.5,35.649,34.145,34.686,4456624,0
2010-01-28,35.057,35.388,34.001,34.483,3744604,0
2010-01-29,34.757,35.331,34.021,34.198,4285343,0
2010-02-01,34.52,35.066,34.391,35.066,3573082,0
2010-02-02,35.096,35.759,34.589,35.68,3851135,0
2010-02-03,35.496,35.739,35.206,35.476,2150460,0
2010-02-04,35.066,35.066,33.545,33.626,2882833,0
2010-02-05,33.541,33.874,32.755,33.786,4637610,0
2010-02-08,33.879,34.09,33.298,33.576,3261291,0
2010-02-09,34.057,34.984,33.968,34.425,2717579,0
2010-02-10,34.131,34.236,33.589,33.893,4307781,0
2010-02-11,33.893,34.719,33.767,34.686,2665415,0
2010-02-12,34.236,34.497,33.884,34.396,3017799,0
2010-02-16,34.817,35.658,34.817,35.564,2791087,0
2010-02-17,35.73,35.806,35.053,35.355,3969437,0
2010-02-18,34.337,35.128,34.318,34.838,5831549,0
2010-02-19,34.667,35.049,34.406,34.576,3643538,0
2010-02-22,34.567,34.612,33.449,33.523,3186698,0
2010-02-23,33.288,33.548,32.698,32.81,3539875,0
2010-02-24,32.45,33.391,32.355,32.833,4420916,0
2010-02-25,32.305,33.064,32.036,32.961,2997695,0
2010-02-26,33.074,33.701,32.825,33.594,3972528,0
2010-03-01,33.911,34.123,33.728,33.923,3691360,0
2010-03-02,34.045,34.425,33.631,33.791,4722072,0
2010-03-03,33.941,34.16,33.496,33.673,3209855,0
2010-03-04,33.753,34.016,33.069,33.401,2568826,0
2010-03-05,33.66,34.076,33.589,33.869,2536292,0
2010-03-08,33.978,34.04,33.636,33.753,1906911,0
2010-03-09,33.621,34.04,33.537,33.879,2930730,0
2010-03-10,33.936,34.113,33.72,34.016,3814931,0
2010-03-11,33.879,34.085,33.748,33.978,2816357,0
2010-03-12,34.207,34.293,33.818,34.236,2543890,0
2010-03-15,34.113,34.164,33.481,33.864,3469191,0
2010-03-16,34.076,34.271,33.795,34.257,2480352,0
2010-03-17,34.43,35.433,34.43,35.225,5145605,0
2010-03-18,35.07,35.341,34.328,34.406,4261679,0
2010-03-19,34.425,34.672,33.519,33.851,5427990,0
