Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,14.99,15.4,14.95,15.1,183933,0
2010-01-05,15.07,15.14,14.4,14.95,499214,0
2010-01-06,14.99,15.07,14.51,14.58,538167,0
2010-01-07,14.59,14.82,14.35,14.77,122876,0
2010-01-08,14.77,14.77,14.52,14.57,98748,0
2010-01-11,14.65,14.67,14.25,14.29,171156,0
2010-01-12,14.25,14.46,14.19,14.37,153793,0
2010-01-13,14.44,14.61,14.3,14.6,141520,0
2010-01-14,14.53,14.66,14.45,14.65,125914,0
2010-01-15,14.67,14.71,14.05,14.22,288567,0
2010-01-19,14.19,14.51,14.14,14.51,160578,0
2010-01-20,14.36,14.36,13.63,13.93,403534,0
2010-01-21,13.89,13.99,13.42,13.5,208861,0
2010-01-22,13.51,13.92,13.34,13.39,199451,0
2010-01-25,13.51,13.51,13.12,13.35,147110,0
2010-01-26,13.3,13.3,12.84,12.87,171729,0
2010-01-27,13.25,13.73,13.21,13.52,514451,0
2010-01-28,13.6,13.71,13.06,13.59,337277,0
2010-01-29,13.65,13.86,13.5,13.56,329329,0
2010-02-01,13.57,13.9,13.53,13.56,267957,0
2010-02-02,13.53,13.95,13.44,13.87,297690,0
2010-02-03,13.76,14.11,13.45,13.59,202519,0
2010-02-04,13.48,13.52,13.25,13.25,218495,0
2010-02-05,13.24,13.5,13.1,13.49,154695,0
2010-02-08,13.46,13.46,13.14,13.14,117105,0
2010-02-09,13.29,13.52,13.2,13.43,152432,0
2010-02-10,13.35,13.55,13.28,13.54,299024,0
2010-02-11,13.48,13.78,13.37,13.75,256638,0
2010-02-12,13.63,13.99,13.52,13.96,238019,0
2010-02-16,14,14.12,13.86,14.12,130637,0
2010-02-17,14.19,14.39,14.07,14.36,303176,0
2010-02-18,14.32,14.5,12.5,13.01,1545308,0
2010-02-19,12.95,13.2,12.69,12.9,429199,0
2010-02-22,12.8,12.98,12.73,12.8,493667,0
2010-02-23,12.74,12.82,12.48,12.52,371391,0
2010-02-24,12.51,12.69,12.44,12.44,331148,0
2010-02-25,12.3,12.33,11.54,11.57,1619659,0
2010-02-26,11.59,11.76,11.32,11.63,857685,0
2010-03-01,11.73,11.96,11.7,11.9,520913,0
2010-03-02,11.95,11.98,11.72,11.77,484937,0
2010-03-03,11.83,11.9,11.64,11.74,336161,0
2010-03-04,11.75,12.04,11.73,11.88,691975,0
2010-03-05,11.91,12.25,11.91,12.09,837576,0
2010-03-08,12.11,12.23,11.78,11.9,561068,0
2010-03-09,11.84,12.16,11.8,12.03,609588,0
2010-03-10,12.07,12.16,11.85,12.05,490777,0
2010-03-11,12.03,12.04,11.78,11.99,299955,0
2010-03-12,12.03,12.13,11.9,12.06,285139,0
2010-03-15,12.08,12.08,11.68,12.03,396277,0
2010-03-16,11.99,12.11,11.81,12.1,197748,0
2010-03-17,12.12,12.21,12.02,12.11,274039,0
2010-03-18,12.09,12.09,11.8,12.01,300386,0
2010-03-19,12.06,12.28,11.93,12.23,634817,0
2010-03-22,12.12,12.32,12.06,12.3,243068,0
2010-03-23,12.3,12.58,12.29,12.57,542156,0
2010-03-24,12.54,12.69,12.46,12.52,385094,0
2010-03-25,12.62,12.62,12.32,12.32,350283,0
2010-03-26,12.4,12.42,12.08,12.24,303198,0
2010-03-29,12.3,12.36,12.05,12.21,243933,0
2010-03-30,12.18,12.34,12.07,12.23,216681,0
2010-03-31,12.22,12.36,12.04,12.13,287813,0
2010-04-01,12.16,12.27,12.05,12.1,220103,0
2010-04-05,12.1,12.35,12.08,12.24,188162,0
2010-04-06,12.21,12.28,11.83,12.08,799719,0
2010-04-07,12.07,12.16,12.01,12.06,504786,0
2010-04-08,12.02,12.1,11.87,12.08,204425,0
2010-04-09,12.06,12.15,12.05,12.12,206183,0
2010-04-12,12.15,12.18,12.01,12.18,165952,0
2010-04-13,12.19,12.29,12.14,12.22,265036,0
2010-04-14,12.29,12.58,12.29,12.48,299677,0
2010-04-15,12.42,12.57,12.3,12.44,281498,0
2010-04-16,12.43,12.9,12.4,12.8,810631,0
2010-04-19,12.8,12.8,12.68,12.69,398525,0
2010-04-20,12.7,12.87,12.67,12.8,151246,0
2010-04-21,12.78,12.85,12.65,12.79,280074,0
2010-04-22,12.69,13.07,12.59,13.06,519507,0
2010-04-23,13.08,13.41,12.87,13.41,488809,0
2010-04-26,13.37,13.46,13.16,13.46,384894,0
2010-04-27,13.38,13.49,13.12,13.19,277489,0
2010-04-28,13.2,13.32,13.01,13.16,211120,0
2010-04-29,13.24,13.39,13,13.25,365025,0
2010-04-30,13.21,13.23,12.88,12.88,510292,0
2010-05-03,12.87,13.03,12.85,12.9,457331,0
2010-05-04,12.51,12.73,12.19,12.55,638331,0
2010-05-05,12.46,12.75,12.31,12.62,572546,0
2010-05-06,12.5,12.83,12.17,12.36,583164,0
2010-05-07,12.3,12.51,12.07,12.3,746361,0
2010-05-10,12.69,12.83,12.55,12.81,317692,0
2010-05-11,12.66,13,12.61,12.82,318322,0
2010-05-12,12.89,13.12,12.81,13.03,260764,0
