Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.1191,4.1415,4.0794,4.097,594024,0
2010-01-05,4.1014,4.133,4.0926,4.133,508035,0
2010-01-06,4.1375,4.2672,4.133,4.2224,700819,0
2010-01-07,4.2001,4.2985,4.1954,4.2761,502898,0
2010-01-08,4.2985,4.2985,4.249,4.2761,541055,0
2010-01-11,4.2985,4.3205,4.294,4.3118,770299,0
2010-01-12,4.2627,4.2672,4.2134,4.24,419719,0
2010-01-13,4.2224,4.2311,4.1728,4.1818,805062,0
2010-01-14,4.1597,4.1909,4.1375,4.1644,634491,0
2010-01-15,4.1728,4.1818,4.1151,4.1685,407364,0
2010-01-19,4.1685,4.2717,4.1685,4.2311,455397,0
2010-01-20,4.1818,4.2358,4.1818,4.2045,400656,0
2010-01-21,4.1868,4.2583,4.1061,4.1284,531369,0
2010-01-22,4.088,4.1014,3.9267,4.0565,1597898,0
2010-01-25,4.0478,4.0612,3.9581,4.0431,995058,0
2010-01-26,3.9985,4.0794,3.9894,4.0119,697148,0
2010-01-27,4.0431,4.0521,3.9267,3.9851,748437,0
2010-01-28,4.0029,4.0164,3.9091,3.9267,508652,0
2010-01-29,3.9181,3.9315,3.7927,3.8553,1133473,0
2010-02-01,3.9315,3.9807,3.864,3.9807,758991,0
2010-02-02,4.0029,4.1375,3.9851,4.133,923137,0
2010-02-03,4.1465,4.1465,4.0521,4.133,798640,0
2010-02-04,4.1061,4.1061,3.9315,3.9315,958694,0
2010-02-05,3.9044,3.9404,3.7522,3.8911,998626,0
2010-02-08,3.8911,3.954,3.864,3.9315,643866,0
2010-02-09,3.8822,3.9672,3.8775,3.9404,580956,0
2010-02-10,3.9581,3.9581,3.9181,3.9358,296658,0
2010-02-11,3.9714,3.9762,3.9267,3.9672,391009,0
2010-02-12,3.9762,3.9762,3.9134,3.9449,328920,0
2010-02-16,3.9714,3.9894,3.9358,3.9894,391094,0
2010-02-17,3.9714,4.0119,3.9404,3.9762,474438,0
2010-02-18,3.9626,4.0254,3.9493,4.021,472576,0
2010-02-19,4.0029,4.0838,4.0029,4.0794,494906,0
2010-02-22,4.1061,4.1284,4.0926,4.1151,518288,0
2010-02-23,4.1238,4.133,4.0699,4.1102,504085,0
2010-02-24,4.1284,4.1415,4.0699,4.1014,446214,0
2010-02-25,4.0747,4.1014,4.0565,4.088,266645,0
2010-02-26,4.1102,4.1415,4.088,4.133,261227,0
2010-03-01,4.1375,4.2134,4.1375,4.2134,419976,0
2010-03-02,4.2224,4.2266,4.1644,4.2266,505741,0
2010-03-03,4.2001,4.24,4.1818,4.1868,556181,0
2010-03-04,4.1909,4.2178,4.1465,4.1597,428083,0
2010-03-05,4.1954,4.2224,4.1644,4.2224,451035,0
2010-03-08,4.24,4.2449,4.2092,4.24,541435,0
2010-03-09,4.1776,4.2358,4.1776,4.2358,331598,0
