Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.237,29.901,29.223,29.829,4907305,0
2010-01-05,29.944,30.855,29.944,30.792,6588501,0
2010-01-06,30.749,31.258,30.331,31.195,6490966,0
2010-01-07,31.146,31.279,30.726,31.132,4573434,0
2010-01-08,30.792,31.872,30.792,31.703,4211012,0
2010-01-11,32.064,32.219,30.906,31.201,4119273,0
2010-01-12,30.671,31.286,30.239,31.011,5837466,0
2010-01-13,31.108,31.526,30.445,31.399,3103981,0
2010-01-14,31.216,31.68,31.074,31.618,2570033,0
2010-01-15,31.611,31.758,30.636,30.897,4732232,0
2010-01-19,30.884,31.421,30.768,31.377,3885256,0
2010-01-20,30.96,31.174,30.423,31.067,4464654,0
2010-01-21,31.067,31.412,30.303,30.594,6012805,0
2010-01-22,30.431,30.51,29.237,29.386,5034827,0
2010-01-25,29.731,30.319,29.512,29.782,3708849,0
2010-01-26,29.479,30.559,29.436,29.789,4022922,0
2010-01-27,29.739,30.108,29.082,29.809,6120967,0
2010-01-28,30.559,30.559,27.752,29.265,8582699,0
2010-01-29,29.59,30.056,28.219,28.489,7500740,0
2010-02-01,29.073,29.632,28.821,29.597,4870815,0
2010-02-02,29.745,30.133,29.533,30.108,4960548,0
2010-02-03,30.015,30.115,29.682,29.901,4153430,0
2010-02-04,29.378,29.491,28.283,28.367,7172925,0
2010-02-05,28.367,28.558,27.202,28.07,7791633,0
2010-02-08,28.112,28.328,27.507,27.514,4500776,0
2010-02-09,28.453,28.784,28.058,28.522,6868808,0
2010-02-10,28.473,28.672,27.831,28.106,7557353,0
2010-02-11,28.17,29.095,28.008,29.055,6028207,0
2010-02-12,28.632,28.799,28.136,28.749,5609673,0
2010-02-16,29.173,29.52,28.897,29.414,7774353,0
2010-02-17,29.618,29.668,29.189,29.533,5571532,0
2010-02-18,29.52,30.319,29.4,30.115,7377554,0
2010-02-19,30.141,30.608,29.887,30.219,7653401,0
2010-02-22,30.381,30.608,30.03,30.311,5312645,0
2010-02-23,30.022,30.361,29.64,29.759,7067158,0
2010-02-24,29.568,30.276,29.568,29.987,5831577,0
2010-02-25,29.4,29.966,28.863,29.916,5586202,0
2010-02-26,29.972,29.972,29.479,29.858,5067610,0
2010-03-01,30.156,30.602,30.043,30.551,5019836,0
2010-03-02,30.629,31.328,30.46,31.038,5682307,0
2010-03-03,31.208,31.561,31.097,31.201,4401154,0
2010-03-04,31.286,31.526,30.629,30.868,3793172,0
2010-03-05,31.067,31.477,31.067,31.266,3361582,0
2010-03-08,31.246,31.604,31.032,31.152,3120415,0
2010-03-09,30.926,31.349,30.7,30.947,3615604,0
2010-03-10,30.981,31.406,30.62,30.997,5640047,0
2010-03-11,30.834,30.94,30.439,30.714,4221117,0
2010-03-12,30.981,31.138,30.571,30.733,4468350,0
2010-03-15,30.594,30.733,30.03,30.324,4047241,0
2010-03-16,30.439,30.733,30.086,30.7,4291616,0
2010-03-17,30.997,31.024,30.7,30.889,5558454,0
2010-03-18,30.855,30.912,29.731,29.966,5992976,0
2010-03-19,29.887,30.086,28.87,29.193,7095522,0
2010-03-22,28.92,29.095,28.638,28.885,5814116,0
2010-03-23,29.017,29.159,28.431,28.509,9351073,0
2010-03-24,28.311,28.607,28.192,28.367,6827062,0
2010-03-25,28.736,28.736,27.909,27.922,6429909,0
2010-03-26,28.136,28.269,27.717,27.972,5465998,0
2010-03-29,28.328,28.828,28.206,28.687,4904250,0
2010-03-30,28.821,29.125,28.522,28.933,5939322,0
2010-03-31,29.181,29.725,29.118,29.548,6573460,0
2010-04-01,30.015,30.183,29.759,29.972,6215107,0
2010-04-05,30.381,30.546,29.966,30.445,3408550,0
2010-04-06,30.361,30.546,30.177,30.239,3068853,0
2010-04-07,30.108,30.261,29.739,29.745,7248638,0
2010-04-08,29.485,29.568,28.863,29.393,7726921,0
2010-04-09,29.568,29.66,29.031,29.422,5849421,0
2010-04-12,29.342,29.612,29.288,29.365,3299519,0
2010-04-13,29.393,29.457,28.757,29.288,5171375,0
2010-04-14,29.632,29.66,29.068,29.316,7677973,0
2010-04-15,29.47,29.909,29.294,29.696,9587646,0
2010-04-16,29.47,29.491,28.184,28.53,9246251,0
2010-04-19,28.36,28.706,28.12,28.417,6194544,0
2010-04-20,28.706,29.809,28.581,29.612,6821132,0
2010-04-21,29.632,29.809,29.04,29.386,6595760,0
2010-04-22,28.976,30.381,28.969,30.149,7858984,0
2010-04-23,30.319,30.862,30.1,30.827,8037169,0
2010-04-26,30.862,31.038,30.608,30.733,0,0
