Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,35.593,35.688,35.342,35.42,149006,0
2010-01-05,35.523,35.586,35.176,35.262,185394,0
2010-01-06,34.773,34.903,34.649,34.866,150539,0
2010-01-07,33.901,34.045,33.693,33.974,218949,0
2010-01-08,34.274,34.312,33.957,34.266,361955,0
2010-01-11,34.274,34.47,34.13,34.325,204187,0
2010-01-12,33.778,34.014,33.734,33.893,121219,0
2010-01-13,34.499,34.622,34.297,34.435,114311,0
2010-01-14,34.37,34.542,34.312,34.533,131520,0
2010-01-15,34.419,34.419,33.778,34.104,108159,0
2010-01-19,34.521,34.925,34.493,34.808,122105,0
2010-01-20,34.542,34.558,34.052,34.347,236093,0
2010-01-21,34.419,34.558,33.799,33.908,133011,0
2010-01-22,33.72,33.843,33.203,33.311,361597,0
2010-01-25,33.346,33.648,33.267,33.462,185955,0
2010-01-26,33.498,33.792,33.475,33.592,109471,0
2010-01-27,33.346,33.475,33.064,33.419,672501,0
2010-01-28,33.534,33.592,32.756,32.957,179563,0
2010-01-29,32.949,33.024,32.331,32.604,196255,0
2010-02-01,33.302,33.396,33.13,33.33,273235,0
2010-02-02,32.862,33.267,32.819,33.203,96054,0
2010-02-03,32.819,32.925,32.655,32.842,107847,0
2010-02-04,32.481,32.511,31.94,31.985,132839,0
2010-02-05,31.898,31.921,31.408,31.805,159177,0
2010-02-08,31.956,32.077,31.601,31.625,98728,0
2010-02-09,31.516,32.02,31.314,31.74,200818,0
2010-02-10,31.883,32.055,31.717,32.02,144507,0
2010-02-11,31.573,32.064,31.38,31.949,169668,0
2010-02-12,32.361,32.619,32.209,32.582,162719,0
2010-02-16,32.655,32.784,32.352,32.707,337740,0
2010-02-17,32.756,32.762,32.373,32.511,302299,0
2010-02-18,32.158,32.46,32.1,32.402,157904,0
2010-02-19,32.113,32.647,32.055,32.496,156987,0
2010-02-22,32.452,32.452,32.158,32.302,152770,0
2010-02-23,32.215,32.25,31.883,31.993,145949,0
2010-02-24,32.094,32.373,31.999,32.136,117211,0
2010-02-25,31.561,32.055,31.503,31.949,89943,0
2010-02-26,31.717,32.323,31.625,32.215,110915,0
2010-03-01,31.573,31.912,31.464,31.854,191168,0
2010-03-02,31.868,32.094,31.682,31.891,206170,0
2010-03-03,31.826,32.077,31.811,31.927,358259,0
2010-03-04,32.149,32.2,31.978,32.113,271631,0
2010-03-05,31.854,32.209,31.854,32.18,273638,0
2010-03-08,32.402,32.481,32.229,32.25,237761,0
2010-03-09,32.165,32.165,31.912,31.969,284665,0
2010-03-10,31.711,31.999,31.711,31.927,179351,0
2010-03-11,31.933,32.265,31.912,32.25,116742,0
2010-03-12,32.07,32.215,31.963,32.142,170295,0
2010-03-15,31.927,32.049,31.789,32.042,80352,0
2010-03-16,31.868,32.215,31.826,32.142,118610,0
2010-03-17,32.315,32.452,32.193,32.388,121768,0
2010-03-18,32.128,32.337,31.993,32.223,98145,0
2010-03-19,31.611,31.611,31.078,31.193,294263,0
2010-03-22,30.976,31.322,30.933,31.228,171386,0
2010-03-23,31.185,31.561,31.105,31.503,149001,0
2010-03-24,30.796,30.838,30.327,30.601,371414,0
2010-03-25,31.034,31.1,30.846,30.846,155579,0
2010-03-26,30.731,30.911,30.681,30.854,104590,0
2010-03-29,31.127,31.516,31.105,31.408,206903,0
2010-03-30,31.611,31.668,31.423,31.447,140458,0
2010-03-31,31.539,31.653,31.33,31.553,114417,0
2010-04-01,31.94,32.142,31.912,32.1,196118,0
2010-04-05,32.1,32.331,32.049,32.273,86427,0
2010-04-06,31.898,32.315,31.876,32.258,65331,0
2010-04-07,32.158,32.244,31.963,32.121,92718,0
2010-04-08,31.898,32.244,31.783,32.136,162387,0
2010-04-09,32.496,32.77,32.496,32.697,100052,0
2010-04-12,32.69,32.835,32.64,32.762,83025,0
2010-04-13,32.899,32.92,32.547,32.697,82403,0
2010-04-14,32.777,32.915,32.707,32.885,72272,0
