Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.22,19.5,18.88,19.25,80073,0
2010-01-05,19.12,19.43,18.96,19.38,74311,0
2010-01-06,19.4,19.72,19.24,19.52,77205,0
2010-01-07,19.55,19.99,19.44,19.86,95591,0
2010-01-08,19.73,20,19.73,20,90528,0
2010-01-11,20.01,20.13,19.86,20.03,54756,0
2010-01-12,19.86,20.07,19.6,20.02,71589,0
2010-01-13,20.08,20.5,19.9,20.45,59810,0
2010-01-14,20.43,20.45,19.95,19.96,106149,0
2010-01-15,20.02,20.02,19.7,19.9,203287,0
2010-01-19,19.94,20.12,19.91,19.94,86536,0
2010-01-20,19.78,19.78,18.67,19.19,89845,0
2010-01-21,19.19,19.36,17.5,17.5,240331,0
2010-01-22,17.49,17.6,16.66,16.98,206782,0
2010-01-25,17.16,17.38,16.99,17,95692,0
2010-01-26,16.83,17.05,16.55,16.66,50423,0
2010-01-27,16.53,16.94,16.32,16.91,55089,0
2010-01-28,17,17,16.28,16.3,47050,0
2010-01-29,16.36,16.74,15.71,15.71,76437,0
2010-02-01,15.82,16.4,15.82,16.33,77801,0
2010-02-02,16.35,16.6,16.18,16.38,63310,0
2010-02-03,16.36,16.54,16,16.4,70213,0
2010-02-04,16.22,16.22,15.12,15.23,168269,0
2010-02-05,15.22,15.22,14.31,14.66,334330,0
2010-02-08,14.67,14.67,14.23,14.26,102287,0
2010-02-09,14.67,14.84,14.07,14.56,195619,0
2010-02-10,14.52,14.55,14.1,14.3,71567,0
2010-02-11,14.27,14.66,14.1,14.58,79986,0
2010-02-12,14.4,14.66,14.33,14.44,192294,0
2010-02-16,14.55,14.82,14.45,14.79,110466,0
2010-02-17,14.84,15.2,14.72,15.18,66658,0
2010-02-18,15.19,15.51,15.19,15.47,59589,0
2010-02-19,15.45,15.63,15.23,15.37,60292,0
2010-02-22,15.41,15.74,15.29,15.52,54984,0
2010-02-23,15.52,15.81,15.23,15.29,49741,0
2010-02-24,15.32,15.65,15.2,15.56,33880,0
2010-02-25,15.22,15.71,15,15.7,27699,0
2010-02-26,15.67,15.76,15.2,15.32,24383,0
2010-03-01,15.5,16.04,15.37,16.04,49681,0
2010-03-02,16.07,17,16.07,16.47,174144,0
2010-03-03,16.47,16.66,16.17,16.48,86456,0
2010-03-04,16.18,16.18,15.3,15.51,205087,0
2010-03-05,15.62,15.91,15.38,15.8,114501,0
2010-03-08,15.69,15.97,15.6,15.87,73384,0
2010-03-09,15.84,16.45,15.83,16.21,61319,0
2010-03-10,16.15,16.72,16.05,16.48,55996,0
2010-03-11,16.39,16.49,15.92,16.43,58966,0
2010-03-12,16.49,16.49,16,16.16,42876,0
2010-03-15,16.24,16.24,15.22,15.55,76224,0
2010-03-16,15.59,16.09,15.37,16.07,42603,0
2010-03-17,16.08,16.39,16.08,16.14,38053,0
2010-03-18,16.06,16.34,15.91,16.12,37780,0
2010-03-19,16.27,16.65,16.08,16.55,144559,0
2010-03-22,16.4,16.45,16.09,16.45,55342,0
2010-03-23,16.4,16.9,16.33,16.74,67952,0
2010-03-24,16.58,16.79,16.03,16.09,50139,0
2010-03-25,16.32,16.53,15.77,15.78,98175,0
2010-03-26,15.83,16.27,15.29,15.41,83774,0
2010-03-29,15.52,15.8,15.36,15.58,84865,0
2010-03-30,15.53,15.91,15.39,15.61,77315,0
2010-03-31,15.48,16.1,15.45,15.87,117110,0
2010-04-01,15.96,16.3,15.72,16.22,70987,0
2010-04-05,16,16.56,15.59,16.56,91354,0
2010-04-06,16.59,17.17,16.43,17.03,65047,0
2010-04-07,16.93,17.45,16.93,17.26,133455,0
2010-04-08,17.17,17.49,16.98,17.34,111918,0
2010-04-09,17.29,17.5,17.01,17.31,68147,0
2010-04-12,17.27,17.5,17.22,17.46,84632,0
2010-04-13,17.46,17.59,17.12,17.53,56342,0
2010-04-14,17.6,17.98,17.38,17.94,59311,0
2010-04-15,17.95,18.04,17.65,18.01,54583,0
2010-04-16,17.97,17.97,16.84,17.39,114534,0
2010-04-19,17.2,17.52,16.71,17.41,60146,0
2010-04-20,17.46,18.05,17.39,17.8,104761,0
2010-04-21,17.77,17.8,17.21,17.48,101726,0
2010-04-22,17.19,17.72,16.94,17.65,118961,0
2010-04-23,17.63,18.62,17.55,18.56,134964,0
2010-04-26,18.62,18.85,18.11,18.56,103728,0
2010-04-27,18.36,18.73,17.97,18.22,114519,0
2010-04-28,18.34,18.36,18.01,18.15,43725,0
2010-04-29,18.29,18.36,17.8,18.2,160741,0
2010-04-30,18.17,18.27,17.84,17.93,225428,0
2010-05-03,17.99,18.33,17.93,18.2,96510,0
2010-05-04,17.81,18.47,17.76,18.07,165292,0
2010-05-05,17.82,18.21,17.56,18,259980,0
2010-05-06,17.8,18.19,15.51,16.51,160645,0
2010-05-07,16.66,16.66,15.25,15.36,193490,0
2010-05-10,16.74,17.46,16.05,17.35,177462,0
2010-05-11,17.03,17.87,17.03,17.53,118017,0
2010-05-12,17.64,17.98,17.43,17.49,99443,0
2010-05-13,17.47,17.6,17.17,17.35,75780,0
2010-05-14,16.99,17.1,16.43,17.01,53059,0
2010-05-17,17.17,17.5,16.51,17.03,65850,0
2010-05-18,17.4,17.45,16.71,16.76,81593,0
2010-05-19,16.61,16.75,15.9,16.3,78751,0
2010-05-20,15.72,16.3,15.5,16,152439,0
2010-05-21,15.64,16.3,15.55,16.15,123933,0
2010-05-24,16.01,16.2,15.79,15.88,87420,0
2010-05-25,15.35,15.57,14.86,15.53,137272,0
2010-05-26,15.6,16.47,15.6,15.82,82566,0
2010-05-27,16.29,16.94,16.09,16.86,92254,0
2010-05-28,16.74,16.88,16.02,16.06,82074,0
2010-06-01,15.8,16.1,14.95,14.95,133241,0
2010-06-02,15.17,15.78,14.99,15.73,140560,0
2010-06-03,15.7,16.33,15.27,16.17,95833,0
2010-06-04,15.56,15.85,14.75,15.09,181174,0
2010-06-07,15.14,15.5,14.85,14.97,88956,0
2010-06-08,15.01,15.36,14.81,15.27,109857,0
2010-06-09,15.38,15.88,14.85,14.98,75134,0
2010-06-10,15.36,16.07,15.24,16.07,66831,0
2010-06-11,15.84,16.48,15.78,16.47,77316,0
2010-06-14,16.76,17,16.32,16.36,130835,0
2010-06-15,16.5,17.3,16.44,17.25,114886,0
2010-06-16,16.99,17.31,16.84,16.86,45902,0
2010-06-17,17,17.25,16.64,17.1,58742,0
2010-06-18,17.2,17.59,17,17.54,61714,0
2010-06-21,17.79,17.95,16.45,16.67,82716,0
2010-06-22,16.7,16.99,16.1,16.18,72008,0
2010-06-23,16.1,16.35,15.98,16.18,75474,0
2010-06-24,16.02,16.22,15.54,15.55,52895,0
2010-06-25,15.49,16.91,15.34,16.74,260644,0
2010-06-28,16.64,16.69,16.03,16.16,116265,0
2010-06-29,15.85,15.91,14.86,15.14,178307,0
2010-06-30,15.15,15.61,15,15.13,59612,0
2010-07-01,15.11,15.11,14.25,14.66,155641,0
2010-07-02,14.76,14.81,14.13,14.41,123026,0
2010-07-06,14.76,15,14.2,14.43,65377,0
2010-07-07,14.45,15.1,14.26,15.09,80538,0
2010-07-08,15.36,15.48,14.86,15.43,89563,0
2010-07-09,15.44,15.62,15.22,15.49,50874,0
2010-07-12,15.46,15.59,14.77,14.83,78179,0
2010-07-13,15.04,15.47,14.81,15.36,97912,0
2010-07-14,15.22,15.39,14.87,15.28,89276,0
2010-07-15,15.26,15.34,14.63,15.17,74325,0
2010-07-16,15,15,14.61,14.76,99570,0
2010-07-19,14.84,15.12,14.56,15.11,85824,0
