Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,15.165,15.167,14.951,15.003,13027724,0
2010-01-05,14.956,15.102,14.853,15.061,6833957,0
2010-01-06,15.015,15.079,14.909,14.971,14591716,0
2010-01-07,14.951,15.151,14.934,15.116,7827321,0
2010-01-08,15.102,15.116,14.909,15.086,7894832,0
2010-01-11,15.133,15.136,14.841,14.902,11615848,0
2010-01-12,14.83,14.946,14.756,14.881,12503127,0
2010-01-13,14.948,15.074,14.872,15.015,6143522,0
2010-01-14,15.034,15.112,14.864,14.92,7954601,0
2010-01-15,14.872,14.925,14.682,14.781,12277375,0
2010-01-19,14.737,14.876,14.684,14.856,8110713,0
2010-01-20,14.739,14.785,14.595,14.732,8706673,0
2010-01-21,14.763,14.769,14.47,14.611,15228019,0
2010-01-22,14.58,14.746,14.451,14.459,14491065,0
2010-01-25,14.547,14.701,14.533,14.619,11699094,0
2010-01-26,14.538,14.716,14.474,14.634,7308767,0
2010-01-27,14.619,14.73,14.52,14.693,14759092,0
2010-01-28,14.749,14.922,14.547,14.583,7795179,0
2010-01-29,14.611,14.841,14.59,14.637,11328327,0
2010-02-01,14.686,14.795,14.58,14.714,6959368,0
2010-02-02,14.758,14.758,14.604,14.677,10382805,0
2010-02-03,14.623,14.714,14.535,14.693,8588105,0
2010-02-04,14.585,14.637,14.245,14.254,19504995,0
2010-02-05,14.238,14.287,13.977,14.164,14269994,0
2010-02-08,14.146,14.261,14.056,14.073,8898334,0
2010-02-09,14.183,14.485,14.158,14.351,10268694,0
2010-02-10,14.351,14.451,14.291,14.381,8383694,0
2010-02-11,14.332,14.502,14.261,14.451,7633887,0
2010-02-12,14.354,14.359,14.17,14.346,12144796,0
2010-02-16,14.421,14.613,14.31,14.613,10476897,0
2010-02-17,14.663,14.85,14.607,14.802,11519706,0
2010-02-18,14.805,14.827,14.673,14.793,7032858,0
2010-02-19,14.723,14.83,14.696,14.771,10343475,0
2010-02-22,14.822,14.869,14.699,14.763,7476073,0
2010-02-23,14.76,14.819,14.604,14.721,8427744,0
2010-02-24,14.76,14.928,14.693,14.906,12632948,0
2010-02-25,14.925,15.217,14.696,15.189,17388643,0
2010-02-26,15.205,15.576,15.205,15.518,21380639,0
2010-03-01,15.59,15.775,15.52,15.665,11624169,0
2010-03-02,15.626,15.686,15.537,15.618,10721311,0
2010-03-03,15.542,15.604,15.44,15.527,9439767,0
2010-03-04,15.616,15.626,15.482,15.525,6867693,0
2010-03-05,15.572,15.729,15.572,15.684,8124320,0
2010-03-08,15.604,15.83,15.604,15.798,7714807,0
2010-03-09,15.784,15.881,15.734,15.823,6580439,0
2010-03-10,15.787,15.897,15.705,15.867,6090753,0
2010-03-11,15.862,16.037,15.775,16.013,7576615,0
2010-03-12,15.936,16.068,15.934,16.048,7849884,0
2010-03-15,16.013,16.237,16.005,16.159,10361152,0
2010-03-16,16.146,16.312,16.093,16.156,11006438,0
2010-03-17,16.184,16.376,16.134,16.271,16013042,0
2010-03-18,16.839,17.3,16.829,17.14,47576496,0
2010-03-19,17.048,17.061,16.786,16.877,20461932,0
2010-03-22,16.733,17.024,16.718,16.961,12710136,0
2010-03-23,17.079,17.124,16.982,17.101,9785256,0
2010-03-24,17.067,17.077,16.76,16.846,12054347,0
2010-03-25,17.027,17.167,16.879,16.889,12329260,0
2010-03-26,16.942,17.159,16.844,16.964,9432628,0
2010-03-29,17.024,17.063,16.891,16.982,7103073,0
2010-03-30,16.992,17.079,16.883,16.944,7036421,0
2010-03-31,16.87,17.011,16.823,16.872,8620740,0
2010-04-01,16.98,17.077,16.931,16.992,9121987,0
2010-04-05,17.031,17.177,16.9,17.014,7712046,0
2010-04-06,16.881,17.023,16.872,16.968,9178485,0
2010-04-07,16.982,17.031,16.829,16.893,9638235,0
2010-04-08,16.863,17.052,16.772,16.988,11140392,0
2010-04-09,17.029,17.283,16.907,17.259,13613814,0
2010-04-12,17.286,17.434,17.264,17.34,9656534,0
2010-04-13,17.316,17.43,17.159,17.335,7650632,0
2010-04-14,17.357,17.415,17.218,17.401,7406458,0
2010-04-15,17.348,17.405,17.21,17.365,7626278,0
2010-04-16,17.353,17.446,17.213,17.256,14948243,0
2010-04-19,17.206,17.401,17.045,17.35,9561252,0
2010-04-20,17.451,17.581,17.423,17.53,10437518,0
2010-04-21,17.54,17.707,17.486,17.612,11718120,0
2010-04-22,17.514,18.027,17.495,17.961,15076164,0
2010-04-23,17.867,18.006,17.745,17.886,11052306,0
2010-04-26,17.898,18.014,17.857,17.911,0,0
2010-04-27,17.831,18.017,17.589,17.618,11972318,0
2010-04-28,17.664,17.913,17.479,17.549,11734018,0
2010-04-29,17.698,17.835,17.612,17.807,9849661,0
2010-04-30,17.779,17.88,17.421,17.425,10746634,0
2010-05-03,17.448,17.995,17.425,17.855,9064407,0
2010-05-04,17.911,18.031,17.698,17.757,15718609,0
2010-05-05,17.648,17.745,17.15,17.266,18839327,0
2010-05-06,17.114,17.444,15.379,16.598,28608817,0
2010-05-07,16.381,16.631,16.02,16.21,23416282,0
2010-05-10,16.964,17.624,16.929,17.598,28774451,0
2010-05-11,17.415,17.691,17.392,17.547,14954601,0
2010-05-12,17.61,17.902,17.448,17.873,10820947,0
2010-05-13,17.826,17.905,17.3,17.344,22827342,0
2010-05-14,17.133,17.218,16.801,16.929,20698748,0
2010-05-17,16.926,16.954,16.536,16.903,18397193,0
2010-05-18,17.024,17.22,16.69,16.742,20487916,0
2010-05-19,16.653,16.694,16.3,16.586,25562583,0
2010-05-20,16.191,16.436,15.971,16.141,27266349,0
2010-05-21,15.816,16.479,15.643,16.389,18581218,0
2010-05-24,16.337,16.508,16.233,16.378,24686629,0
2010-05-25,16.09,16.758,15.902,16.737,22924178,0
2010-05-26,16.77,16.9,16.51,16.649,18154528,0
2010-05-27,16.823,16.98,16.704,16.966,15998273,0
2010-05-28,16.9,16.956,16.519,16.616,16904700,0
2010-06-01,16.373,16.671,16.23,16.34,15969272,0
2010-06-02,16.371,16.772,16.371,16.758,13735824,0
2010-06-03,16.806,16.956,16.744,16.903,12286554,0
2010-06-04,16.611,16.637,16.107,16.245,16705980,0
2010-06-07,16.194,16.305,15.95,15.976,12007255,0
2010-06-08,15.976,16.168,15.762,16.13,13347602,0
2010-06-09,16.188,16.376,15.994,16.072,14051114,0
2010-06-10,16.343,16.655,16.332,16.472,12757202,0
2010-06-11,16.367,16.676,16.307,16.604,9581379,0
2010-06-14,16.643,16.746,16.508,16.58,9525162,0
2010-06-15,16.596,16.985,16.596,16.985,9467093,0
2010-06-16,16.844,17.103,16.777,16.949,13798499,0
2010-06-17,17.05,17.15,16.903,17.118,12780366,0
2010-06-18,17.171,17.271,17.095,17.204,12077203,0
2010-06-21,17.33,17.427,16.946,17.067,12177510,0
2010-06-22,17.089,17.218,16.568,16.635,11308984,0
2010-06-23,16.68,16.801,16.415,16.649,12571967,0
2010-06-24,16.072,16.224,15.885,15.985,39260972,0
2010-06-25,16.039,16.176,15.816,16.098,19700107,0
2010-06-28,16.098,16.269,15.983,16.184,13791078,0
2010-06-29,15.985,15.994,15.482,15.649,25330949,0
2010-06-30,15.598,15.873,15.449,15.506,20165663,0
2010-07-01,15.509,15.727,15.328,15.628,22231064,0
2010-07-02,15.654,15.826,15.479,15.578,12661878,0
2010-07-06,15.659,15.879,15.231,15.429,18314503,0
2010-07-07,15.488,15.747,15.384,15.741,18697515,0
2010-07-08,15.893,16.179,15.844,16.134,19347459,0
2010-07-09,16.096,16.119,15.959,16.104,11938189,0
2010-07-12,16.051,16.176,15.905,16.027,9685883,0
2010-07-13,16.161,16.281,16.075,16.176,13207291,0
2010-07-14,16.107,16.208,15.948,16.194,12664608,0
2010-07-15,16.148,16.253,15.921,16.22,15356930,0
2010-07-16,16.15,16.222,15.771,15.83,14867083,0
2010-07-19,15.872,15.948,15.654,15.752,10420468,0
2010-07-20,15.614,16.07,15.523,16.035,16061787,0
2010-07-21,16.099,16.316,15.911,15.99,17192380,0
2010-07-22,16.159,16.556,16.151,16.428,14574886,0
2010-07-23,16.415,16.796,16.335,16.698,12545699,0
2010-07-26,16.692,16.978,16.64,16.81,11425703,0
2010-07-27,16.919,16.954,16.722,16.915,11339271,0
2010-07-28,16.905,16.994,16.73,16.784,9171858,0
2010-07-29,16.907,17.014,16.685,16.879,10402524,0
2010-07-30,16.688,16.978,16.676,16.905,9415540,0
2010-08-02,17.15,17.21,16.976,17.061,11151682,0
2010-08-03,17.033,17.033,16.724,16.782,13854396,0
2010-08-04,16.801,17.072,16.789,16.99,13218783,0
2010-08-05,16.854,17.07,16.829,17.003,8732652,0
2010-08-06,16.854,17.009,16.708,16.98,8384329,0
2010-08-09,17.021,17.218,16.961,17.017,8582869,0
2010-08-10,16.854,17.077,16.712,16.968,10189555,0
2010-08-11,16.706,16.708,16.411,16.547,13214059,0
2010-08-12,16.297,16.48,16.23,16.419,10598544,0
2010-08-13,16.394,16.411,16.179,16.203,9525855,0
2010-08-16,16.096,16.409,16.017,16.315,10373640,0
2010-08-17,16.472,16.692,16.409,16.462,11019580,0
2010-08-18,16.457,16.692,16.285,16.584,9538762,0
2010-08-19,16.485,16.531,16.198,16.378,10731952,0
2010-08-20,16.237,16.394,16.182,16.359,7785259,0
2010-08-23,16.387,16.619,16.288,16.288,8528094,0
2010-08-24,16.078,16.237,15.934,16.082,11525972,0
2010-08-25,15.988,16.151,15.684,16.099,13713877,0
2010-08-26,16.22,16.465,16.148,16.159,14765231,0
2010-08-27,16.237,16.335,16.001,16.285,11568988,0
2010-08-30,16.235,16.391,16.062,16.151,10973256,0
