Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.249,6.569,6.249,6.5244,42016,0
2010-01-05,6.5066,6.5066,6.4001,6.4178,19079,0
2010-01-06,6.3911,6.5955,6.3201,6.3288,38208,0
2010-01-07,6.2933,6.56,6.2933,6.5333,81229,0
2010-01-08,6.5244,6.6222,6.3821,6.489,38707,0
2010-01-11,6.5066,6.6222,6.3911,6.4001,28464,0
2010-01-12,6.3644,6.7023,6.3644,6.5244,44341,0
2010-01-13,6.5333,6.6222,6.4979,6.5156,32659,0
2010-01-14,6.5066,6.6132,6.3732,6.5422,21921,0
2010-01-15,6.5955,6.649,6.4001,6.4712,52613,0
2010-01-19,6.4979,6.6132,6.4178,6.6044,19255,0
2010-01-20,6.5778,6.6665,6.4001,6.5066,34245,0
2010-01-21,6.5066,6.5867,6.3288,6.3288,60142,0
2010-01-22,6.3379,6.4178,6.24,6.24,35032,0
2010-01-25,6.2933,6.409,6.2933,6.3555,33613,0
2010-01-26,6.3466,6.4001,6.2223,6.24,16844,0
2010-01-27,6.2223,6.2933,6.0889,6.24,33575,0
2010-01-28,6.2312,6.2312,6.0177,6.0177,19624,0
2010-01-29,6.0623,6.0623,6,6.0266,21979,0
2010-02-01,6.0623,6.1155,5.9556,5.9644,33798,0
2010-02-02,5.9556,6.1244,5.8489,6,56363,0
2010-02-03,5.9556,5.9556,5.7866,5.8578,29318,0
2010-02-04,5.8222,6.1778,5.7778,5.9644,89683,0
2010-02-05,5.9822,5.9822,5.8311,5.9556,21592,0
2010-02-08,5.9644,6.0177,5.9199,5.9287,14652,0
2010-02-09,6.0266,6.0623,5.9287,6.0535,16116,0
2010-02-10,6.0445,6.0712,5.9556,6,31160,0
2010-02-11,5.9909,6.0535,5.8756,6.0445,21000,0
2010-02-12,5.9909,6.151,5.9378,6.1065,17605,0
2010-02-16,6.1778,6.2223,6.0445,6.2133,17027,0
2010-02-17,6.2133,6.2133,6.0712,6.1688,10921,0
2010-02-18,6.1422,6.3112,6.1065,6.2754,8929,0
2010-02-19,6.2754,6.4178,6.2754,6.3379,18899,0
2010-02-22,6.3821,6.56,6.3821,6.489,38655,0
2010-02-23,6.5066,6.7822,6.4001,6.6578,65853,0
2010-02-24,6.6578,6.6665,6.489,6.5333,36301,0
2010-02-25,6.4266,6.5867,6.3466,6.5422,29082,0
2010-02-26,6.569,6.631,6.409,6.4178,35217,0
2010-03-01,6.48,6.6933,6.4266,6.6665,38202,0
2010-03-02,6.6578,7.2533,6.6578,7.2445,99911,0
2010-03-03,7.2622,7.5021,7.2177,7.4134,69637,0
2010-03-04,7.4042,7.7598,7.4042,7.7509,33563,0
2010-03-05,7.8131,7.9998,7.6265,7.8665,56691,0
2010-03-08,7.822,7.9553,7.6088,7.7154,41716,0
2010-03-09,7.7154,7.7154,7.2622,7.4842,45947,0
2010-03-10,7.4665,7.4665,7.1556,7.2,73092,0
2010-03-11,7.1289,7.2533,6.8533,7.2533,56728,0
