Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.8392,7.0345,6.8392,7.0345,854803,0
2010-01-05,6.9787,7.1368,6.9787,7.1277,942534,0
2010-01-06,7.2485,7.2485,7.1741,7.2113,887268,0
2010-01-07,7.351,7.4346,7.2952,7.4254,899995,0
2010-01-08,7.4719,7.6301,7.4068,7.6116,789290,0
2010-01-11,7.6394,7.6767,7.6116,7.6207,496691,0
2010-01-12,7.807,7.9279,7.7883,7.7976,922613,0
2010-01-13,7.6674,7.7697,7.6394,7.7697,398965,0
2010-01-14,7.8254,7.9836,7.7791,7.9464,1123606,0
2010-01-15,7.9744,7.9744,7.7418,7.8441,1105903,0
2010-01-19,7.4998,7.6581,7.4533,7.509,2001591,0
2010-01-20,7.2671,7.2671,7.0905,7.1835,1905930,0
2010-01-21,7.2485,7.3323,7.1927,7.2299,850535,0
2010-01-22,7.2299,7.4068,7.0626,7.0997,1289306,0
2010-01-25,7.1463,7.2859,7.1463,7.2299,2007771,0
2010-01-26,7.1463,7.2113,7.109,7.1182,663586,0
2010-01-27,7.1368,7.2113,7.0439,7.2113,739284,0
2010-01-28,7.2021,7.2021,6.9973,7.0439,1061588,0
2010-01-29,7.1277,7.1555,6.9324,6.9602,850400,0
2010-02-01,6.9695,7.0997,6.9602,7.0718,581164,0
2010-02-02,7.1277,7.351,7.0532,7.3044,5120362,0
2010-02-03,7.1649,7.1649,6.9602,7.0254,1264199,0
2010-02-04,6.9973,6.9973,6.653,6.6808,1567549,0
2010-02-05,6.6159,6.6623,6.5135,6.6437,1580971,0
2010-02-08,6.9881,6.9881,6.6437,6.653,440144,0
2010-02-09,6.7461,6.7555,6.6346,6.6997,1375592,0
2010-02-10,6.6437,6.6623,6.5228,6.532,1355530,0
2010-02-11,6.532,6.6251,6.5228,6.5973,1227038,0
2010-02-12,6.5601,6.5601,6.4855,6.5415,3077368,0
2010-02-16,6.5879,6.7182,6.5601,6.6997,883658,0
2010-02-17,6.7369,6.8206,6.6808,6.7833,826694,0
2010-02-18,6.7182,6.7926,6.6904,6.7648,629812,0
2010-02-19,6.653,6.6717,6.5694,6.6065,860194,0
2010-02-22,6.6346,6.6808,6.6346,6.6717,691324,0
2010-02-23,6.6717,6.83,6.653,6.774,840934,0
2010-02-24,6.7461,6.8206,6.7461,6.7833,786221,0
2010-02-25,6.6997,6.709,6.6159,6.709,424176,0
2010-02-26,6.7648,6.8951,6.7648,6.8671,628920,0
2010-03-01,6.8484,6.9229,6.8392,6.8763,429538,0
2010-03-02,6.8763,6.9229,6.802,6.8763,516621,0
2010-03-03,6.7555,6.8206,6.709,6.774,673348,0
2010-03-04,6.6346,6.7182,6.6346,6.653,561358,0
2010-03-05,6.7182,6.7648,6.6623,6.7461,1576494,0
2010-03-08,6.8113,6.9043,6.7833,6.8763,583499,0
2010-03-09,6.8392,6.9136,6.8113,6.8206,573410,0
2010-03-10,6.7182,6.7926,6.709,6.709,793933,0
2010-03-11,6.7833,6.7833,6.6904,6.7369,772105,0
2010-03-12,6.83,6.9324,6.8206,6.9324,496931,0
2010-03-15,6.9136,7.0997,6.9136,7.0626,499115,0
2010-03-16,7.109,7.1555,7.0439,7.1277,426449,0
2010-03-17,7.0718,7.0997,7.0345,7.0718,877473,0
2010-03-18,6.9881,6.9881,6.8578,6.8951,704371,0
2010-03-19,6.8578,6.8857,6.8113,6.8206,389392,0
2010-03-22,6.7926,6.8951,6.7926,6.8857,548277,0
2010-03-23,6.802,6.8763,6.7926,6.8763,452344,0
2010-03-24,6.7833,6.8113,6.7555,6.774,440328,0
2010-03-25,6.774,6.8671,6.6997,6.6997,584781,0
2010-03-26,6.7833,6.8763,6.7648,6.83,532951,0
2010-03-29,6.9787,7.0905,6.9602,7.0812,988882,0
2010-03-30,7.0997,7.0997,7.0159,7.0254,459495,0
2010-03-31,6.8951,6.9136,6.8113,6.8206,560663,0
2010-04-01,6.8857,6.9043,6.83,6.8484,585274,0
2010-04-05,6.8763,6.8763,6.802,6.8392,274575,0
2010-04-06,6.8578,6.8951,6.7926,6.8578,726044,0
2010-04-07,6.9787,7.0718,6.9695,7.0345,505109,0
2010-04-08,7.0159,7.0812,6.9324,7.0718,990283,0
2010-04-09,7.0718,7.109,6.9695,7.0905,463359,0
2010-04-12,7.0718,7.1182,7.0532,7.1182,560645,0
2010-04-13,7.1277,7.1368,6.9973,7.0254,331903,0
2010-04-14,6.9881,7.0067,6.8951,6.9695,1013924,0
2010-04-15,6.9229,7.0159,6.9043,6.951,2151020,0
2010-04-16,6.8763,6.9415,6.7182,6.7648,906795,0
2010-04-19,6.6997,6.7926,6.6808,6.774,3744631,0
2010-04-20,6.7369,6.7648,6.6904,6.7182,1263236,0
2010-04-21,6.7182,6.7182,6.5973,6.6159,1460783,0
2010-04-22,6.5415,6.5973,6.5228,6.5787,386820,0
2010-04-23,6.5694,6.6346,6.5135,6.6346,621536,0
2010-04-26,6.6717,6.7648,6.653,6.6808,1048547,0
2010-04-27,6.5973,6.6251,6.3739,6.4576,1565875,0
2010-04-28,6.532,6.532,6.2995,6.4297,1487599,0
2010-04-29,6.4576,6.5694,6.4018,6.532,2225446,0
2010-04-30,6.4484,6.4855,6.4018,6.4111,1257798,0
2010-05-03,6.6159,6.6159,6.4763,6.5415,716376,0
2010-05-04,6.5042,6.5042,6.2064,6.2064,1157746,0
2010-05-05,6.2437,6.253,6.1042,6.2064,1380752,0
2010-05-06,6.2251,6.2251,5.7877,6.0203,3933327,0
2010-05-07,6.0761,6.1878,5.9831,6.0761,1678914,0
2010-05-10,6.3367,6.3833,6.1507,6.2064,1419501,0
2010-05-11,6.1133,6.1692,6.0297,6.0389,2272899,0
2010-05-12,6.0297,6.0297,5.9273,6.0203,1394699,0
2010-05-13,6.0575,6.0947,5.9925,5.9925,1738471,0
2010-05-14,6.0017,6.0761,5.9645,6.0389,625782,0
2010-05-17,5.9925,6.0668,5.9273,6.0111,687788,0
2010-05-18,5.9645,5.9645,5.7505,5.7599,1225847,0
2010-05-19,5.8063,5.8714,5.6853,5.8063,4342693,0
2010-05-20,5.7133,5.797,5.676,5.6853,1203540,0
2010-05-21,5.6853,5.9458,5.6853,5.8714,920483,0
2010-05-24,5.7039,5.7599,5.6574,5.6574,615470,0
2010-05-25,5.639,5.7133,5.5738,5.6947,1103643,0
2010-05-26,5.7692,5.7692,5.639,5.6574,831144,0
2010-05-27,5.8808,5.9273,5.8249,5.9273,562039,0
2010-05-28,5.8249,5.8249,5.7039,5.7412,776022,0
2010-06-01,5.7784,5.7877,5.7224,5.7505,1349365,0
2010-06-02,5.7133,5.7133,5.6016,5.6947,1246790,0
2010-06-03,5.6016,5.6574,5.5645,5.6109,1073826,0
2010-06-04,5.5645,5.5738,5.4806,5.5086,913363,0
2010-06-07,5.4436,5.4713,5.3132,5.341,717471,0
2010-06-08,5.3596,5.4154,5.3039,5.3877,824678,0
2010-06-09,5.3596,5.3783,5.276,5.2946,648442,0
2010-06-10,5.3596,5.6296,5.3596,5.5086,1289970,0
2010-06-11,5.3783,5.4436,5.3783,5.4341,599457,0
2010-06-14,5.4899,5.4899,5.3317,5.3877,3901956,0
2010-06-15,5.4993,5.5923,5.4806,5.5645,1495226,0
2010-06-16,5.5271,5.6016,5.5271,5.5457,527278,0
2010-06-17,5.583,5.583,5.4993,5.518,300262,0
2010-06-18,5.4806,5.4899,5.4527,5.4806,237635,0
2010-06-21,5.5645,5.5645,5.3783,5.3877,965733,0
2010-06-22,5.4436,5.518,5.3969,5.3969,442431,0
2010-06-23,5.3969,5.4154,5.3225,5.3596,1348679,0
2010-06-24,5.3877,5.3877,5.3132,5.3503,466410,0
2010-06-25,5.341,5.3969,5.2852,5.3691,388251,0
2010-06-28,5.3225,5.3225,5.2015,5.2294,364076,0
2010-06-29,5.183,5.183,5.0619,5.0712,423393,0
2010-06-30,5.0898,5.1271,5.0528,5.0712,398939,0
2010-07-01,5.0712,5.1085,5.0245,5.0805,528684,0
2010-07-02,5.099,5.099,4.9875,5.0245,482269,0
2010-07-06,5.2294,5.2481,5.1271,5.1643,504036,0
2010-07-07,5.0619,5.1085,5.0528,5.0898,996233,0
2010-07-08,5.1737,5.22,5.1177,5.2108,937555,0
2010-07-09,5.1549,5.183,5.1271,5.1737,408400,0
2010-07-12,5.2015,5.2387,5.183,5.1922,388525,0
2010-07-13,5.2015,5.3225,5.1737,5.3039,1177025,0
2010-07-14,5.2573,5.2666,5.22,5.2481,327494,0
2010-07-15,5.22,5.2294,5.1549,5.2294,355238,0
2010-07-16,5.1737,5.1737,5.0154,5.0154,497851,0
2010-07-19,5.0154,5.1177,5.0154,5.1177,680409,0
2010-07-20,5.006,5.0712,4.9875,5.0433,546691,0
2010-07-21,4.8944,4.8944,4.8201,4.8292,654696,0
2010-07-22,4.9875,5.0341,4.9783,5.0341,430189,0
2010-07-23,4.9968,5.0712,4.9968,5.0712,291726,0
2010-07-26,5.006,5.0433,4.9689,5.0433,772125,0
2010-07-27,5.0528,5.099,5.0433,5.0898,438666,0
2010-07-28,5.1457,5.2015,5.1457,5.1737,336083,0
