Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,36.158,37.149,36.151,37.108,6031904,0
2010-01-05,37.269,38.048,37.108,37.753,5241971,0
2010-01-06,37.707,38.406,37.124,38.293,5838994,0
2010-01-07,38.083,38.241,37.6,37.922,4604859,0
2010-01-08,37.624,38.557,37.519,37.931,7678318,0
2010-01-11,38.326,38.406,37.19,37.558,6137502,0
2010-01-12,37.19,37.519,36.633,37.327,6288830,0
2010-01-13,37.44,37.707,36.633,37.318,6304502,0
2010-01-14,37.243,38.027,37.164,37.809,4762240,0
2010-01-15,37.8,38.034,36.858,37.229,5555091,0
2010-01-19,37.116,37.978,37.036,37.905,4892650,0
2010-01-20,37.352,37.352,36.601,36.98,5471038,0
2010-01-21,37.052,37.384,35.563,35.741,7667290,0
2010-01-22,35.539,35.626,34.137,34.242,8198054,0
2010-01-25,34.533,35.094,34.233,34.702,6069054,0
2010-01-26,34.322,35.183,33.897,34.355,5658816,0
2010-01-27,34.21,34.646,33.541,34.556,7207124,0
2010-01-28,34.879,35.015,33.22,33.407,10048581,0
2010-01-29,33.882,34.974,32.776,32.929,11878080,0
2010-02-01,33.324,33.92,33.109,33.89,7242967,0
2010-02-02,34.242,34.524,33.816,34.338,6176447,0
2010-02-03,35.022,36.158,34.702,35.404,11082482,0
2010-02-04,35.49,35.732,34.201,34.25,9752336,0
2010-02-05,34.259,34.838,33.027,34.061,9636196,0
2010-02-08,34.052,34.322,33.413,33.437,7577827,0
2010-02-09,34.017,35.088,33.961,34.363,9504875,0
2010-02-10,34.347,34.628,33.461,34.259,6835794,0
2010-02-11,34.322,34.982,33.937,34.95,7259005,0
2010-02-12,34.185,34.95,34.025,34.911,7222536,0
2010-02-16,35.555,35.635,35.16,35.482,6475979,0
2010-02-17,35.594,35.908,35.427,35.692,6345347,0
2010-02-18,35.602,36.112,35.355,36.007,5486203,0
2010-02-19,35.942,36.354,35.506,36.319,7294675,0
2010-02-22,36.907,36.996,35.45,35.747,7318984,0
2010-02-23,35.482,35.755,34.565,34.728,6727433,0
2010-02-24,34.752,35.265,34.679,35.015,6356002,0
2010-02-25,34.297,34.821,33.776,34.756,7325998,0
2010-02-26,34.925,35.065,34.508,34.999,4826928,0
2010-03-01,35.169,35.315,34.894,35.153,5318741,0
2010-03-02,35.281,35.917,35.2,35.45,5921245,0
2010-03-03,35.618,35.989,35.555,35.699,5506685,0
2010-03-04,35.892,35.892,34.596,34.744,6943781,0
2010-03-05,35.281,35.281,34.687,35.153,7886919,0
2010-03-08,35.183,35.419,34.765,35.128,4280364,0
2010-03-09,34.92,35.265,34.621,34.974,4232468,0
2010-03-10,34.911,35.459,34.582,35.192,4149076,0
2010-03-11,35.022,35.419,34.821,35.339,3470661,0
2010-03-12,35.53,35.741,35.257,35.378,2944597,0
2010-03-15,35.25,35.395,34.508,34.829,3360840,0
2010-03-16,35.039,35.547,34.765,35.506,3738593,0
2010-03-17,35.659,36.392,35.594,35.958,4839645,0
2010-03-18,35.82,36.206,34.95,35.2,4750723,0
2010-03-19,35.241,35.241,33.848,34.185,8327942,0
2010-03-22,33.882,34.388,33.491,34.075,5365103,0
2010-03-23,34.25,34.574,33.946,34.201,5653870,0
2010-03-24,33.897,34.411,33.839,34.017,5185968,0
2010-03-25,34.242,34.434,32.832,32.929,6553343,0
2010-03-26,32.938,33.172,31.723,32.139,11020375,0
2010-03-29,32.399,32.889,32.349,32.689,6760708,0
2010-03-30,32.768,32.814,32.407,32.576,6661288,0
