Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.34,13.407,12.281,13.175,12693,0
2010-01-05,13.374,13.664,13.333,13.457,37086,0
2010-01-06,13.622,13.871,13.457,13.828,13097,0
2010-01-07,13.828,13.922,13.664,13.828,11351,0
2010-01-08,14.046,14.046,13.797,13.912,32097,0
2010-01-11,14.07,14.079,13.912,13.912,7608,0
2010-01-12,13.746,13.787,13.541,13.664,4531,0
2010-01-13,13.828,13.828,13.499,13.746,22188,0
2010-01-14,13.67,13.871,13.664,13.68,107932,0
2010-01-15,14.062,14.062,13.68,13.746,7515,0
2010-01-19,13.499,13.995,13.316,13.541,53780,0
2010-01-20,13.541,13.605,13.441,13.605,9419,0
2010-01-21,13.457,13.457,12.836,12.836,3237,0
2010-01-22,11.502,13.49,11.502,13.166,15403,0
2010-01-25,13.457,13.457,13.166,13.166,1327,0
2010-01-26,13.166,13.166,13.002,13.002,1207,0
2010-01-27,13.084,13.084,12.662,12.662,4227,0
2010-01-28,12.793,12.793,11.437,12.34,81320,0
2010-01-29,12.422,13.166,12.422,13.166,16199,0
2010-02-01,13.333,13.333,12.628,12.994,49124,0
2010-02-02,12.951,13.374,12.919,13.249,50658,0
2010-02-03,13.391,13.391,12.827,13.084,11988,0
2010-02-04,13.009,13.291,12.827,12.887,4105,0
2010-02-05,12.852,12.852,12.456,12.628,29063,0
2010-02-08,12.811,13.582,12.702,12.878,39947,0
2010-02-09,13.183,13.249,13.125,13.125,1327,0
2010-02-10,13.374,13.374,13.059,13.151,3599,0
2010-02-11,13.093,13.622,12.852,13.582,282891,0
2010-02-12,13.249,13.664,13.249,13.582,5192,0
2010-02-16,13.582,15.262,13.573,14.491,125947,0
2010-02-17,14.526,14.683,14.386,14.393,14700,0
2010-02-18,14.617,14.617,14.12,14.218,6903,0
2010-02-19,14.01,14.401,13.929,14.144,6400,0
2010-02-22,16.975,16.975,13.954,14.079,55942,0
2010-02-23,13.871,13.963,13.664,13.828,82774,0
2010-02-24,13.765,13.995,13.688,13.995,27049,0
2010-02-25,13.828,13.871,13.746,13.871,11109,0
2010-02-26,13.772,14.226,13.772,14.052,9409,0
2010-03-01,14.111,14.152,13.995,14.079,9442,0
2010-03-02,14.036,14.449,14.01,14.01,12800,0
2010-03-03,14.004,14.162,13.871,14.079,18125,0
2010-03-04,14.01,14.284,13.879,14.062,228957,0
2010-03-05,14.152,14.284,13.871,13.871,122685,0
2010-03-08,13.971,14.475,13.249,13.987,44122,0
2010-03-09,13.912,14.905,13.904,14.782,27169,0
2010-03-10,14.898,14.905,14.393,14.905,32001,0
2010-03-11,14.691,15.089,14.584,15.089,17146,0
2010-03-12,15.28,15.295,14.905,15.262,5928,0
2010-03-15,15.395,15.395,15.204,15.378,3804,0
2010-03-16,15.312,15.544,15.295,15.477,6210,0
2010-03-17,15.601,15.734,15.444,15.586,7487,0
2010-03-18,15.586,15.586,15.28,15.544,9550,0
2010-03-19,15.734,15.776,15.428,15.61,48513,0
2010-03-22,15.428,15.61,15.378,15.428,7565,0
2010-03-23,15.527,15.734,15.164,15.734,2313,0
2010-03-24,15.702,15.926,15.702,15.926,2026,0
2010-03-25,16.015,16.182,16.015,16.09,31518,0
2010-03-26,15.974,16.521,15.974,16.057,64436,0
2010-03-29,16.139,16.488,16.139,16.24,35864,0
2010-03-30,16.24,16.529,16.231,16.454,37988,0
2010-03-31,16.521,16.561,16.273,16.561,44320,0
2010-04-01,16.538,16.844,16.255,16.529,11663,0
2010-04-05,16.67,16.927,16.33,16.886,53410,0
2010-04-06,16.819,17.093,16.729,16.984,46633,0
2010-04-07,17.474,17.871,17.274,17.274,50223,0
2010-04-08,17.1,17.539,17.1,17.424,41750,0
2010-04-09,17.382,17.804,17.382,17.804,10459,0
2010-04-12,17.53,17.663,17.24,17.638,21993,0
2010-04-13,17.697,17.871,17.654,17.796,24622,0
2010-04-14,17.804,17.804,17.68,17.804,5132,0
2010-04-15,17.871,18.152,17.606,17.912,20528,0
2010-04-16,17.804,17.804,17.597,17.697,3866,0
2010-04-19,18.037,18.425,17.631,18.128,11789,0
2010-04-20,18.351,18.715,18.077,18.715,14138,0
2010-04-21,16.505,18.218,14.913,18.053,45987,0
2010-04-22,18.102,18.102,17.53,17.888,38242,0
2010-04-23,17.556,17.796,17.53,17.539,8577,0
2010-04-26,17.631,17.737,17.407,17.654,15604,0
2010-04-27,18.309,18.468,17.424,17.715,147776,0
2010-04-28,17.845,18.085,17.597,17.929,14853,0
2010-04-29,18.061,18.269,18.011,18.236,21884,0
2010-04-30,18.342,18.89,17.763,17.763,24111,0
2010-05-03,17.945,18.442,17.945,18.144,15307,0
2010-05-04,18.201,18.201,17.638,17.804,10378,0
2010-05-05,17.631,17.845,17.564,17.68,17197,0
2010-05-06,17.68,17.68,9.1099,16.396,103749,0
2010-05-07,16.198,16.745,13.301,16.125,25511,0
2010-05-10,18.442,18.442,16.454,16.844,47922,0
2010-05-11,16.753,16.811,16.213,16.561,98117,0
2010-05-12,16.596,16.894,16.19,16.529,25352,0
2010-05-13,16.596,16.729,16.39,16.505,5616,0
2010-05-14,16.314,16.314,15.619,15.693,6378,0
2010-05-17,15.974,15.974,14.905,15.305,21328,0
2010-05-18,15.129,15.643,14.724,15.211,21340,0
2010-05-19,14.715,14.997,14.335,14.988,11206,0
2010-05-20,14.534,15.112,13.648,14.376,10404,0
2010-05-21,13.879,14.491,13.481,14.135,15260,0
2010-05-24,13.887,14.269,13.765,14.186,7911,0
2010-05-25,13.207,14.491,13.207,14.401,15572,0
2010-05-26,14.491,14.733,13.895,13.895,12593,0
2010-05-27,14.079,14.608,13.797,14.491,10821,0
2010-05-28,14.534,14.534,14.027,14.242,27478,0
2010-06-01,13.828,14.988,13.648,14.988,37201,0
2010-06-02,14.849,14.905,14.269,14.534,48418,0
2010-06-03,14.509,14.673,14.351,14.5,6577,0
2010-06-04,14.302,14.691,14.079,14.516,11066,0
2010-06-07,14.733,14.733,14.409,14.409,3289,0
2010-06-08,14.459,14.526,14.31,14.367,6436,0
2010-06-09,14.782,14.898,14.584,14.898,3556,0
2010-06-10,14.566,15.319,14.566,15.112,12428,0
2010-06-11,15.112,15.75,15.112,15.734,23566,0
2010-06-14,15.991,15.991,15.668,15.734,2933,0
2010-06-15,15.758,16.745,15.627,16.712,4379834,0
2010-06-16,16.886,16.886,16.39,16.561,28894,0
2010-06-17,16.753,16.753,16.561,16.579,14839,0
2010-06-18,16.859,17.01,16.636,16.975,15911,0
2010-06-21,16.984,17.224,16.729,16.886,32879,0
2010-06-22,17.033,17.033,16.579,16.811,15573,0
2010-06-23,16.811,17.2,16.587,16.678,50026,0
2010-06-24,16.695,16.793,16.314,16.438,75280,0
2010-06-25,16.38,16.819,16.255,16.729,15059,0
2010-06-28,16.571,16.968,16.48,16.687,4559,0
2010-06-29,16.396,16.396,15.8,15.8,11249,0
2010-06-30,15.8,15.874,15.651,15.758,23046,0
2010-07-01,15.8,15.859,15.28,15.726,17706,0
2010-07-02,15.842,15.999,15.56,15.56,27333,0
2010-07-06,15.56,15.982,15.048,15.982,15822,0
2010-07-07,16.024,16.148,15.61,16.066,21546,0
2010-07-08,16.041,16.552,16.041,16.213,25843,0
2010-07-09,16.289,16.314,16.057,16.125,17912,0
2010-07-12,16.156,16.561,15.991,16.008,5108,0
2010-07-13,16.322,16.43,15.129,16.182,17139,0
2010-07-14,16.213,17.382,16.09,17.142,55119,0
2010-07-15,17.001,17.224,16.745,17.191,23669,0
2010-07-16,17.191,17.274,16.753,16.984,31386,0
2010-07-19,17.116,17.44,17.116,17.35,13362,0
2010-07-20,17.391,17.391,17.182,17.24,19451,0
2010-07-21,17.912,17.912,17.224,17.68,23628,0
2010-07-22,17.961,18.144,17.763,17.78,5584,0
2010-07-23,17.763,18.128,17.53,17.831,35579,0
2010-07-26,18.011,18.128,17.836,18.003,7733,0
