Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.2195,4.2758,4.2036,4.236,256002,0
2010-01-05,4.2679,4.2921,4.2277,4.2277,235382,0
2010-01-06,4.1875,4.3003,4.1875,4.2598,208852,0
2010-01-07,4.2439,4.2921,4.1875,4.2679,176322,0
2010-01-08,4.2277,4.3003,4.2277,4.2598,344713,0
2010-01-11,4.308,4.308,4.1633,4.1633,290502,0
2010-01-12,4.1471,4.1711,4.1067,4.1312,113296,0
2010-01-13,4.1229,4.1795,4.0988,4.1633,80314,0
2010-01-14,4.1391,4.2118,4.1149,4.1955,53663,0
2010-01-15,4.1551,4.1875,4.0503,4.1471,112849,0
2010-01-19,4.1391,4.1875,4.1149,4.1711,129237,0
2010-01-20,4.1149,4.1875,4.0827,4.0827,119622,0
2010-01-21,4.1067,4.1633,4.0425,4.0988,95343,0
2010-01-22,4.0745,4.0988,4.0103,4.0184,228294,0
2010-01-25,4.0265,4.1067,3.9054,4.0265,236833,0
2010-01-26,3.986,4.0745,3.9699,4.0184,123084,0
2010-01-27,4.0021,4.0346,3.9297,3.9783,145882,0
2010-01-28,4.0265,4.0265,3.9135,3.9297,73124,0
2010-01-29,3.9135,3.9699,3.8332,3.8574,189544,0
2010-02-01,3.9297,3.9297,3.8574,3.9297,110734,0
2010-02-02,3.9379,3.9699,3.8813,3.9135,65709,0
2010-02-03,3.9219,3.9297,3.8092,3.8977,145445,0
2010-02-04,3.9054,3.9459,3.8092,3.9054,202171,0
2010-02-05,3.8893,3.8977,3.7283,3.8574,141183,0
2010-02-08,3.6641,3.7849,3.4064,3.7283,562196,0
2010-02-09,3.7124,3.7202,3.5353,3.5514,308812,0
2010-02-10,3.5434,3.5592,3.4546,3.4867,234942,0
2010-02-11,3.503,3.7529,3.4627,3.5837,188049,0
2010-02-12,3.5353,3.6077,3.5189,3.5514,198432,0
2010-02-16,3.5353,3.7043,3.5353,3.6962,288168,0
2010-02-17,3.6641,3.6801,3.5916,3.6157,219421,0
2010-02-18,3.5837,3.6883,3.5514,3.6721,170969,0
2010-02-19,3.6561,3.7365,3.6157,3.6157,136476,0
2010-02-22,3.6238,3.6962,3.6238,3.6801,75248,0
2010-02-23,3.6883,3.6883,3.6238,3.6317,77165,0
2010-02-24,3.6561,3.6561,3.5674,3.6477,96679,0
2010-02-25,3.6477,3.7043,3.5916,3.6641,134940,0
2010-02-26,3.6641,3.6641,3.5837,3.6398,67785,0
2010-03-01,3.5995,3.6883,3.5995,3.6561,149828,0
2010-03-02,3.6721,3.7202,3.6398,3.6398,148082,0
2010-03-03,3.6477,3.6801,3.6317,3.6477,94942,0
2010-03-04,3.6398,3.6801,3.6238,3.6317,82785,0
2010-03-05,3.6238,3.6641,3.5916,3.6238,252828,0
2010-03-08,3.5995,3.6721,3.5674,3.6477,123511,0
2010-03-09,3.6157,3.6962,3.6157,3.6721,254044,0
2010-03-10,3.6721,3.8251,3.6477,3.8171,246480,0
2010-03-11,3.7608,4.0827,3.7608,4.0585,209445,0
2010-03-12,4.0909,4.0988,3.9942,4.0425,122776,0
2010-03-15,4.0425,4.0425,3.9459,3.9541,88367,0
2010-03-16,3.9459,4.0585,3.9219,4.0184,84959,0
2010-03-17,4.0265,4.0346,3.9942,3.9942,57487,0
2010-03-18,4.0265,4.0503,3.9541,4.0265,88568,0
2010-03-19,4.0585,4.2439,3.986,4.2439,504174,0
2010-03-22,4.1711,4.236,4.0184,4.1229,153299,0
2010-03-23,4.1551,4.1711,4.0425,4.0745,84896,0
2010-03-24,3.9942,4.0425,3.9541,3.9541,98549,0
2010-03-25,3.9379,4.0585,3.9379,3.986,73619,0
2010-03-26,4.0265,4.0425,3.9699,4.0021,64622,0
2010-03-29,3.9699,4.0184,3.9699,3.9942,84344,0
2010-03-30,3.9541,4.0745,3.9459,4.0745,147099,0
2010-03-31,4.0745,4.0909,4.0021,4.0265,95280,0
2010-04-01,4.0184,4.0827,3.9379,3.9619,111261,0
2010-04-05,4.0103,4.0265,3.9219,4.0184,146889,0
2010-04-06,3.9619,4.0184,3.9135,4.0184,137069,0
2010-04-07,3.9699,4.0265,3.9541,3.986,45151,0
2010-04-08,3.9297,3.986,3.9219,3.9297,70969,0
2010-04-09,3.9219,3.9379,3.8655,3.9054,43149,0
2010-04-12,3.8732,3.9379,3.8655,3.9054,126010,0
2010-04-13,3.8732,3.9054,3.8413,3.8655,91588,0
2010-04-14,3.8813,3.9379,3.8493,3.9297,90037,0
2010-04-15,3.9219,4.0265,3.9054,3.9054,159523,0
2010-04-16,3.8732,3.9699,3.8732,3.8977,103238,0
2010-04-19,3.8893,3.9942,3.8893,3.986,109706,0
2010-04-20,3.986,4.0425,3.9379,3.9699,103745,0
2010-04-21,3.9297,4.0425,3.9297,3.9942,141401,0
2010-04-22,4.0021,4.0265,3.8732,4.0184,99664,0
2010-04-23,3.9937,4.0017,3.945,3.9776,74853,0
2010-04-26,3.9541,4.0184,3.9219,3.9619,95109,0
2010-04-27,3.9379,4.0184,3.9054,3.9297,112088,0
2010-04-28,3.9619,3.9942,3.9219,3.9619,74181,0
2010-04-29,3.9459,4.1067,3.9459,4.0585,191830,0
2010-04-30,4.0425,4.0425,4.0021,4.0425,75561,0
2010-05-03,3.9942,4.0425,3.8251,3.9379,254497,0
2010-05-04,3.8574,3.9054,3.8007,3.8413,170579,0
2010-05-05,3.8092,3.8977,3.7928,3.8413,143235,0
2010-05-06,3.8171,3.8413,3.6721,3.8251,245665,0
2010-05-07,3.7849,3.7849,3.6801,3.6962,195629,0
2010-05-10,3.7446,3.7928,3.7202,3.7202,79112,0
2010-05-11,3.7686,3.8251,3.7202,3.8251,95240,0
2010-05-12,3.7768,3.8251,3.7608,3.8171,85934,0
2010-05-13,3.7608,3.8732,3.7608,3.8732,96271,0
2010-05-14,3.8007,3.8092,3.7365,3.7365,54358,0
2010-05-17,3.7283,3.7849,3.7283,3.7849,45308,0
2010-05-18,3.8092,3.8092,3.6477,3.6721,163827,0
2010-05-19,3.6317,3.6883,3.6157,3.6157,108592,0
2010-05-20,3.6157,3.6238,3.4949,3.5674,170087,0
2010-05-21,3.4949,3.5755,3.4949,3.5755,99250,0
2010-05-24,3.5514,3.5592,3.527,3.527,68550,0
2010-05-25,3.527,3.527,3.4064,3.503,151464,0
2010-05-26,3.527,3.5353,3.3902,3.3902,113438,0
2010-05-27,3.3982,3.5514,3.3982,3.5514,57190,0
2010-05-28,3.511,3.6077,3.4788,3.5674,57726,0
2010-06-01,3.503,3.5674,3.4627,3.5674,83897,0
2010-06-02,3.5592,3.6077,3.527,3.5592,78747,0
2010-06-03,3.5514,3.5995,3.511,3.5837,52469,0
2010-06-04,3.5189,3.5592,3.4225,3.4225,66040,0
2010-06-07,3.4144,3.4949,3.3744,3.3902,82082,0
2010-06-08,3.3661,3.4305,3.3422,3.4064,62810,0
2010-06-09,3.3744,3.4064,3.3422,3.3744,54954,0
2010-06-10,3.382,3.4546,3.3661,3.4385,53516,0
2010-06-11,3.4225,3.5353,3.4225,3.4385,61402,0
2010-06-14,3.4546,3.4867,3.4305,3.4627,75718,0
2010-06-15,3.4546,3.5189,3.4546,3.511,75969,0
2010-06-16,3.503,3.5353,3.4225,3.4385,147212,0
2010-06-17,3.4627,3.4627,3.382,3.3902,50422,0
2010-06-18,3.382,3.4627,3.3661,3.4546,123261,0
2010-06-21,3.4546,3.4546,3.3982,3.3982,108125,0
2010-06-22,3.3902,3.4225,3.3422,3.358,49714,0
2010-06-23,3.3499,3.4867,3.3499,3.4385,105782,0
2010-06-24,3.4144,3.4385,3.3499,3.4385,76183,0
2010-06-25,3.4385,3.4546,3.4144,3.4468,37321,0
