Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.73,2.86,2.68,2.81,1930156,0
2010-01-05,2.79,2.86,2.72,2.74,1132699,0
2010-01-06,2.75,2.78,2.7,2.71,855285,0
2010-01-07,2.69,2.71,2.6,2.63,1764709,0
2010-01-08,2.64,2.7,2.63,2.65,1735075,0
2010-01-11,2.66,3.05,2.65,3.02,5059371,0
2010-01-12,3.12,3.17,2.82,2.87,4494344,0
2010-01-13,2.88,2.88,2.67,2.78,2280588,0
2010-01-14,2.77,2.77,2.67,2.68,1255386,0
2010-01-15,2.68,2.68,2.59,2.62,1538210,0
2010-01-19,2.6,2.63,2.56,2.62,1887463,0
2010-01-20,2.61,2.65,2.57,2.59,958783,0
2010-01-21,2.58,2.62,2.44,2.44,2008719,0
2010-01-22,2.42,2.51,2.32,2.38,1808613,0
2010-01-25,2.39,2.54,2.28,2.45,1746706,0
2010-01-26,2.42,2.48,2.34,2.36,1158354,0
2010-01-27,2.35,2.42,2.32,2.42,977831,0
2010-01-28,2.42,2.44,2.28,2.3,921380,0
2010-01-29,2.3,2.38,2.15,2.17,1639406,0
2010-02-01,2.19,2.3,2.13,2.3,1375593,0
2010-02-02,2.29,2.31,2.2,2.25,1020976,0
2010-02-03,2.25,2.29,2.2,2.21,878839,0
2010-02-04,2.18,2.22,2.06,2.06,1408102,0
2010-02-05,2.1,2.23,2.01,2.22,1610536,0
2010-02-08,2.08,2.2,1.92,2.09,3110984,0
2010-02-09,2.09,2.14,1.99,2.05,1083848,0
2010-02-10,2.04,2.2,2.02,2.2,1855859,0
2010-02-11,2.18,2.35,2.16,2.34,1964984,0
2010-02-12,2.28,2.42,2.21,2.4,1401576,0
2010-02-16,2.34,2.46,2.31,2.45,788587,0
2010-02-17,2.45,2.45,2.4,2.43,707432,0
2010-02-18,2.44,2.46,2.41,2.42,702906,0
2010-02-19,2.5,2.63,2.43,2.44,2717781,0
2010-02-22,2.46,2.46,2.34,2.37,1046338,0
2010-02-23,2.36,2.37,2.21,2.21,1617496,0
2010-02-24,2.21,2.26,2.18,2.21,754153,0
2010-02-25,2.16,2.22,2.14,2.22,574705,0
2010-02-26,2.21,2.24,2.17,2.18,554454,0
2010-03-01,2.2,2.34,2.19,2.28,2079853,0
2010-03-02,2.28,2.37,2.27,2.34,1962511,0
2010-03-03,2.34,2.39,2.31,2.32,545268,0
2010-03-04,2.32,2.34,2.3,2.31,340007,0
2010-03-05,2.31,2.37,2.3,2.36,530231,0
2010-03-08,2.36,2.41,2.34,2.41,1045956,0
2010-03-09,2.41,2.42,2.34,2.36,1214583,0
2010-03-10,2.35,2.4,2.32,2.4,772305,0
2010-03-11,2.38,2.58,2.37,2.48,1822069,0
2010-03-12,2.49,2.53,2.32,2.33,1883672,0
2010-03-15,2.45,2.45,2.34,2.35,1632812,0
2010-03-16,2.34,2.4,2.25,2.31,858332,0
2010-03-17,2.32,2.34,2.3,2.31,554127,0
2010-03-18,2.31,2.38,2.27,2.27,771114,0
2010-03-19,2.28,2.3,2.2,2.2,1490014,0
2010-03-22,2.22,2.29,2.2,2.26,781879,0
2010-03-23,2.26,2.35,2.24,2.34,972308,0
2010-03-24,2.56,2.72,2.55,2.59,6771360,0
2010-03-25,2.65,2.65,2.46,2.47,1753078,0
2010-03-26,2.45,2.45,2.36,2.36,955501,0
2010-03-29,2.41,2.69,2.38,2.48,6072852,0
2010-03-30,2.54,2.54,2.35,2.35,2019910,0
2010-03-31,2.35,2.4,2.26,2.31,880500,0
2010-04-01,2.32,2.39,2.31,2.33,754416,0
2010-04-05,2.35,2.39,2.32,2.38,682767,0
2010-04-06,2.38,2.44,2.34,2.35,701114,0
2010-04-07,2.34,2.38,2.31,2.34,778025,0
2010-04-08,2.34,2.45,2.3,2.44,2344373,0
2010-04-09,2.48,2.54,2.41,2.54,1810918,0
2010-04-12,2.55,2.63,2.5,2.62,1323024,0
2010-04-13,2.6,2.61,2.5,2.52,1198913,0
2010-04-14,2.52,2.58,2.47,2.58,1146601,0
2010-04-15,2.59,2.67,2.59,2.66,1417170,0
2010-04-16,2.66,2.66,2.5,2.56,1298655,0
2010-04-19,2.51,2.58,2.48,2.54,1382594,0
2010-04-20,2.56,2.58,2.5,2.57,632579,0
2010-04-21,2.64,2.64,2.51,2.51,895669,0
2010-04-22,2.68,2.88,2.63,2.86,7736832,0
2010-04-23,2.89,2.9,2.75,2.77,2742126,0
2010-04-26,2.75,2.85,2.71,2.81,1549902,0
2010-04-27,2.78,2.8,2.67,2.7,1930764,0
2010-04-28,2.85,2.95,2.79,2.93,2633423,0
2010-04-29,3,3.05,2.9,2.97,2643985,0
2010-04-30,2.95,2.99,2.8,2.83,1538790,0
2010-05-03,2.88,2.99,2.78,2.81,852988,0
2010-05-04,2.69,2.78,2.68,2.74,1142431,0
2010-05-05,2.73,2.73,2.52,2.62,1361479,0
2010-05-06,2.6,2.67,2.25,2.44,2144721,0
2010-05-07,2.44,2.52,2.32,2.35,1344121,0
2010-05-10,2.69,2.74,2.51,2.72,2024984,0
2010-05-11,2.67,2.79,2.61,2.7,945328,0
2010-05-12,2.7,2.79,2.67,2.77,859932,0
2010-05-13,2.76,2.85,2.62,2.68,1204828,0
2010-05-14,2.66,2.68,2.54,2.57,892178,0
2010-05-17,2.59,2.64,2.52,2.6,773341,0
2010-05-18,2.67,2.68,2.53,2.54,1073970,0
2010-05-19,2.54,2.57,2.38,2.46,862232,0
2010-05-20,2.39,2.44,2.27,2.28,1594731,0
2010-05-21,2.25,2.39,2.22,2.31,1435420,0
2010-05-24,2.32,2.5,2.32,2.38,862470,0
2010-05-25,2.26,2.37,2.2,2.3,997531,0
2010-05-26,2.32,2.39,2.26,2.27,858657,0
2010-05-27,2.33,2.44,2.32,2.44,1155993,0
2010-05-28,2.44,2.47,2.35,2.41,682733,0
2010-06-01,2.38,2.39,2.27,2.27,909834,0
2010-06-02,2.27,2.43,2.27,2.43,612334,0
2010-06-03,2.44,2.47,2.34,2.36,1146846,0
2010-06-04,2.3,2.35,2.22,2.24,1946152,0
2010-06-07,2.25,2.28,2.21,2.22,744620,0
2010-06-08,2.22,2.24,2.13,2.19,938892,0
2010-06-09,2.22,2.25,2.16,2.18,501246,0
2010-06-10,2.25,2.29,2.2,2.25,707001,0
2010-06-11,2.2,2.3,2.19,2.3,447493,0
2010-06-14,2.33,2.36,2.28,2.32,691508,0
2010-06-15,2.32,2.33,2.26,2.3,758413,0
2010-06-16,2.29,2.31,2.25,2.29,345183,0
2010-06-17,2.3,2.3,2.23,2.29,337539,0
2010-06-18,2.31,2.31,2.26,2.28,553947,0
2010-06-21,2.31,2.32,2.21,2.28,903280,0
2010-06-22,2.28,2.29,2.21,2.21,333561,0
