Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.238,13.512,13.198,13.309,3341142,0
2010-01-05,13.347,13.383,13.118,13.23,3294968,0
2010-01-06,13.18,13.485,13.172,13.467,5340342,0
2010-01-07,13.424,13.895,13.424,13.854,4126232,0
2010-01-08,13.749,13.836,13.626,13.808,2187800,0
2010-01-11,13.888,13.888,13.626,13.66,2651236,0
2010-01-12,13.539,13.652,13.328,13.485,3463456,0
2010-01-13,13.485,13.635,13.467,13.584,2870828,0
2010-01-14,13.539,13.617,13.502,13.529,2517184,0
2010-01-15,13.467,13.521,13.055,13.055,5202072,0
2010-01-19,13.155,13.521,13.073,13.309,12254925,0
2010-01-20,13.309,13.347,13.146,13.247,5107647,0
2010-01-21,13.337,13.337,12.898,12.933,6251607,0
2010-01-22,12.89,13.073,12.645,12.67,5271034,0
2010-01-25,12.795,12.872,12.628,12.732,2893384,0
2010-01-26,12.645,12.786,12.575,12.637,4361216,0
2010-01-27,12.637,12.696,12.278,12.488,5523891,0
2010-01-28,12.541,12.575,12.294,12.434,5143645,0
2010-01-29,12.278,12.357,11.569,11.884,17388250,0
2010-02-01,12.051,12.092,11.725,11.942,10826847,0
2010-02-02,12.163,12.678,12.11,12.469,8809514,0
2010-02-03,12.384,12.532,12.286,12.374,5279533,0
2010-02-04,12.269,12.303,11.857,11.874,5420565,0
2010-02-05,11.848,11.874,11.481,11.699,6596454,0
2010-02-08,12.005,12.19,11.831,11.892,6895479,0
2010-02-09,12.034,12.155,11.892,12.119,4311731,0
2010-02-10,12.11,12.128,11.822,11.942,5591574,0
2010-02-11,11.902,12.119,11.787,12.058,6896499,0
2010-02-12,11.902,12.092,11.779,12.068,3760142,0
2010-02-16,12.092,12.128,11.952,12.051,5674425,0
2010-02-17,12.092,12.155,11.918,12.043,4495694,0
2010-02-18,11.988,12.171,11.961,12.11,2548866,0
2010-02-19,12.024,12.101,11.979,12.058,4010301,0
2010-02-22,12.083,12.243,12.068,12.119,2747515,0
2010-02-23,12.128,12.215,11.942,12.005,3860684,0
2010-02-24,12.034,12.034,11.795,11.952,4506426,0
2010-02-25,11.857,12.034,11.708,11.979,4591349,0
2010-02-26,11.91,12.043,11.874,12.043,3248115,0
2010-03-01,12.058,12.18,11.979,12.101,2775757,0
2010-03-02,12.163,12.18,12.083,12.146,3606848,0
2010-03-03,12.171,12.4,12.119,12.243,5808245,0
2010-03-04,12.25,12.46,12.206,12.416,3659674,0
2010-03-05,12.478,12.759,12.46,12.705,4694784,0
2010-03-08,12.732,12.838,12.62,12.821,2985135,0
2010-03-09,12.777,13.256,12.715,13.146,8540784,0
2010-03-10,13.137,13.626,13.055,13.415,10240354,0
2010-03-11,13.347,13.458,13.275,13.407,5302988,0
2010-03-12,13.467,13.485,13.337,13.449,2929969,0
2010-03-15,13.441,13.512,13.318,13.476,3162583,0
2010-03-16,13.441,13.584,13.415,13.584,2840259,0
2010-03-17,13.677,13.905,13.529,13.808,7438934,0
2010-03-18,13.827,13.854,13.584,13.766,4472016,0
2010-03-19,13.808,13.827,13.356,13.432,5861779,0
2010-03-22,13.318,13.608,13.318,13.574,5985003,0
2010-03-23,13.599,13.712,13.512,13.66,2970613,0
2010-03-24,13.635,13.635,13.391,13.521,3197534,0
2010-03-25,13.652,13.677,13.391,13.391,3923321,0
2010-03-26,13.458,13.485,13.256,13.365,3340465,0
2010-03-29,13.432,13.467,13.301,13.407,2645028,0
2010-03-30,13.432,13.547,13.247,13.458,2425693,0
2010-03-31,13.383,13.467,13.266,13.309,4716874,0
2010-04-01,13.432,13.687,13.347,13.677,6832746,0
2010-04-05,13.687,13.941,13.677,13.888,3250251,0
2010-04-06,13.863,14.089,13.731,14.02,5648636,0
2010-04-07,14.003,14.135,13.914,14.036,6343881,0
2010-04-08,13.969,14.161,13.863,14.152,4268525,0
2010-04-09,14.152,14.336,14.044,14.266,3132465,0
2010-04-12,14.37,14.71,14.327,14.633,6070376,0
2010-04-13,14.625,14.668,14.457,14.616,3645213,0
2010-04-14,14.659,14.755,14.58,14.701,4939963,0
2010-04-15,14.625,14.792,14.457,14.782,3550695,0
2010-04-16,14.728,14.818,14.447,14.589,4372465,0
2010-04-19,14.572,14.668,14.422,14.668,3854139,0
2010-04-20,14.792,14.947,14.693,14.878,4308527,0
2010-04-21,14.92,15.158,14.903,15.139,4867740,0
2010-04-22,15.053,15.49,14.911,15.473,5277047,0
2010-04-23,15.478,15.663,15.382,15.502,7031208,0
2010-04-26,15.247,15.499,15.166,15.166,0,0
2010-04-27,15.088,15.247,14.86,14.887,7740017,0
2010-04-28,14.956,15.036,14.71,14.947,4605748,0
2010-04-29,15.044,15.122,14.792,14.843,8048608,0
2010-04-30,15.615,15.726,14.903,14.947,13147574,0
2010-05-03,15.053,15.561,15.053,15.507,5529816,0
2010-05-04,15.324,15.368,14.893,14.965,5607327,0
2010-05-05,14.747,15.018,14.457,14.536,6500015,0
2010-05-06,14.438,14.792,13.238,14.036,9553944,0
2010-05-07,14.072,14.098,13.539,13.741,10616579,0
2010-05-10,14.318,14.765,14.318,14.563,5183823,0
2010-05-11,14.318,14.86,14.318,14.659,5168410,0
2010-05-12,14.693,15.036,14.598,14.984,5263078,0
2010-05-13,15.018,15.028,14.58,14.641,4293550,0
2010-05-14,14.536,14.58,14.177,14.438,7726307,0
2010-05-17,14.457,14.747,14.247,14.701,6548903,0
2010-05-18,14.792,14.852,14.318,14.361,5327835,0
2010-05-19,14.256,14.422,14.011,14.247,6653427,0
2010-05-20,13.914,14.081,13.695,13.749,8191540,0
2010-05-21,13.407,14.063,13.407,13.808,6112516,0
2010-05-24,13.749,14.098,13.695,13.895,5732536,0
2010-05-25,13.512,14.081,13.318,14.072,9805157,0
2010-05-26,14.22,14.492,14.143,14.212,7917247,0
2010-05-27,14.492,14.818,14.457,14.809,5700542,0
2010-05-28,14.738,14.878,14.431,14.589,4489318,0
2010-06-01,14.492,15.324,14.406,14.589,9738142,0
2010-06-02,14.65,14.929,14.447,14.92,6930217,0
2010-06-03,14.975,15.053,14.738,14.92,3156161,0
2010-06-04,14.563,14.633,14.275,14.336,6070500,0
2010-06-07,14.352,14.352,13.905,13.95,7176297,0
2010-06-08,13.95,14.161,13.791,14.117,10761209,0
2010-06-09,14.143,14.58,14.143,14.256,6726785,0
2010-06-10,14.519,14.675,14.327,14.447,5040183,0
2010-06-11,14.266,14.555,14.081,14.555,3348188,0
2010-06-14,14.685,14.843,14.457,14.563,2900764,0
2010-06-15,14.65,14.87,14.502,14.852,2029158,0
2010-06-16,14.685,14.887,14.633,14.792,5929672,0
2010-06-17,14.878,14.878,14.195,14.728,8228843,0
2010-06-18,14.747,14.965,14.738,14.878,4254495,0
2010-06-21,15.097,15.139,14.352,14.431,4085335,0
2010-06-22,14.397,14.536,13.941,13.985,6075895,0
2010-06-23,13.95,14.22,13.668,14.117,6324184,0
2010-06-24,14.02,14.089,13.695,13.757,7851426,0
2010-06-25,13.776,13.978,13.635,13.888,7194746,0
2010-06-28,13.96,14.053,13.722,13.785,3960695,0
2010-06-29,13.565,13.599,12.977,13.064,6361068,0
2010-06-30,13.018,13.105,12.744,12.823,7303535,0
2010-07-01,12.872,12.872,12.478,12.732,6634719,0
2010-07-02,12.759,12.813,12.416,12.504,3785249,0
2010-07-06,12.813,12.829,12.384,12.504,4841910,0
2010-07-07,12.513,13.022,12.504,12.996,4316932,0
2010-07-08,13.432,13.432,13.109,13.309,3878444,0
2010-07-09,13.328,13.539,13.23,13.476,3242762,0
2010-07-12,13.407,13.512,13.109,13.301,6253460,0
2010-07-13,13.415,13.703,13.383,13.599,4103715,0
2010-07-14,13.547,13.731,13.441,13.565,4225225,0
2010-07-15,13.539,13.617,13.292,13.593,3735108,0
2010-07-16,13.512,13.512,13.047,13.09,3748361,0
2010-07-19,13.127,13.238,12.942,13.205,2852342,0
2010-07-20,12.996,13.424,12.908,13.375,2918309,0
2010-07-21,13.415,13.574,13.23,13.292,3137592,0
2010-07-22,13.458,13.741,13.449,13.617,3086829,0
2010-07-23,13.521,13.863,13.521,13.808,2364317,0
2010-07-26,13.808,14.053,13.766,14.011,3482773,0
2010-07-27,14.036,14.063,13.818,13.888,3336223,0
2010-07-28,13.888,13.905,13.668,13.741,2944006,0
2010-07-29,13.818,13.969,13.476,13.644,4039652,0
2010-07-30,13.502,13.741,13.19,13.574,9073595,0
2010-08-02,13.766,14.169,13.766,14.027,12416724,0
2010-08-03,14.212,14.526,14.186,14.336,7762487,0
2010-08-04,14.397,14.511,14.344,14.431,3038937,0
2010-08-05,14.3,14.475,14.238,14.414,2024189,0
2010-08-06,14.282,14.361,14.027,14.336,2078609,0
2010-08-09,14.457,14.555,14.344,14.526,3188881,0
2010-08-10,14.352,14.755,14.308,14.659,4733033,0
2010-08-11,14.414,14.519,14.098,14.161,5168515,0
2010-08-12,13.808,14.044,13.808,14.011,2587925,0
2010-08-13,13.95,14.169,13.923,14.027,1931092,0
2010-08-16,13.863,14.152,13.818,14.053,1930351,0
2010-08-17,14.044,14.053,13.845,13.905,24737803,0
2010-08-18,13.905,14.072,13.827,14.011,5003193,0
2010-08-19,13.96,13.978,13.485,13.617,4728107,0
2010-08-20,13.485,13.608,13.301,13.432,3826749,0
2010-08-23,13.512,13.593,13.309,13.347,3139943,0
2010-08-24,13.137,13.512,13.118,13.424,5709609,0
2010-08-25,13.328,13.449,13.19,13.415,3954592,0
2010-08-26,13.458,13.547,13.198,13.275,4943109,0
2010-08-27,13.356,13.493,13.081,13.485,2610049,0
2010-08-30,13.449,13.485,13.163,13.163,1864319,0
2010-08-31,13.044,13.263,13.01,13.143,3260563,0
2010-09-01,13.318,13.617,13.309,13.547,3941064,0
2010-09-02,13.593,13.818,13.521,13.776,3352945,0
2010-09-03,13.888,14.143,13.827,14.098,3363138,0
2010-09-07,14.053,14.177,14.011,14.098,4773825,0
2010-09-08,14.117,14.336,14.02,14.152,5796519,0
2010-09-09,14.361,14.685,14.275,14.65,5444602,0
2010-09-10,14.893,15.139,14.693,14.738,4661865,0
2010-09-13,14.929,15.106,14.843,14.984,4124288,0
2010-09-14,14.71,14.87,14.572,14.809,4402883,0
2010-09-15,14.809,14.87,14.572,14.792,3386082,0
2010-09-16,14.738,14.878,14.589,14.701,3578312,0
2010-09-17,14.765,14.836,14.555,14.659,4929610,0
2010-09-20,14.693,15.633,14.685,15.542,9288346,0
2010-09-21,15.561,15.633,15.183,15.324,4992628,0
2010-09-22,15.263,15.35,15.088,15.122,2951202,0
2010-09-23,14.929,15.317,14.86,15.115,2109122,0
2010-09-24,15.307,15.667,15.263,15.648,3038828,0
2010-09-27,15.588,15.64,15.438,15.561,3470149,0
2010-09-28,15.552,15.859,15.483,15.823,3668536,0
2010-09-29,15.752,15.752,15.578,15.692,2589226,0
2010-09-30,15.777,15.909,15.566,15.593,2756799,0
2010-10-01,15.736,15.789,15.516,15.752,2155674,0
2010-10-04,15.736,15.841,15.516,15.648,2563417,0
2010-10-05,15.762,16.183,15.762,16.095,5351467,0
2010-10-06,16.095,16.174,15.903,15.999,10878620,0
2010-10-07,16.051,16.148,15.807,15.911,3194054,0
2010-10-08,15.885,16.095,15.885,16.007,3555691,0
2010-10-11,15.981,15.999,15.823,15.868,2584862,0
2010-10-12,15.85,15.885,15.421,15.597,6803995,0
2010-10-13,15.7,16.104,15.597,15.885,4679915,0
2010-10-14,15.876,16.069,15.85,15.885,3866151,0
2010-10-15,15.989,15.999,15.718,15.859,3315449,0
2010-10-18,15.841,15.989,15.743,15.964,2251058,0
2010-10-19,15.771,15.903,15.35,15.464,6295620,0
2010-10-20,15.473,15.7,15.43,15.607,3456640,0
2010-10-21,15.64,15.799,15.588,15.726,3146316,0
2010-10-22,15.726,15.894,15.709,15.823,2421859,0
2010-10-25,15.921,16.131,15.841,15.876,3170229,0
2010-10-26,15.771,15.841,15.667,15.726,3663169,0
2010-10-27,15.588,15.692,15.448,15.667,2796118,0
2010-10-28,15.816,15.876,15.483,15.588,4509802,0
2010-10-29,15.447,15.572,15.056,15.456,8346043,0
2010-11-01,15.516,15.799,15.414,15.57,5594148,0
2010-11-02,15.645,15.804,15.478,15.602,3631332,0
2010-11-03,15.615,15.709,15.386,15.648,3242163,0
2010-11-04,15.807,15.885,15.667,15.674,5279675,0
2010-11-05,15.633,15.7,15.158,15.298,7092724,0
2010-11-08,15.22,15.405,15.122,15.368,4562929,0
2010-11-09,15.377,15.377,15.148,15.212,4771074,0
2010-11-10,15.229,15.229,15.053,15.148,4021412,0
2010-11-11,15.001,15.247,14.975,15.212,2792806,0
2010-11-12,15.106,15.148,14.938,15.131,2886999,0
2010-11-15,15.166,15.368,15.122,15.193,2323462,0
2010-11-16,15.071,15.174,14.938,15.122,3949188,0
2010-11-17,15.115,15.193,15.018,15.097,2832742,0
2010-11-18,15.263,15.263,14.965,14.975,5765555,0
2010-11-19,14.929,15.028,14.87,15.001,3099581,0
2010-11-22,14.92,15.028,14.809,14.893,3201552,0
2010-11-23,14.701,14.836,14.641,14.659,3232796,0
2010-11-24,14.782,15.115,14.755,15.044,8516067,0
2010-11-26,14.878,15.062,14.836,15.011,1605906,0
2010-11-29,14.92,15.036,14.773,15.011,2716238,0
2010-11-30,14.861,14.921,14.631,14.684,10420158,0
2010-12-01,14.878,15.255,14.843,15.212,4680197,0
2010-12-02,15.298,15.499,15.174,15.414,3596134,0
2010-12-03,15.332,15.507,15.317,15.49,3005865,0
2010-12-06,15.43,15.516,15.28,15.396,3892437,0
2010-12-07,15.57,15.615,15.317,15.342,5280051,0
2010-12-08,15.368,15.438,15.307,15.342,3670401,0
2010-12-09,15.324,15.405,15.271,15.386,3701407,0
2010-12-10,15.438,15.464,15.324,15.396,2458785,0
2010-12-13,15.464,15.49,15.247,15.332,2766941,0
2010-12-14,15.324,15.456,15.237,15.35,3009704,0
2010-12-15,15.57,15.799,15.533,15.561,6055650,0
2010-12-16,15.612,15.636,15.521,15.584,3137980,0
2010-12-17,15.633,15.78,15.533,15.762,5007896,0
2010-12-20,15.771,16.016,15.743,15.972,3916083,0
2010-12-21,15.972,16.121,15.921,16.069,3721918,0
2010-12-22,16.069,16.121,15.999,16.041,2692982,0
2010-12-23,15.981,15.999,15.859,15.929,1591376,0
2010-12-27,15.832,15.921,15.799,15.903,1441339,0
2010-12-28,15.903,15.947,15.762,15.789,1962720,0
2010-12-29,15.806,15.839,15.734,15.779,2727495,0
2010-12-30,15.76,15.858,15.69,15.779,1065809,0
2010-12-31,15.729,15.953,15.686,15.918,1686489,0
2011-01-03,15.999,16.041,15.911,15.989,2937347,0
2011-01-04,15.999,16.041,15.7,15.85,2671420,0
2011-01-05,15.752,15.989,15.752,15.989,3256185,0
2011-01-06,16.041,16.069,15.832,16.024,3105285,0
2011-01-07,16.131,16.131,15.736,15.823,4292938,0
2011-01-10,15.736,15.85,15.456,15.832,3940666,0
2011-01-11,15.816,15.823,15.448,15.648,5267039,0
2011-01-12,15.718,15.947,15.7,15.947,2786569,0
2011-01-13,15.972,15.972,15.542,15.57,6669572,0
2011-01-14,15.516,15.615,15.438,15.552,4079675,0
2011-01-18,15.512,15.688,15.469,15.671,3277064,0
2011-01-19,15.645,15.696,15.391,15.443,6064005,0
2011-01-20,15.421,15.658,15.414,15.561,2769248,0
2011-01-21,15.674,15.7,15.456,15.499,3025179,0
2011-01-24,15.499,15.658,15.456,15.64,3162006,0
2011-01-25,15.623,15.771,15.507,15.736,3645132,0
2011-01-26,15.799,16.069,15.718,15.981,5540389,0
2011-01-27,15.989,17.068,15.989,16.935,16128354,0
2011-01-28,16.988,17.286,16.84,16.935,7627171,0
2011-01-31,17.016,17.07,16.802,16.855,4147202,0
2011-02-01,16.997,17.118,16.901,17.051,4123272,0
2011-02-02,16.969,17.093,16.883,16.961,2653345,0
2011-02-03,16.979,17.032,16.857,17.015,2706127,0
2011-02-04,16.988,17.216,16.9,17.172,2591134,0
2011-02-07,17.181,17.313,17.118,17.233,1873877,0
2011-02-08,17.26,17.313,17.164,17.303,2308513,0
2011-02-09,17.242,17.295,17.068,17.233,2409223,0
2011-02-10,17.136,17.434,17.032,17.393,2735963,0
2011-02-11,17.295,17.533,17.286,17.533,2907009,0
2011-02-14,17.495,17.523,17.356,17.451,1780581,0
2011-02-15,17.356,17.504,17.181,17.419,4164754,0
2011-02-16,17.443,17.604,17.331,17.46,2328230,0
2011-02-17,17.365,17.663,17.365,17.604,1885954,0
2011-02-18,17.636,17.848,17.505,17.697,2787369,0
2011-02-22,17.533,17.613,17.233,17.323,2661734,0
2011-02-23,17.313,17.365,16.883,17.127,3464954,0
2011-02-24,17.164,17.216,16.664,16.883,4696730,0
2011-02-25,16.979,17.145,16.891,17.05,2501403,0
2011-02-28,17.085,17.18,16.854,16.977,4067078,0
2011-03-01,17.05,17.155,16.698,16.733,4700145,0
2011-03-02,16.715,16.847,16.594,16.689,4028391,0
2011-03-03,16.822,17.085,16.822,16.91,3316826,0
2011-03-04,16.918,16.943,16.584,16.813,3647388,0
2011-03-07,16.83,16.9,16.654,16.715,2810109,0
2011-03-08,16.723,17.155,16.673,17.11,1977330,0
2011-03-09,17.041,17.233,16.935,17.19,1908213,0
2011-03-10,16.996,17.015,16.778,16.813,3256328,0
2011-03-11,16.786,17.172,16.75,17.155,2993228,0
2011-03-14,17.06,17.286,17.032,17.127,4296049,0
2011-03-15,16.689,16.839,16.54,16.715,4673910,0
2011-03-16,16.628,16.742,16.277,16.366,5091069,0
2011-03-17,16.783,16.783,16.467,16.499,2426026,0
2011-03-18,16.75,16.769,16.461,16.567,2722285,0
2011-03-21,16.742,16.91,16.733,16.883,998544,0
2011-03-22,16.847,16.891,16.654,16.723,1946934,0
2011-03-23,16.654,16.813,16.558,16.778,2200518,0
2011-03-24,16.883,16.926,16.654,16.866,4171163,0
2011-03-25,16.918,17.242,16.891,17.136,3345255,0
2011-03-28,17.181,17.207,16.9,16.9,1940413,0
2011-03-29,16.847,16.935,16.707,16.91,3129743,0
2011-03-30,16.91,17.05,16.891,16.996,2425137,0
2011-03-31,16.934,17.016,16.623,16.792,4111536,0
2011-04-01,16.883,17.085,16.786,16.9,2552560,0
2011-04-04,16.935,16.961,16.707,16.83,1976201,0
2011-04-05,16.769,16.943,16.594,16.873,3477627,0
2011-04-06,16.918,16.996,16.822,16.883,2561494,0
2011-04-07,16.891,16.918,16.621,16.698,2677157,0
2011-04-08,16.733,16.847,16.419,16.513,2407940,0
2011-04-11,16.503,16.549,16.382,16.53,1841674,0
2011-04-12,16.406,16.545,16.281,16.499,3683577,0
2011-04-13,16.558,16.628,16.444,16.621,2268499,0
2011-04-14,16.575,16.769,16.453,16.723,3454675,0
2011-04-15,16.769,16.9,16.723,16.795,2321319,0
2011-04-18,16.645,16.645,16.374,16.584,2052746,0
2011-04-19,16.594,16.822,16.584,16.786,2820035,0
2011-04-20,17.024,17.032,16.813,16.926,2502016,0
2011-04-21,16.979,16.988,16.813,16.918,1547603,0
2011-04-25,16.926,16.926,16.628,16.723,2492777,0
2011-04-26,16.813,16.926,16.68,16.891,2666600,0
2011-04-27,16.996,17.357,16.891,17.295,4312491,0
2011-04-28,17.242,17.393,17.155,17.323,3601653,0
