Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.3,7.75,7.25,7.75,312617,0
2010-01-05,7.9,8.25,7.8,8.1,319093,0
2010-01-06,8,8.2,7.75,7.95,176709,0
2010-01-07,7.95,8.05,7.75,8,126264,0
2010-01-08,8.05,8.2,7.9,8,183807,0
2010-01-11,8.1,8.75,8.1,8.75,279579,0
2010-01-12,8.7,9.05,8.45,8.95,450481,0
2010-01-13,8.9,9.2,8.5,9.2,296068,0
2010-01-14,9.25,9.5,9.15,9.35,211125,0
2010-01-15,9.3,9.45,8.5,9.2,381664,0
2010-01-19,8.95,9.9,8.9,9.8,450620,0
2010-01-20,9.8,10.1,9.5,9.7,428295,0
2010-01-21,9.5,9.6,9,9,217778,0
2010-01-22,8.9,9,8.4,8.7,232581,0
2010-01-25,8.6,9.3,8.6,8.9,226192,0
2010-01-26,8.9,9.2,8.9,9.15,104419,0
2010-01-27,9.05,9.2,8.75,9.1,159465,0
2010-01-28,9.2,9.2,8.75,8.75,105023,0
2010-01-29,9,9,8,8.25,318406,0
2010-02-01,8.5,8.9,8.35,8.85,291733,0
2010-02-02,8.75,9.15,8.6,8.95,521959,0
2010-02-03,8.85,9.1,8.55,9,188605,0
2010-02-04,9,9.05,8.1,8.5,257412,0
2010-02-05,8.35,8.75,8.25,8.35,175307,0
2010-02-08,8.55,8.7,8.35,8.35,80212,0
2010-02-09,8.5,8.75,8.35,8.65,109939,0
2010-02-10,8.5,9.25,8.4,9.25,175555,0
2010-02-11,9.15,9.35,8.9,9,160198,0
2010-02-12,8.8,9.85,8.75,9.85,208605,0
2010-02-16,9.85,10.4,9.5,10.4,789554,0
2010-02-17,10.4,10.4,9.95,10.1,207401,0
2010-02-18,9.95,10,9.55,9.65,195063,0
2010-02-19,9.45,10,8.45,9.65,306178,0
2010-02-22,9.75,9.8,9.6,9.7,99455,0
2010-02-23,9.8,9.95,9.1,9.35,137085,0
2010-02-24,9.4,9.7,9.05,9.5,210747,0
2010-02-25,9.25,9.6,9.1,9.35,192814,0
2010-02-26,9.3,9.95,9.3,9.7,196757,0
2010-03-01,9.7,10.2,9.7,10,255573,0
2010-03-02,10.15,10.25,10,10.15,280888,0
2010-03-03,10.15,10.3,9.9,10.05,173208,0
2010-03-04,10.1,10.15,9.9,10.05,219923,0
2010-03-05,10.15,10.75,10.05,10.55,435935,0
2010-03-08,10.75,11.1,10.7,10.9,308893,0
2010-03-09,10.7,10.85,10.4,10.85,186284,0
2010-03-10,10.95,11.6,10.85,11.45,582744,0
2010-03-11,11.55,11.55,11.05,11.5,597073,0
2010-03-12,11.7,11.7,11.25,11.65,233797,0
2010-03-15,11.7,12.75,11.69,12.75,1647182,0
2010-03-16,13,13.43,12.4,12.65,1514205,0
2010-03-17,12.75,12.95,11.55,12.1,596069,0
2010-03-18,12.1,12.6,11.9,12.15,235189,0
2010-03-19,12.25,13.15,12.05,13.05,744767,0
2010-03-22,12.85,13.25,12.6,13.2,390492,0
2010-03-23,13.25,14.22,13.25,13.95,823641,0
2010-03-24,13.8,14.15,13.75,13.85,325868,0
2010-03-25,14.1,14.51,13.75,13.85,536860,0
2010-03-26,14,14.45,13.9,14.05,249059,0
2010-03-29,14.3,14.4,13.8,13.8,299932,0
2010-03-30,13.8,14,13.65,13.9,355626,0
2010-03-31,13.75,13.9,13.65,13.7,324078,0
2010-04-01,13.9,14.2,13.7,13.95,256475,0
2010-04-05,14.1,14.3,13.95,14.2,248835,0
2010-04-06,14.25,14.5,14.1,14.25,426311,0
2010-04-07,14.35,14.5,14,14.45,509417,0
2010-04-08,14.3,14.35,13.35,13.5,698101,0
2010-04-09,13.5,13.75,12.4,13.15,914863,0
2010-04-12,13.15,13.7,13.15,13.55,344617,0
2010-04-13,13.45,13.65,12.95,13.2,510453,0
2010-04-14,13.6,13.65,13.25,13.65,378963,0
2010-04-15,13.25,13.5,12.6,13.1,1083205,0
2010-04-16,12.85,13,12.65,13,492356,0
2010-04-19,12.75,13,12.7,12.8,437607,0
2010-04-20,12.95,13.85,12.65,13.55,562495,0
2010-04-21,13.65,14.2,13.1,13.45,408867,0
2010-04-22,13.2,13.4,12.85,13.4,286416,0
2010-04-23,13.35,13.55,13.35,13.4,261595,0
2010-04-26,13.5,13.65,13.05,13.5,330650,0
2010-04-27,13.25,13.4,12.75,13,459351,0
2010-04-28,13,13.3,12.55,12.9,499828,0
2010-04-29,13.15,14.15,12.9,14.05,766639,0
2010-04-30,14.11,15.47,14.1,15.45,716352,0
2010-05-03,15.7,15.99,15,15.68,397526,0
2010-05-04,15.42,15.42,14.02,14.24,510704,0
2010-05-05,13.99,14.3,13.1,14.3,578744,0
2010-05-06,13.97,14.06,11.25,12.68,1239984,0
2010-05-07,11.5,12.07,11,11.66,2683945,0
2010-05-10,11.96,12.42,11.87,12.3,1396909,0
2010-05-11,12.1,13,11.9,12.54,603623,0
2010-05-12,12.51,13.53,12.51,13.45,744840,0
2010-05-13,13.23,13.78,13.19,13.46,838630,0
2010-05-14,13.18,13.22,12.38,12.55,626069,0
2010-05-17,12.75,12.99,11.82,12.55,390243,0
2010-05-18,12.81,12.91,12.07,12.14,427954,0
2010-05-19,12.05,12.29,10.92,11.82,806280,0
2010-05-20,11.36,11.36,10.71,11,839510,0
2010-05-21,10.8,11.95,10.5,11.59,447497,0
2010-05-24,11.5,12.07,11.37,12,470378,0
2010-05-25,11.65,12.24,11.25,12.1,395016,0
2010-05-26,12.26,12.93,12.2,12.54,1594068,0
2010-05-27,12.77,13.36,12.77,13.32,571015,0
2010-05-28,13.25,13.98,12.48,13.51,327010,0
2010-06-01,13.15,13.29,12.59,12.6,408760,0
2010-06-02,12.59,13.36,12.46,13.24,765866,0
2010-06-03,13.2,13.55,13.01,13.46,395476,0
2010-06-04,13,13.29,12.82,12.87,418482,0
2010-06-07,13,13.06,11.92,12.16,602189,0
