Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,31.35,31.78,31.23,31.68,66820,0
2010-01-05,31.56,31.7,31.03,31.04,60482,0
2010-01-06,31.1,31.42,30.79,31.25,74130,0
2010-01-07,31.46,31.73,31,31.53,76275,0
2010-01-08,31.35,31.8,30.63,31.46,41383,0
2010-01-11,31.69,32.68,31.39,32.12,43254,0
2010-01-12,32.03,32.17,31.4,31.53,64574,0
2010-01-13,31.53,32.08,31.16,31.98,56607,0
2010-01-14,31.8,33.09,31.61,32.97,63457,0
2010-01-15,33.08,33.08,31.53,32.03,92691,0
2010-01-19,32.03,32.54,31.95,32.18,36195,0
2010-01-20,31.88,33.23,30.75,31.57,64009,0
2010-01-21,31.7,31.71,30.56,30.72,67359,0
2010-01-22,31,31.3,29.79,30.4,71277,0
2010-01-25,30.53,30.81,30.21,30.7,34169,0
2010-01-26,30.53,30.53,29.63,29.88,96914,0
2010-01-27,29.67,30.3,29.67,30.14,41589,0
2010-01-28,30.27,30.27,29.65,29.67,43361,0
2010-01-29,29.58,30.14,29.52,30.13,84956,0
2010-02-01,30.14,30.44,29.67,29.94,44297,0
2010-02-02,29.87,30.17,29.6,29.94,53291,0
2010-02-03,29.92,30.47,28.5,28.75,157264,0
2010-02-04,28.59,29.21,28.47,28.96,162310,0
2010-02-05,28.93,29.22,28.29,28.93,109254,0
2010-02-08,28.78,28.91,28.6,28.87,63525,0
2010-02-09,29.06,29.48,28.62,29.38,109524,0
2010-02-10,29.14,30.42,29.09,30.2,78652,0
2010-02-11,30.04,30.4,29.53,30.33,43078,0
2010-02-12,30,30.33,29.31,30.33,75930,0
2010-02-16,30.44,31.04,30.33,31.03,68748,0
2010-02-17,31.01,31.83,30.74,31.53,107667,0
2010-02-18,33,34.6,32.79,34.12,272202,0
2010-02-19,33.94,34.63,33.91,34.47,117491,0
2010-02-22,34.36,34.8,34.24,34.58,142837,0
2010-02-23,34.36,34.49,34,34.32,265636,0
2010-02-24,34.3,34.44,34.03,34.2,191432,0
2010-02-25,34.01,34.15,33.53,34.02,95350,0
2010-02-26,34.37,34.5,33.79,34.09,96699,0
2010-03-01,34,34.59,33.84,34.4,151730,0
2010-03-02,34.45,35.62,34.38,35.48,115381,0
2010-03-03,35.5,36.74,34.46,35.71,152023,0
2010-03-04,35.88,36.03,35.05,35.36,41471,0
2010-03-05,35.34,35.91,35.01,35.8,78516,0
2010-03-08,35.69,36.03,34.88,35.74,68848,0
2010-03-09,36.22,36.6,33.74,35.46,133042,0
2010-03-10,35.36,36.14,34.87,35.08,131073,0
2010-03-11,34.81,35.86,34.81,35.57,108305,0
2010-03-12,34.93,35.38,34.91,35.38,148525,0
2010-03-15,35.39,35.45,35.12,35.24,44691,0
2010-03-16,34.86,35.35,33.51,35.29,77281,0
2010-03-17,35.45,36.01,35.45,35.79,43349,0
2010-03-18,35.52,35.7,35.22,35.63,38283,0
2010-03-19,35.73,35.85,35.15,35.36,82210,0
2010-03-22,35.22,35.46,34.86,35.46,32132,0
2010-03-23,35.36,35.87,35.01,35.72,26441,0
2010-03-24,35.42,35.68,35.19,35.53,62177,0
2010-03-25,35.6,35.97,35.44,35.85,72542,0
2010-03-26,35.92,36.33,35.83,36.25,144795,0
2010-03-29,36.43,36.6,35.9,36.16,41878,0
2010-03-30,36.36,36.4,35.93,36.32,268055,0
2010-03-31,36.11,37.03,36.11,36.38,57813,0
2010-04-01,36.45,37.31,36.35,37.29,88304,0
2010-04-05,37.6,38.19,37.39,38.16,103180,0
2010-04-06,38.15,38.45,37.92,38.26,49852,0
2010-04-07,38.19,38.35,38.12,38.35,69138,0
2010-04-08,38.23,38.6,38.06,38.22,74277,0
2010-04-09,38.23,38.4,37.93,38.14,48074,0
2010-04-12,38.29,38.47,37.84,37.93,53625,0
2010-04-13,37.96,37.96,37.34,37.45,42032,0
2010-04-14,37.7,38.08,37.55,38.05,45507,0
2010-04-15,37.91,38.09,37.28,38.04,33914,0
2010-04-16,37.9,38.21,37.53,37.92,78449,0
2010-04-19,37.7,38.06,37.5,37.83,44051,0
2010-04-20,37.87,37.93,37.56,37.68,33859,0
2010-04-21,37.4,37.4,35.63,36.29,125117,0
2010-04-22,36.17,36.64,35.88,36.34,124743,0
2010-04-23,36.25,36.25,35.1,35.29,132812,0
2010-04-26,35.16,35.66,34.53,34.55,93472,0
2010-04-27,34.29,35.22,33.79,34,134610,0
2010-04-28,35.01,35.06,33.19,33.48,143104,0
2010-04-29,35.4,36.01,34.67,34.86,283825,0
2010-04-30,34.96,34.98,34.13,34.19,121346,0
2010-05-03,34.4,34.83,33.71,33.84,96151,0
2010-05-04,33.42,33.49,32.53,33.28,103720,0
2010-05-05,32.93,33.83,32.88,33.09,86074,0
2010-05-06,33.79,34.65,32.23,32.76,143793,0
2010-05-07,32.44,32.44,31.32,31.92,138353,0
2010-05-10,32.89,33.57,32.83,33.38,145637,0
2010-05-11,33.03,34.45,33.03,34.2,103435,0
2010-05-12,34.37,34.69,33.63,34.17,104621,0
2010-05-13,34.15,34.87,34.07,34.59,142400,0
2010-05-14,34.41,34.55,33.74,34.02,67651,0
2010-05-17,34.26,34.71,33.86,34.18,71781,0
2010-05-18,34.57,34.98,33.48,33.59,58080,0
2010-05-19,33.56,33.6,32.94,33.09,71858,0
2010-05-20,32.9,32.9,31.26,31.35,74792,0
2010-05-21,31.11,31.11,30.2,30.61,114679,0
2010-05-24,30.5,31.1,30.21,30.96,69777,0
2010-05-25,30.35,30.96,29.98,30.9,73698,0
2010-05-26,30.98,32.03,30.64,31.22,87767,0
2010-05-27,31.81,32.58,31.25,32.49,56167,0
2010-05-28,32.36,32.47,31.7,31.89,45008,0
2010-06-01,31.6,32.21,30.93,31.01,102666,0
2010-06-02,31.47,31.84,30.93,31.63,72975,0
2010-06-03,31.44,32.31,31.44,32.22,80967,0
2010-06-04,31.44,32.18,30.4,30.47,80942,0
2010-06-07,30.64,31.33,29.17,29.21,42758,0
2010-06-08,29.22,29.4,28.45,28.93,72792,0
2010-06-09,29.22,29.38,28.25,28.67,77003,0
2010-06-10,28.96,29.25,28.74,29.22,69337,0
2010-06-11,28.88,29.78,28.88,29.77,85273,0
2010-06-14,29.9,30.77,29.9,30.71,72435,0
2010-06-15,30.66,31.67,30.38,31.51,140184,0
2010-06-16,31.23,32.24,31.23,31.84,215903,0
2010-06-17,32.03,32.36,31.65,31.94,50132,0
2010-06-18,32.11,32.55,30.96,32.53,252546,0
2010-06-21,32.59,33.5,32.16,32.35,141708,0
2010-06-22,32.53,33.04,32.11,32.51,71406,0
