Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.85,10.091,9.653,9.952,78541,0
2010-01-05,9.98,10.165,9.923,9.998,25148,0
2010-01-06,10.12,10.289,10.055,10.078,30674,0
2010-01-07,10.149,10.435,10.027,10.319,43968,0
2010-01-08,10.223,10.677,10.223,10.479,74711,0
2010-01-11,10.427,10.427,10.267,10.311,14428,0
2010-01-12,10.208,10.208,9.828,10.091,16716,0
2010-01-13,9.952,9.96,9.615,9.748,28734,0
2010-01-14,9.615,9.661,9.4848,9.535,117768,0
2010-01-15,9.653,9.653,9.2004,9.4993,111151,0
2010-01-19,9.4993,9.4993,9.2865,9.2865,110928,0
2010-01-20,9.1775,9.3745,9.1775,9.3745,49351,0
2010-01-21,9.2652,9.391,9.0017,9.244,57148,0
2010-01-22,9.1691,9.1691,8.8782,8.9354,81333,0
2010-01-25,9.126,9.126,8.7756,8.8404,66380,0
2010-01-26,8.8628,8.8628,8.6441,8.7019,102379,0
2010-01-27,8.5929,8.7531,8.366,8.4173,133250,0
2010-01-28,8.5417,9.0092,8.5336,8.7019,352339,0
2010-01-29,9.244,9.244,8.7684,8.8268,205569,0
2010-02-01,8.9728,9.214,8.9213,9.0316,24653,0
2010-02-02,9.112,9.2943,8.9588,9.1927,138548,0
2010-02-03,9.141,9.2943,8.9644,9.0681,22810,0
2010-02-04,8.8989,9.0242,8.7612,8.8332,27464,0
2010-02-05,8.8404,8.8404,8.6218,8.7684,26274,0
2010-02-08,8.709,9.0167,8.6505,8.9644,20947,0
2010-02-09,8.9644,9.1625,8.8702,9.0681,6088,0
2010-02-10,9.0456,9.301,9.0456,9.2275,25721,0
2010-02-11,9.2943,9.581,9.2352,9.581,25696,0
2010-02-12,9.4993,9.565,9.36,9.4626,30526,0
2010-02-16,9.581,9.631,9.506,9.573,63676,0
2010-02-17,9.55,9.644,9.4481,9.514,9894,0
2010-02-18,9.639,9.791,9.4761,9.514,19554,0
2010-02-19,9.2943,9.573,9.2943,9.4336,28457,0
2010-02-22,9.3958,9.689,9.3233,9.689,5930,0
2010-02-23,9.514,9.601,9.3513,9.391,18914,0
2010-02-24,9.506,9.514,9.2507,9.506,110403,0
2010-02-25,9.565,9.835,9.214,9.2865,95814,0
2010-02-26,9.2565,9.3823,9.2352,9.3088,23120,0
2010-03-01,9.4993,9.4993,9.2275,9.2565,36392,0
2010-03-02,9.2207,9.36,9.0316,9.126,57522,0
2010-03-03,9.615,9.661,9.244,9.581,151308,0
2010-03-04,9.581,10.427,9.581,10.289,278101,0
2010-03-05,10.427,10.757,10.194,10.619,71189,0
2010-03-08,10.545,10.786,10.515,10.786,58094,0
2010-03-09,10.786,11.283,10.786,11.241,180468,0
2010-03-10,11.071,11.292,10.911,11.123,94141,0
2010-03-11,11.05,11.078,10.867,10.867,15524,0
2010-03-12,10.887,10.962,10.859,10.918,10811,0
2010-03-15,10.875,11.043,10.662,10.662,17859,0
2010-03-16,10.684,10.946,10.684,10.712,75209,0
2010-03-17,10.742,10.954,10.619,10.728,33504,0
2010-03-18,10.736,10.859,10.639,10.684,37956,0
2010-03-19,10.633,10.859,10.604,10.749,24808,0
2010-03-22,10.859,10.976,10.728,10.94,21878,0
2010-03-23,10.887,11.035,10.742,10.983,53059,0
2010-03-24,11.005,11.115,10.895,11.043,38202,0
2010-03-25,11.043,11.136,10.736,10.736,9434,0
2010-03-26,10.736,10.932,10.691,10.772,89390,0
2010-03-29,10.786,10.97,10.684,10.836,64182,0
2010-03-30,10.844,10.954,10.831,10.954,59347,0
2010-03-31,10.836,11.02,10.801,10.992,24097,0
2010-04-01,11.027,11.152,10.875,10.904,9954,0
2010-04-05,11.078,11.152,10.992,11.064,41931,0
2010-04-06,10.992,11.115,10.976,11.064,50038,0
2010-04-07,11.071,11.078,10.88,11.005,63802,0
2010-04-08,11.005,11.071,10.911,10.962,113906,0
2010-04-09,10.992,11.174,10.918,11.174,75210,0
2010-04-12,11.094,11.211,11.057,11.152,71562,0
2010-04-13,11.064,11.136,10.895,11.012,62507,0
2010-04-14,10.992,11.012,10.925,11.005,25979,0
2010-04-15,10.983,11.568,10.983,11.568,50427,0
2010-04-16,11.583,11.759,11.408,11.517,41501,0
2010-04-19,11.408,11.663,11.342,11.342,23112,0
2010-04-20,11.408,11.701,11.386,11.444,60637,0
2010-04-21,11.517,11.524,11.218,11.247,60567,0
2010-04-22,11.195,11.538,11.094,11.524,30782,0
2010-04-23,11.532,11.576,11.37,11.385,14487,0
2010-04-26,11.386,11.568,11.305,11.357,40322,0
2010-04-27,11.299,11.474,10.815,10.946,43471,0
2010-04-28,10.97,10.992,10.588,10.895,61757,0
2010-04-29,10.954,11.299,10.954,10.976,113022,0
2010-04-30,11.012,11.328,10.904,11.078,152658,0
2010-05-03,11.108,11.108,10.859,10.88,24468,0
2010-05-04,10.887,10.887,10.355,10.596,50079,0
2010-05-05,10.084,10.487,10.084,10.449,38346,0
2010-05-06,10.515,10.515,9.748,9.96,28897,0
2010-05-07,10.019,10.303,9.791,9.98,28039,0
2010-05-10,10.407,10.707,10.399,10.479,63850,0
2010-05-11,10.545,10.824,10.531,10.604,48154,0
2010-05-12,10.537,10.639,10.507,10.604,35717,0
2010-05-13,10.604,10.604,10.531,10.574,68741,0
2010-05-14,10.348,10.427,10.2,10.419,15216,0
2010-05-17,10.419,10.419,9.916,10.069,15444,0
2010-05-18,10.179,10.311,9.872,9.872,28487,0
2010-05-19,9.872,9.872,9.36,9.615,41875,0
2010-05-20,9.624,9.624,8.673,8.9588,74120,0
2010-05-21,9.0242,9.4558,9.0242,9.42,51181,0
2010-05-24,9.3958,9.3958,9.2275,9.3165,33445,0
2010-05-25,9.214,9.2275,8.9803,9.2275,20735,0
2010-05-26,9.2004,9.506,9.2004,9.36,17862,0
2010-05-27,9.514,9.98,9.332,9.98,43039,0
2010-05-28,9.858,9.945,9.673,9.863,21708,0
2010-06-01,9.799,10.061,9.522,9.653,51620,0
2010-06-02,9.661,9.791,9.587,9.72,34185,0
2010-06-03,9.72,9.72,9.593,9.644,33225,0
2010-06-04,9.529,9.661,9.2652,9.3378,52790,0
2010-06-07,9.4916,9.506,9.3455,9.4413,11020,0
2010-06-08,9.3233,9.565,9.3233,9.565,12169,0
2010-06-09,9.55,9.55,9.391,9.4558,11091,0
