Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.46,9.65,9.45,9.51,79901,0
2010-01-05,9.55,9.63,9.45,9.53,34065,0
2010-01-06,9.47,9.64,9.46,9.48,26983,0
2010-01-07,9.48,9.57,9.47,9.47,21003,0
2010-01-08,9.53,9.53,9.38,9.41,46282,0
2010-01-11,9.37,9.65,9.37,9.63,49696,0
2010-01-12,8.99,9.35,8.99,9.24,173441,0
2010-01-13,9.14,9.26,9.13,9.17,121910,0
2010-01-14,9.17,9.2,8.96,9.03,112345,0
2010-01-15,9.08,9.17,8.95,9.09,37606,0
2010-01-19,9.15,9.33,9.15,9.22,196417,0
2010-01-20,9.22,9.28,9.07,9.28,91621,0
2010-01-21,9.22,9.44,9.01,9.15,53944,0
2010-01-22,9.18,9.18,9.04,9.12,36622,0
2010-01-25,9.13,9.29,8.98,9.24,77229,0
2010-01-26,9.24,9.35,9.11,9.25,23091,0
2010-01-27,9.16,9.26,9.16,9.24,30791,0
2010-01-28,9.2,9.25,9.1,9.1,47820,0
2010-01-29,9.09,9.17,9.01,9.06,25594,0
2010-02-01,9.15,9.21,9.1,9.13,31411,0
2010-02-02,9.1,9.3,9.1,9.28,42323,0
2010-02-03,9.29,9.51,9.29,9.31,29407,0
2010-02-04,9.31,9.31,9.18,9.2,18706,0
2010-02-05,9.24,9.32,9.06,9.28,52382,0
2010-02-08,9.21,9.26,9.11,9.11,13071,0
2010-02-09,9.23,9.29,9.13,9.24,32140,0
2010-02-10,9.2,9.22,9.03,9.09,15510,0
2010-02-11,9.05,9.09,8.59,8.95,123353,0
2010-02-12,8.9,8.9,8.57,8.82,26090,0
2010-02-16,8.76,8.88,8.7,8.76,17935,0
2010-02-17,8.8,8.95,8.75,8.94,22280,0
2010-02-18,8.92,8.95,8.85,8.93,19405,0
2010-02-19,8.87,8.94,8.8,8.86,22488,0
2010-02-22,8.74,8.96,8.74,8.85,40349,0
2010-02-23,8.88,9,8.83,8.97,37589,0
2010-02-24,9,9.2,9,9.19,47860,0
