Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,28,28.2,27.58,27.86,1429054,0
2010-01-05,27.85,28.28,27.5,27.72,1039348,0
2010-01-06,28.69,29,28,28.45,1128521,0
2010-01-07,29.07,29.07,28.32,28.89,907525,0
2010-01-08,30.17,32.43,30,31.64,3086326,0
2010-01-11,32.58,32.58,31.75,32,1205548,0
2010-01-12,31.7,31.78,30.06,30.73,1037771,0
2010-01-13,31.21,31.75,30.26,31.73,592171,0
2010-01-14,31.78,31.89,30.55,31.2,668615,0
2010-01-15,31.33,31.33,30.2,30.69,528866,0
2010-01-19,30.03,30.7,29.58,29.9,927280,0
2010-01-20,29.58,30.38,29.57,29.98,394389,0
2010-01-21,29.87,30.4,29,29.18,429606,0
2010-01-22,28.92,29.18,27.7,27.77,687757,0
2010-01-25,28.09,28.3,27.51,27.89,489465,0
2010-01-26,27.67,28.95,27.19,28.93,552791,0
2010-01-27,28.59,28.7,27.13,28.23,654508,0
2010-01-28,28.38,28.38,26.89,27.11,408632,0
2010-01-29,27.09,27.42,26.47,26.47,377648,0
2010-02-01,26.51,26.95,26.06,26.37,390716,0
2010-02-02,26.28,26.81,26.07,26.73,248874,0
2010-02-03,26.49,26.6,25.95,26.21,367501,0
2010-02-04,26,26.1,25.21,25.56,332416,0
2010-02-05,25.68,25.92,25.52,25.79,422021,0
2010-02-08,25.75,26.78,25.69,26.33,402974,0
2010-02-09,26.99,27.9,26.96,27.3,926594,0
2010-02-10,27.5,28.2,27.01,28.09,499118,0
2010-02-11,28.15,28.79,27.87,28.69,264639,0
2010-02-12,28.45,28.45,27.44,27.51,410675,0
2010-02-16,27.62,28.23,27.51,28.16,207201,0
2010-02-17,28.12,28.56,27.76,27.79,289065,0
2010-02-18,27.87,28.7,27.87,28.64,250623,0
2010-02-19,28.5,28.95,28.09,28.82,210918,0
2010-02-22,28.87,29.7,28.87,29.27,277546,0
2010-02-23,29.35,29.48,28.58,28.92,266264,0
2010-02-24,28.9,29.28,28.61,29,207631,0
2010-02-25,28.62,29.32,28.15,29.31,303953,0
2010-02-26,30.8,31.13,30.34,30.84,890757,0
2010-03-01,31,31.61,30.64,30.88,371018,0
2010-03-02,31,31.07,30.11,30.38,436640,0
2010-03-03,30.34,30.78,29.95,30.29,320061,0
2010-03-04,30.22,30.5,29.96,30.28,143257,0
2010-03-05,30.29,30.98,30.29,30.56,279234,0
2010-03-08,30.67,31.31,30.6,31.08,213700,0
2010-03-09,31.1,31.75,30.81,31.46,222601,0
2010-03-10,31.25,31.69,31,31.54,136101,0
2010-03-11,31.5,31.64,31.13,31.32,101710,0
2010-03-12,31.2,31.2,30.31,30.57,189069,0
2010-03-15,30.64,30.8,30.14,30.23,126801,0
2010-03-16,30.41,30.57,30.3,30.54,63856,0
2010-03-17,30.7,30.91,30.42,30.53,199607,0
2010-03-18,30.4,31.2,30.4,30.98,175808,0
2010-03-19,30.87,30.99,29.6,29.95,362896,0
2010-03-22,29.67,30.45,29.3,30.16,165437,0
2010-03-23,30.12,31.02,30.11,30.71,153752,0
2010-03-24,30.45,30.66,30,30.06,140662,0
2010-03-25,30.1,30.61,29.91,29.96,96403,0
2010-03-26,29.95,30.13,29.05,29.16,253945,0
2010-03-29,29.03,29.23,27.91,28.19,427035,0
2010-03-30,28.14,28.8,28,28.46,181514,0
2010-03-31,28.49,28.69,28.03,28.08,100864,0
2010-04-01,28.09,28.66,28.09,28.32,97746,0
2010-04-05,28.11,28.73,28,28.71,112136,0
2010-04-06,28.77,28.91,28.29,28.53,92912,0
2010-04-07,28.37,28.72,28.01,28.38,131196,0
2010-04-08,28.24,28.5,27.89,28.28,106734,0
2010-04-09,28.19,28.59,27.94,28.34,105520,0
2010-04-12,28.35,28.57,28.06,28.45,102214,0
2010-04-13,28.5,28.82,28.36,28.55,89955,0
2010-04-14,28.78,29.84,28.76,29.38,196811,0
2010-04-15,29.22,29.43,28.79,28.81,131368,0
2010-04-16,28.85,28.99,28.26,28.94,163735,0
2010-04-19,28.77,28.9,28.21,28.62,93708,0
2010-04-20,28.78,29.18,28.69,29.14,113303,0
2010-04-21,29.27,29.47,28.9,28.96,87013,0
2010-04-22,28.84,29.6,28.43,29.43,351510,0
2010-04-23,29.43,29.99,28.79,29.97,184749,0
2010-04-26,28.7,28.9,26.35,26.35,1281895,0
2010-04-27,26.35,26.93,25.93,26.4,656942,0
2010-04-28,26.4,26.49,25.64,26.45,420758,0
2010-04-29,26.65,27.45,26.62,27.2,289019,0
2010-04-30,27.2,27.2,26.03,26.04,211650,0
2010-05-03,26.02,26.61,25.78,26.41,210260,0
2010-05-04,26.21,26.43,25,25.26,259912,0
2010-05-05,24.8,25.02,24.35,24.66,255374,0
2010-05-06,24.52,25,23.57,24.52,287839,0
2010-05-07,24.39,24.96,23.83,23.92,222539,0
2010-05-10,24.09,24.87,24.09,24.54,116787,0
2010-05-11,24.31,25.81,24.31,25.63,241297,0
2010-05-12,25.6,26.02,25.53,25.77,148464,0
2010-05-13,25.8,26,25.51,25.51,131788,0
2010-05-14,25.32,25.48,24.63,25.06,147752,0
2010-05-17,25.08,25.69,24.1,25.02,121137,0
2010-05-18,25.27,25.27,24.2,24.37,95341,0
