Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.72,13.86,13.49,13.71,98132,0
2010-01-05,13.65,14.08,13.37,13.81,151320,0
2010-01-06,13.75,13.75,13.17,13.2,113579,0
2010-01-07,13.23,13.51,12.79,13.24,179828,0
2010-01-08,13.24,13.39,12.89,13.1,103323,0
2010-01-11,13.15,13.45,12.96,13.27,125283,0
2010-01-12,13.18,13.29,12.71,12.82,122943,0
2010-01-13,12.79,13.06,12.66,12.94,111326,0
2010-01-14,12.89,13.27,12.6,12.7,136909,0
2010-01-15,12.76,12.88,12.21,12.68,260697,0
2010-01-19,12.65,12.76,11.95,12.64,212749,0
2010-01-20,12.43,12.7,12.26,12.53,83843,0
2010-01-21,12.59,12.7,12.25,12.35,129496,0
2010-01-22,12.3,12.79,12.04,12.18,92115,0
2010-01-25,12.34,12.34,11.88,11.95,119750,0
2010-01-26,11.88,12.21,11.6,11.63,249157,0
2010-01-27,11.53,11.92,11.53,11.87,44866,0
2010-01-28,11.93,12.25,11.62,11.92,136607,0
2010-01-29,11.93,12.32,11.55,11.86,117368,0
2010-02-01,11.89,12.08,11.5,12.07,132375,0
2010-02-02,12.08,12.08,11.35,11.42,212535,0
2010-02-03,11.5,11.77,11.35,11.4,151198,0
2010-02-04,11.35,11.42,10.88,11.1,242263,0
2010-02-05,11.1,11.71,11.1,11.42,276265,0
2010-02-08,11.37,11.51,11.16,11.18,72090,0
2010-02-09,11.38,11.47,11.25,11.45,83645,0
2010-02-10,11.43,11.7,11.26,11.62,69285,0
2010-02-11,11.64,11.96,11.53,11.89,74116,0
2010-02-12,11.72,11.91,11.41,11.8,156979,0
2010-02-16,11.86,12.17,11.62,11.86,106702,0
2010-02-17,11.94,11.99,11.65,11.87,64272,0
2010-02-18,11.87,12.25,11.76,12.23,128422,0
2010-02-19,12.23,12.32,12.08,12.11,93508,0
2010-02-22,12.12,12.34,11.9,11.92,82314,0
2010-02-23,11.96,12.25,11.65,12.02,109165,0
2010-02-24,12.02,12.54,11.81,12.48,123755,0
2010-02-25,12.25,12.48,12.03,12.46,90427,0
2010-02-26,12.44,12.59,12.01,12.31,114337,0
2010-03-01,12.39,12.91,12.33,12.9,135189,0
2010-03-02,12.92,13.5,12.82,13.36,247393,0
2010-03-03,13.4,13.47,13.02,13.28,72778,0
2010-03-04,13.41,13.45,12.94,13.08,63437,0
2010-03-05,13.17,13.5,13.16,13.43,50374,0
2010-03-08,13.39,14.3,13.23,14.19,241006,0
2010-03-09,14.17,14.83,14.16,14.59,246956,0
2010-03-10,14.59,14.59,14.13,14.34,151077,0
2010-03-11,14.27,14.66,14.11,14.53,70740,0
2010-03-12,14.65,14.9,14.45,14.53,130270,0
2010-03-15,14.45,14.55,14.01,14.44,115651,0
2010-03-16,14.55,15.22,14.17,14.97,150101,0
2010-03-17,14.96,15.13,14.63,14.64,145051,0
2010-03-18,14.48,14.55,14.01,14.16,134637,0
2010-03-19,14.25,14.25,13.84,14.01,134236,0
2010-03-22,13.83,14.3,13.56,14.15,76381,0
2010-03-23,14.17,14.38,13.94,14.31,80598,0
2010-03-24,14.23,14.38,13.95,14.02,82757,0
2010-03-25,14.09,14.7,13.73,13.77,249880,0
2010-03-26,13.9,14.21,13.58,13.76,107905,0
2010-03-29,13.84,14.08,13.57,13.74,86119,0
2010-03-30,13.91,14.08,13.64,13.7,156875,0
2010-03-31,13.68,17.84,13.22,16.23,3642470,0
2010-04-01,16.57,17.2,15.62,16.9,842402,0
2010-04-05,17.1,18.88,17.1,18.68,1001257,0
2010-04-06,18.5,20.46,18.12,19.87,910178,0
2010-04-07,19.88,20.43,19.02,19.71,497304,0
2010-04-08,19.4,19.96,19.07,19.78,383896,0
2010-04-09,19.82,20.3,19.35,20.11,293435,0
2010-04-12,20.15,21.26,20,21.11,528811,0
