Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.675,26.073,25.356,25.497,1717217,0
2010-01-05,25.471,25.561,25.303,25.411,1545790,0
2010-01-06,25.322,25.507,25.225,25.394,935756,0
2010-01-07,25.285,26.022,25.225,25.939,1719747,0
2010-01-08,25.967,26.595,25.8,26.462,2198160,0
2010-01-11,26.676,27.384,26.581,27.215,2683135,0
2010-01-12,27.1,27.179,26.554,26.667,1736546,0
2010-01-13,26.908,27.085,26.676,27.057,1203304,0
2010-01-14,27.049,27.279,26.924,27.067,937966,0
2010-01-15,27.17,27.17,26.304,26.562,1539036,0
2010-01-19,26.612,27.049,26.562,26.908,1107920,0
2010-01-20,26.853,26.853,26.198,26.572,1820476,0
2010-01-21,26.667,26.889,26.073,26.19,2044285,0
2010-01-22,26.276,26.276,25.578,25.588,1229146,0
2010-01-25,25.656,25.87,25.533,25.8,806659,0
2010-01-26,25.606,25.967,25.606,25.72,1358907,0
2010-01-27,25.507,25.781,25.375,25.675,1672185,0
2010-01-28,25.675,25.772,25.126,25.294,1185444,0
2010-01-29,25.471,25.852,25.259,25.275,2133975,0
2010-02-01,25.403,25.525,25.126,25.48,1465841,0
2010-02-02,25.429,26.022,25.218,25.986,1533868,0
2010-02-03,25.87,25.948,25.73,25.852,1170885,0
2010-02-04,25.675,25.888,25.33,25.338,1883679,0
2010-02-05,25.429,25.453,24.833,25.294,1466004,0
2010-02-08,25.144,25.639,25.073,25.33,1165181,0
2010-02-09,25.754,26.022,25.411,25.809,1348743,0
2010-02-10,25.772,25.977,25.525,25.543,1782768,0
2010-02-11,25.48,25.684,25.189,25.632,1613075,0
2010-02-12,25.348,25.533,25.259,25.453,2110813,0
2010-02-16,25.632,26.258,25.42,26.208,2254059,0
2010-02-17,26.232,26.471,26.172,26.217,1744171,0
2010-02-18,26.258,26.294,25.826,26.145,2009199,0
2010-02-19,26.081,26.554,25.977,26.368,1884976,0
2010-02-22,26.376,26.658,26.249,26.572,1983347,0
2010-02-23,26.595,26.704,26.232,26.242,1607872,0
2010-02-24,26.425,26.789,26.425,26.629,1288996,0
2010-02-25,26.376,26.595,26.267,26.572,1328400,0
2010-02-26,26.462,26.658,26.225,26.267,1566903,0
2010-03-01,26.285,26.77,26.19,26.658,981425,0
2010-03-02,26.939,27.561,26.908,27.455,2140636,0
2010-03-03,27.542,27.667,27.198,27.253,1216525,0
2010-03-04,27.253,27.403,26.908,27.057,1182646,0
2010-03-05,27.179,27.27,27.004,27.234,1499062,0
2010-03-08,27.049,27.225,27.029,27.134,1020373,0
2010-03-09,26.93,27.049,26.603,26.648,1558421,0
2010-03-10,26.676,26.825,26.603,26.73,1483385,0
2010-03-11,26.808,27.1,26.612,26.984,1088821,0
2010-03-12,26.984,26.994,26.685,26.889,821325,0
2010-03-15,26.695,27.057,26.242,26.915,966734,0
2010-03-16,26.957,27.125,26.825,27.057,707134,0
2010-03-17,27.076,27.48,26.994,27.419,1045570,0
2010-03-18,27.516,27.516,27.303,27.355,924174,0
2010-03-19,27.303,27.542,27.17,27.312,1697987,0
2010-03-22,27.303,27.659,27.179,27.57,1370692,0
2010-03-23,27.464,27.561,27.253,27.5,1016686,0
2010-03-24,27.436,27.506,27.17,27.253,1025515,0
2010-03-25,27.428,27.579,27.189,27.208,895101,0
2010-03-26,27.279,27.428,27.039,27.143,1056688,0
2010-03-29,27.303,27.57,27.189,27.49,725076,0
2010-03-30,27.374,27.704,27.329,27.65,867271,0
2010-03-31,27.57,27.631,27.346,27.48,1155865,0
2010-04-01,27.428,27.446,27.067,27.215,1674234,0
2010-04-05,27.411,27.48,27.109,27.419,843300,0
2010-04-06,27.346,27.542,27.243,27.49,1191120,0
2010-04-07,27.403,27.464,27.179,27.279,773007,0
2010-04-08,27.208,27.428,27.109,27.374,824765,0
2010-04-09,27.365,27.57,27.312,27.551,555575,0
2010-04-12,27.621,27.641,27.411,27.464,684089,0
2010-04-13,27.411,27.694,27.198,27.641,893743,0
2010-04-14,27.694,28.173,27.5,28.163,1245352,0
2010-04-15,28.011,28.233,27.87,28.154,981313,0
2010-04-16,28.173,28.419,28.101,28.339,2394494,0
2010-04-19,28.268,28.322,28.029,28.145,1125441,0
2010-04-20,28.359,28.526,28.224,28.526,852947,0
2010-04-21,28.471,28.49,28.224,28.286,663370,0
2010-04-22,28.18,28.499,27.931,28.427,1191720,0
2010-04-23,28.363,29.055,28.283,29.01,892915,0
2010-04-26,28.933,29.057,28.604,28.612,0,0
2010-04-27,28.657,28.792,28.188,28.224,1026729,0
2010-04-28,28.427,28.738,28.331,28.544,1073762,0
2010-04-29,28.72,29.038,28.508,28.88,594177,0
2010-04-30,28.871,28.985,28.268,28.286,998652,0
2010-05-03,28.508,28.517,28.154,28.322,1528347,0
2010-05-04,28.065,28.092,27.436,27.588,1427840,0
2010-05-05,27.612,27.641,27.295,27.579,1277070,0
2010-05-06,27.428,27.596,21.358,26.135,3643081,0
2010-05-07,26.126,26.454,25.578,26.108,2875890,0
2010-05-10,27.049,27.295,26.667,27.279,1423023,0
2010-05-11,27.225,27.621,27.013,27.261,955582,0
2010-05-12,27.321,27.79,27.091,27.79,829960,0
2010-05-13,27.676,27.817,27.234,27.295,1160851,0
2010-05-14,27.355,27.355,26.498,26.762,1152372,0
2010-05-17,26.825,27.029,26.349,26.882,885751,0
2010-05-18,27.091,27.261,26.368,26.471,1519074,0
2010-05-19,26.612,26.658,26.276,26.48,1314630,0
2010-05-20,26.047,26.49,25.852,25.977,2236336,0
2010-05-21,25.897,26.394,25.348,26.181,1905825,0
2010-05-24,26.005,26.339,25.754,25.977,1095795,0
2010-05-25,25.923,25.923,25.189,25.87,1408012,0
2010-05-26,25.852,26.313,25.702,25.745,1496950,0
2010-05-27,26.411,26.581,26.089,26.572,1122583,0
2010-05-28,26.462,26.554,26.145,26.321,1247905,0
2010-06-01,26.089,26.417,25.754,25.781,1006323,0
2010-06-02,25.8,26.62,25.622,26.62,1369580,0
2010-06-03,26.585,27.021,26.554,26.957,1310193,0
2010-06-04,26.031,26.595,25.711,25.762,1559469,0
2010-06-07,25.826,26.118,25.639,25.675,903043,0
2010-06-08,25.836,25.914,25.375,25.665,1379433,0
2010-06-09,25.826,26.304,25.754,25.836,1187744,0
2010-06-10,26.411,26.516,26.145,26.425,835513,0
2010-06-11,26.135,26.544,26.135,26.508,550104,0
2010-06-14,26.544,26.93,26.508,26.62,691545,0
2010-06-15,26.754,27.076,26.685,27.049,718295,0
2010-06-16,26.889,27.208,26.863,27.091,838017,0
2010-06-17,27.125,27.179,26.747,26.975,1090878,0
2010-06-18,26.712,27.253,26.704,27.215,1415307,0
2010-06-21,27.374,27.542,27.039,27.109,852705,0
2010-06-22,27.189,27.384,26.74,26.754,759329,0
2010-06-23,26.74,26.747,26.285,26.516,754490,0
2010-06-24,26.394,26.425,25.888,25.967,1072096,0
2010-06-25,25.948,26.376,25.86,26.172,877604,0
2010-06-28,26.181,26.462,25.852,26.33,555747,0
