Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.6799,6.9444,6.6799,6.9172,1985181,0
2010-01-05,6.9994,7.7566,6.9994,7.6289,5466566,0
2010-01-06,7.6747,7.8936,7.5651,7.8754,2957922,0
2010-01-07,7.8481,7.8754,7.6655,7.7386,1611383,0
2010-01-08,7.7749,8.0669,7.7566,7.9576,1945778,0
2010-01-11,8.1217,8.4869,7.9211,8.0669,3274049,0
2010-01-12,7.9939,8.1308,7.7566,7.9211,2013275,0
2010-01-13,7.8936,8.4139,7.8481,8.3681,3007007,0
2010-01-14,8.3042,8.5232,8.2769,8.4227,2548497,0
2010-01-15,8.4227,8.4227,8.1491,8.3408,1742387,0
2010-01-19,8.3863,8.5142,8.2493,8.3408,3681668,0
2010-01-20,8.2222,8.2493,8.0122,8.2313,1264155,0
2010-01-21,8.2859,8.2859,7.8936,8.0762,2166895,0
2010-01-22,7.9757,8.0762,7.6655,7.8388,3070814,0
2010-01-25,7.8573,8.0395,7.7842,7.8936,1029527,0
2010-01-26,7.8388,7.9848,7.5925,7.8481,1566390,0
2010-01-27,7.7476,7.8388,7.4738,7.7566,1810597,0
2010-01-28,7.7658,7.8481,7.3551,7.4555,2262572,0
2010-01-29,7.3551,7.6017,7.0359,7.0906,2688143,0
2010-02-01,7.1179,7.3641,7.0541,7.3641,1092893,0
2010-02-02,7.4738,7.7658,7.337,7.6564,2343562,0
2010-02-03,7.6198,7.693,7.4738,7.5196,1401154,0
2010-02-04,7.3917,7.3917,7.0541,7.1089,1354154,0
2010-02-05,7.0906,7.3187,6.981,7.2457,2620202,0
2010-02-08,7.255,7.5285,7.2001,7.255,1288203,0
2010-02-09,7.3279,7.5103,7.2913,7.3459,1189806,0
2010-02-10,7.3551,7.4828,7.1636,7.3003,1886991,0
2010-02-11,7.3733,7.7294,7.3279,7.6471,2168444,0
2010-02-12,7.3003,7.5742,7.0906,7.4465,3005883,0
2010-02-16,7.5196,7.7019,7.4828,7.5196,1609064,0
2010-02-17,7.5377,7.6017,7.3825,7.5012,1855677,0
2010-02-18,7.556,7.7294,7.4738,7.638,1140751,0
2010-02-19,7.6289,7.6836,7.556,7.5925,983291,0
2010-02-22,7.6198,7.7294,7.3187,7.3551,2092046,0
2010-02-23,7.337,7.337,7.0449,7.1545,1741404,0
2010-02-24,7.1179,7.2365,6.9994,7.1271,1172275,0
2010-02-25,6.972,7.1455,6.8533,7.1364,1473365,0
2010-02-26,7.1636,7.1909,7.0084,7.0449,1112438,0
2010-03-01,7.0724,7.255,7.0541,7.255,1044801,0
2010-03-02,7.3096,7.5742,7.2732,7.5468,2023887,0
2010-03-03,7.6017,7.7566,7.5651,7.6017,1154035,0
2010-03-04,7.638,7.7386,7.5468,7.6017,1515833,0
2010-03-05,7.711,7.8298,7.6747,7.8205,1927191,0
2010-03-08,7.9211,7.9576,7.7386,7.7658,1508379,0
2010-03-09,7.7294,7.8573,7.556,7.6836,1216255,0
2010-03-10,7.6471,7.7476,7.6289,7.7202,1236188,0
2010-03-11,7.6836,7.7294,7.5468,7.638,716878,0
2010-03-12,7.7658,7.7749,7.5651,7.6471,896388,0
2010-03-15,7.6564,7.6564,7.2641,7.3641,1379923,0
2010-03-16,7.4283,7.4555,7.3279,7.41,1587386,0
2010-03-17,7.4009,7.4465,7.3279,7.3917,920341,0
2010-03-18,7.3825,7.4373,7.0541,7.1179,3404173,0
2010-03-19,7.1271,7.1455,6.7986,6.7986,2533852,0
2010-03-22,6.6615,6.8077,6.5977,6.7802,2141910,0
2010-03-23,6.8442,6.8989,6.7257,6.8808,1300982,0
2010-03-24,6.8442,6.8625,6.7347,6.7347,1316106,0
2010-03-25,6.8077,6.8349,6.5522,6.5613,2001428,0
2010-03-26,6.5795,6.7073,6.5339,6.6161,1178134,0
2010-03-29,6.7073,6.9626,6.6343,6.9626,1411769,0
2010-03-30,7.0176,7.0449,6.8349,6.9626,1011084,0
2010-03-31,6.9536,7.1545,6.9444,6.9994,1622911,0
2010-04-01,7.0724,7.2365,6.9994,7.1818,920089,0
2010-04-05,7.2274,7.5285,7.1909,7.4189,2440497,0
2010-04-06,7.4009,7.5377,7.337,7.3733,1393628,0
2010-04-07,7.3825,7.3825,7.1271,7.2457,1071019,0
2010-04-08,7.1455,7.4828,7.0906,7.3003,1395854,0
2010-04-09,7.3459,7.3825,7.1455,7.1909,1127339,0
2010-04-12,7.2183,7.2365,7.0359,7.0814,968370,0
2010-04-13,7.0724,7.1089,6.9354,7.0632,864333,0
2010-04-14,7.1089,7.1455,6.8897,7.0267,2329165,0
2010-04-15,7.0267,7.0541,6.9536,7.0176,1158915,0
2010-04-16,6.9444,6.9626,6.6799,6.7529,2029824,0
2010-04-19,6.6707,6.7712,6.5249,6.6615,4143477,0
2010-04-20,6.8349,7.0449,6.7986,6.9444,1838156,0
2010-04-21,6.908,7.1089,6.8716,6.981,2456464,0
2010-04-22,6.972,7.1909,6.6615,7.0359,3021768,0
2010-04-23,6.9994,7.3825,6.9994,7.3459,3276208,0
2010-04-26,7.3459,7.5285,7.3187,7.4189,2173734,0
2010-04-27,7.3917,7.41,7.1179,7.1636,2953980,0
2010-04-28,7.2093,7.3551,7.0906,7.1179,3123209,0
2010-04-29,7.1818,7.3551,7.1271,7.1909,2488802,0
2010-04-30,7.2183,7.2183,6.9172,6.9536,2155861,0
2010-05-03,6.9536,6.9903,6.7802,6.9626,1208052,0
2010-05-04,6.8258,6.8716,6.6615,6.7257,1834121,0
2010-05-05,6.5887,6.6433,6.3332,6.4974,1664005,0
2010-05-06,6.397,6.5704,5.4753,6.0868,2369147,0
2010-05-07,6.1416,6.3149,5.8768,6.0319,2110511,0
2010-05-10,6.4427,6.4427,6.1597,6.2966,1534723,0
2010-05-11,6.2419,6.4336,6.1597,6.3786,1595753,0
2010-05-12,6.397,6.4974,6.251,6.3604,2490544,0
2010-05-13,6.3241,6.4336,6.2055,6.251,1563772,0
2010-05-14,6.1779,6.1871,5.8403,5.9407,1972982,0
2010-05-17,6.0229,6.0229,5.5577,5.6123,2428944,0
2010-05-18,5.7217,5.8678,5.6305,5.667,2559016,0
2010-05-19,5.5939,5.603,5.2928,5.5301,1538977,0
2010-05-20,5.2655,5.4753,5.1286,5.3384,2214858,0
2010-05-21,5.2106,5.5577,5.1561,5.5483,2472451,0
2010-05-24,5.4844,5.5666,5.2746,5.3293,1021252,0
2010-05-25,5.0831,5.3567,5.0555,5.3293,2286327,0
2010-05-26,5.4207,5.5393,5.2928,5.3293,1417359,0
2010-05-27,5.5847,5.8586,5.4936,5.8223,1566072,0
2010-05-28,5.959,6.3604,5.8313,6.3056,3496024,0
2010-06-01,6.3056,6.388,6.1506,6.1871,2503357,0
2010-06-02,6.2055,6.7073,6.2055,6.689,2665463,0
2010-06-03,6.7162,6.7802,6.5067,6.7438,2066478,0
2010-06-04,6.4791,6.7073,6.3515,6.4153,2620427,0
2010-06-07,6.3424,6.4701,6.2237,6.2602,1435907,0
2010-06-08,6.2693,6.388,6.1416,6.3786,1636238,0
2010-06-09,6.5156,6.6615,6.2055,6.3332,1933919,0
2010-06-10,6.4061,6.6161,6.397,6.5613,1883056,0
2010-06-11,6.4243,6.6615,6.4243,6.6615,943847,0
2010-06-14,6.7073,6.8625,6.6799,6.7347,1464782,0
2010-06-15,6.7347,7.0449,6.7347,7.0449,1995939,0
2010-06-16,6.8989,7.0541,6.8533,6.8897,2606092,0
2010-06-17,6.908,6.972,6.7073,6.8625,1491744,0
2010-06-18,6.8625,7.1089,6.7619,7.0724,2158309,0
2010-06-21,7.1545,7.2274,6.8716,6.8897,1423656,0
2010-06-22,6.9172,6.9172,6.5067,6.5887,1398150,0
2010-06-23,6.698,6.7073,6.3241,6.4701,1480306,0
2010-06-24,6.4153,6.4153,6.2055,6.2874,1026933,0
2010-06-25,6.3332,6.5704,6.2785,6.5339,974511,0
2010-06-28,6.4791,6.5704,6.397,6.4701,978529,0
2010-06-29,6.2693,6.2693,6.0959,6.1506,1482799,0
2010-06-30,6.0319,6.2693,6.0229,6.0594,1106192,0
2010-07-01,5.9772,6.1049,5.7582,6.0136,1093622,0
2010-07-02,6.0047,6.1779,5.9133,5.9681,806429,0
2010-07-06,6.041,6.0959,5.8313,5.959,1258954,0
2010-07-07,5.9864,6.2237,5.9681,6.1963,716202,0
2010-07-08,6.2785,6.4701,6.251,6.4336,1218274,0
2010-07-09,6.3696,6.689,6.3604,6.5704,998256,0
2010-07-12,6.5249,6.5887,6.3515,6.4153,652329,0
2010-07-13,6.4791,6.5795,6.4243,6.5156,1103368,0
2010-07-14,6.4336,6.5522,6.4061,6.4427,732872,0
2010-07-15,6.4243,6.6615,6.3149,6.6251,1364578,0
2010-07-16,6.5339,6.5977,6.4336,6.4609,854450,0
2010-07-19,6.4427,6.5613,6.397,6.5339,932179,0
2010-07-20,6.4609,6.8897,6.4518,6.8625,1126859,0
2010-07-21,6.7529,7.0084,6.689,6.7802,1991141,0
2010-07-22,6.7073,6.7986,6.4427,6.6251,2725433,0
2010-07-23,6.5795,6.7347,6.5613,6.6433,1016818,0
2010-07-26,6.6251,6.7347,6.607,6.698,787985,0
2010-07-27,6.7529,6.7895,6.5795,6.6799,719567,0
2010-07-28,6.6615,6.689,6.4974,6.5067,1052129,0
2010-07-29,6.5067,6.8258,6.4427,6.7895,1463210,0
2010-07-30,6.689,6.9536,6.689,6.8897,1002384,0
2010-08-02,7.0176,7.1727,6.9536,6.9903,1077611,0
2010-08-03,6.8258,6.972,6.7619,6.8716,682982,0
2010-08-04,6.8625,6.8808,6.6707,6.7802,774536,0
2010-08-05,6.7895,6.7986,6.6161,6.6799,760376,0
2010-08-06,6.5704,6.698,6.5067,6.5704,512680,0
2010-08-09,6.5704,6.7712,6.5522,6.7438,610639,0
2010-08-10,6.6433,6.698,6.5249,6.6251,707043,0
2010-08-11,6.4791,6.5156,6.2785,6.2874,766732,0
2010-08-12,6.2145,6.3786,6.2055,6.2693,487689,0
2010-08-13,6.3149,6.3241,6.0959,6.1416,495201,0
2010-08-16,6.0959,6.2966,6.0776,6.2419,629310,0
2010-08-17,6.388,6.4061,6.1416,6.2237,1093281,0
2010-08-18,6.2145,6.251,6.1233,6.1779,367939,0
2010-08-19,6.1779,6.2419,6.041,6.114,424744,0
2010-08-20,6.0229,6.0319,5.8586,5.9681,418864,0
2010-08-23,5.959,6.0229,5.8403,5.886,484561,0
2010-08-24,5.7763,5.804,5.6762,5.7582,635683,0
2010-08-25,5.6762,5.7217,5.5393,5.6395,1283570,0
2010-08-26,5.7034,5.9315,5.7034,5.7582,961947,0
