Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.105,25.487,24.915,25.479,6772074,0
2010-01-05,25.493,25.569,25.325,25.455,8670663,0
2010-01-06,25.479,25.561,25.126,25.317,3923883,0
2010-01-07,25.22,25.297,24.909,24.979,2539689,0
2010-01-08,24.84,25.007,24.713,24.909,2328383,0
2010-01-11,24.888,25.035,24.706,25.03,4484769,0
2010-01-12,24.608,25.113,24.509,24.872,5296095,0
2010-01-13,24.945,25.198,24.697,25.035,3628754,0
2010-01-14,24.923,24.988,24.734,24.863,3418791,0
2010-01-15,24.75,24.915,24.372,24.713,4183973,0
2010-01-19,24.666,24.954,24.562,24.939,2884505,0
2010-01-20,24.781,24.781,24.121,24.418,4909584,0
2010-01-21,24.47,24.697,23.878,24.052,4229813,0
2010-01-22,24.001,24.1,23.623,23.667,4354291,0
2010-01-25,23.698,23.953,23.583,23.82,2738821,0
2010-01-26,23.796,23.87,23.501,23.706,3144836,0
2010-01-27,23.615,23.643,23.021,23.379,3496995,0
2010-01-28,23.419,23.43,22.971,23.16,3952689,0
2010-01-29,23.273,23.47,23.112,23.175,4142233,0
2010-02-01,23.28,23.348,23.077,23.204,2893255,0
2010-02-02,23.219,23.447,23.029,23.402,3371090,0
2010-02-03,23.257,23.386,23.062,23.144,2526606,0
2010-02-04,22.947,23.029,22.425,22.453,3085402,0
2010-02-05,22.433,22.531,21.977,22.363,4015162,0
2010-02-08,22.341,22.749,22.25,22.335,2846837,0
2010-02-09,22.531,22.902,22.425,22.642,4134658,0
2010-02-10,22.615,22.766,22.264,22.675,4624087,0
2010-02-11,22.651,23.19,22.41,23.127,6945061,0
2010-02-12,22.938,22.994,22.651,22.857,5497541,0
2010-02-16,23.045,23.364,23.037,23.303,3982971,0
2010-02-17,23.424,23.575,23.144,23.288,2916037,0
2010-02-18,23.226,23.536,23.127,23.37,4538518,0
2010-02-19,23.257,23.635,23.092,23.623,3726171,0
2010-02-22,23.765,23.765,23.105,23.16,3043591,0
2010-02-23,23.077,23.16,22.698,22.848,4383719,0
2010-02-24,22.93,22.963,22.544,22.857,4978169,0
2010-02-25,22.576,22.713,22.25,22.667,5566916,0
2010-02-26,22.627,22.733,22.384,22.516,3431393,0
2010-03-01,22.599,23.19,22.599,23.062,3886707,0
2010-03-02,23.175,23.288,23.045,23.204,3169749,0
2010-03-03,23.226,23.288,23.105,23.16,3109838,0
2010-03-04,23.16,23.43,23.014,23.41,9699700,0
2010-03-05,23.856,23.856,23.454,23.635,6651763,0
2010-03-08,23.273,23.402,22.979,23.266,3188044,0
2010-03-09,23.251,23.296,23.105,23.144,3943008,0
2010-03-10,23.183,23.257,22.947,23.144,4307329,0
2010-03-11,23.054,23.266,23.037,23.234,3342280,0
2010-03-12,23.318,23.419,23.12,23.16,2529600,0
2010-03-15,23.12,23.37,23.12,23.37,2847674,0
2010-03-16,23.424,23.623,23.288,23.583,3115307,0
2010-03-17,23.623,23.728,23.318,23.454,4687924,0
2010-03-18,23.439,23.635,23.266,23.476,2995511,0
2010-03-19,23.714,23.74,23.219,23.424,4711002,0
2010-03-22,23.333,23.424,23.105,23.175,2653520,0
2010-03-23,23.175,23.447,22.999,23.127,3656564,0
2010-03-24,23.069,23.204,22.782,22.797,4467399,0
2010-03-25,22.797,22.889,22.107,22.236,7867880,0
2010-03-26,22.303,22.311,21.999,22.053,4194455,0
2010-03-29,22.205,22.355,22.082,22.341,3550374,0
2010-03-30,22.425,22.446,22.244,22.311,3226575,0
2010-03-31,22.355,22.453,22.053,22.363,5219329,0
2010-04-01,22.47,22.839,22.47,22.817,4105959,0
2010-04-05,22.915,23.386,22.902,23.348,4379175,0
2010-04-06,23.251,23.6,23.153,23.56,5247980,0
2010-04-07,23.461,23.461,23.029,23.243,7181660,0
2010-04-08,23.198,23.198,22.902,23.092,3342137,0
2010-04-09,23.12,23.266,22.895,23.251,3546184,0
2010-04-12,23.476,23.53,23.341,23.509,2703230,0
2010-04-13,23.53,23.583,23.226,23.37,3328826,0
2010-04-14,23.356,23.658,23.19,23.65,4133754,0
2010-04-15,23.575,23.623,23.257,23.257,4115890,0
2010-04-16,23.219,23.333,22.848,22.915,3839372,0
2010-04-19,22.817,23.021,22.782,22.922,2125445,0
