Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,50.264,50.534,49.809,50.304,8017573,0
2010-01-05,50.106,51.012,50.027,50.911,10815434,0
2010-01-06,50.921,51.317,50.295,50.404,12170840,0
2010-01-07,50.396,50.417,49.722,50.081,13139077,0
2010-01-08,49.911,49.957,49.508,49.918,10560342,0
2010-01-11,49.844,49.95,49.368,49.862,7865523,0
2010-01-12,49.713,50.666,49.695,50.557,11055988,0
2010-01-13,50.443,51.208,50.443,50.967,8984428,0
2010-01-14,50.944,51.685,50.732,51.587,8779265,0
2010-01-15,51.431,51.676,50.781,51.169,10178782,0
2010-01-19,51.116,51.265,50.906,51.2,6835547,0
2010-01-20,51.003,51.053,50.469,50.89,6824658,0
2010-01-21,50.936,51.06,49.895,50.058,8667927,0
2010-01-22,50.017,50.304,49.54,49.607,8800432,0
2010-01-25,49.862,49.862,49.351,49.475,5969823,0
2010-01-26,49.368,49.722,49.138,49.491,6088997,0
2010-01-27,49.326,49.607,48.956,49.523,7481153,0
2010-01-28,49.532,49.695,48.875,49.071,11304480,0
2010-01-29,49.155,49.581,48.562,48.972,9893887,0
2010-02-01,49.227,49.903,48.893,49.862,8866953,0
2010-02-02,49.844,50.337,49.564,50.229,7665531,0
2010-02-03,50.043,50.435,49.747,50.345,5920119,0
2010-02-04,49.966,50.051,48.972,48.99,8424667,0
2010-02-05,48.99,49.112,48.424,48.884,8945064,0
2010-02-08,48.956,49.006,48.258,48.431,8573443,0
2010-02-09,48.702,49.679,48.702,49.326,9665386,0
2010-02-10,49.253,49.835,48.884,49.598,13290390,0
2010-02-11,50.001,50.68,49.695,50.264,17340129,0
2010-02-12,50.157,50.287,49.686,50.043,10429077,0
2010-02-16,50.132,50.478,49.695,50.361,8437398,0
2010-02-17,50.502,51.092,50.312,51.02,8160710,0
2010-02-18,50.906,51.518,50.906,51.364,8444380,0
2010-02-19,51.192,51.685,50.911,51.472,7811287,0
2010-02-22,51.495,51.642,51.012,51.265,5733288,0
2010-02-23,51.108,51.324,50.68,50.75,6280964,0
2010-02-24,50.911,51.06,50.584,50.994,8385470,0
2010-02-25,50.528,51.208,50.124,51.177,9829259,0
2010-02-26,51.339,51.413,50.854,51.317,17998772,0
2010-03-01,51.413,52.227,51.317,52.105,10976508,0
2010-03-02,52.105,52.572,52.096,52.407,11598274,0
2010-03-03,52.423,52.794,52.407,52.554,10324822,0
2010-03-04,52.925,52.983,52.538,52.662,9532804,0
2010-03-05,52.817,52.966,52.497,52.875,10285216,0
2010-03-08,52.794,52.949,52.407,52.696,6029537,0
2010-03-09,52.474,53.105,52.407,52.866,9319559,0
2010-03-10,52.817,53.057,52.58,52.925,7852158,0
2010-03-11,52.735,53.393,52.49,53.369,9173586,0
2010-03-12,53.328,53.598,53.13,53.475,8395559,0
2010-03-15,53.96,54.428,53.721,54.336,12743540,0
2010-03-16,54.42,54.459,54.075,54.273,9099379,0
2010-03-17,54.336,54.69,54.232,54.682,8427067,0
2010-03-18,54.682,54.814,54.345,54.644,8475545,0
2010-03-19,54.69,55.021,54.428,54.674,13327253,0
2010-03-22,54.565,54.674,54.336,54.467,8233169,0
2010-03-23,54.565,55.037,54.412,54.921,7807592,0
2010-03-24,54.723,55.037,54.42,54.428,9326825,0
