Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,14.649,14.954,14.383,14.869,84029,0
2010-01-05,14.859,15.803,14.497,15.612,95615,0
2010-01-06,15.612,15.917,15.421,15.688,105532,0
2010-01-07,15.622,16.289,15.622,16.127,78108,0
2010-01-08,16.003,16.127,15.841,15.946,36571,0
2010-01-11,16.003,16.003,15.726,15.879,47445,0
2010-01-12,15.746,15.965,15.25,15.336,62600,0
2010-01-13,15.402,15.707,15.269,15.66,27927,0
2010-01-14,15.545,15.784,15.136,15.526,53955,0
2010-01-15,15.564,15.631,14.688,15.24,93344,0
2010-01-19,15.24,15.421,14.726,14.783,80273,0
2010-01-20,14.688,14.983,14.316,14.44,45168,0
2010-01-21,14.497,14.554,13.534,13.563,101218,0
2010-01-22,14.306,14.478,13.963,14.03,122644,0
2010-01-25,14.163,14.23,13.611,14.201,73498,0
2010-01-26,14.163,14.897,13.582,14.516,80930,0
2010-01-27,14.373,16.155,14.373,16.031,177482,0
2010-01-28,16.07,16.07,15.164,15.66,152518,0
2010-01-29,15.688,16.098,15.278,15.278,95361,0
2010-02-01,15.336,15.793,15.288,15.564,37841,0
2010-02-02,15.622,16.06,15.383,15.965,49896,0
2010-02-03,15.936,16.213,15.641,15.765,72839,0
2010-02-04,15.66,15.86,14.506,14.821,96576,0
2010-02-05,14.783,15.155,14.058,14.583,74183,0
2010-02-08,14.611,14.611,14.058,14.221,69220,0
2010-02-09,14.487,14.535,13.639,14.43,132354,0
2010-02-10,14.306,14.449,14.106,14.44,38758,0
2010-02-11,14.335,14.954,14.297,14.916,46194,0
2010-02-12,14.668,15.145,14.459,15.136,73498,0
2010-02-16,15.231,15.717,15.221,15.631,45695,0
2010-02-17,15.965,19.243,15.965,18.977,616506,0
2010-02-18,18.986,19.034,18.3,18.462,199048,0
2010-02-19,18.452,19.053,18.214,19.034,153759,0
2010-02-22,19.015,19.291,18.452,18.605,174446,0
2010-02-23,18.605,18.729,17.938,18.614,247218,0
2010-02-24,18.681,18.996,18.414,18.586,74545,0
2010-02-25,18.395,19.043,18.395,18.986,96990,0
2010-02-26,19.053,19.12,18.5,18.653,84167,0
2010-03-01,18.71,19.034,18.51,18.996,91109,0
2010-03-02,19.062,19.062,18.776,18.929,47589,0
2010-03-03,19.024,19.062,18.481,18.919,66022,0
2010-03-04,19.053,19.11,18.862,19.034,136732,0
2010-03-05,19.1,19.93,18.3,19.901,134941,0
2010-03-08,20.006,20.483,19.949,20.378,117855,0
2010-03-09,20.34,21.245,20.34,20.692,139015,0
2010-03-10,20.349,21.073,20.349,20.797,89099,0
2010-03-11,20.73,20.749,20.425,20.425,97794,0
2010-03-12,20.635,20.997,20.025,20.797,158145,0
2010-03-15,20.635,21.054,19.558,20.93,159852,0
2010-03-16,20.969,22.007,20.664,21.264,125117,0
2010-03-17,21.417,22.093,21.293,21.969,106452,0
2010-03-18,21.779,22.122,21.55,21.893,225256,0
2010-03-19,22.112,22.341,19.92,19.92,490219,0
2010-03-22,19.853,21.769,19.053,21.569,249570,0
2010-03-23,21.531,22.303,21.102,22.036,178135,0
2010-03-24,21.731,22.179,21.426,21.76,159948,0
2010-03-25,22.065,22.389,21.731,21.788,160159,0
2010-03-26,21.941,22.475,21.941,22.274,119226,0
