Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.8676,4.9446,4.7967,4.9392,67128,0
2010-01-05,4.9392,4.9867,4.8794,4.8794,56414,0
2010-01-06,4.8862,4.933,4.8741,4.8741,47022,0
2010-01-07,4.9036,4.9446,4.8794,4.8975,42418,0
2010-01-08,4.9215,4.9984,4.9036,4.9806,103250,0
2010-01-11,5.0162,5.0635,4.9688,5.0512,32894,0
2010-01-12,4.9746,5.0699,4.9746,5.0512,38683,0
2010-01-13,5.0934,5.1292,5.0699,5.0934,11426,0
2010-01-14,5.046,5.1344,5.046,5.1344,28848,0
2010-01-15,5.0699,5.1407,5.0339,5.0699,68833,0
2010-01-19,5.0934,5.1763,5.0699,5.1763,35443,0
2010-01-20,5.17,5.17,5.1053,5.1407,15015,0
2010-01-21,5.1407,5.1467,5.0817,5.0817,41940,0
2010-01-22,5.0817,5.0992,4.9984,5.0282,58106,0
2010-01-25,5.0221,5.0817,5.0221,5.0339,47598,0
2010-01-26,4.9806,5.046,4.9806,5.0339,23659,0
2010-01-27,5.0282,5.0282,4.9926,5.0104,29520,0
2010-01-28,5.0162,5.0162,4.9688,4.9926,17484,0
2010-01-29,4.9626,5.0104,4.844,4.9215,53337,0
2010-02-01,4.9036,5.0282,4.856,4.9093,75492,0
2010-02-02,4.9746,5.0221,4.8862,4.9926,51272,0
2010-02-03,5.0162,5.0756,5.0043,5.0395,63772,0
2010-02-04,5.0512,5.0512,4.8502,4.856,58682,0
2010-02-05,4.8206,4.856,4.619,4.7552,106683,0
2010-02-08,4.7136,4.8206,4.7136,4.7674,23083,0
2010-02-09,4.8084,4.8794,4.7852,4.7967,26422,0
2010-02-10,4.7909,4.9512,4.7909,4.9154,29583,0
2010-02-11,4.9271,5.0221,4.9271,5.0162,36509,0
2010-02-12,4.9626,5.2057,4.9626,5.0512,50370,0
2010-02-16,5.0934,5.2475,5.0817,5.17,95166,0
2010-02-17,5.17,5.2475,5.1584,5.1825,55795,0
2010-02-18,5.0934,5.2294,5.0699,5.1526,50007,0
2010-02-19,5.0934,5.3719,5.0934,5.2653,44617,0
2010-02-22,5.3305,5.4075,5.0992,5.1407,57355,0
2010-02-23,5.0873,5.2294,5.0873,5.1228,22361,0
2010-02-24,5.1878,5.2832,5.0992,5.2772,53970,0
2010-02-25,5.3126,5.3126,5.1526,5.1646,66117,0
2010-02-26,5.212,5.2712,5.1825,5.2358,25318,0
2010-03-01,5.2772,5.3481,5.2591,5.3008,35166,0
2010-03-02,5.3541,5.4075,5.194,5.3541,48644,0
2010-03-03,5.3362,5.3896,5.3362,5.3422,32392,0
2010-03-04,5.3719,5.3719,5.17,5.212,62113,0
2010-03-05,5.2057,5.2057,5.1584,5.17,57048,0
2010-03-08,5.1292,5.2475,5.1292,5.212,18913,0
2010-03-09,5.2057,5.2534,5.1584,5.1646,32960,0
2010-03-10,5.1292,5.2057,5.1053,5.1407,89780,0
2010-03-11,5.17,5.1763,5.0699,5.1228,55740,0
2010-03-12,5.1292,5.1763,5.0873,5.1407,78152,0
2010-03-15,5.1407,5.2238,5.1407,5.2238,33051,0
2010-03-16,5.2358,5.2946,5.2358,5.2891,29687,0
2010-03-17,5.5975,5.6981,5.4727,5.6918,459179,0
2010-03-18,5.7219,5.8522,5.6801,5.7513,231202,0
2010-03-19,5.8224,5.8877,5.7513,5.8877,193193,0
2010-03-22,5.8939,5.8939,5.7339,5.8166,160831,0
2010-03-23,5.8522,6.0598,5.8522,5.953,141054,0
2010-03-24,5.911,6.0005,5.8281,5.8522,110983,0
2010-03-25,5.9765,6.018,5.8404,5.8819,100231,0
2010-03-26,5.9765,5.9826,5.8639,5.8639,121864,0
2010-03-29,5.8702,5.8939,5.8522,5.8759,31811,0
2010-03-30,5.911,5.9296,5.8224,5.8522,52512,0
2010-03-31,5.8819,5.911,5.8281,5.8819,41321,0
2010-04-01,5.911,5.918,5.8819,5.918,37514,0
2010-04-05,5.8939,5.9059,5.8522,5.8522,60184,0
2010-04-06,5.8522,5.8639,5.6801,5.7753,118530,0
2010-04-07,5.8345,5.8578,5.6744,5.7632,131182,0
2010-04-08,5.7159,5.9351,5.7159,5.9351,83591,0
2010-04-09,6.0539,6.0539,5.9351,5.9351,97243,0
2010-04-12,5.953,5.9588,5.8759,5.8819,100292,0
2010-04-13,5.8819,5.8819,5.8107,5.8522,47023,0
2010-04-14,5.8819,5.9414,5.8224,5.9414,52422,0
2010-04-15,5.9826,5.9826,5.8759,5.8759,98330,0
2010-04-16,5.9059,5.9414,5.8166,5.923,65122,0
2010-04-19,5.911,5.923,5.8578,5.923,73474,0
2010-04-20,5.911,6.0005,5.8995,5.9886,81786,0
2010-04-21,5.9826,5.9826,5.8404,5.9414,58718,0
2010-04-22,5.911,5.911,5.8522,5.8702,27153,0
2010-04-23,5.9202,6.0286,5.9202,6.0163,58779,0
2010-04-26,6.018,6.0657,5.9708,6.018,67966,0
2010-04-27,6.0302,6.0598,5.911,6.0361,46330,0
2010-04-28,6.0598,6.0772,5.9708,6.0361,61338,0
2010-04-29,6.0539,6.0539,5.9765,6.0302,33606,0
