Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,11.276,11.381,11.213,11.364,187726,0
2010-01-05,11.395,11.422,11.331,11.395,114359,0
2010-01-06,11.331,11.453,11.331,11.395,116671,0
2010-01-07,11.387,11.43,11.31,11.404,133988,0
2010-01-08,11.373,11.492,11.357,11.492,316472,0
2010-01-11,11.492,11.596,11.492,11.554,117024,0
2010-01-12,11.533,11.533,11.387,11.453,160288,0
2010-01-13,11.516,11.58,11.445,11.562,112723,0
2010-01-14,11.524,11.652,11.524,11.644,66227,0
2010-01-15,11.562,11.571,11.437,11.533,175476,0
2010-01-19,11.492,11.652,11.492,11.644,177136,0
2010-01-20,11.548,11.548,11.317,11.43,177376,0
2010-01-21,11.404,11.422,11.149,11.172,204744,0
2010-01-22,11.117,11.166,10.967,11.013,159836,0
2010-01-25,11.117,11.149,11.047,11.133,100621,0
2010-01-26,11.078,11.141,10.983,11.07,132636,0
2010-01-27,10.967,11.039,10.918,10.99,107230,0
2010-01-28,11.005,11.085,10.798,10.87,114910,0
2010-01-29,10.862,10.95,10.737,10.767,335060,0
2010-02-01,10.783,10.918,10.783,10.918,192984,0
2010-02-02,10.895,11.085,10.879,11.047,219529,0
2010-02-03,10.934,11.013,10.887,10.934,234647,0
2010-02-04,10.767,10.95,10.56,10.567,308765,0
2010-02-05,10.521,10.576,10.168,10.447,1139404,0
2010-02-08,10.392,10.528,10.375,10.4,230068,0
2010-02-09,10.506,10.656,10.447,10.607,142905,0
2010-02-10,10.6,10.647,10.497,10.624,425776,0
2010-02-11,10.551,10.76,10.543,10.737,86517,0
2010-02-12,10.686,10.729,10.6,10.729,101489,0
2010-02-16,10.729,10.918,10.729,10.911,273959,0
2010-02-17,10.975,10.99,10.879,10.926,112233,0
2010-02-18,10.918,10.99,10.854,10.99,118342,0
2010-02-19,10.87,11.022,10.87,10.958,471475,0
2010-02-22,10.99,11.005,10.918,10.975,219946,0
2010-02-23,10.943,10.967,10.783,10.814,105108,0
2010-02-24,10.798,10.862,10.774,10.862,285218,0
2010-02-25,10.713,10.854,10.656,10.854,105847,0
2010-02-26,10.839,10.918,10.76,10.918,101836,0
2010-03-01,10.943,10.997,10.895,10.975,176228,0
2010-03-02,11.078,11.133,11.022,11.101,841322,0
2010-03-03,11.126,11.221,11.101,11.166,116090,0
2010-03-04,11.157,11.204,11.078,11.126,84487,0
2010-03-05,11.204,11.31,11.157,11.302,151440,0
2010-03-08,11.323,11.364,11.294,11.339,95524,0
2010-03-09,11.268,11.348,11.261,11.317,133420,0
2010-03-10,11.31,11.387,11.294,11.381,120841,0
2010-03-11,11.339,11.395,11.31,11.387,103492,0
2010-03-12,11.404,11.5,11.404,11.437,166103,0
2010-03-15,11.445,11.445,11.31,11.413,125065,0
2010-03-16,11.453,11.492,11.404,11.485,63702,0
2010-03-17,11.485,11.554,11.485,11.524,229994,0
2010-03-18,11.533,11.533,11.387,11.453,96912,0
2010-03-19,11.373,11.413,11.236,11.276,519120,0
2010-03-22,11.166,11.323,11.166,11.323,98373,0
2010-03-23,11.331,11.395,11.294,11.395,124561,0
2010-03-24,11.285,11.302,11.213,11.245,133832,0
2010-03-25,11.317,11.381,11.236,11.236,111338,0
2010-03-26,11.276,11.317,11.221,11.245,101720,0
2010-03-29,11.254,11.381,11.254,11.381,87832,0
2010-03-30,11.364,11.445,11.357,11.373,49883,0
2010-03-31,11.323,11.453,11.323,11.395,125134,0
2010-04-01,11.508,11.562,11.43,11.554,133065,0
2010-04-05,11.571,11.644,11.554,11.634,118199,0
2010-04-06,11.562,11.779,11.524,11.627,1781804,0
2010-04-07,11.58,11.606,11.476,11.524,118356,0
2010-04-08,11.5,11.554,11.422,11.533,268924,0
2010-04-09,11.606,11.652,11.554,11.652,112320,0
2010-04-12,11.66,11.715,11.627,11.66,105795,0
2010-04-13,11.692,11.7,11.571,11.676,159939,0
2010-04-14,11.73,11.779,11.683,11.779,113416,0
2010-04-15,11.754,11.827,11.715,11.763,371804,0
2010-04-16,11.715,11.747,11.554,11.62,365167,0
2010-04-19,11.562,11.588,11.445,11.588,157842,0
2010-04-20,11.66,11.73,11.652,11.73,164359,0
2010-04-21,11.739,11.86,11.588,11.66,728889,0
2010-04-22,11.571,11.66,11.492,11.652,103041,0
2010-04-23,11.666,11.792,11.602,11.792,126558,0
2010-04-26,11.817,11.817,11.707,11.715,184729,0
2010-04-27,11.627,11.676,11.364,11.373,376693,0
